"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"62",2,21,0.0785,0.770108221696074,0,0.186,21.8076727046923,7,0.07,0,0.15,1,1,1
"63",3,21,0.0739,0.943905898907128,0.21,0.17,22.1099466233944,7,0.04,0,0.15,1,1,1
"65",2,22,0.0193,-1.51412773262978,0.3,0.0656,25.5396689232229,4,0.03,0.05,0.12,1,1,1
"66",3,22,0.0165,-1.42711635564015,0.25,0.0779,25.4103201111489,4,0.03,0.06,0.08,1,1,1
"67",1,23,0.1747,2.11021320034659,0.12,0.2247,21.6839791135733,5,0,0,0,0,0,0
"68",2,23,0.0167,1.22377543162212,0.07,0.163,21.9225364030585,5,0,0,0,0,0,0
"69",3,23,0.0302,0.765467842139571,0.04,0.2941,22.1588173960156,5,0.06,0,0,0,0,0
"70",1,24,0.085,0.631271776841858,0.27,0.0125,23.2164712895491,7,0.65,0.72,0.32,1,1,0
"71",2,24,0.0967,0.122217632724249,0.27,0.0341,23.2115002768271,7,0.08,0.09,0.02,1,1,0
"72",3,24,0.1151,0.712949807856125,0.25,0.1182,23.3012073527016,7,0.1,0.09,0.03,1,1,0
"73",1,25,0.095,0.741937344729377,0.45,0.1377,22.3700103240467,6,0,0,0,0,0,0
"74",2,25,0.0903,0.712949807856125,0.36,0.1438,22.4944657324666,6,0,0,0,0,0,0
"75",3,25,0.0744,0.542324290825362,0.44,0.1453,22.5828339433994,6,0.05,0,0,0,0,0
"76",1,26,0.0645,0.542324290825362,0.54,0.0964,22.5457323162869,4,0,0,0,0,0,0
"77",2,26,0.0667,0.27763173659828,0.65,0.1647,22.5667951536592,4,0,0,0,0,0,0
"78",3,26,0.0572,0.157003748809665,0.72,0.1801,22.7642393821107,4,0.06,0,0,0,0,0
"79",1,27,0.0763,0.582215619852664,1.26,0.2517,24.7177532307954,5,0.51,0.52,0.43,0,1,1
"80",2,27,0.0987,0.53062825106217,1.34,0.2721,24.9148127271249,5,0.09,0.08,0.08,1,1,1
"81",3,27,0.1035,0.285178942233662,1.17,0.2571,24.9575027678204,5,0.07,0.06,0.07,1,1,1
"82",1,28,0.011,-1.66073120682165,0.81,0.1003,25.6265311904347,4,0,0,0,0,0,0
"83",2,28,0.0106,-1.83258146374831,1.03,0.1188,25.6970711577919,4,0,0,0,0,0,0
"84",3,28,0.0092,-2.12026353620009,1.22,0.132,25.7259361613884,4,0.07,0,0,0,0,0
"85",1,29,0.0385,0.928219302739429,2.43,0.2216,23.3686693440548,4,0,0,0,0,0,0
"86",2,29,0.0247,0.774727167552368,4.08,0.164,23.7325346270583,4,0,0,0,0,0,0
"87",3,29,0.0294,0.717839793150317,3.47,0.1954,23.7834527999992,4,0.04,0,0,0,0,0
"88",1,30,-0.0051,1.00795792039998,0.47,-6e-04,24.2061968036352,1,0,0,0,0,0,0
"91",1,31,0.0563,-0.328504066972036,0.37,0.0225,23.0935095784143,3,0,0,0,0,1,0
"92",2,31,0.0936,-0.0943106794712413,0.66,0.011,23.3177739966495,3,0,0,0,0,1,0
"93",3,31,0.04,-0.462035459596559,0.96,0.0207,23.5260199735179,3,0.08,0.07,0.09,0,1,0
