"";"test";"2012";"2013";"2014";"2015";"2016"
"413";"CCI.adjclose";61,877815;62,966843;68,430649;78,316528;81,812065
"414";"CCI.volume";26028100;46911500;64226800;49262600;44846400
"415";"CCL.open";38,830002;35,900002;43,75;51,130001;50,849998
"416";"CCL.high";39,950001;40,470001;46,310001;55,77;53,669998
"417";"CCL.low";36,02;34,82;41,860001;49,150002;49,73
"418";"CCL.close";36,77;40,169998;45,330002;54,48;52,060001
"419";"CCL.adjclose";31,456385;35,82473;41,461441;50,972767;50,427261
"420";"CCL.volume";77106300;104027600;109630300;96665400;84005600
"421";"CE.open";41,700001;56,380001;60;70,949997;80,059998
"422";"CE.high";45,310001;57,740002;63,279999;71,620003;84,970001
"423";"CE.low";40,43;53,52;55,810001;63,91;78,43
"424";"CE.close";44,529999;55,310001;59,959999;67,330002;78,739998
"425";"CE.adjclose";40,774246;51,171715;56,38155;64,445396;76,959946
"426";"CE.volume";24387900;15171800;14616800;14623800;14991700
"427";"CELG.open";39,375;80,934998;113,709999;110,269997;119,739998
"428";"CELG.high";41,389999;86,900002;119,839996;123,220001;119,949997
"429";"CELG.low";38,610001;78,589996;103,690002;106;110,050003
"430";"CELG.close";39,235001;84,485001;111,860001;119,760002;115,75
"431";"CELG.adjclose";39,235001;84,485001;111,860001;119,760002;115,75
"432";"CELG.volume";118817800;100747800;128650100;99084600;84993700
"433";"CERN.open";38,82;57,59;64,480003;59,75;49,299999
"434";"CERN.high";40,580002;58,080002;66,449997;61,959999;50,290001
"435";"CERN.low";37,630001;53,720001;60,700001;58,91;47,009998
"436";"CERN.close";38,755001;55,740002;64,660004;60,169998;47,369999
"437";"CERN.adjclose";38,755001;55,740002;64,660004;60,169998;47,369999
"438";"CERN.volume";28598800;27408300;23518800;43288900;56494200
"439";"CF.open";42,686001;43,571999;53,543999;46,450001;29,09
"440";"CF.high";43,700001;47,880001;55,880001;46,75;32,610001
"441";"CF.low";39,68;42,740002;48,962002;39,639999;27,75
"442";"CF.close";40,632;46,608002;54,507999;40,810001;31,48
"443";"CF.adjclose";29,873188;36,146442;46,794609;37,277126;30,10475
"444";"CF.volume";83486500;84657500;73574000;52818600;113091700
"445";"CHD.open";27,15;32,654999;38,119999;43;43,720001
"446";"CHD.high";27,709999;33,48;40,485001;43,884998;45,450001
"447";"CHD.low";26,309999;32,400002;37,419998;41,400002;42,560001
"448";"CHD.close";26,785;33,139999;39,404999;42,439999;44,189999
"449";"CHD.adjclose";23,026304;29,532007;36,42915;40,504219;43,308014
"450";"CHD.volume";27205200;20283800;25310800;57099900;35837700
"451";"CHRW.open";62,029999;58,810001;73,389999;67,739998;74,82
"452";"CHRW.high";64,139999;59,110001;77,489998;68,459999;77,889999
"453";"CHRW.low";60,139999;55,919998;69,139999;59,709999;72,559998
"454";"CHRW.close";63,220001;58,349998;74,889999;62,02;73,260002
"455";"CHRW.adjclose";55,483334;52,467152;68,967415;58,407051;70,751549
"456";"CHRW.volume";18780000;40512000;29540400;52243000;30510000
"457";"CHTR.open";70,849998;134,839996;169,570007;187,649994;273,549988
"458";"CHTR.high";76,690002;136,759995;169,850006;190,679993;294,869995
"459";"CHTR.low";68,440002;126,309998;158;173,210007;265,779999
"460";"CHTR.close";76,239998;136,759995;166,619995;183,100006;287,920013
"461";"CHTR.adjclose";76,239998;136,759995;166,619995;183,100006;287,920013
"462";"CHTR.volume";15662300;18274800;15879500;25936100;28930300
"463";"CI.open";52,419998;87,370003;102,629997;135,279999;134,169998
"464";"CI.high";54,529999;88,089996;105,730003;148,550003;140,699997
"465";"CI.low";51,34;83,019997;99,879997;135,050003;131,029999
"466";"CI.close";53,459999;87,480003;102,910004;146,330002;133,389999
"467";"CI.adjclose";53,33746;87,338753;102,795845;146,215622;133,323837
"468";"CI.volume";34002300;24527900;24926800;30356400;23744300
"469";"CIT.open";37,02;50,639999;48,630001;43;41,23
"470";"CIT.high";38,959999;52,279999;49,080002;43,57;43,959999
"471";"CIT.low";36,32;49,009998;45,02;39,689999;40,889999
"472";"CIT.close";38,639999;52,130001;47,830002;39,700001;42,68
"473";"CIT.adjclose";36,34716;49,137634;45,566891;38,326817;41,974712
"474";"CIT.volume";25294700;17073000;24573000;36507400;32568300
"475";"CL.open";54,314999;65,639999;68,669998;65,769997;65,230003
"476";"CL.high";54,5;65,989998;71,309998;68,489998;67,300003
"477";"CL.low";51,41;62,799999;67,25;64,989998;64,459999
"478";"CL.close";52,27;65,209999;69,190002;66,620003;65,440002
"479";"CL.adjclose";46,021755;59,409641;64,400749;63,394497;63,67329
"480";"CL.volume";59462800;53782000;62216800;68944000;68212100
"481";"CLR.open";35,310001;53,549999;40,450001;36,419998;59,98
"482";"CLR.high";38,325001;57,165001;41,98;36,650002;60,299999
"483";"CLR.low";35,25;50,125;30,059999;19,6;51,040001
"484";"CLR.close";36,744999;56,259998;38,360001;22,98;51,540001
"485";"CLR.adjclose";36,744999;56,259998;38,360001;22,98;51,540001
"486";"CLR.volume";48068600;48173000;125951200;157050700;56286700
"487";"CLX.open";76,449997;93,43;100,279999;125,089996;115,129997
"488";"CLX.high";76,739998;96,760002;106,360001;131,779999;122,529999
"489";"CLX.low";72,199997;91,540001;97,849998;124,940002;112,279999
"490";"CLX.close";73,220001;92,760002;104,209999;126,830002;120,019997
"491";"CLX.adjclose";63,261467;82,727249;95,90271;119,903015;116,312325
"492";"CLX.volume";14981400;21696200;23731800;23817400;20323800
"493";"CMCSA.open";18,684999;24,91;28,485001;30,73;34,705002
"494";"CMCSA.high";19,110001;26,045;29,65;30,889999;35,66
"495";"CMCSA.low";18,15;24,105;27,370001;27,695;34,035
"496";"CMCSA.close";18,68;25,985001;29,004999;28,215;34,525002
"497";"CMCSA.adjclose";15,79428;22,782965;26,293488;26,451374;33,507366
"498";"CMCSA.volume";461422400;384526000;503069100;404111200;185351400
"499";"CME.open";55,560001;82,019997;84,589996;98,190002;113,589996
"500";"CME.high";55,82;84,709999;93,910004;100,080002;124,010002
"501";"CME.low";49,790001;77,589996;84,010002;90,160004;113
"502";"CME.close";50,669998;78,459999;88,650002;90,599998;115,349998
"503";"CME.adjclose";37,99292;62,043758;74,184265;79,142776;106,399071
"504";"CME.volume";51885300;42086300;34081700;34942700;34486700
"505";"CMG.open";265,049988;521,5;664,659973;583,280029;396,98999
"506";"CMG.high";298,200012;537;696,559998;589,150024;410,829987
"507";"CMG.low";260,01001;506,440002;632,429993;477,970001;362,450012
"508";"CMG.close";297,459991;532,780029;684,51001;479,850006;377,320007
"509";"CMG.adjclose";297,459991;532,780029;684,51001;479,850006;377,320007
"510";"CMG.volume";10663800;6177500;6994900;40702100;25207000
"511";"CMI.open";98,860001;132,550003;145,639999;96,580002;140,75
"512";"CMI.high";109,779999;141,389999;151,25;96,870003;147,100006
"513";"CMI.low";96,760002;127,809998;137,970001;84,989998;135,179993
"514";"CMI.close";108,349998;140,970001;144,169998;88,010002;142,25
"515";"CMI.adjclose";94,784119;125,586998;130,959122;82,284439;137,609726
"516";"CMI.volume";37448700;24943000;30323800;77882100;36314200
"517";"CNO.open";9,16;16,9;17,23;20,33;18,059999
"518";"CNO.high";9,64;17,91;17,690001;20,879999;19,889999
"519";"CNO.low";8,9;16,540001;15,44;18,200001;17,92
"520";"CNO.close";9,33;17,690001;17,219999;19,09;19,15
"521";"CNO.adjclose";8,644207;16,529194;16,284782;18,324898;18,684757
"522";"CNO.volume";30380500;25609000;30154600;28952600;34708600
"523";"CNP.open";19,73;23,17;23,85;17,01;23,799999
"524";"CNP.high";20,15;23,51;24,379999;18,48;24,98
"525";"CNP.low";18,790001;22,459999;21,41;16,049999;23,57
"526";"CNP.close";19,25;23,18;23,43;18,360001;24,639999
"527";"CNP.adjclose";15,407832;19,225863;20,214842;16,66131;23,471102
"528";"CNP.volume";56367600;74471500;94944100;135308000;80897200
"529";"CNX.open";26,5;29,758333;32,25;6,633333;17,716667
"530";"CNX.high";29,391666;32,233334;32,275002;7,633333;18,616667
"531";"CNX.low";25,816668;29,458334;27,825001;5,25;15,15
"532";"CNX.close";26,75;31,700001;28,174999;6,583333;15,191667
"533";"CNX.adjclose";25,860081;31,194458;27,934231;6,572377;15,191667
"534";"CNX.volume";52553600;49407200;81397800;285639500;90671300
"535";"COF.open";57,84;72,650002;82,540001;79,040001;84,449997
"536";"COF.high";59,939999;76,709999;83,959999;79,959999;91,639999
"537";"COF.low";56,330002;71,019997;77,720001;71,099998;84,169998
"538";"COF.close";57,93;76,610001;82,550003;72,18;87,239998
"539";"COF.adjclose";52,635136;70,627937;77,317024;68,88192;85,249184
"540";"COF.volume";64543600;54825100;61847700;58118400;72443600
"541";"COL.open";57,259998;72,730003;85,440002;93,32;95,050003
"542";"COL.high";59,02;74,43;86,599998;94,040001;96,550003
"543";"COL.low";55,290001;70,580002;81,25;88,18;92,260002
"544";"COL.close";58,169998;73,919998;84,480003;92,300003;92,760002
"545";"COL.adjclose";53,815819;69,621864;80,807167;89,563148;91,43557
"546";"COL.volume";18453000;11716600;20636800;12562300;22664800
"547";"COP.open";57,330002;73,389999;65,93;54,459999;50,139999
"548";"COP.high";59,650002;73,489998;71,370003;54,75;53,169998
"549";"COP.low";56,57;68,230003;60,84;44,560001;47,73
"550";"COP.close";57,990002;70,650002;69,059998;46,689999;50,139999
"551";"COP.adjclose";48,35466;61,447937;62,376415;44,283108;48,76989
"552";"COP.volume";122055100;101693500;219562500;222580600;136226600
"553";"COST.open";104,82;125,660004;143,320007;162,020004;150,110001
"554";"COST.high";105,970001;125,690002;146,820007;169,729996;164,949997
"555";"COST.low";96,510002;115,849998;136,550003;157,330002;150,110001
"556";"COST.close";98,730003;119,019997;141,75;161,5;160,110001
"557";"COST.adjclose";80,928711;105,573608;127,174385;151,267441;151,687653
"558";"COST.volume";64890300;43396100;46520400;54507800;48187800
"559";"CPB.open";36,860001;38,66;44,990002;53,060001;56,619999
"560";"CPB.high";36,93;43,700001;45,290001;55,080002;61,09
"561";"CPB.low";34,299999;38,369999;42,700001;52,009998;56,080002
"562";"CPB.close";34,889999;43,279999;44;52,549999;60,470001
"563";"CPB.adjclose";30,299141;38,425911;40,191818;49,286724;57,978294
"564";"CPB.volume";37123600;77789600;38983300;41998100;35217400
"565";"CRM.open";39,674999;52,009998;59,09;80,349998;72,139999
"566";"CRM.high";43,1875;55,549999;61,099998;82,139999;72,269997
"567";"CRM.low";38,307499;50,119999;53,439999;75,849998;66,43
"568";"CRM.close";42,025002;55,189999;59,310001;78,400002;68,459999
"569";"CRM.adjclose";42,025002;55,189999;59,310001;78,400002;68,459999
"570";"CRM.volume";122377200;90028800;107383800;69148700;119667300
"571";"CSCO.open";19,02;21,290001;27,5;27,200001;29,84
"572";"CSCO.high";20,540001;22,469999;28,59;27,9;31,07
"573";"CSCO.low";18,950001;20,219999;26,15;25,959999;29,120001
"574";"CSCO.close";19,65;22,43;27,82;27,16;30,219999
"575";"CSCO.adjclose";16,601669;19,378565;24,799883;24,953531;28,729914
"576";"CSCO.volume";780170100;938261700;577440600;501853200;439906100
"577";"CSX.open";19,860001;27,27;35,950001;28,469999;36,07
"578";"CSX.high";20,309999;28,799999;37,529999;28,67;37,419998
"579";"CSX.low";19,360001;27,02;34,34;24,58;35,790001
"580";"CSX.close";19,73;28,77;36,23;25,950001;35,93
"581";"CSX.adjclose";17,634842;26,334772;33,846519;24,801062;35,240341
"582";"CSX.volume";179038500;106749600;148551000;201348700;153646500
"583";"CTL.open";38,990002;30,629999;40,82;26,99;23,540001
"584";"CTL.high";40,16;32,099998;41,5;27,200001;24,49
"585";"CTL.low";37,610001;29,93;37,560001;24,209999;23,24
"586";"CTL.close";39,119999;31,85;39,580002;25,16;23,780001
"587";"CTL.adjclose";25,452023;22,511921;29,641022;20,203568;20,650288
"588";"CTL.volume";102634700;126327200;63158100;112586300;153652600
"589";"CTSH.open";33,764999;46,57;53,889999;64,650002;55,240002
"590";"CTSH.high";37,435001;50,564999;54,889999;65,25;57,209999
"591";"CTSH.low";33,16;46,294998;50,169998;58,150002;53,75
"592";"CTSH.close";36,939999;50,490002;52,66;60,02;55,84
"593";"CTSH.adjclose";36,612354;50,042171;52,192921;59,487644;55,344719
"594";"CTSH.volume";90863200;59057800;82867100;80086100;97336500
"595";"CTXS.open";49,132027;46,989967;52,651695;61,82513;68,880394
"596";"CTXS.high";54,64246;50,517597;53,145405;63,553112;73,578598
"597";"CTXS.low";46,528111;45,309761;47,292564;58,265648;67,240005
"598";"CTXS.close";52,253544;50,366299;50,804268;60,240482;71,118011
"599";"CTXS.adjclose";52,253544;50,366299;50,804268;60,240482;71,118011
"600";"CTXS.volume";53027500;45478500;40499400;40171900;22698800
"601";"CVS.open";46,529999;67,099998;91,419998;94,669998;76,620003
"602";"CVS.high";49,799999;71,989998;98,620003;99,599998;81,239998
"603";"CVS.low";45,810001;65,449997;88,949997;92,370003;76,110001
"604";"CVS.close";48,349998;71,57;96,309998;97,769997;78,910004
"605";"CVS.adjclose";44,026211;66,207588;90,415779;93,038979;76,449791
"606";"CVS.volume";130142000;110859300;100036000;116258600;156408500
"607";"CVX.open";106;122,870003;109,379997;90,970001;112,790001
"608";"CVX.high";111,110001;125,650002;114,82;94;119
"609";"CVX.low";103,940002;118,25;100,150002;84,25;112,209999
"610";"CVX.close";108,139999;124,910004;112,18;89,959999;117,699997
"611";"CVX.adjclose";88,16671;105,190506;97,838867;82,017677;112,08654
"612";"CVX.volume";125418100;116195800;221038700;260998300;133381600
"613";"CXO.open";80,620003;104,699997;94,370003;110,519997;146,470001
"614";"CXO.high";87,599998;108,910004;102,510002;112,5;147,550003
"615";"CXO.low";76,809998;97,209999;77,220001;85,870003;131,929993
"616";"CXO.close";80,559998;108;99,75;92,860001;132,600006
"617";"CXO.adjclose";80,559998;108;99,75;92,860001;132,600006
"618";"CXO.volume";21200600;20785300;49225800;44980800;30003600
"619";"D.open";51,16;64,800003;72,160004;67,870003;72,93
"620";"D.high";52,400002;65,07;80,889999;68,919998;77,330002
"621";"D.low";50,360001;63;71,339996;64,540001;72,199997
"622";"D.close";51,799999;64,690002;76,900002;67,639999;74,529999
"623";"D.adjclose";42,538086;54,746029;67,923836;61,969887;70,956528
"624";"D.volume";40529600;42672500;60105400;54193400;55458400
"625";"DAL.open";9,99;29;46,549999;46,810001;47,959999
"626";"DAL.high";12,05;29,42;50,16;52,77;52,759998
"627";"DAL.low";9,5;26,4;43,900002;46,580002;47,59
"628";"DAL.close";11,87;27,469999;49,189999;50,689999;49,189999
"629";"DAL.adjclose";11,114188;25,852736;46,672916;48,56168;47,905777
"630";"DAL.volume";260632000;249242500;274515000;196292900;153531300
"631";"DE.open";84,18;84,260002;87,949997;79,419998;100,949997
"632";"DE.high";87,209999;91,580002;91,379997;80,550003;104,769997
"633";"DE.low";82,949997;82,199997;86,389999;74,629997;100,050003
"634";"DE.close";86,419998;91,330002;88,470001;76,269997;103,040001
"635";"DE.adjclose";75,471352;81,653114;81,121284;71,910545;100,105278
"636";"DE.volume";48798800;70307700;59911300;69687000;58153200
"637";"DFS.open";41,810001;53,490002;65,540001;57,060001;68
"638";"DFS.high";42,080002;56,200001;66,720001;57,400002;73,620003
"639";"DFS.low";37,360001;51,25;60,150002;51,939999;66,879997
"640";"DFS.close";38,549999;55,950001;65,489998;53,619999;72,82
"641";"DFS.adjclose";34,968224;51,558613;61,31411;51,171978;71,023834
"642";"DFS.volume";107837000;53240200;59654900;72092100;58695100
"643";"DG.open";50,040001;56,91;66,959999;65,529999;72,489998
"644";"DG.high";50,240002;61,950001;71,779999;73;78,059998
"645";"DG.low";42,25;55,560001;65,410004;65,110001;70,589996
"646";"DG.close";44,09;60,32;70,699997;71,870003;74,07
"647";"DG.adjclose";42,323322;57,902988;67,867058;69,605476;72,626038
"648";"DG.volume";134346100;81235200;91338900;74671500;67279400
"649";"DGX.open";57,919998;61,049999;65,220001;68,779999;87,389999
"650";"DGX.high";60,830002;62,029999;68,510002;72,43;93,57
"651";"DGX.low";57,220001;52,5;62,759998;65,470001;86,889999
"652";"DGX.close";58,27;53,540001;67,059998;71,139999;91,900002
"653";"DGX.adjclose";52,068027;48,820919;62,516796;67,749687;89,363686
"654";"DGX.volume";15054100;55974400;28605300;22527300;18131400
"655";"DHR.open";41,243366;56,550419;63,009857;73,502655;78,129997
"656";"DHR.high";42,896133;58,673237;66,330551;73,912056;80,620003
"657";"DHR.low";40,04549;55,253979;62,054588;69,075058;76,269997
"658";"DHR.close";42,380592;58,52919;64,981049;70,416985;78,099998
"659";"DHR.adjclose";28,020185;38,780777;43,296364;47,286259;77,34935
"660";"DHR.volume";73977100;62064200;75738700;75260600;77493200
"661";"DIS.open";49,77;70,790001;92,629997;114,150002;99,129997
"662";"DIS.high";51,060001;76,540001;95,93;115,470001;106,260002
"663";"DIS.low";48,549999;68,800003;90,129997;104,300003;98,25
"664";"DIS.close";49,790001;76,400002;94,190002;105,080002;104,220001
"665";"DIS.adjclose";45,839523;71,41835;89,135376;101,29055;101,839996
"666";"DIS.volume";159328600;139787700;145232700;228548000;177569400
"667";"DISCA.open";30,914665;44,118549;34,630001;31,219999;27,219999
"668";"DISCA.high";32,958611;46,37711;35,779999;31,379999;29,719999
"669";"DISCA.low";30,587635;41,742462;32,48;25,83;26,52
"670";"DISCA.close";32,437405;46,203373;34,450001;26,68;27,41
"671";"DISCA.adjclose";32,437405;46,203373;34,450001;26,68;27,41
"672";"DISCA.volume";64026000;46464800;65427200;69630400;49136000
"673";"DLTR.open";41,91;55,630001;68,32;76,040001;86,790001
"674";"DLTR.high";41,990002;56,880001;71,529999;80,040001;88,980003
"675";"DLTR.low";37,470001;54,669998;66,849998;73,709999;74,919998
"676";"DLTR.close";40,560001;56,419998;70,379997;77,220001;77,18
"677";"DLTR.adjclose";40,560001;56,419998;70,379997;77,220001;77,18
"678";"DLTR.volume";76695900;46799700;44111000;56837500;55108400
"679";"DOV.open";53,178425;73,369293;74,949997;65,699997;73,360001
"680";"DOV.high";54,605808;80,497925;77,510002;66,879997;78,269997
"681";"DOV.low";52,049793;73,161827;67,129997;58,450001;73,360001
"682";"DOV.close";54,53112;80,11618;71,720001;61,310001;74,93
"683";"DOV.adjclose";48,594261;72,946075;66,501144;58,243633;73,019386
"684";"DOV.volume";29683000;21781200;57953900;36811400;23968900
"685";"DPS.open";45,009998;48,470001;72,839996;90,160004;86,269997
"686";"DPS.high";46,060001;49,150002;73,980003;95,260002;91,139999
"687";"DPS.low";43,580002;47,060001;69,389999;89,410004;84,059998
"688";"DPS.close";44,18;48,720001;71,68;93,199997;90,669998
"689";"DPS.adjclose";38,195515;43,528568;65,945633;87,903572;87,466118
"690";"DPS.volume";21440300;20780500;31957200;27091300;31593000
"691";"DTE.open";60,509998;66,860001;81,059998;80,940002;92,489998
"692";"DTE.high";62;67,650002;90,769997;81,93;99,919998
"693";"DTE.low";58,860001;64,519997;80,709999;77,349998;92,190002
"694";"DTE.close";60,049999;66,389999;86,370003;80,190002;98,510002
"695";"DTE.adjclose";49,041821;56,396824;76,138641;73,282524;93,084488
"696";"DTE.volume";15883600;23212600;21870700;24305300;20811500
"697";"DUK.open";64,089996;70,129997;80,389999;68,050003;73,5
"698";"DUK.high";65,660004;70,540001;87,290001;72,75;78,239998
"699";"DUK.low";62,599998;67,919998;80,160004;65,5;72,339996
"700";"DUK.close";63,799999;69,010002;83,540001;71,389999;77,620003
"701";"DUK.adjclose";50,918236;57,539276;72,700005;64,868805;73,58477
"702";"DUK.volume";68570400;54472000;74847400;73346900;68427800
"703";"DVA.open";54,064999;59,439999;76,470001;73,410004;63,5
"704";"DVA.high";56,395;63,740002;76,769997;73,93;67,440002
"705";"DVA.low";52,23;56,849998;72,139999;67,339996;63,290001
"706";"DVA.close";55,264999;63,369999;75,739998;69,709999;64,199997
"707";"DVA.adjclose";55,264999;63,369999;75,739998;69,709999;64,199997
"708";"DVA.volume";45002800;40711600;19013600;40295100;34263300
"709";"DVN.open";52;60,889999;58,689999;46,110001;49,509998
"710";"DVN.high";54,380001;62,400002;62,240002;46,52;50,689999
"711";"DVN.low";50,889999;58,029999;51,759998;28;45,509998
"712";"DVN.close";52,040001;61,869999;61,209999;32;45,669998
"713";"DVN.adjclose";48,161674;58,133202;58,306267;31,042194;45,225826
"714";"DVN.volume";70055700;61721600;109677900;172122100;88795100
"715";"EBAY.open";22,335859;21,973906;23,047138;29,75;27,92
"716";"EBAY.high";22,369528;23,282827;24,385521;29,83;30,52
"717";"EBAY.low";20,707071;21,258417;22,904041;27,26;27,280001
"718";"EBAY.close";21,464647;23,093435;23,619528;27,48;29,690001
"719";"EBAY.adjclose";21,464647;23,093435;23,619528;27,48;29,690001
"720";"EBAY.volume";413798500;552624300;464823500;198398100;218097800
"721";"ECL.open";72;106,900002;106,599998;119,5;116,910004
"722";"ECL.high";72,790001;106,980003;110,410004;119,790001;122,279999
"723";"ECL.low";70,019997;101,379997;101,260002;111,769997;116,410004
"724";"ECL.close";71,900002;104,269997;104,519997;114,379997;120,5
"725";"ECL.adjclose";67,495865;99,003807;100,251183;111,014824;118,39743
"726";"ECL.volume";25443100;22418900;38885000;21974100;22444100
"727";"EFX.open";52,66;67,470001;79,43;112,379997;114,449997
"728";"EFX.high";55,52;69,639999;82,629997;114,459999;120,059998
"729";"EFX.low";52,66;66,019997;78,339996;107,199997;110,870003
"730";"EFX.close";54,119999;69,089996;80,870003;111,370003;118,230003
"731";"EFX.adjclose";50,679012;65,627602;77,868774;108,465858;116,431602
"732";"EFX.volume";17695700;10781300;11858400;14286300;18896400
"733";"EIX.open";45,040001;46,209999;63,130001;59,5;68,389999
"734";"EIX.high";46,220001;46,98;68,739998;61,349998;72,620003
"735";"EIX.low";42,57;44,970001;62,779999;57,849998;67,730003
"736";"EIX.close";45,189999;46,299999;65,480003;59,209999;71,989998
"737";"EIX.adjclose";38,605717;40,70805;59,13805;54,946308;68,669563
"738";"EIX.volume";43916700;41748700;44843700;46821900;39874300
"739";"EMN.open";61,349998;77,209999;82,989998;72,809998;75,620003
"740";"EMN.high";68,220001;80,839996;84,599998;73,720001;77,980003
"741";"EMN.low";59,32;72,620003;71,059998;65,879997;74,18
"742";"EMN.close";68,050003;80,699997;75,860001;67,510002;75,209999
"743";"EMN.adjclose";60,419365;72,881668;69,675133;63,371647;72,500961
"744";"EMN.volume";39691400;38530000;37848000;24262200;26035200
"745";"EMR.open";50,560001;66,989998;63,290001;50,220001;56,73
"746";"EMR.high";53,619999;70,660004;65,160004;50,439999;58,279999
"747";"EMR.low";49,380001;65,970001;57,799999;44,59;55,560001
"748";"EMR.close";52,959999;70,18;61,73;47,830002;55,75
"749";"EMR.adjclose";44,862663;61,086315;55,210121;44,324245;53,635132
"750";"EMR.volume";62572500;51539800;93320300;113668300;63526300
"751";"EOG.open";59,119999;83;85,519997;83,449997;105,709999
"752";"EOG.high";62,25;85,25;97,269997;84,129997;109,370003
"753";"EOG.low";58,285;78,004997;83,660004;69,300003;100,540001
"754";"EOG.close";60,395;83,919998;92,07;70,790001;101,099998
"755";"EOG.adjclose";57,845303;81,211502;89,686295;69,488525;100,092339
"756";"EOG.volume";57130400;85691600;145748300;103848200;79462000
"757";"EPD.open";25,91;31,450001;36,200001;25,4;26,32
"758";"EPD.high";26,1;33,459999;38,75;26,17;27,200001
"759";"EPD.low";24,33;30,385;30,709999;20,76;25,139999
"760";"EPD.close";25,040001;33,150002;36,119999;25,58;27,040001
"761";"EPD.adjclose";17,708086;25,633106;29,94874;22,295618;25,059708
"762";"EPD.volume";67791400;42174800;92573100;203177500;98619300
"763";"EQIX.open";186,160004;161,100006;227,149994;297,700012;338,450012
"764";"EQIX.high";208,910004;178,679993;235,839996;305;369,670013
"765";"EQIX.low";179,699997;155,830002;217,679993;287,299988;327,369995
"766";"EQIX.close";206,199997;177,449997;226,729996;302,399994;357,410004
"767";"EQIX.adjclose";177,700043;152,923752;203,060715;287,339661;348,752869
"768";"EQIX.volume";17072300;16936000;12299900;15638700;13222200
"769";"EQR.open";55,759998;51,299999;70,93;80,300003;59,599998
"770";"EQR.high";56,970001;54,049999;74,720001;82,389999;65,139999
"771";"EQR.low";54,34;50,889999;69,779999;76,660004;59,110001
"772";"EQR.close";56,669998;51,869999;71,839996;81,589996;64,360001
"773";"EQR.adjclose";42,289558;40,10405;57,6703;67,425301;61,347187
"774";"EQR.volume";39938300;48925200;35827300;35199300;48387200
"775";"EQT.open";60,599998;85,099998;90,010002;57,09;71,629997
"776";"EQT.high";61,07;91,190002;91,68;58,110001;75,739998
"777";"EQT.low";56,450001;82,059998;74,370003;47,099998;64,080002
"778";"EQT.close";58,98;89,779999;75,699997;52,130001;65,400002
"779";"EQT.adjclose";58,463989;89,136841;75,250565;51,900215;65,23156
"780";"EQT.volume";30608900;31697000;39412300;50842500;43447500
"781";"ESRX.open";54,110001;67,32;82,989998;85,900002;75,889999
"782";"ESRX.high";55,540001;70,790001;86,269997;89;77,25
"783";"ESRX.low";52,5;66,150002;78,889999;84,129997;68
"784";"ESRX.close";54;70,239998;84,669998;87,410004;68,790001
"785";"ESRX.adjclose";54;70,239998;84,669998;87,410004;68,790001
"786";"ESRX.volume";94320200;79711100;85379400;78696300;97255200
"787";"ETP.open";25,465;35,130001;47,720001;27,870001;24
"788";"ETP.high";25,745001;38,035;49,700001;28,209999;25,08
"789";"ETP.low";24,055;33,5;39,330002;21,41;22,25
"790";"ETP.close";24,865;37,740002;41,779999;25,700001;24,02
"791";"ETP.adjclose";11,302438;19,987463;24,943611;17,986048;20,612238
"792";"ETP.volume";10020600;9310400;20366100;48200600;68273700
"793";"ETR.open";63,549999;62,060001;83,209999;66,769997;68,330002
"794";"ETR.high";65,599998;63,549999;92,019997;69,489998;73,790001
"795";"ETR.low";62,220001;60,220001;82,18;64,18;67,839996
"796";"ETR.close";63,75;63,27;87,480003;68,360001;73,470001
"797";"ETR.adjclose";49,843792;52,016811;75,302971;61,637882;69,370201
"798";"ETR.volume";18625600;30862100;39884700;31980400;29969300
"799";"EXC.open";30,219999;26,950001;35,939999;27,48;32,32
"800";"EXC.high";30,66;28,5;38,93;28;36,360001
"801";"EXC.low";28,889999;26,639999;35,09;25,09;31,77
"802";"EXC.close";29,74;27,389999;37,080002;27,77;35,490002
"803";"EXC.adjclose";24,216944;23,366457;32,83778;25,562737;33,927109
"804";"EXC.volume";147702400;155802800;138203200;166756000;150065200
"805";"EXPE.open";61,93;63,599998;87,25;124,089996;123,949997
"806";"EXPE.high";61,970001;69,760002;92,080002;133,070007;124,720001
"807";"EXPE.low";57,34;61,919998;85,260002;121,580002;112,629997
"808";"EXPE.close";61,439999;69,660004;85,360001;124,300003;124,059998
"809";"EXPE.adjclose";58,165363;67,169632;82,982895;121,777939;122,632774
"810";"EXPE.volume";43174000;33555700;40537200;52833800;47047900
"811";"EXR.open";35,279999;42,07;59,27;83,93;69,849998
"812";"EXR.high";36,560001;42,779999;60,529999;90,580002;77,300003
"813";"EXR.low";34,810001;40,32;56,849998;83,75;68,610001
"814";"EXR.close";36,389999;42,130001;58,639999;88,209999;77,239998
"815";"EXR.adjclose";30,021093;35,896404;51,764351;80,435814;72,777328
"816";"EXR.volume";12576400;17258900;16036600;21081300;22520300
"817";"F.open";11,56;17,120001;15,78;14,32;12,23
"818";"F.high";13,08;17,200001;16,129999;14,62;13,2
"819";"F.low";11,03;15,1;13,93;13,4;12,08
"820";"F.close";12,95;15,43;15,5;14,09;12,13
"821";"F.adjclose";10,520113;12,867841;13,34354;12,62255;11,384666
"822";"F.volume";1202835100;1037390500;593521500;587647300;708798000
"823";"FAST.open";41,970001;46,709999;45,049999;40,82;47,509998
"824";"FAST.high";47,040001;48,23;48,43;41,959999;49,310001
