"";"test";"2012";"2013";"2014";"2015";"2016"
"94";"AEP.close";42,68;46,740002;60,720001;58,27;62,959999
"95";"AEP.adjclose";35,037506;40,005531;54,02644;53,822937;60,241238
"96";"AEP.volume";46910800;61250000;54074700;68639000;50703300
"97";"AET.open";43,470001;68,970001;87,699997;103,160004;130,779999
"98";"AET.high";47,060001;69,470001;91,870003;110,900002;136,5
"99";"AET.low";42,950001;64,720001;85,620003;101,419998;120,860001
"100";"AET.close";46,310001;68,589996;88,830002;108,120003;124,010002
"101";"AET.adjclose";43,492809;65,34201;85,640419;105,240677;121,801163
"102";"AET.volume";71316800;56493400;44070700;64820200;55671200
"103";"AFL.open";26,59;33,174999;29,790001;32,740002;35,759998
"104";"AFL.high";27,465;33,810001;31,23;33,264999;70,150002
"105";"AFL.low";25,93;32,564999;28,525;29,045;33,75
"106";"AFL.close";26,559999;33,400002;30,545;29,950001;69,059998
"107";"AFL.adjclose";20,553297;27,162111;26,105267;26,914371;65,214424
"108";"AFL.volume";100851800;79074000;90667800;92824200;108998800
"109";"AGN.open";88,470001;163,460007;269,339996;314,119995;194,300003
"110";"AGN.high";91,470001;170,509995;269,339996;322,679993;212,449997
"111";"AGN.low";84,599998;156,399994;252,020004;299,619995;184,75
"112";"AGN.close";86;168;257,410004;312,5;210,009995
"113";"AGN.adjclose";84,272499;164,90036;252,891434;307,125183;206,397964
"114";"AGN.volume";16832000;24989100;51191100;62517100;95644700
"115";"AIG.open";33,34;49,77;54,560001;63,889999;63,66
"116";"AIG.high";35,82;51,470001;56,790001;64,309998;67,029999
"117";"AIG.low";33,080002;48,029999;52,849998;57,939999;63,599998
"118";"AIG.close";35,299999;51,049999;56,009998;61,970001;65,309998
"119";"AIG.adjclose";32,72924;47,42865;52,506969;58,761581;63,288357
"120";"AIG.volume";730436800;186802600;155006400;197248900;110659900
"121";"AKAM.open";36,73;44,709999;64,160004;57,619999;66,480003
"122";"AKAM.high";41,880001;47,970001;65,209999;58,509998;69,260002
"123";"AKAM.low";35,02;43,740002;59,860001;50,560001;62,830002
"124";"AKAM.close";40,91;47,18;62,959999;52,630001;64,940002
"125";"AKAM.adjclose";40,91;47,18;62,959999;52,630001;64,940002
"126";"AKAM.volume";56570900;48052400;28007400;45119500;31609000
"127";"ALL.open";40,52;54,279999;68,07;63,34;69,949997
"128";"ALL.high";41,91;54,599998;71,529999;64,690002;74,769997
"129";"ALL.low";39,540001;51,75;66,809998;60,759998;69,760002
"130";"ALL.close";40,169998;54,540001;70,25;62,09;74,120003
"131";"ALL.adjclose";36,38213;50,419987;66,167885;59,586411;72,53096
"132";"ALL.volume";64590900;46420600;49377200;55500000;40550700
"133";"ALXN.open";96,239998;124,580002;194,649994;179,960007;122,779999
"134";"ALXN.high";97,800003;133,75;203,300003;193,449997;134,059998
"135";"ALXN.low";90,080002;120,139999;176,009995;167,020004;109,120003
"136";"ALXN.close";93,739998;132,880005;185,029999;190,75;122,349998
"137";"ALXN.adjclose";93,739998;132,880005;185,029999;190,75;122,349998
"138";"ALXN.volume";23005500;22257700;26626500;29161800;75671600
"139";"AMAT.open";10,78;17,27;24,040001;18,74;32,139999
"140";"AMAT.high";11,5;17,700001;25,709999;19,41;33,68
"141";"AMAT.low";10,63;16,41;23,120001;17,82;29,85
"142";"AMAT.close";11,44;17,68;24,92;18,67;32,27
"143";"AMAT.adjclose";10,425414;16,529837;23,752625;18,166861;31,919613
"144";"AMAT.volume";218798000;220091800;277428700;284361000;205512400
"145";"AME.open";37,5;49,16;50,709999;56,619999;47,720001
"146";"AME.high";38,209999;52,889999;54,25;56,93;51,259998
"147";"AME.low";36,790001;48,130001;48,369999;52,810001;47,52
"148";"AME.close";37,57;52,669998;52,630001;53,59;48,599998
"149";"AME.adjclose";36,276711;51,152023;51,407623;52,703861;48,143311
"150";"AME.volume";18557600;19391600;25169900;33261500;43425400
"151";"AMG.open";129,729996;200,429993;201,940002;177,669998;149,009995
"152";"AMG.high";132,330002;217,479996;216,490005;180,009995;162,850006
"153";"AMG.low";126,650002;195,520004;189,25;141,679993;142,960007
"154";"AMG.close";130,149994;216,880005;212,240005;159,759995;145,300003
"155";"AMG.adjclose";129,328827;215,511642;210,900909;158,752014;144,38324
"156";"AMG.volume";5435300;6015200;9124000;14603900;12084900
"157";"AMGN.open";88,919998;114,290001;165,119995;162,710007;144,240005
"158";"AMGN.high";90,809998;115,949997;173,139999;165,229996;151,210007
"159";"AMGN.low";84,559998;109,709999;154,360001;153,429993;138,830002
"160";"AMGN.close";86,199997;114,080002;159,289993;162,330002;146,210007
"161";"AMGN.adjclose";76,560364;103,20076;146,888992;152,699127;141,161163
"162";"AMGN.volume";73217900;58493700;77006400;67351500;70524400
"163";"AMP.open";60,919998;108,309998;131,270004;113,639999;115,43
"164";"AMP.high";63,75;115,360001;137,330002;115,290001;119,32
"165";"AMP.low";60,48;105,68;124,010002;100,080002;109,190002
"166";"AMP.close";62,630001;115,050003;132,25;106,419998;110,940002
"167";"AMP.adjclose";55,157623;103,877144;121,769165;100,042824;107,798286
"168";"AMP.volume";25280800;20532300;18858500;23943300;22010500
"169";"AMT.open";75;77,629997;103,75;99,5;101,360001
"170";"AMT.high";77,269997;80,129997;105,089996;101,239998;108,169998
"171";"AMT.low";73,519997;75,650002;95,580002;92,879997;99,720001
"172";"AMT.close";77,269997;79,82;98,849998;96,949997;105,68
"173";"AMT.adjclose";70,078018;73,398865;92,302269;92,170807;102,494759
"174";"AMT.volume";37772300;43255800;42336200;42755600;53513800
"175";"AMZN.open";252,539993;399;338,119995;673,75;752,409973
"176";"AMZN.high";263,109985;405,630005;340,640015;696,440002;782,460022
"177";"AMZN.low";242,75;379,5;293,029999;635,27002;736,700012
"178";"AMZN.close";250,869995;398,790009;310,350006;675,890015;768,659973
"179";"AMZN.adjclose";250,869995;398,790009;310,350006;675,890015;768,659973
"180";"AMZN.volume";60871200;55686700;86821400;90162400;79279600
"181";"ANDV.open";42,419998;58,889999;76,629997;115,889999;82,18
"182";"ANDV.high";45,41;59,57;79,050003;118,260002;93,059998
"183";"ANDV.low";38,419998;54,66;69,050003;98,07;81,349998
"184";"ANDV.close";44,049999;58,5;74,349998;105,370003;87,449997
"185";"ANDV.adjclose";39,401314;53,211781;68,853249;99,492775;84,79557
"186";"ANDV.volume";57922000;73883300;66484900;41823100;44169800
"187";"APA.open";77,720001;91,220001;63,41;49,34;67,389999
"188";"APA.high";80,970001;91,849998;65,720001;49,73;69
"189";"APA.low";74,699997;84,150002;54,34;41,599998;63,27
"190";"APA.close";78,5;85,940002;62,669998;44,470001;63,470001
"191";"APA.adjclose";72,121071;79,713821;58,788738;42,476219;61,871624
"192";"APA.volume";60628200;49345900;134819800;102913900;58060300
"193";"APC.open";73,949997;88,919998;78,760002;60,09;70,769997
"194";"APC.high";76,949997;89,699997;85,209999;61,189999;73,330002
"195";"APC.low";71,769997;73,599998;71;44,5;66,510002
"196";"APC.close";74,309998;79,32;82,5;48,580002;70,470001
"197";"APC.adjclose";71,033318;76,219566;80,015587;47,772835;69,835335
"198";"APC.volume";59187500;129986800;158177800;173565500;94104400
"199";"APD.open";76,965775;100,786308;132,867722;126,493988;144,419998
"200";"APD.high";79,842735;105,448662;138,399628;129,019424;150,449997
"201";"APD.low";75,078629;97,816833;125,263641;118,223869;143,229996
"202";"APD.close";77,724327;103,404259;133,42276;120,360779;149,550003
"203";"APD.adjclose";67,051491;92,105133;122,037254;112,828697;143,905228
"204";"APD.volume";20374700;20829000;26207400;36283100;23297500
"205";"APH.open";31,225;42,514999;53,41;55,240002;68,230003
"206";"APH.high";32,630001;44,73;55,66;55,68;68,949997
"207";"APH.low";30,1;42,169998;51,169998;51,599998;66,349998
"208";"APH.close";32,349998;44,59;53,810001;52,23;67,199997
"209";"APH.adjclose";30,325188;42,402252;52,099869;51,047962;66,32016
"210";"APH.volume";18134000;18720600;26002200;21500100;24328400
"211";"ATVI.open";11,49;17,33;21,629999;37,860001;36,650002
"212";"ATVI.high";11,74;18,4;21,98;39,93;38,16
"213";"ATVI.low";10,48;16,6;19,129999;36,759998;35,119999
"214";"ATVI.close";10,62;17,83;20,15;38,709999;36,790001
"215";"ATVI.adjclose";10,080279;17,146231;19,56358;37,968128;36,378578
"216";"ATVI.volume";150327800;130316300;135443300;135521700;158530800
"217";"AVB.open";132,300003;118,18;160,820007;182,649994;163,440002
"218";"AVB.high";137;122,75;170,139999;186,380005;177,770004
"219";"AVB.low";131,910004;116,029999;159,300003;171,699997;161,589996
"220";"AVB.close";135,589996;118,230003;163,389999;184,130005;177,149994
"221";"AVB.adjclose";114,081314;102,693298;146,89032;170,44136;168,850708
"222";"AVB.volume";22646700;17698600;16004400;19473600;16537200
"223";"AWK.open";37,779999;42,389999;52,130001;57,73;72,029999
"224";"AWK.high";38,5;42,580002;56,189999;61,200001;74,879997
"225";"AWK.low";36,560001;40,349998;51,150002;56,400002;70,93
"226";"AWK.close";37,130001;42,259998;53,299999;59,75;72,360001
"227";"AWK.adjclose";32,850136;38,390656;49,690632;57,085911;70,54303
"228";"AWK.volume";18257000;17889000;16915000;21039800;20945000
"229";"AXP.open";56,09;86,019997;92,07;72;72,449997
"230";"AXP.high";58,349998;90,790001;94,889999;72,440002;75,739998
"231";"AXP.low";55,470001;83,209999;88,190002;67,57;71,43
"232";"AXP.close";57,48;90,730003;93,040001;69,550003;74,080002
"233";"AXP.adjclose";53,080685;84,841949;87,949432;66,657356;72,378021
"234";"AXP.volume";103366200;67589400;81719400;124047200;75158800
"235";"AZO.open";384;460,519989;575,97998;786,039978;780,609985
"236";"AZO.high";384,25;484,160004;627,299988;800,869995;813,700012
"237";"AZO.low";345,299988;454,880005;571,27002;734,549988;772,349976
"238";"AZO.close";354,429993;477,940002;619,109985;741,909973;789,789978
"239";"AZO.adjclose";354,429993;477,940002;619,109985;741,909973;789,789978
"240";"AZO.volume";11548100;6160800;6487800;6108900;6036500
"241";"BA.open";74,410004;134,990005;134,309998;146,539993;150,740005
"242";"BA.high";76,559998;138,880005;134,399994;149,800003;160,070007
"243";"BA.low";72,93;130,550003;120,580002;138,889999;150,020004
"244";"BA.close";75,360001;136,490005;129,979996;144,589996;155,679993
"245";"BA.adjclose";65,940338;121,806862;118,705017;135,401016;150,713242
"246";"BA.volume";90048100;78680000;96842100;79585600;62860400
"247";"BAC.open";9,93;15,84;16,92;17,52;21,42
"248";"BAC.high";11,69;15,97;18,209999;17,889999;23,389999
"249";"BAC.low";9,77;15,06;16,59;16,5;21,02
"250";"BAC.close";11,61;15,57;17,889999;16,83;23,09
"251";"BAC.adjclose";10,952079;14,737095;17,017231;16,206276;22,64587
"252";"BAC.volume";3505653600;1661429900;1712060700;1768999200;2752975300
"253";"BAX.open";36,175991;37,485062;39,722977;37,880001;44,419998
"254";"BAX.high";36,827812;37,919609;40,896252;38,689999;45,419998
"255";"BAX.low";34,687668;35,594784;38,375881;36,080002;43,130001
"256";"BAX.close";36,208584;37,778381;39,809887;38,150002;44,34
"257";"BAX.adjclose";30,382219;33,348598;37,040955;37,122471;43,781082
"258";"BAX.volume";90204300;126749000;91778100;79018500;75504200
"259";"BBBY.open";58,990002;78,230003;72,989998;54,509998;44,900002
"260";"BBBY.high";60,790001;80,540001;77,459999;54,880001;48,830002
"261";"BBBY.low";54,330002;76,099998;71;47,73;40,259998
"262";"BBBY.close";55,91;80,300003;76,169998;48,25;48,080002
"263";"BBBY.adjclose";54,041584;77,616508;73,624519;46,637569;46,744377
"264";"BBBY.volume";67561600;29084000;46652600;55959700;78071300
"265";"BBT.open";28,309999;34,82;37,43;38,93;45,34
"266";"BBT.high";29,77;37,419998;39,689999;39,279999;47,849998
"267";"BBT.low";27,52;34,060001;36,700001;36,490002;45,040001
"268";"BBT.close";29,110001;37,32;38,889999;37,810001;47,02
"269";"BBT.adjclose";24,957029;33,132584;35,416061;35,376343;45,439526
"270";"BBT.volume";81071900;83833100;74941900;93918900;88719100
"271";"BBY.open";13,11;40,59;38,869999;31,83;45,549999
"272";"BBY.high";14,48;43,189999;40,029999;31,889999;49,400002
"273";"BBY.low";11,2;39,32;35,169998;28,879999;42,34
"274";"BBY.close";11,85;39,880001;38,98;30,450001;42,669998
"275";"BBY.adjclose";10,217545;35,513733;35,500984;28,396338;41,112087
"276";"BBY.volume";216660800;93760000;123456900;95441400;105150200
"277";"BDX.open";76,720001;108,760002;140,029999;151,100006;168,710007
"278";"BDX.high";79,339996;110,940002;142,559998;157,5;171,940002
"279";"BDX.low";76,029999;104,940002;134;149,350006;161,289993
"280";"BDX.close";78,190002;110,489998;139,160004;154,089996;165,550003
"281";"BDX.adjclose";70,941162;102,482063;131,560364;148,178009;161,824585
"282";"BDX.volume";18933200;16256700;24178800;23626100;20080600
"283";"BEN.open";44,32;55,43;56,830002;42,099998;39,48
"284";"BEN.high";44,32;57,849998;59,43;42,23;42,18
"285";"BEN.low";41,336666;53,57;52,27;34,619999;38,93
"286";"BEN.close";41,900002;57,73;55,369999;36,82;39,580002
"287";"BEN.adjclose";37,323315;53,720745;51,9715;34,996201;38,403873
"288";"BEN.volume";39876300;45517900;37648200;91893800;52007800
"289";"BG.open";73,160004;80,440002;90,449997;67;68
"290";"BG.high";74;84,18;93,169998;69,18;74
"291";"BG.low";71,239998;79,139999;88,720001;61,549999;67,910004
"292";"BG.close";72,690002;82,110001;90,910004;68,279999;72,239998
"293";"BG.adjclose";64,776299;74,275963;83,873672;64,405319;70,002754
"294";"BG.volume";14358500;14759100;21379200;25706500;18249200
"295";"BIIB.open";150,039993;291,709991;306,429993;289,299988;296,320007
"296";"BIIB.high";155,300003;298,820007;361,929993;311,649994;306,980011
"297";"BIIB.low";145,039993;270,269989;306,109985;274,230011;272,959991
"298";"BIIB.close";146,369995;279,570007;339,450012;306,350006;287,769989
"299";"BIIB.adjclose";146,369995;279,570007;339,450012;306,350006;287,769989
"300";"BIIB.volume";17674000;23680600;44112900;33025200;52475300
"301";"BK.open";24,07;33,790001;39,950001;44,049999;47,669998
"302";"BK.high";26,25;34,990002;41,790001;44,27;49,540001
"303";"BK.low";23,26;32,740002;39,290001;40,02;46,970001
"304";"BK.close";25,700001;34,939999;40,57;41,220001;47,380001
"305";"BK.adjclose";23,379799;32,418343;38,351429;39,613995;46,36792
"306";"BK.volume";125876700;76651200;97837200;148339400;121666800
"307";"BKE.open";50,209942;51,98711;50,84;31,84;25,1
"308";"BKE.high";50,33688;52,309345;54,130001;32,610001;27,1
"309";"BKE.low";40,523388;48,452301;48,540001;29,4;22,129999
"310";"BKE.close";43,589493;51,323112;52,52;30,780001;22,799999
"311";"BKE.adjclose";36,731987;43,948772;45,835579;27,40991;21,103489
"312";"BKE.volume";8064500;5432700;5705000;9697900;10045000
"313";"BLK.open";198,130005;302,5;356,720001;362,940002;373,809998
"314";"BLK.high";209,910004;323;368,640015;364,809998;399,459991
"315";"BLK.low";190,240005;291,670013;334,600006;314,619995;369,399994
"316";"BLK.close";206,710007;316,470001;357,559998;340,519989;380,540009
"317";"BLK.adjclose";181,829956;285,504272;328,542694;320,607635;367,524719
"318";"BLK.volume";12960500;12110500;11055900;17650600;15647000
"319";"BLL.open";22,459999;25,004999;33,525002;34,709999;37,549999
"320";"BLL.high";22,735001;25,985001;35,25;37,119999;76,870003
"321";"BLL.low";21,66;24,629999;32,27;33,255001;36,215
"322";"BLL.close";22,375;25,83;34,084999;36,365002;76,839996
"323";"BLL.adjclose";20,596252;24,328079;32,658058;35,367504;75,800362
"324";"BLL.volume";38906400;29929600;40316800;50136800;26917500
"325";"BMRN.open";48,950001;70,529999;89,300003;96,230003;85,970001
"326";"BMRN.high";50,48;71,5;96,360001;107,559998;87,610001
"327";"BMRN.low";46,529999;67,110001;85,720001;91,209999;79,5
"328";"BMRN.close";49,200001;70,349998;90,400002;104,760002;82,839996
"329";"BMRN.adjclose";49,200001;70,349998;90,400002;104,760002;82,839996
"330";"BMRN.volume";16661700;17185500;25875000;24071100;25998400
"331";"BMY.open";32,709999;51,290001;59,209999;67,540001;55,939999
"332";"BMY.high";33,549999;54,490002;61,77;70,870003;59,93
"333";"BMY.low";31,85;50,110001;57,599998;66,139999;54,360001
