"";"Companies";"Year";"Ticker";"Date";"Ra";"Beta";"AlphaJensen";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"33";108;2014;"CVX";2014-12-01;0,0299501366043111;1,21279719015067;0,0306778149184015;0,07;0,84;0,13;0,07;0,08;0,06;0;1;1;1;11,42;0,16;0,09;3
"34";109;2012;"CXO";2012-12-01;0,0037308338263063;0,84371702810454;-0,00632502710532727;0,05;1,38;0,13;0;0;0;0;0;0;0;9,93;0,89;0,24;3
"35";109;2013;"CXO";2013-12-01;0,0384136315238893;0,84371702810454;0,0147051830341517;0,03;1,59;0,07;0;0;0;0;0;0;0;9,98;0,97;0,11;3
"36";109;2014;"CXO";2014-12-01;0,0461620417631624;0,84371702810454;0,0466682719800251;0,05;1,26;0,11;0;0,02;0;0;0;0;0;10,07;0,67;0,2;3
"37";11;2012;"ADM";2012-12-01;0,0255144408605249;0,307377529156893;0,0217873860164736;0,04;0,27;0,22;0,06;0,09;0,55;0;0;1;0;10,65;0,36;0,13;2
"38";11;2013;"ADM";2013-12-01;0,0753495835592332;0,307377529156893;0,0667122749899245;0,04;0,48;0,22;0,02;0,01;0,07;0;1;1;0;10,64;0,27;0,12;2
"39";11;2014;"ADM";2014-12-01;-0,0129922556784712;0,307377529156893;-0,0128078291609771;0,04;0,64;0,23;0,01;0,02;0,06;0;1;1;0;10,64;0,28;0,12;2
"40";110;2012;"D";2012-12-01;0,0134099999705967;0,511790113077959;0,00727087663627675;0,01;1,05;0,03;0;0,29;0,12;0;1;0;0;10,67;1,63;0,02;11
"41";110;2013;"D";2013-12-01;0,00532450573891798;0,511790113077959;-0,00905679643857265;0,04;1,16;0,15;0,11;0,04;0,01;0;1;0;0;10,7;1,66;0,13;11
"42";110;2014;"D";2014-12-01;0,058229919036667;0,511790113077959;0,0585369931045138;0,03;1,26;0,11;0;0,03;0;0;1;0;0;10,74;1,89;0,11;11
"43";111;2012;"DAL";2012-12-01;0,17142907666832;0,507798298649819;0,165337056744253;0,02;NA;-0,88;0,12;0,3;0,89;0,77;1;1;1;10,65;-5,96;0,03;6
"44";111;2013;"DAL";2013-12-01;-0,0535114176185565;0,507798298649819;-0,0677805498106164;0,22;NA;2,22;0,04;0,06;0,08;0,09;1;1;1;10,72;0,84;0,28;6
"45";111;2014;"DAL";2014-12-01;0,0525888365524658;0,507798298649819;0,0528935155316557;0,01;NA;0,06;0,06;0,09;0,09;0,1;1;1;1;10,73;0,97;0,02;6
"46";113;2012;"DE";2012-12-01;0,0331382453162706;1,2756012325542;0,017986150772131;0,06;0,57;0,43;0,62;0,42;0,14;0;0;1;1;10,75;3,8;0,08;6
"47";113;2013;"DE";2013-12-01;0,0864223592867708;1,2756012325542;0,0505779646519978;0,06;0,49;0,41;0;0,09;0;0;1;1;1;10,77;2,5;0,09;6
"48";113;2014;"DE";2014-12-01;0,0278039084905666;1,2756012325542;0,0285692692300992;0,05;0,47;0,31;0;0,07;0;0;1;1;1;10,79;3,19;0,09;6
"49";114;2012;"DFS";2012-12-01;-0,0726923383334829;1,09590731150309;-0,0857240446092194;0,03;0,54;0,26;0;0;0;0;0;0;0;10,88;2,14;0,31;4
"50";114;2013;"DFS";2013-12-01;0,0485220509310787;1,09590731150309;0,0177270554778419;0,03;0,55;0,24;0;0;0;0;0;0;0;10,9;2;0,3;4
"51";114;2014;"DFS";2014-12-01;-0,000915585212923456;1,09590731150309;-0,000258040826021602;0,03;0,58;0,21;0;0,05;0;0;0;0;0;10,92;2,13;0,27;4
"52";115;2012;"DG";2012-12-01;-0,125790080801957;0,306060818619354;-0,129501598461666;0,09;NA;0,2;0;0;0;0;0;0;0;10,01;0,64;0,06;1
"53";115;2013;"DG";2013-12-01;0,0576656970515739;0,306060818619354;0,0490653880483701;0,1;NA;0,2;0;0;0;0;0;0;0;10,03;0,54;0,06;1
"54";115;2014;"DG";2014-12-01;0,0576410965811408;0,306060818619354;0,0578247330723124;0,1;NA;0,2;0;0,09;0;0;0;0;0;10,04;0,5;0,06;1
"55";116;2012;"DGX";2012-12-01;0,00844474803166438;1,00189467192185;-0,0034776090970134;0,06;1,3;0,14;0,18;0,25;0,48;0,14;1;1;0;9,97;0,81;0,08;5
"56";116;2013;"DGX";2013-12-01;-0,129460700179702;1,00189467192185;-0,157613940460706;0,09;1,18;0,21;0,01;0,04;0,04;0,02;1;1;0;9,95;0,79;0,12;5
"57";116;2014;"DGX";2014-12-01;0,0264426198815875;1,00189467192185;0,0270437566847406;0,06;1,32;0,13;0,02;0,03;0,04;0;1;1;0;9,99;0,75;0,07;5
"58";117;2012;"DHR";2012-12-01;0,0357524054570828;1,06923732636221;0,0230354050060086;0,08;0,94;0,13;0;0;0;0;0;0;0;10,52;0,28;0,13;6
"59";117;2013;"DHR";2013-12-01;0,0320112376781579;1,06923732636221;0,00196566880737973;0,08;1,15;0,13;0;0;0;0;0;0;0;10,54;0,15;0,14;6
"60";117;2014;"DHR";2014-12-01;0,0269208817998344;1,06923732636221;0,0275624241956518;0,07;1,22;0,11;0;0,06;0;0;0;0;0;10,57;0,15;0,13;6
"61";118;2012;"DIS";2012-12-01;0,0178539021919284;0,986166858190425;0,00611713326528136;0,07;1,27;0,14;0,28;0,09;0;0,01;0;0;0;10,91;0,31;0,13;1
"62";118;2013;"DIS";2013-12-01;0,0920729175347932;0,986166858190425;0,0643616288196422;0,08;1,7;0,15;0,01;0,01;0;0,01;1;1;0;10,92;0,26;0,14;1
"63";118;2014;"DIS";2014-12-01;0,0306271014447055;0,986166858190425;0,0312188015596198;0,09;1,97;0,17;0,01;0,01;0;0;1;1;0;10,94;0,37;0,16;1
"64";119;2012;"DISCA";2012-12-01;0,0495702517599455;0,948204562920161;0,0382814379174876;0,07;1,1;0,15;0;0;0;0;0;0;0;10,11;0,83;0,21;1
"65";119;2013;"DISCA";2013-12-01;0,0354587530336392;0,948204562920161;0,00881420481558266;0,07;1,31;0,17;0;0;0;0;0;0;0;10,18;1,05;0,19;1
"66";119;2014;"DISCA";2014-12-01;-0,0129778600277267;0,948204562920161;-0,0124089372899746;0,07;1,33;0,19;0;0,05;0;0;0;0;0;10,2;1,08;0,18;1
"67";12;2012;"ADP";2012-12-01;0,0119175366267203;0,817410613085661;0,0021720913923095;0,04;0,77;0,23;0,47;0,38;0,61;0;0;1;0;10,52;3,88;0,12;7
"68";12;2013;"ADP";2013-12-01;0,0166884372442692;0,817410613085661;-0,00628080098343784;0,04;0,97;0,72;0;0,07;0;0;0;1;0;10,58;2,85;0,11;7
"69";12;2014;"ADP";2014-12-01;-0,02110014518344;0,817410613085661;-0,0206096988155886;0,03;0,86;0,38;0;0,07;0;0;0;1;0;10,64;1,67;0,1;7
"70";121;2012;"DLTR";2012-12-01;-0,0286775656269621;0,308765534695952;-0,0324209989363744;0,23;3,26;0,39;0;0;0;0;0;0;0;9,42;0,16;0,08;1
"71";121;2013;"DLTR";2013-12-01;0,0137415564649699;0,308765534695952;0,00506524494001368;0,22;4,62;0,4;0;0;0;0;0;0;0;9,46;1,05;0,08;1
"72";121;2014;"DLTR";2014-12-01;0,0291212163918647;0,308765534695952;0,0293064757126823;0,2;3,65;0,44;0;0,09;0;0;0;0;0;9,53;0,48;0,07;1
"73";122;2012;"DOV";2012-12-01;0,0327951218166777;1,35912778037728;0,0166574140082258;0,08;1,21;0,16;0,54;0,29;0;0;0;1;0;10,02;0,45;0,1;6
"74";122;2013;"DOV";2013-12-01;0,061959154603596;1,35912778037728;0,0237676639749944;0,1;1,62;0,2;0,08;0,06;0;0;0;1;0;10,03;0,48;0,11;6
"75";122;2014;"DOV";2014-12-01;-0,070905832731783;1,35912778037728;-0,0700903560635566;0,09;1,46;0,2;0;0,06;0;0;0;1;0;9,96;0,61;0,1;6
"76";124;2012;"DPS";2012-12-01;-0,00749732866852914;-0,150827413415878;-0,00581756519022178;0,07;1,04;0,27;0,28;0,39;0,27;0,47;0;1;1;9,95;1,12;0,1;2
"77";124;2013;"DPS";2013-12-01;0,0173836109448443;-0,150827413415878;0,0216218612618305;0,07;1,17;0,27;0,13;0,08;0,09;0;1;1;1;9,91;1,1;0,1;2
