"";"Date";"Ticker";"AdjClose";"Volume";"CompoundedReturn";"Mkt.RF";"SMB";"HML";"RF";"Rm"
"69";2011-12-01;"CF";20,43853;188003000;NA;0,74;-0,71;1,74;0;0,74
"70";2011-12-01;"CHD";18,944008;30714200;NA;0,74;-0,71;1,74;0;0,74
"71";2011-12-01;"CHRW";59,95639;15709500;NA;0,74;-0,71;1,74;0;0,74
"72";2011-12-01;"CHTR";56,939999;10584000;NA;0,74;-0,71;1,74;0;0,74
"73";2011-12-01;"CI";41,865265;54687500;NA;0,74;-0,71;1,74;0;0,74
"74";2011-12-01;"CIT";32,800869;27603400;NA;0,74;-0,71;1,74;0;0,74
"75";2011-12-01;"CL";38,736927;78398000;NA;0,74;-0,71;1,74;0;0,74
"76";2011-12-01;"CLR";33,355;35614200;NA;0,74;-0,71;1,74;0;0,74
"77";2011-12-01;"CLX";55,546303;24970500;NA;0,74;-0,71;1,74;0;0,74
"78";2011-12-01;"CMCSA";9,630241;645831400;NA;0,74;-0,71;1,74;0;0,74
"79";2011-12-01;"CME";32,351765;50241000;NA;0,74;-0,71;1,74;0;0,74
"80";2011-12-01;"CMG";337,73999;10015400;NA;0,74;-0,71;1,74;0;0,74
"81";2011-12-01;"CMI";75,695763;49307300;NA;0,74;-0,71;1,74;0;0,74
"82";2011-12-01;"CNO";5,816353;39227400;NA;0,74;-0,71;1,74;0;0,74
"83";2011-12-01;"CNP";15,436684;60774500;NA;0,74;-0,71;1,74;0;0,74
"84";2011-12-01;"CNX";29,053268;64332800;NA;0,74;-0,71;1,74;0;0,74
"85";2011-12-01;"COF";38,281338;104601000;NA;0,74;-0,71;1,74;0;0,74
"86";2011-12-01;"COH";61,040001;50982500;NA;0,74;-0,71;1,74;0;0,74
"87";2011-12-01;"COL";50,154594;22196900;NA;0,74;-0,71;1,74;0;0,74
"88";2011-12-01;"COP";44,156128;210506300;NA;0,74;-0,71;1,74;0;0,74
"89";2011-12-01;"COST";67,489342;48945600;NA;0,74;-0,71;1,74;0;0,74
"90";2011-12-01;"CPB";27,894472;31836800;NA;0,74;-0,71;1,74;0;0,74
"91";2011-12-01;"CRM";25,365;279600000;NA;0,74;-0,71;1,74;0;0,74
"92";2011-12-01;"LNG";8,69;90950800;NA;0,74;-0,71;1,74;0;0,74
"93";2011-12-01;"LOW";22,754799;364271000;NA;0,74;-0,71;1,74;0;0,74
"94";2011-12-01;"LRCX";35,172504;84928300;NA;0,74;-0,71;1,74;0;0,74
"95";2011-12-01;"LTRPA";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"96";2011-12-01;"LUV";8,174229;140578300;NA;0,74;-0,71;1,74;0;0,74
"97";2011-12-01;"LVS";31,678289;187396600;NA;0,74;-0,71;1,74;0;0,74
"98";2011-12-01;"LYB";26,241365;64516300;NA;0,74;-0,71;1,74;0;0,74
"99";2011-12-01;"M";26,273157;113695400;NA;0,74;-0,71;1,74;0;0,74
"100";2011-12-01;"MA";33,595627;171559000;NA;0,74;-0,71;1,74;0;0,74
"101";2011-12-01;"MAC";39,683464;14870500;NA;0,74;-0,71;1,74;0;0,74
"102";2011-12-01;"MAR";26,811068;71234600;NA;0,74;-0,71;1,74;0;0,74
"103";2011-12-01;"MAS";8,287097;102694800;NA;0,74;-0,71;1,74;0;0,74
"104";2011-12-01;"MAT";21,32398;51638900;NA;0,74;-0,71;1,74;0;0,74
"105";2011-12-01;"MCD";82,666878;110500700;NA;0,74;-0,71;1,74;0;0,74
"106";2011-12-01;"MCHP";30,29495;33418600;NA;0,74;-0,71;1,74;0;0,74
"107";2011-12-01;"MCK";74,593956;25412900;NA;0,74;-0,71;1,74;0;0,74
"108";2011-12-01;"MCO";30,871111;41618000;NA;0,74;-0,71;1,74;0;0,74
"109";2011-12-01;"MDLZ";21,95314;159874300;NA;0,74;-0,71;1,74;0;0,74
"110";2011-12-01;"MET";22,93866;193918100;NA;0,74;-0,71;1,74;0;0,74
"111";2011-12-01;"MGLN";49,470001;4501500;NA;0,74;-0,71;1,74;0;0,74
"112";2011-12-01;"MHK";59,849998;11232900;NA;0,74;-0,71;1,74;0;0,74
