Ticker;Variable;2012;2013;2014;2015;2016
CCL;volume;77106300;104027600;109630300;96665400;84005600
CE;open;41.700.001;56.380.001;60;70.949.997;80.059.998
CE;high;45.310.001;57.740.002;63.279.999;71.620.003;84.970.001
CE;low;40.43;53.52;55.810.001;63.91;78.43
CE;close;44.529.999;55.310.001;59.959.999;67.330.002;78.739.998
CE;adjclose;40.774.246;51.171.715;5.638.155;64.445.396;76.959.946
CE;volume;24387900;15171800;14616800;14623800;14991700
CELG;open;39.375;80.934.998;113.709.999;110.269.997;119.739.998
CELG;high;41.389.999;86.900.002;119.839.996;123.220.001;119.949.997
CELG;low;38.610.001;78.589.996;103.690.002;106;110.050.003
CELG;close;39.235.001;84.485.001;111.860.001;119.760.002;115.75
CELG;adjclose;39.235.001;84.485.001;111.860.001;119.760.002;115.75
CELG;volume;118817800;100747800;128650100;99084600;84993700
CERN;open;38.82;57.59;64.480.003;59.75;49.299.999
CERN;high;40.580.002;58.080.002;66.449.997;61.959.999;50.290.001
CERN;low;37.630.001;53.720.001;60.700.001;58.91;47.009.998
CERN;close;38.755.001;55.740.002;64.660.004;60.169.998;47.369.999
CERN;adjclose;38.755.001;55.740.002;64.660.004;60.169.998;47.369.999
CERN;volume;28598800;27408300;23518800;43288900;56494200
CF;open;42.686.001;43.571.999;53.543.999;46.450.001;29.09
CF;high;43.700.001;47.880.001;55.880.001;46.75;32.610.001
CF;low;39.68;42.740.002;48.962.002;39.639.999;27.75
CF;close;40.632;46.608.002;54.507.999;40.810.001;31.48
CF;adjclose;29.873.188;36.146.442;46.794.609;37.277.126;3.010.475
CF;volume;83486500;84657500;73574000;52818600;113091700
CHD;open;27.15;32.654.999;38.119.999;43;43.720.001
CHD;high;27.709.999;33.48;40.485.001;43.884.998;45.450.001
CHD;low;26.309.999;32.400.002;37.419.998;41.400.002;42.560.001
CHD;close;26.785;33.139.999;39.404.999;42.439.999;44.189.999
CHD;adjclose;23.026.304;29.532.007;3.642.915;40.504.219;43.308.014
CHD;volume;27205200;20283800;25310800;57099900;35837700
CHRW;open;62.029.999;58.810.001;73.389.999;67.739.998;74.82
CHRW;high;64.139.999;59.110.001;77.489.998;68.459.999;77.889.999
CHRW;low;60.139.999;55.919.998;69.139.999;59.709.999;72.559.998
CHRW;close;63.220.001;58.349.998;74.889.999;62.02;73.260.002
CHRW;adjclose;55.483.334;52.467.152;68.967.415;58.407.051;70.751.549
CHRW;volume;18780000;40512000;29540400;52243000;30510000
CHTR;open;70.849.998;134.839.996;169.570.007;187.649.994;273.549.988
CHTR;high;76.690.002;136.759.995;169.850.006;190.679.993;294.869.995
CHTR;low;68.440.002;126.309.998;158;173.210.007;265.779.999
CHTR;close;76.239.998;136.759.995;166.619.995;183.100.006;287.920.013
CHTR;adjclose;76.239.998;136.759.995;166.619.995;183.100.006;287.920.013
CHTR;volume;15662300;18274800;15879500;25936100;28930300
CI;open;52.419.998;87.370.003;102.629.997;135.279.999;134.169.998
CI;high;54.529.999;88.089.996;105.730.003;148.550.003;140.699.997
CI;low;51.34;83.019.997;99.879.997;135.050.003;131.029.999
CI;close;53.459.999;87.480.003;102.910.004;146.330.002;133.389.999
CI;adjclose;5.333.746;87.338.753;102.795.845;146.215.622;133.323.837
CI;volume;34002300;24527900;24926800;30356400;23744300
CIT;open;37.02;50.639.999;48.630.001;43;41.23
CIT;high;38.959.999;52.279.999;49.080.002;43.57;43.959.999
CIT;low;36.32;49.009.998;45.02;39.689.999;40.889.999
CIT;close;38.639.999;52.130.001;47.830.002;39.700.001;42.68
CIT;adjclose;3.634.716;49.137.634;45.566.891;38.326.817;41.974.712
CIT;volume;25294700;17073000;24573000;36507400;32568300
CL;open;54.314.999;65.639.999;68.669.998;65.769.997;65.230.003
CL;high;54.5;65.989.998;71.309.998;68.489.998;67.300.003
CL;low;51.41;62.799.999;67.25;64.989.998;64.459.999
CL;close;52.27;65.209.999;69.190.002;66.620.003;65.440.002
CL;adjclose;46.021.755;59.409.641;64.400.749;63.394.497;6.367.329
CL;volume;59462800;53782000;62216800;68944000;68212100
CLR;open;35.310.001;53.549.999;40.450.001;36.419.998;59.98
CLR;high;38.325.001;57.165.001;41.98;36.650.002;60.299.999
CLR;low;35.25;50.125;30.059.999;19.6;51.040.001
CLR;close;36.744.999;56.259.998;38.360.001;22.98;51.540.001
CLR;adjclose;36.744.999;56.259.998;38.360.001;22.98;51.540.001
CLR;volume;48068600;48173000;125951200;157050700;56286700
CLX;open;76.449.997;93.43;100.279.999;125.089.996;115.129.997
CLX;high;76.739.998;96.760.002;106.360.001;131.779.999;122.529.999
CLX;low;72.199.997;91.540.001;97.849.998;124.940.002;112.279.999
CLX;close;73.220.001;92.760.002;104.209.999;126.830.002;120.019.997
CLX;adjclose;63.261.467;82.727.249;9.590.271;119.903.015;116.312.325
CLX;volume;14981400;21696200;23731800;23817400;20323800
CMCSA;open;18.684.999;24.91;28.485.001;30.73;34.705.002
CMCSA;high;19.110.001;26.045;29.65;30.889.999;35.66
CMCSA;low;18.15;24.105;27.370.001;27.695;34.035
CMCSA;close;18.68;25.985.001;29.004.999;28.215;34.525.002
CMCSA;adjclose;1.579.428;22.782.965;26.293.488;26.451.374;33.507.366
CMCSA;volume;461422400;384526000;503069100;404111200;185351400
CME;open;55.560.001;82.019.997;84.589.996;98.190.002;113.589.996
CME;high;55.82;84.709.999;93.910.004;100.080.002;124.010.002
CME;low;49.790.001;77.589.996;84.010.002;90.160.004;113
CME;close;50.669.998;78.459.999;88.650.002;90.599.998;115.349.998
CME;adjclose;3.799.292;62.043.758;74.184.265;79.142.776;106.399.071
CME;volume;51885300;42086300;34081700;34942700;34486700
CMG;open;265.049.988;521.5;664.659.973;583.280.029;39.698.999
CMG;high;298.200.012;537;696.559.998;589.150.024;410.829.987
CMG;low;26.001.001;506.440.002;632.429.993;477.970.001;362.450.012
CMG;close;297.459.991;532.780.029;68.451.001;479.850.006;377.320.007
CMG;adjclose;297.459.991;532.780.029;68.451.001;479.850.006;377.320.007
CMG;volume;10663800;6177500;6994900;40702100;25207000
CMI;open;98.860.001;132.550.003;145.639.999;96.580.002;140.75
CMI;high;109.779.999;141.389.999;151.25;96.870.003;147.100.006
CMI;low;96.760.002;127.809.998;137.970.001;84.989.998;135.179.993
CMI;close;108.349.998;140.970.001;144.169.998;88.010.002;142.25
CMI;adjclose;94.784.119;125.586.998;130.959.122;82.284.439;137.609.726
CMI;volume;37448700;24943000;30323800;77882100;36314200
CNO;open;9.16;16.9;17.23;20.33;18.059.999
CNO;high;9.64;17.91;17.690.001;20.879.999;19.889.999
CNO;low;8.9;16.540.001;15.44;18.200.001;17.92
CNO;close;9.33;17.690.001;17.219.999;19.09;19.15
CNO;adjclose;8.644.207;16.529.194;16.284.782;18.324.898;18.684.757
CNO;volume;30380500;25609000;30154600;28952600;34708600
CNP;open;19.73;23.17;23.85;17.01;23.799.999
CNP;high;20.15;23.51;24.379.999;18.48;24.98
CNP;low;18.790.001;22.459.999;21.41;16.049.999;23.57
CNP;close;19.25;23.18;23.43;18.360.001;24.639.999
CNP;adjclose;15.407.832;19.225.863;20.214.842;1.666.131;23.471.102
CNP;volume;56367600;74471500;94944100;135308000;80897200
CNX;open;26.5;29.758.333;32.25;6.633.333;17.716.667
CNX;high;29.391.666;32.233.334;32.275.002;7.633.333;18.616.667
CNX;low;25.816.668;29.458.334;27.825.001;5.25;15.15
CNX;close;26.75;31.700.001;28.174.999;6.583.333;15.191.667
CNX;adjclose;25.860.081;31.194.458;27.934.231;6.572.377;15.191.667
CNX;volume;52553600;49407200;81397800;285639500;90671300
COF;open;57.84;72.650.002;82.540.001;79.040.001;84.449.997
COF;high;59.939.999;76.709.999;83.959.999;79.959.999;91.639.999
COF;low;56.330.002;71.019.997;77.720.001;71.099.998;84.169.998
COF;close;57.93;76.610.001;82.550.003;72.18;87.239.998
COF;adjclose;52.635.136;70.627.937;77.317.024;6.888.192;85.249.184
COF;volume;64543600;54825100;61847700;58118400;72443600
COL;open;57.259.998;72.730.003;85.440.002;93.32;95.050.003
COL;high;59.02;74.43;86.599.998;94.040.001;96.550.003
COL;low;55.290.001;70.580.002;81.25;88.18;92.260.002
COL;close;58.169.998;73.919.998;84.480.003;92.300.003;92.760.002
COL;adjclose;53.815.819;69.621.864;80.807.167;89.563.148;9.143.557
COL;volume;18453000;11716600;20636800;12562300;22664800
COP;open;57.330.002;73.389.999;65.93;54.459.999;50.139.999
COP;high;59.650.002;73.489.998;71.370.003;54.75;53.169.998
COP;low;56.57;68.230.003;60.84;44.560.001;47.73
COP;close;57.990.002;70.650.002;69.059.998;46.689.999;50.139.999
COP;adjclose;4.835.466;61.447.937;62.376.415;44.283.108;4.876.989
COP;volume;122055100;101693500;219562500;222580600;136226600
COST;open;104.82;125.660.004;143.320.007;162.020.004;150.110.001
COST;high;105.970.001;125.690.002;146.820.007;169.729.996;164.949.997
COST;low;96.510.002;115.849.998;136.550.003;157.330.002;150.110.001
COST;close;98.730.003;119.019.997;141.75;161.5;160.110.001
COST;adjclose;80.928.711;105.573.608;127.174.385;151.267.441;151.687.653
COST;volume;64890300;43396100;46520400;54507800;48187800
CPB;open;36.860.001;38.66;44.990.002;53.060.001;56.619.999
CPB;high;36.93;43.700.001;45.290.001;55.080.002;61.09
CPB;low;34.299.999;38.369.999;42.700.001;52.009.998;56.080.002
CPB;close;34.889.999;43.279.999;44;52.549.999;60.470.001
CPB;adjclose;30.299.141;38.425.911;40.191.818;49.286.724;57.978.294
CPB;volume;37123600;77789600;38983300;41998100;35217400
CRM;open;39.674.999;52.009.998;59.09;80.349.998;72.139.999
CRM;high;431.875;55.549.999;61.099.998;82.139.999;72.269.997
CRM;low;38.307.499;50.119.999;53.439.999;75.849.998;66.43
CRM;close;42.025.002;55.189.999;59.310.001;78.400.002;68.459.999
CRM;adjclose;42.025.002;55.189.999;59.310.001;78.400.002;68.459.999
CRM;volume;122377200;90028800;107383800;69148700;119667300
CSCO;open;19.02;21.290.001;27.5;27.200.001;29.84
CSCO;high;20.540.001;22.469.999;28.59;27.9;31.07
CSCO;low;18.950.001;20.219.999;26.15;25.959.999;29.120.001
CSCO;close;19.65;22.43;27.82;27.16;30.219.999
CSCO;adjclose;16.601.669;19.378.565;24.799.883;24.953.531;28.729.914
CSCO;volume;780170100;938261700;577440600;501853200;439906100
CSX;open;19.860.001;27.27;35.950.001;28.469.999;36.07
CSX;high;20.309.999;28.799.999;37.529.999;28.67;37.419.998
CSX;low;19.360.001;27.02;34.34;24.58;35.790.001
CSX;close;19.73;28.77;36.23;25.950.001;35.93
CSX;adjclose;17.634.842;26.334.772;33.846.519;24.801.062;35.240.341
CSX;volume;179038500;106749600;148551000;201348700;153646500
CTL;open;38.990.002;30.629.999;40.82;26.99;23.540.001
CTL;high;40.16;32.099.998;41.5;27.200.001;24.49
CTL;low;37.610.001;29.93;37.560.001;24.209.999;23.24
CTL;close;39.119.999;31.85;39.580.002;25.16;23.780.001
CTL;adjclose;25.452.023;22.511.921;29.641.022;20.203.568;20.650.288
CTL;volume;102634700;126327200;63158100;112586300;153652600
CTSH;open;33.764.999;46.57;53.889.999;64.650.002;55.240.002
CTSH;high;37.435.001;50.564.999;54.889.999;65.25;57.209.999
CTSH;low;33.16;46.294.998;50.169.998;58.150.002;53.75
CTSH;close;36.939.999;50.490.002;52.66;60.02;55.84
CTSH;adjclose;36.612.354;50.042.171;52.192.921;59.487.644;55.344.719
CTSH;volume;90863200;59057800;82867100;80086100;97336500
CTXS;open;49.132.027;46.989.967;52.651.695;6.182.513;68.880.394
CTXS;high;5.464.246;50.517.597;53.145.405;63.553.112;73.578.598
CTXS;low;46.528.111;45.309.761;47.292.564;58.265.648;67.240.005
CTXS;close;52.253.544;50.366.299;50.804.268;60.240.482;71.118.011
CTXS;adjclose;52.253.544;50.366.299;50.804.268;60.240.482;71.118.011
CTXS;volume;53027500;45478500;40499400;40171900;22698800
CVS;open;46.529.999;67.099.998;91.419.998;94.669.998;76.620.003
CVS;high;49.799.999;71.989.998;98.620.003;99.599.998;81.239.998
CVS;low;45.810.001;65.449.997;88.949.997;92.370.003;76.110.001
CVS;close;48.349.998;71.57;96.309.998;97.769.997;78.910.004
CVS;adjclose;44.026.211;66.207.588;90.415.779;93.038.979;76.449.791
CVS;volume;130142000;110859300;100036000;116258600;156408500
CVX;open;106;122.870.003;109.379.997;90.970.001;112.790.001
CVX;high;111.110.001;125.650.002;114.82;94;119
CVX;low;103.940.002;118.25;100.150.002;84.25;112.209.999
CVX;close;108.139.999;124.910.004;112.18;89.959.999;117.699.997
CVX;adjclose;8.816.671;105.190.506;97.838.867;82.017.677;11.208.654
CVX;volume;125418100;116195800;221038700;260998300;133381600
CXO;open;80.620.003;104.699.997;94.370.003;110.519.997;146.470.001
CXO;high;87.599.998;108.910.004;102.510.002;112.5;147.550.003
CXO;low;76.809.998;97.209.999;77.220.001;85.870.003;131.929.993
CXO;close;80.559.998;108;99.75;92.860.001;132.600.006
CXO;adjclose;80.559.998;108;99.75;92.860.001;132.600.006
CXO;volume;21200600;20785300;49225800;44980800;30003600
D;open;51.16;64.800.003;72.160.004;67.870.003;72.93
D;high;52.400.002;65.07;80.889.999;68.919.998;77.330.002
D;low;50.360.001;63;71.339.996;64.540.001;72.199.997
D;close;51.799.999;64.690.002;76.900.002;67.639.999;74.529.999
D;adjclose;42.538.086;54.746.029;67.923.836;61.969.887;70.956.528
D;volume;40529600;42672500;60105400;54193400;55458400
DAL;open;9.99;29;46.549.999;46.810.001;47.959.999
DAL;high;12.05;29.42;50.16;52.77;52.759.998
DAL;low;9.5;26.4;43.900.002;46.580.002;47.59
DAL;close;11.87;27.469.999;49.189.999;50.689.999;49.189.999
DAL;adjclose;11.114.188;25.852.736;46.672.916;4.856.168;47.905.777
DAL;volume;260632000;249242500;274515000;196292900;153531300
DE;open;84.18;84.260.002;87.949.997;79.419.998;100.949.997
DE;high;87.209.999;91.580.002;91.379.997;80.550.003;104.769.997
DE;low;82.949.997;82.199.997;86.389.999;74.629.997;100.050.003
DE;close;86.419.998;91.330.002;88.470.001;76.269.997;103.040.001
DE;adjclose;75.471.352;81.653.114;81.121.284;71.910.545;100.105.278
DE;volume;48798800;70307700;59911300;69687000;58153200
DFS;open;41.810.001;53.490.002;65.540.001;57.060.001;68
DFS;high;42.080.002;56.200.001;66.720.001;57.400.002;73.620.003
DFS;low;37.360.001;51.25;60.150.002;51.939.999;66.879.997
DFS;close;38.549.999;55.950.001;65.489.998;53.619.999;72.82
DFS;adjclose;34.968.224;51.558.613;6.131.411;51.171.978;71.023.834
DFS;volume;107837000;53240200;59654900;72092100;58695100
DG;open;50.040.001;56.91;66.959.999;65.529.999;72.489.998
DG;high;50.240.002;61.950.001;71.779.999;73;78.059.998
DG;low;42.25;55.560.001;65.410.004;65.110.001;70.589.996
DG;close;44.09;60.32;70.699.997;71.870.003;74.07
DG;adjclose;42.323.322;57.902.988;67.867.058;69.605.476;72.626.038
DG;volume;134346100;81235200;91338900;74671500;67279400
DGX;open;57.919.998;61.049.999;65.220.001;68.779.999;87.389.999
DGX;high;60.830.002;62.029.999;68.510.002;72.43;93.57
DGX;low;57.220.001;52.5;62.759.998;65.470.001;86.889.999
DGX;close;58.27;53.540.001;67.059.998;71.139.999;91.900.002
DGX;adjclose;52.068.027;48.820.919;62.516.796;67.749.687;89.363.686
DGX;volume;15054100;55974400;28605300;22527300;18131400
DHR;open;41.243.366;56.550.419;63.009.857;73.502.655;78.129.997
DHR;high;42.896.133;58.673.237;66.330.551;73.912.056;80.620.003
DHR;low;4.004.549;55.253.979;62.054.588;69.075.058;76.269.997
DHR;close;42.380.592;5.852.919;64.981.049;70.416.985;78.099.998
DHR;adjclose;28.020.185;38.780.777;43.296.364;47.286.259;7.734.935
DHR;volume;73977100;62064200;75738700;75260600;77493200
DIS;open;49.77;70.790.001;92.629.997;114.150.002;99.129.997
DIS;high;51.060.001;76.540.001;95.93;115.470.001;106.260.002
DIS;low;48.549.999;68.800.003;90.129.997;104.300.003;98.25
DIS;close;49.790.001;76.400.002;94.190.002;105.080.002;104.220.001
DIS;adjclose;45.839.523;7.141.835;89.135.376;10.129.055;101.839.996
DIS;volume;159328600;139787700;145232700;228548000;177569400
DISCA;open;30.914.665;44.118.549;34.630.001;31.219.999;27.219.999
DISCA;high;32.958.611;4.637.711;35.779.999;31.379.999;29.719.999
DISCA;low;30.587.635;41.742.462;32.48;25.83;26.52
DISCA;close;32.437.405;46.203.373;34.450.001;26.68;27.41
DISCA;adjclose;32.437.405;46.203.373;34.450.001;26.68;27.41
DISCA;volume;64026000;46464800;65427200;69630400;49136000
DLTR;open;41.91;55.630.001;68.32;76.040.001;86.790.001
DLTR;high;41.990.002;56.880.001;71.529.999;80.040.001;88.980.003
DLTR;low;37.470.001;54.669.998;66.849.998;73.709.999;74.919.998
DLTR;close;40.560.001;56.419.998;70.379.997;77.220.001;77.18
DLTR;adjclose;40.560.001;56.419.998;70.379.997;77.220.001;77.18
DLTR;volume;76695900;46799700;44111000;56837500;55108400
DOV;open;53.178.425;73.369.293;74.949.997;65.699.997;73.360.001
DOV;high;54.605.808;80.497.925;77.510.002;66.879.997;78.269.997
DOV;low;52.049.793;73.161.827;67.129.997;58.450.001;73.360.001
DOV;close;5.453.112;8.011.618;71.720.001;61.310.001;74.93
DOV;adjclose;48.594.261;72.946.075;66.501.144;58.243.633;73.019.386
DOV;volume;29683000;21781200;57953900;36811400;23968900
DPS;open;45.009.998;48.470.001;72.839.996;90.160.004;86.269.997
DPS;high;46.060.001;49.150.002;73.980.003;95.260.002;91.139.999
DPS;low;43.580.002;47.060.001;69.389.999;89.410.004;84.059.998
DPS;close;44.18;48.720.001;71.68;93.199.997;90.669.998
DPS;adjclose;38.195.515;43.528.568;65.945.633;87.903.572;87.466.118
DPS;volume;21440300;20780500;31957200;27091300;31593000
DTE;open;60.509.998;66.860.001;81.059.998;80.940.002;92.489.998
DTE;high;62;67.650.002;90.769.997;81.93;99.919.998
DTE;low;58.860.001;64.519.997;80.709.999;77.349.998;92.190.002
DTE;close;60.049.999;66.389.999;86.370.003;80.190.002;98.510.002
DTE;adjclose;49.041.821;56.396.824;76.138.641;73.282.524;93.084.488
DTE;volume;15883600;23212600;21870700;24305300;20811500
DUK;open;64.089.996;70.129.997;80.389.999;68.050.003;73.5
DUK;high;65.660.004;70.540.001;87.290.001;72.75;78.239.998
DUK;low;62.599.998;67.919.998;80.160.004;65.5;72.339.996
DUK;close;63.799.999;69.010.002;83.540.001;71.389.999;77.620.003
DUK;adjclose;50.918.236;57.539.276;72.700.005;64.868.805;7.358.477
DUK;volume;68570400;54472000;74847400;73346900;68427800
DVA;open;54.064.999;59.439.999;76.470.001;73.410.004;63.5
DVA;high;56.395;63.740.002;76.769.997;73.93;67.440.002
DVA;low;52.23;56.849.998;72.139.999;67.339.996;63.290.001
DVA;close;55.264.999;63.369.999;75.739.998;69.709.999;64.199.997
DVA;adjclose;55.264.999;63.369.999;75.739.998;69.709.999;64.199.997
DVA;volume;45002800;40711600;19013600;40295100;34263300
DVN;open;52;60.889.999;58.689.999;46.110.001;49.509.998
DVN;high;54.380.001;62.400.002;62.240.002;46.52;50.689.999
DVN;low;50.889.999;58.029.999;51.759.998;28;45.509.998
DVN;close;52.040.001;61.869.999;61.209.999;32;45.669.998
DVN;adjclose;48.161.674;58.133.202;58.306.267;31.042.194;45.225.826
DVN;volume;70055700;61721600;109677900;172122100;88795100
EBAY;open;22.335.859;21.973.906;23.047.138;29.75;27.92
EBAY;high;22.369.528;23.282.827;24.385.521;29.83;30.52
EBAY;low;20.707.071;21.258.417;22.904.041;27.26;27.280.001
EBAY;close;21.464.647;23.093.435;23.619.528;27.48;29.690.001
EBAY;adjclose;21.464.647;23.093.435;23.619.528;27.48;29.690.001
EBAY;volume;413798500;552624300;464823500;198398100;218097800
ECL;open;72;106.900.002;106.599.998;119.5;116.910.004
ECL;high;72.790.001;106.980.003;110.410.004;119.790.001;122.279.999
ECL;low;70.019.997;101.379.997;101.260.002;111.769.997;116.410.004
ECL;close;71.900.002;104.269.997;104.519.997;114.379.997;120.5
ECL;adjclose;67.495.865;99.003.807;100.251.183;111.014.824;11.839.743
ECL;volume;25443100;22418900;38885000;21974100;22444100
EFX;open;52.66;67.470.001;79.43;112.379.997;114.449.997
EFX;high;55.52;69.639.999;82.629.997;114.459.999;120.059.998
EFX;low;52.66;66.019.997;78.339.996;107.199.997;110.870.003
EFX;close;54.119.999;69.089.996;80.870.003;111.370.003;118.230.003
EFX;adjclose;50.679.012;65.627.602;77.868.774;108.465.858;116.431.602
EFX;volume;17695700;10781300;11858400;14286300;18896400
EIX;open;45.040.001;46.209.999;63.130.001;59.5;68.389.999
EIX;high;46.220.001;46.98;68.739.998;61.349.998;72.620.003
EIX;low;42.57;44.970.001;62.779.999;57.849.998;67.730.003
EIX;close;45.189.999;46.299.999;65.480.003;59.209.999;71.989.998
EIX;adjclose;38.605.717;4.070.805;5.913.805;54.946.308;68.669.563
EIX;volume;43916700;41748700;44843700;46821900;39874300
EMN;open;61.349.998;77.209.999;82.989.998;72.809.998;75.620.003
EMN;high;68.220.001;80.839.996;84.599.998;73.720.001;77.980.003
EMN;low;59.32;72.620.003;71.059.998;65.879.997;74.18
EMN;close;68.050.003;80.699.997;75.860.001;67.510.002;75.209.999
EMN;adjclose;60.419.365;72.881.668;69.675.133;63.371.647;72.500.961
EMN;volume;39691400;38530000;37848000;24262200;26035200
EMR;open;50.560.001;66.989.998;63.290.001;50.220.001;56.73
EMR;high;53.619.999;70.660.004;65.160.004;50.439.999;58.279.999
EMR;low;49.380.001;65.970.001;57.799.999;44.59;55.560.001
EMR;close;52.959.999;70.18;61.73;47.830.002;55.75
EMR;adjclose;44.862.663;61.086.315;55.210.121;44.324.245;53.635.132
EMR;volume;62572500;51539800;93320300;113668300;63526300
EOG;open;59.119.999;83;85.519.997;83.449.997;105.709.999
EOG;high;62.25;85.25;97.269.997;84.129.997;109.370.003
EOG;low;58.285;78.004.997;83.660.004;69.300.003;100.540.001
EOG;close;60.395;83.919.998;92.07;70.790.001;101.099.998
EOG;adjclose;57.845.303;81.211.502;89.686.295;69.488.525;100.092.339
EOG;volume;57130400;85691600;145748300;103848200;79462000
EPD;open;25.91;31.450.001;36.200.001;25.4;26.32
EPD;high;26.1;33.459.999;38.75;26.17;27.200.001
EPD;low;24.33;30.385;30.709.999;20.76;25.139.999
EPD;close;25.040.001;33.150.002;36.119.999;25.58;27.040.001
EPD;adjclose;17.708.086;25.633.106;2.994.874;22.295.618;25.059.708
EPD;volume;67791400;42174800;92573100;203177500;98619300
EQIX;open;186.160.004;161.100.006;227.149.994;297.700.012;338.450.012
EQIX;high;208.910.004;178.679.993;235.839.996;305;369.670.013
EQIX;low;179.699.997;155.830.002;217.679.993;287.299.988;327.369.995
EQIX;close;206.199.997;177.449.997;226.729.996;302.399.994;357.410.004
EQIX;adjclose;177.700.043;152.923.752;203.060.715;287.339.661;348.752.869
EQIX;volume;17072300;16936000;12299900;15638700;13222200
EQR;open;55.759.998;51.299.999;70.93;80.300.003;59.599.998
EQR;high;56.970.001;54.049.999;74.720.001;82.389.999;65.139.999
EQR;low;54.34;50.889.999;69.779.999;76.660.004;59.110.001
EQR;close;56.669.998;51.869.999;71.839.996;81.589.996;64.360.001
EQR;adjclose;42.289.558;4.010.405;576.703;67.425.301;61.347.187
EQR;volume;39938300;48925200;35827300;35199300;48387200
EQT;open;60.599.998;85.099.998;90.010.002;57.09;71.629.997
EQT;high;61.07;91.190.002;91.68;58.110.001;75.739.998
EQT;low;56.450.001;82.059.998;74.370.003;47.099.998;64.080.002
EQT;close;58.98;89.779.999;75.699.997;52.130.001;65.400.002
EQT;adjclose;58.463.989;89.136.841;75.250.565;51.900.215;6.523.156
EQT;volume;30608900;31697000;39412300;50842500;43447500
ESRX;open;54.110.001;67.32;82.989.998;85.900.002;75.889.999
ESRX;high;55.540.001;70.790.001;86.269.997;89;77.25
ESRX;low;52.5;66.150.002;78.889.999;84.129.997;68
ESRX;close;54;70.239.998;84.669.998;87.410.004;68.790.001
ESRX;adjclose;54;70.239.998;84.669.998;87.410.004;68.790.001
ESRX;volume;94320200;79711100;85379400;78696300;97255200
ETP;open;25.465;35.130.001;47.720.001;27.870.001;24
ETP;high;25.745.001;38.035;49.700.001;28.209.999;25.08
ETP;low;24.055;33.5;39.330.002;21.41;22.25
ETP;close;24.865;37.740.002;41.779.999;25.700.001;24.02
ETP;adjclose;11.302.438;19.987.463;24.943.611;17.986.048;20.612.238
ETP;volume;10020600;9310400;20366100;48200600;68273700
ETR;open;63.549.999;62.060.001;83.209.999;66.769.997;68.330.002
ETR;high;65.599.998;63.549.999;92.019.997;69.489.998;73.790.001
ETR;low;62.220.001;60.220.001;82.18;64.18;67.839.996
ETR;close;63.75;63.27;87.480.003;68.360.001;73.470.001
ETR;adjclose;49.843.792;52.016.811;75.302.971;61.637.882;69.370.201
ETR;volume;18625600;30862100;39884700;31980400;29969300
EXC;open;30.219.999;26.950.001;35.939.999;27.48;32.32
EXC;high;30.66;28.5;38.93;28;36.360.001
EXC;low;28.889.999;26.639.999;35.09;25.09;31.77
EXC;close;29.74;27.389.999;37.080.002;27.77;35.490.002
EXC;adjclose;24.216.944;23.366.457;3.283.778;25.562.737;33.927.109
EXC;volume;147702400;155802800;138203200;166756000;150065200
EXPE;open;61.93;63.599.998;87.25;124.089.996;123.949.997
EXPE;high;61.970.001;69.760.002;92.080.002;133.070.007;124.720.001
EXPE;low;57.34;61.919.998;85.260.002;121.580.002;112.629.997
EXPE;close;61.439.999;69.660.004;85.360.001;124.300.003;124.059.998
EXPE;adjclose;58.165.363;67.169.632;82.982.895;121.777.939;122.632.774
EXPE;volume;43174000;33555700;40537200;52833800;47047900
EXR;open;35.279.999;42.07;59.27;83.93;69.849.998
EXR;high;36.560.001;42.779.999;60.529.999;90.580.002;77.300.003
EXR;low;34.810.001;40.32;56.849.998;83.75;68.610.001
EXR;close;36.389.999;42.130.001;58.639.999;88.209.999;77.239.998
EXR;adjclose;30.021.093;35.896.404;51.764.351;80.435.814;72.777.328
EXR;volume;12576400;17258900;16036600;21081300;22520300
F;open;11.56;17.120.001;15.78;14.32;12.23
F;high;13.08;17.200.001;16.129.999;14.62;13.2
F;low;11.03;15.1;13.93;13.4;12.08
F;close;12.95;15.43;15.5;14.09;12.13
F;adjclose;10.520.113;12.867.841;1.334.354;1.262.255;11.384.666
F;volume;1202835100;1037390500;593521500;587647300;708798000
FAST;open;41.970.001;46.709.999;45.049.999;40.82;47.509.998
FAST;high;47.040.001;48.23;48.43;41.959.999;49.310.001
FAST;low;41.060.001;44.009.998;44.169.998;38.439.999;46.66
FAST;close;46.650.002;47.509.998;47.560.001;40.82;46.98
FAST;adjclose;40.509.041;42.442.158;43.435.028;38.304.253;45.403.629
FAST;volume;41653100;42080600;34471100;53855500;51925000
FB;open;28;46.900.002;77.260.002;104.830.002;118.379.997
FB;high;28.879.999;58.580.002;82.169.998;107.919.998;122.5
FB;low;25.15;46.259.998;74.400.002;101.459.999;114
FB;close;26.620.001;54.650.002;78.019.997;104.660.004;115.050.003
FB;adjclose;26.620.001;54.650.002;78.019.997;104.660.004;115.050.003
FB;volume;1191832200;1517533200;534632100;440059600;408552500
FDX;open;89.980.003;139.149.994;178.789.993;159.410.004;192
FDX;high;95.440.002;144.130.005;183.509.995;160.669.998;201.570.007
FDX;low;87.989.998;136.270.004;163.570.007;140.889.999;185.679.993
FDX;close;91.720.001;143.770.004;173.660.004;148.990.005;186.199.997
FDX;adjclose;88.491.386;13.929.483;169.082.153;145.837.418;183.794.693
FDX;volume;39662000;39650000;48210600;52038300;43156800
