"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"627","ADI",2015-12-01,2015,-0.101496384049314,1e-04,-0.0216,-0.101596384049314,-0.0217,0.987527194616852,-0.0801670439261281
"642","ADI",2016-12-01,2016,-0.0220627528824835,3e-04,0.0185,-0.0223627528824835,0.0182,0.987527194616852,-0.0403357478245102
"653","ADM",2011-12-01,2011,-0.051782772826204,0,0.0074,-0.051782772826204,0.0074,0.307377529156893,-0.054057366541965
"671","ADM",2012-12-01,2012,0.0255144408605249,1e-04,0.0119,0.0254144408605249,0.0118,0.307377529156893,0.0217873860164736
"680","ADM",2013-12-01,2013,0.0753495835592332,0,0.0281,0.0753495835592332,0.0281,0.307377529156893,0.0667122749899245
"696","ADM",2014-12-01,2014,-0.0129922556784712,0,-6e-04,-0.0129922556784712,-6e-04,0.307377529156893,-0.0128078291609771
"705","ADM",2015-12-01,2015,0.00519344270328114,1e-04,-0.0216,0.00509344270328114,-0.0217,0.307377529156893,0.0117635350859857
"712","ADM",2016-12-01,2016,0.0544688838034509,3e-04,0.0185,0.0541688838034509,0.0182,0.307377529156893,0.0485746127727955
"724","ADP",2011-12-01,2011,0.0642465612182346,0,0.0074,0.0642465612182346,0.0074,0.817410613085661,0.0581977226814007
"738","ADP",2012-12-01,2012,0.0119175366267203,1e-04,0.0119,0.0118175366267203,0.0118,0.817410613085661,0.0021720913923095
"747","ADP",2013-12-01,2013,0.0166884372442692,0,0.0281,0.0166884372442692,0.0281,0.817410613085661,-0.00628080098343784
"759","ADP",2014-12-01,2014,-0.02110014518344,0,-6e-04,-0.02110014518344,-6e-04,0.817410613085661,-0.0206096988155886
"773","ADP",2015-12-01,2015,-0.0118555632523004,1e-04,-0.0216,-0.0119555632523004,-0.0217,0.817410613085661,0.0057822470516584
"790","ADP",2016-12-01,2016,0.0739896363319877,3e-04,0.0185,0.0736896363319877,0.0182,0.817410613085661,0.0588127631738287
"793","ADS",2011-12-01,2011,0.0138666839075106,0,0.0074,0.0138666839075106,0.0074,1.26035062716978,0.00454008926645416
"816","ADS",2012-12-01,2012,0.0158052108405863,1e-04,0.0119,0.0157052108405863,0.0118,1.26035062716978,0.000833073439982816
"828","ADS",2013-12-01,2013,0.0818761668402418,0,0.0281,0.0818761668402418,0.0281,1.26035062716978,0.0464603142167709
