Date;RF;Mkt-RF;SMB;HML
01-02-36;    0.01;    2.49;    1.14;    5.04
01-03-36;    0.02;    0.99;    0.66;   -1.66
01-04-36;    0.02;   -8.14;   -6.03;   -2.08
01-05-36;    0.02;    5.19;    0.81;    2.63
01-06-36;    0.03;    2.40;   -3.25;   -1.20
01-07-36;    0.01;    6.67;    1.14;    2.56
01-08-36;    0.02;    0.99;    0.72;    3.99
01-09-36;    0.01;    0.98;    3.07;    0.88
01-10-36;    0.02;    7.12;   -2.39;    2.52
01-11-36;    0.01;    3.27;    9.01;   -0.92
01-12-36;    0.00;    0.21;    3.61;    3.96
01-01-37;    0.01;    3.35;    4.31;    2.61
01-02-37;    0.02;    1.09;    1.23;    5.05
01-03-37;    0.01;   -0.27;   -1.78;    6.39
01-04-37;    0.03;   -7.36;   -3.77;   -3.61
01-05-37;    0.06;   -0.83;   -0.66;   -3.49
01-06-37;    0.03;   -4.21;   -3.65;   -3.21
01-07-37;    0.03;    8.91;    0.85;    0.82
01-08-37;    0.02;   -4.86;    0.42;   -2.25
01-09-37;    0.04;  -13.61;   -6.89;   -4.57
01-10-37;    0.02;   -9.61;    0.45;   -1.62
01-11-37;    0.02;   -8.31;   -3.65;    0.20
01-12-37;    0.00;   -4.24;   -7.76;   -0.39
01-01-38;    0.00;    0.49;    4.97;   -1.60
01-02-38;    0.00;    5.84;    0.35;   -2.02
01-03-38;   -0.01;  -23.82;   -4.24;   -3.52
01-04-38;    0.01;   14.51;    6.37;    0.18
01-05-38;    0.00;   -3.83;   -2.47;   -0.28
01-06-38;    0.00;   23.87;    4.05;    0.30
01-07-38;   -0.01;    7.34;    6.66;    2.18
01-08-38;    0.00;   -2.67;   -2.44;   -4.72
01-09-38;    0.02;    0.81;   -2.72;   -1.62
01-10-38;    0.01;    7.80;    5.83;    5.01
01-11-38;   -0.06;   -1.72;   -2.56;   -1.23
01-12-38;    0.00;    4.19;   -1.80;    0.50
01-01-39;   -0.01;   -5.96;   -1.56;   -3.92
01-02-39;    0.01;    3.51;    0.63;    2.95
01-03-39;   -0.01;  -11.99;   -4.76;   -8.29
01-04-39;    0.00;   -0.18;    1.66;   -0.30
01-05-39;    0.01;    6.80;    2.81;    0.47
01-06-39;    0.01;   -5.31;   -1.02;   -5.41
01-07-39;    0.00;   10.24;    4.32;   -0.03
01-08-39;   -0.01;   -6.68;   -4.61;   -2.42
01-09-39;    0.01;   16.88;   20.23;   22.22
01-10-39;    0.00;   -0.53;   -0.01;   -4.89
01-11-39;    0.00;   -3.62;   -5.07;   -6.46
01-12-39;    0.00;    3.03;    0.79;   -4.06
01-01-40;    0.00;   -2.41;    0.24;   -0.77
01-02-40;    0.00;    1.44;    2.51;   -0.32
01-03-40;    0.00;    2.05;    1.25;   -1.27
01-04-40;    0.00;    0.22;    3.92;   -0.13
01-05-40;   -0.02;  -21.95;   -6.66;   -3.69
01-06-40;    0.00;    6.67;   -2.13;    4.63
01-07-40;    0.01;    3.16;    1.01;   -0.74
01-08-40;   -0.01;    2.19;   -0.11;    0.56
01-09-40;    0.00;    2.39;    3.22;   -1.13
01-10-40;    0.00;    3.02;    0.28;    4.64
01-11-40;    0.00;   -1.61;    1.94;    0.12
01-12-40;    0.00;    0.69;   -2.15;   -0.89
01-01-41;   -0.01;   -4.17;    1.00;    3.83
01-02-41;   -0.01;   -1.43;   -1.57;    0.89
01-03-41;    0.01;    0.84;    0.10;    3.04
01-04-41;   -0.01;   -5.46;   -1.69;    3.41
01-05-41;    0.00;    1.39;   -0.66;    0.60
01-06-41;    0.00;    5.83;    1.32;    0.59
01-07-41;    0.03;    5.87;    5.70;    7.25
01-08-41;    0.01;   -0.17;   -0.41;   -1.10
01-09-41;    0.01;   -0.87;   -0.99;   -0.28
01-10-41;    0.00;   -5.25;   -2.02;    1.63
01-11-41;    0.00;   -1.92;   -1.21;   -0.64
01-12-41;    0.01;   -4.87;   -2.98;   -5.94
01-01-42;    0.02;    0.79;    7.52;   10.10
01-02-42;    0.01;   -2.46;    1.72;   -1.13
01-03-42;    0.01;   -6.58;    1.78;   -0.62
01-04-42;    0.01;   -4.37;   -0.60;    2.09
01-05-42;    0.03;    5.94;   -3.05;   -2.65
01-06-42;    0.02;    2.69;   -1.22;    0.54
01-07-42;    0.03;    3.51;   -0.16;    2.40
01-08-42;    0.03;    1.80;   -0.09;    1.33
01-09-42;    0.03;    2.61;    0.66;    2.39
01-10-42;    0.03;    6.82;    1.82;    6.47
