Companies;YearFinancialIndicator;ROA;TobinsQ;ROE;YearNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue;SustainabilityPayLink;SustainableThemedCommitment;AuditScore;FirmSize;Leverage;NetMargin;Industry
1;2013;0,07;1,07;0,14;2014;0,71;0,79;0,72;0,54;0,57;0,84;1;0;1;10,03;0,51;0,11;5,00
1;2014;0,05;1,03;0,09;2015;0,52;0,04;0,11;0,00;0,08;0,14;1;0;1;10,03;0,52;0,07;5,00
1;2015;0,05;1,54;0,10;2016;0,55;0,06;0,11;0,01;0,09;0,14;1;0;1;9,87;0,40;0,10;5,00
2;2013;0,08;0,36;0,28;2014;0,29;0,05;0,14;0,16;0,23;0,28;1;1;0;10,63;0,69;0,06;6,00
2;2014;0,06;;0,27;2015;0,30;0,01;0,03;0,00;0,00;0,10;1;1;0;10,64;0,90;0,05;6,00
2;2015;0,06;;0,23;2016;0,39;0,00;0,05;0,03;0,06;0,10;1;1;0;10,68;0,54;0,05;6,00
3;2013;0,18;1,42;0,29;2014;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;9,75;0,13;0,21;1,00
3;2014;0,19;1,53;0,37;2015;0,10;0,00;0,00;0,00;0,00;0,10;0;0;0;9,90;0,26;0,22;1,00
3;2015;0,19;1,63;0,43;2016;0,16;0,00;0,06;0,00;0,00;0,10;0;0;0;9,91;0,41;0,23;1,00
4;2013;0,06;2,18;0,44;2014;0,57;0,92;0,96;0,96;0,94;0,01;0;0;0;11,35;6,06;0,09;7,00
4;2014;0,11;2,54;0,34;2015;0,75;0,11;0,13;0,11;0,14;0,11;1;0;1;11,42;7,41;0,23;7,00
4;2015;0,20;2,17;0,46;2016;0,74;0,10;0,15;0,12;0,11;0,11;1;0;1;11,47;4,35;0,23;7,00
5;2013;0,00;;0,02;2014;0,28;0,22;0,13;0,07;0,16;0,20;1;0;1;10,47;1,13;0,00;5,00
