Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
13;2014;0,03;0,93;2016;343,00;0,21;0,00;0,05;0,00;0,00;0,16;0,00;0,00;0,00;10,31;0,33;0,05;7
14;2012;-0,04;1,89;2014;26,00;0,62;0,63;0,94;0,30;0,62;1,00;0,00;0,00;0,05;9,54;1,05;0,13;7
14;2013;0,01;1,88;2015;30,00;0,66;0,10;0,14;0,00;0,03;0,19;0,10;0,05;0,05;9,64;0,86;0,05;7
14;2014;0,03;2,65;2016;22,00;0,71;0,14;0,14;0,00;0,05;0,19;0,10;0,05;0,05;9,68;0,93;0,10;7
15;2012;0,02;0,56;2014;247,00;0,29;0,52;0,03;0,00;0,00;0,29;0,10;0,05;0,00;10,34;1,02;0,08;11
15;2013;0,03;0,70;2015;222,00;0,37;0,09;0,01;0,00;0,00;0,12;0,10;0,05;0,00;10,32;1,05;0,10;11
15;2014;0,03;0,80;2016;205,00;0,36;0,07;0,01;0,01;0,00;0,12;0,10;0,05;0,00;10,36;0,96;0,10;11
16;2012;0,04;0,71;2014;321,00;0,18;0,02;0,02;0,03;0,00;0,07;0,10;0,05;0,00;10,74;1,02;0,05;11
16;2013;0,04;0,73;2015;263,00;0,31;0,00;0,01;0,03;0,00;0,12;0,10;0,05;0,00;10,75;0,56;0,04;11
16;2014;0,04;0,83;2016;254,00;0,30;0,00;0,01;0,02;0,00;0,12;0,10;0,05;0,00;10,78;0,54;0,04;11
17;2012;0,02;0,52;2014;145,00;0,41;0,65;0,74;0,00;0,00;0,74;0,00;0,05;0,00;10,62;0,62;0,11;5
17;2013;0,03;0,71;2015;258,00;0,32;0,00;0,08;0,00;0,00;0,14;0,00;0,05;0,05;10,70;0,56;0,13;5
17;2014;0,02;0,80;2016;64,00;0,60;0,13;0,12;0,11;0,00;0,14;0,00;0,05;0,05;10,73;0,54;0,13;5
18;2012;0,02;0,28;2014;92,00;0,49;0,85;0,63;0,00;0,00;0,82;0,00;0,05;0,05;11,12;0,27;0,11;4
18;2013;0,03;0,34;2015;9,00;0,75;0,09;0,09;0,09;0,12;0,16;0,10;0,05;0,05;11,08;0,34;0,13;4
18;2014;0,02;0,29;2016;42,00;0,64;0,06;0,07;0,06;0,10;0,16;0,10;0,05;0,05;11,08;0,29;0,13;4
19;2012;0,01;0,70;2014;1,00;0,85;0,72;0,85;0,61;0,82;1,00;0,10;0,05;0,05;9,96;1,63;0,05;5
19;2013;0,02;1,21;2015;2,00;0,84;0,12;0,13;0,12;0,13;0,14;0,10;0,05;0,05;10,02;0,89;0,13;5
19;2014;0,01;;2016;13,00;0,74;0,14;0,13;0,13;0,00;0,14;0,10;0,05;0,05;10,09;0,52;0,12;5
20;2012;0,08;;2014;313,00;0,18;0,00;0,00;0,00;0,00;0,65;0,00;0,05;0,00;11,74;0,49;0,15;4
20;2013;0,10;;2015;275,00;0,29;0,00;0,00;0,00;0,00;0,14;0,10;0,05;0,00;11,73;0,41;0,19;4
20;2014;0,09;;2016;174,00;0,40;0,00;0,09;0,00;0,00;0,15;0,10;0,05;0,00;11,71;0,21;0,17;4
21;2012;0,02;2,60;2014;164,00;0,39;0,03;0,12;0,00;0,68;0,82;0,00;0,05;0,05;9,42;0,00;0,07;7
21;2013;0,02;2,59;2015;57,00;0,61;0,01;0,07;0,00;0,15;0,18;0,10;0,05;0,05;9,47;0,00;0,07;7
21;2014;0,03;2,72;2016;58,00;0,62;0,05;0,04;0,00;0,15;0,18;0,10;0,05;0,05;9,60;0,21;0,08;7
22;2012;0,11;0,14;2014;84,00;0,49;0,19;0,21;0,31;0,72;0,87;0,00;0,05;0,05;11,10;0,05;0,22;4
22;2013;0,09;0,19;2015;81,00;0,57;0,01;0,03;0,05;0,12;0,16;0,10;0,05;0,05;11,09;0,03;0,16;4
22;2014;0,17;0,26;2016;93,00;0,54;0,01;0,03;0,06;0,08;0,16;0,10;0,05;0,05;11,04;0,25;0,29;4
23;2012;0,01;6,59;2014;373,00;0,13;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00;9,42;0,27;0,01;5
23;2013;0,02;7,43;2015;355,00;0,17;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;9,52;0,27;0,03;5
23;2014;0,08;8,25;2016;314,00;0,23;0,00;0,06;0,00;0,00;0,17;0,00;0,00;0,00;9,62;0,25;0,12;5
24;2012;0,09;0,97;2014;17,00;0,67;0,61;0,65;0,72;0,32;0,89;0,10;0,05;0,00;10,08;0,45;0,14;7
24;2013;0,10;1,68;2015;87,00;0,55;0,08;0,08;0,09;0,02;0,13;0,10;0,05;0,00;10,08;0,36;0,14;7
