Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
64;2013;0,04;1,23;2015;394,00;0,14;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;10,30;2,05;0,35;4
64;2014;0,02;1,41;2016;326,00;0,22;0,00;0,08;0,00;0,00;0,14;0,00;0,00;0,00;10,30;1,83;0,18;4
65;2012;0,00;0,17;2014;218,00;0,32;0,23;0,26;0,14;0,10;0,04;0,10;0,05;0,05;12,27;1,28;0,10;4
65;2013;0,01;0,15;2015;168,00;0,43;0,05;0,04;0,03;0,01;0,10;0,10;0,05;0,05;12,27;1,11;0,17;4
65;2014;0,00;0,17;2016;133,00;0,46;0,05;0,06;0,03;0,02;0,10;0,10;0,05;0,05;12,27;1,11;0,09;4
66;2012;0,08;0,93;2014;33,00;0,61;0,34;0,49;0,58;0,34;0,74;0,10;0,05;0,05;10,06;0,24;0,20;7
66;2013;0,09;1,32;2015;46,00;0,63;0,05;0,03;0,08;0,13;0,19;0,10;0,00;0,05;10,07;0,22;0,23;7
66;2014;0,07;1,25;2016;79,00;0,58;0,06;0,03;0,09;0,07;0,19;0,10;0,00;0,05;10,04;0,22;0,19;7
67;2012;0,06;0,90;2014;153,00;0,40;0,16;0,24;0,22;0,39;0,24;0,10;0,05;0,05;10,10;0,78;0,05;2
67;2013;0,03;0,89;2015;206,00;0,39;0,02;0,04;0,02;0,00;0,10;0,10;0,05;0,05;10,32;1,60;0,04;2
67;2014;0,02;0,98;2016;190,00;0,38;0,02;0,04;0,02;0,00;0,10;0,10;0,05;0,05;10,29;1,38;0,02;2
68;2012;0,05;0,52;2014;9,00;0,71;0,76;0,70;0,82;0,65;0,61;0,10;0,00;0,05;10,39;0,37;0,01;5
68;2013;0,01;0,91;2015;88,00;0,55;0,10;0,06;0,00;0,10;0,14;0,10;0,00;0,05;10,40;0,56;0,00;5
68;2014;0,04;1,00;2016;76,00;0,58;0,05;0,07;0,06;0,10;0,14;0,10;0,00;0,05;10,44;0,61;0,01;5
69;2012;0,07;;2014;352,00;0,15;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00;10,05;0,37;0,09;3
69;2013;0,05;;2015;492,00;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;10,15;0,44;0,07;3
69;2014;0,06;;2016;480,00;0,09;0,00;0,07;0,00;0,00;0,02;0,00;0,00;0,00;10,11;0,62;0,08;3
70;2012;0,06;0,83;2014;186,00;0,36;0,37;0,35;0,44;0,70;0,14;0,00;0,05;0,00;10,95;1,58;0,09;6
70;2013;0,04;0,87;2015;185,00;0,40;0,04;0,05;0,07;0,11;0,09;0,00;0,05;0,00;10,93;1,29;0,07;6
70;2014;0,04;0,85;2016;247,00;0,31;0,04;0,04;0,05;0,06;0,07;0,00;0,05;0,00;10,93;1,66;0,07;6
71;2012;0,05;;2014;102,00;0,47;0,76;0,72;0,00;0,00;0,74;0,00;0,05;0,05;9,89;1,53;0,05;4
71;2013;0,05;;2015;143,00;0,47;0,13;0,12;0,00;0,00;0,08;0,10;0,00;0,05;9,84;1,29;0,04;4
71;2014;0,07;;2016;134,00;0,46;0,10;0,13;0,00;0,00;0,08;0,10;0,00;0,05;9,88;1,08;0,05;4
72;2012;0,06;1,06;2014;361,00;0,14;0,00;0,00;0,00;0,00;0,20;0,10;0,00;0,00;10,42;0,58;0,11;1
72;2013;0,07;1,62;2015;298,00;0,26;0,00;0,00;0,00;0,00;0,16;0,10;0,00;0,00;10,42;0,60;0,12;1
72;2014;0,12;1,38;2016;262,00;0,29;0,00;0,03;0,00;0,00;0,16;0,10;0,00;0,00;10,38;0,93;0,21;1
73;2012;0,09;1,22;2014;22,00;0,65;0,59;0,84;0,60;0,91;0,04;0,10;0,05;0,05;10,21;1,03;0,09;2
73;2013;0,07;1,55;2015;8,00;0,75;0,12;0,14;0,12;0,11;0,07;0,10;0,05;0,05;10,21;1,05;0,08;2
73;2014;0,07;1,64;2016;9,00;0,76;0,13;0,13;0,11;0,12;0,07;0,10;0,05;0,05;10,21;1,63;0,08;2
74;2012;0,01;1,97;2014;409,00;0,08;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;10,21;3,72;0,08;4
74;2013;0,01;1,74;2015;383,00;0,15;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;10,31;1,66;0,03;4
74;2014;0,02;1,79;2016;324,00;0,22;0,00;0,07;0,00;0,00;0,15;0,00;0,00;0,00;10,33;1,76;0,09;4
75;2012;0,03;1,09;2014;280,00;0,24;0,05;0,05;0,48;0,07;0,20;0,00;0,05;0,05;10,59;0,30;0,08;1
75;2013;0,03;1,20;2015;196,00;0,40;0,01;0,01;0,06;0,01;0,12;0,10;0,05;0,05;10,60;0,33;0,07;1
75;2014;0,03;1,19;2016;220,00;0,34;0,00;0,02;0,00;0,00;0,12;0,10;0,05;0,05;10,60;0,30;0,08;1
76;2012;0,07;0,95;2014;332,00;0,17;0,00;0,00;0,00;0,00;0,59;0,00;0,05;0,00;9,95;1,69;0,09;8
76;2013;0,12;1,10;2015;383,00;0,15;0,00;0,00;0,00;0,00;0,10;0,00;0,05;0,00;9,96;1,07;0,17;8
76;2014;0,07;1,18;2016;432,00;0,15;0,00;0,04;0,00;0,00;0,07;0,00;0,05;0,00;9,94;0,93;0,09;8
77;2012;0,13;2,72;2014;49,00;0,57;0,74;0,76;0,75;0,00;0,91;0,00;0,00;0,05;10,07;0,49;0,26;5
77;2013;0,12;5,07;2015;153,00;0,45;0,00;0,02;0,11;0,00;0,17;0,10;0,00;0,05;10,13;0,75;0,22;5
77;2014;0,13;5,09;2016;54,00;0,62;0,14;0,02;0,15;0,00;0,17;0,10;0,00;0,05;10,24;0,96;0,26;5
78;2012;0,12;3,27;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,57;0,05;0,15;5
78;2013;0,10;4,03;2015;339,00;0,19;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00;9,61;0,04;0,14;5
78;2014;0,10;;2016;373,00;0,19;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00;9,64;0,03;0,13;5
79;2012;0,20;1,23;2014;327,00;0,17;0,00;0,10;0,00;0,00;0,79;0,00;0,00;0,00;10,01;0,27;0,30;8
79;2013;0,15;1,34;2015;425,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,03;0,61;0,27;8
79;2014;0,12;1,44;2016;470,00;0,10;0,00;0,03;0,00;0,00;0,08;0,00;0,00;0,00;10,05;1,09;0,29;8
80;2012;0,10;1,92;2014;215,00;0,32;0,30;0,17;0,23;0,11;1,00;0,00;0,00;0,00;9,61;0,32;0,12;2
80;2013;0,10;2,21;2015;291,00;0,27;0,05;0,00;0,07;0,03;0,12;0,00;0,00;0,00;9,63;0,28;0,12;2
80;2014;0,10;2,54;2016;352,00;0,20;0,00;0,09;0,00;0,00;0,12;0,00;0,00;0,00;9,64;0,33;0,13;2
81;2012;0,24;3,48;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,45;0,21;0,05;6
81;2013;0,15;3,16;2015;315,00;0,23;0,00;0,10;0,00;0,00;0,08;0,00;0,05;0,00;9,45;0,53;0,03;6
81;2014;0,15;3,40;2016;443,00;0,14;0,00;0,01;0,00;0,00;0,08;0,00;0,05;0,00;9,51;0,48;0,03;6
82;2012;-0,02;1,33;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,19;85,96;-0,04;1
82;2013;-0,01;1,65;2015;364,00;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;10,24;93,91;-0,02;1
82;2014;-0,01;1,60;2016;392,00;0,18;0,00;0,02;0,00;0,00;0,16;0,00;0,00;0,00;10,39;143,99;-0,02;1
83;2012;0,03;0,41;2014;226,00;0,31;0,00;0,86;0,00;0,00;0,90;0,00;0,00;0,00;10,73;0,51;0,06;5
83;2013;0,03;0,58;2015;191,00;0,40;0,06;0,10;0,00;0,00;0,14;0,10;0,00;0,00;10,74;0,47;0,05;5
83;2014;0,04;0,64;2016;112,00;0,50;0,07;0,10;0,10;0,00;0,14;0,10;0,00;0,00;10,75;0,46;0,06;5
84;2012;-0,01;;2014;421,00;0,06;0,00;0,00;0,00;0,00;0,31;0,00;0,00;0,00;10,64;2,64;-0,53;4
84;2013;0,01;;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,67;2,46;0,29;4
84;2014;0,02;;2016;402,00;0,17;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00;10,68;2,04;0,31;4
85;2012;0,17;3,96;2014;97,00;0,48;0,34;0,38;0,35;0,37;0,33;0,10;0,05;0,05;10,13;2,06;0,13;2
85;2013;0,16;4,60;2015;49,00;0,63;0,08;0,09;0,07;0,09;0,11;0,10;0,05;0,05;10,14;4,93;0,13;2
85;2014;0,11;5,01;2016;51,00;0,62;0,09;0,07;0,07;0,08;0,11;0,10;0,05;0,05;10,13;4,93;0,09;2
86;2012;0,10;1,90;2014;398,00;0,10;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00;9,96;1,12;0,29;3
86;2013;0,07;2,17;2015;494,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;10,08;1,19;0,22;3
86;2014;0,07;1,37;2016;497,00;0,03;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,00;10,18;1,21;0,20;3
87;2012;0,13;2,57;2014;43,00;0,58;0,32;0,33;0,34;0,49;0,80;0,10;0,05;0,05;9,65;38,73;0,10;2
87;2013;0,13;3,17;2015;38,00;0,65;0,07;0,08;0,06;0,13;0,12;0,10;0,05;0,05;9,64;13,91;0,10;2
87;2014;0,12;3,27;2016;45,00;0,64;0,07;0,06;0,07;0,12;0,12;0,10;0,05;0,05;9,67;6,39;0,09;2
88;2012;0,04;0,75;2014;417,00;0,07;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;11,22;0,77;0,10;1
88;2013;0,04;1,09;2015;364,00;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;11,20;0,88;0,11;1
88;2014;0,05;1,15;2016;374,00;0,19;0,00;0,03;0,00;0,00;0,16;0,00;0,00;0,00;11,20;0,84;0,12;1
89;2012;0,02;0,46;2014;348,00;0,15;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00;10,59;0,10;0,31;4
89;2013;0,02;0,50;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,73;0,10;0,33;4
89;2014;0,02;0,43;2016;412,00;0,17;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00;10,86;0,10;0,36;4
90;2012;0,17;;2014;366,00;0,14;0,00;0,00;0,00;0,00;0,68;0,00;0,00;0,00;9,22;0,00;0,10;1
90;2013;0,18;;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,30;0,00;0,10;1
90;2014;0,19;;2016;429,00;0,16;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00;9,41;0,00;0,11;1
91;2012;0,14;1,37;2014;52,00;0,56;0,24;0,45;0,53;0,57;0,46;0,10;0,05;0,05;10,10;0,11;0,09;6
91;2013;0,12;1,54;2015;105,00;0,54;0,03;0,07;0,08;0,09;0,07;0,10;0,05;0,05;10,17;0,22;0,09;6
91;2014;0,11;1,45;2016;85,00;0,55;0,04;0,06;0,07;0,10;0,08;0,10;0,05;0,05;10,20;0,21;0,09;6
92;2012;0,01;0,14;2014;342,00;0,16;0,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00;10,53;0,68;0,11;4
92;2013;0,00;0,21;2015;364,00;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;10,54;0,76;0,01;4
92;2014;0,01;0,21;2016;435,00;0,15;0,00;0,04;0,00;0,00;0,11;0,00;0,00;0,00;10,49;0,77;0,07;4
93;2012;0,01;0,76;2014;148,00;0,41;0,76;0,61;0,00;0,00;1,00;0,00;0,00;0,00;10,36;1,81;0,04;11
93;2013;0,03;0,83;2015;380,00;0,16;0,00;0,08;0,00;0,00;0,08;0,00;0,00;0,00;10,34;1,76;0,07;11
93;2014;-0,03;0,76;2016;345,00;0,21;0,00;0,13;0,00;0,00;0,08;0,00;0,00;0,00;10,37;2,28;0,07;11
94;2012;0,03;0,79;2014;16,00;0,68;0,47;0,53;0,55;0,77;0,65;0,10;0,05;0,05;10,10;0,80;0,07;11
94;2013;0,05;1,01;2015;32,00;0,66;0,04;0,11;0,09;0,12;0,11;0,10;0,05;0,05;10,06;0,63;0,15;11
94;2014;0,01;0,95;2016;19,00;0,72;0,08;0,10;0,10;0,12;0,11;0,10;0,05;0,05;10,07;0,61;0,04;11
95;2012;0,01;0,22;2014;269,00;0,26;0,43;0,32;0,00;0,00;0,24;0,10;0,00;0,00;11,50;1,20;0,16;4
95;2013;0,01;0,26;2015;262,00;0,31;0,02;0,04;0,00;0,00;0,10;0,10;0,00;0,05;11,47;0,95;0,18;4
95;2014;0,01;0,28;2016;260,00;0,29;0,00;0,04;0,00;0,00;0,10;0,10;0,00;0,05;11,49;1,06;0,19;4
96;2012;0,34;;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,52;0,05;0,21;1
96;2013;0,28;;2015;414,00;0,12;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;9,55;0,47;0,20;1
96;2014;0,16;;2016;436,00;0,15;0,00;0,03;0,00;0,00;0,12;0,00;0,00;0,00;9,56;0,71;0,13;1
97;2012;0,12;1,44;2014;271,00;0,26;0,71;0,36;0,00;0,00;0,00;0,10;0,00;0,00;9,73;1,07;0,12;6
97;2013;0,11;1,51;2015;290,00;0,27;0,00;0,04;0,00;0,00;0,13;0,10;0,00;0,00;9,85;1,49;0,13;6
97;2014;0,09;1,67;2016;263,00;0,29;0,00;0,06;0,00;0,00;0,13;0,10;0,00;0,00;9,85;1,34;0,13;6
98;2012;0,07;0,73;2014;117,00;0,45;0,18;0,36;0,67;0,29;0,15;0,10;0,05;0,05;11,07;0,43;0,14;3
98;2013;0,08;0,88;2015;150,00;0,45;0,04;0,06;0,10;0,05;0,01;0,10;0,05;0,05;11,07;0,40;0,16;3
98;2014;0,06;0,89;2016;105,00;0,52;0,05;0,06;0,10;0,10;0,01;0,10;0,05;0,05;11,07;0,43;0,12;3
99;2012;0,06;1,54;2014;228,00;0,31;0,66;0,72;0,00;0,00;0,26;0,00;0,05;0,00;10,47;0,11;0,02;2
99;2013;0,07;1,78;2015;301,00;0,25;0,00;0,08;0,00;0,00;0,12;0,00;0,05;0,00;10,51;0,44;0,02;2
99;2014;0,06;1,86;2016;267,00;0,28;0,00;0,11;0,00;0,00;0,12;0,00;0,05;0,00;10,54;0,41;0,02;2
100;2012;0,11;1,94;2014;156,00;0,40;0,16;0,25;0,17;0,36;0,28;0,10;0,05;0,05;9,94;2,68;0,10;2
100;2013;0,04;2,19;2015;146,00;0,47;0,04;0,06;0,01;0,06;0,10;0,10;0,05;0,05;9,96;1,67;0,05;2
100;2014;0,11;2,00;2016;106,00;0,51;0,06;0,07;0,03;0,05;0,10;0,10;0,05;0,05;9,92;1,39;0,11;2
101;2012;-0,06;4,70;2014;196,00;0,35;0,53;0,45;0,00;0,00;1,00;0,00;0,00;0,00;9,67;0,03;-0,01;7
101;2013;-0,02;4,29;2015;201,00;0,39;0,07;0,04;0,00;0,00;0,19;0,10;0,00;0,00;9,91;0,09;-0,09;7
101;2014;-0,03;4,53;2016;218,00;0,35;0,00;0,06;0,00;0,00;0,19;0,10;0,00;0,00;9,97;0,44;-0,06;7
102;2012;0,09;0,72;2014;47,00;0,57;0,50;0,61;0,60;0,82;0,21;0,10;0,00;0,05;10,97;0,31;0,18;7
102;2013;0,10;0,92;2015;43,00;0,63;0,06;0,08;0,06;0,10;0,14;0,10;0,05;0,05;11,00;0,22;0,20;7
102;2014;0,08;0,95;2016;46,00;0,64;0,05;0,10;0,06;0,08;0,14;0,10;0,05;0,05;11,02;0,35;0,16;7
103;2012;0,06;0,94;2014;136,00;0,42;0,30;0,43;0,31;0,13;0,22;0,10;0,05;0,05;10,49;1,01;0,16;6
103;2013;0,06;1,19;2015;96,00;0,55;0,06;0,07;0,04;0,00;0,18;0,10;0,05;0,05;10,50;0,86;0,16;6
103;2014;0,06;1,36;2016;40,00;0,65;0,12;0,07;0,05;0,04;0,18;0,10;0,05;0,05;10,52;0,85;0,15;6
104;2012;0,01;0,83;2014;258,00;0,27;0,15;0,09;0,23;0,00;1,00;0,00;0,00;0,00;10,73;1,01;0,04;10
104;2013;0,00;0,76;2015;182,00;0,41;0,02;0,00;0,02;0,00;0,16;0,10;0,05;0,05;10,71;1,17;-0,01;10
104;2014;0,02;0,89;2016;113,00;0,50;0,01;0,02;0,02;0,09;0,16;0,10;0,05;0,05;10,70;1,34;0,04;10
105;2012;0,18;;2014;119,00;0,45;0,55;0,30;0,14;0,37;1,00;0,00;0,05;0,00;9,81;0,00;0,14;7
105;2013;0,17;3,23;2015;55,00;0,61;0,09;0,04;0,04;0,10;0,15;0,10;0,05;0,05;9,91;0,00;0,14;7
105;2014;0,15;2,54;2016;55,00;0,62;0,10;0,04;0,05;0,06;0,17;0,10;0,05;0,05;10,07;0,12;0,14;7
106;2012;0,08;1,95;2014;401,00;0,10;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;9,68;0,00;0,14;7
106;2013;0,07;1,75;2015;340,00;0,19;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00;9,72;0,00;0,12;7
106;2014;0,05;1,70;2016;348,00;0,21;0,00;0,02;0,00;0,00;0,19;0,00;0,00;0,00;9,74;0,59;0,08;7
107;2012;0,06;0,95;2014;36,00;0,60;0,88;0,89;0,79;0,00;0,59;0,00;0,05;0,05;10,82;0,26;0,03;2
107;2013;0,07;1,22;2015;16,00;0,74;0,13;0,14;0,12;0,00;0,14;0,10;0,05;0,05;10,85;0,35;0,04;2
107;2014;0,06;1,54;2016;16,00;0,73;0,12;0,14;0,13;0,00;0,14;0,10;0,05;0,05;10,87;0,34;0,03;2
108;2012;0,12;0,86;2014;60,00;0,53;0,35;0,57;0,36;0,32;0,47;0,10;0,05;0,05;11,37;0,09;0,11;3
108;2013;0,09;0,95;2015;130,00;0,50;0,06;0,09;0,09;0,06;0,01;0,10;0,05;0,05;11,40;0,13;0,09;3
108;2014;0,07;0,84;2016;159,00;0,42;0,07;0,08;0,06;0,00;0,01;0,10;0,05;0,05;11,42;0,16;0,09;3
109;2012;0,05;1,38;2014;322,00;0,18;0,00;0,00;0,00;0,00;0,87;0,00;0,00;0,00;9,93;0,89;0,24;3
109;2013;0,03;1,59;2015;494,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;9,98;0,97;0,11;3
109;2014;0,05;1,26;2016;495,00;0,03;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,00;10,07;0,67;0,20;3
110;2012;0,01;1,05;2014;278,00;0,24;0,00;0,29;0,12;0,00;0,42;0,10;0,00;0,00;10,67;1,63;0,02;11
110;2013;0,04;1,16;2015;212,00;0,38;0,11;0,04;0,01;0,00;0,12;0,10;0,00;0,00;10,70;1,66;0,13;11
110;2014;0,03;1,26;2016;295,00;0,25;0,00;0,03;0,00;0,00;0,12;0,10;0,00;0,00;10,74;1,89;0,11;11
111;2012;0,02;;2014;39,00;0,59;0,12;0,30;0,89;0,77;0,42;0,10;0,05;0,05;10,65;5,96;0,03;6
111;2013;0,22;;2015;74,00;0,58;0,04;0,06;0,08;0,09;0,10;0,10;0,05;0,05;10,72;0,84;0,28;6
111;2014;0,01;;2016;44,00;0,64;0,06;0,09;0,09;0,10;0,10;0,10;0,05;0,05;10,73;0,97;0,02;6
112;2012;0,06;;2014;89,00;0,49;0,48;0,50;0,70;0,00;0,17;0,10;0,05;0,05;10,70;1,06;0,08;8
112;2013;0,09;;2015;83,00;0,56;0,08;0,06;0,14;0,00;0,09;0,10;0,05;0,05;10,71;0,67;0,14;8
112;2014;0,07;;2016;221,00;0,34;0,00;0,05;0,00;0,00;0,09;0,10;0,05;0,05;10,70;0,71;0,10;8
113;2012;0,06;0,57;2014;165,00;0,39;0,62;0,42;0,14;0,00;0,55;0,00;0,05;0,05;10,75;3,80;0,08;6
113;2013;0,06;0,49;2015;233,00;0,35;0,00;0,09;0,00;0,00;0,07;0,10;0,05;0,05;10,77;2,50;0,09;6
113;2014;0,05;0,47;2016;224,00;0,34;0,00;0,07;0,00;0,00;0,07;0,10;0,05;0,05;10,79;3,19;0,09;6
114;2012;0,03;0,54;2014;380,00;0,12;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;10,88;2,14;0,31;4
114;2013;0,03;0,55;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,90;2,00;0,30;4
114;2014;0,03;0,58;2016;438,00;0,15;0,00;0,05;0,00;0,00;0,10;0,00;0,00;0,00;10,92;2,13;0,27;4
115;2012;0,09;;2014;331,00;0,17;0,00;0,00;0,00;0,00;0,84;0,00;0,00;0,00;10,01;0,64;0,06;1
115;2013;0,10;;2015;426,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,03;0,54;0,06;1
115;2014;0,10;;2016;377,00;0,19;0,00;0,09;0,00;0,00;0,10;0,00;0,00;0,00;10,04;0,50;0,06;1
116;2012;0,06;1,30;2014;112,00;0,46;0,18;0,25;0,48;0,14;0,78;0,10;0,05;0,00;9,97;0,81;0,08;5
116;2013;0,09;1,18;2015;195,00;0,40;0,01;0,04;0,04;0,02;0,14;0,10;0,05;0,00;9,95;0,79;0,12;5
116;2014;0,06;1,32;2016;182,00;0,39;0,02;0,03;0,04;0,00;0,14;0,10;0,05;0,00;9,99;0,75;0,07;5
117;2012;0,08;0,94;2014;376,00;0,12;0,00;0,00;0,00;0,00;0,62;0,00;0,00;0,00;10,52;0,28;0,13;6
117;2013;0,08;1,15;2015;399,00;0,14;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;10,54;0,15;0,14;6
117;2014;0,07;1,22;2016;371,00;0,19;0,00;0,06;0,00;0,00;0,14;0,00;0,00;0,00;10,57;0,15;0,13;6
118;2012;0,07;1,27;2014;420,00;0,06;0,28;0,09;0,00;0,01;0,04;0,00;0,00;0,00;10,91;0,31;0,13;1
118;2013;0,08;1,70;2015;255,00;0,32;0,01;0,01;0,00;0,01;0,14;0,10;0,05;0,00;10,92;0,26;0,14;1
118;2014;0,09;1,97;2016;249,00;0,31;0,01;0,01;0,00;0,00;0,14;0,10;0,05;0,00;10,94;0,37;0,16;1
119;2012;0,07;1,10;2014;362,00;0,14;0,00;0,00;0,00;0,00;0,70;0,00;0,00;0,00;10,11;0,83;0,21;1
119;2013;0,07;1,31;2015;364,00;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;10,18;1,05;0,19;1
119;2014;0,07;1,33;2016;336,00;0,21;0,00;0,05;0,00;0,00;0,16;0,00;0,00;0,00;10,20;1,08;0,18;1
120;2012;0,04;;2014;348,00;0,15;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00;10,24;307,87;0,04;1
120;2013;0,04;;2015;364,00;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;10,31;12,91;0,06;1
120;2014;0,04;;2016;354,00;0,20;0,00;0,04;0,00;0,00;0,16;0,00;0,00;0,00;10,34;6,85;0,06;1
121;2012;0,23;3,26;2014;385,00;0,12;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00;9,42;0,16;0,08;1
121;2013;0,22;4,62;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,46;1,05;0,08;1
121;2014;0,20;3,65;2016;368,00;0,19;0,00;0,09;0,00;0,00;0,10;0,00;0,00;0,00;9,53;0,48;0,07;1
122;2012;0,08;1,21;2014;231,00;0,30;0,54;0,29;0,00;0,00;0,65;0,00;0,05;0,00;10,02;0,45;0,10;6
122;2013;0,10;1,62;2015;281,00;0,28;0,08;0,06;0,00;0,00;0,10;0,00;0,05;0,00;10,03;0,48;0,11;6
122;2014;0,09;1,46;2016;351,00;0,20;0,00;0,06;0,00;0,00;0,10;0,00;0,05;0,00;9,96;0,61;0,10;6
123;2012;0,02;;2014;162,00;0,39;0,25;0,38;0,11;0,37;0,12;0,10;0,05;0,05;10,84;1,18;0,01;8
123;2013;0,07;;2015;135,00;0,50;0,06;0,05;0,06;0,03;0,10;0,10;0,05;0,05;10,84;0,73;0,08;8
123;2014;0,05;;2016;116,00;0,50;0,06;0,05;0,09;0,03;0,07;0,10;0,05;0,05;10,84;1,02;0,06;8
124;2012;0,07;1,04;2014;115,00;0,46;0,28;0,39;0,27;0,47;0,73;0,00;0,05;0,05;9,95;1,12;0,10;2
124;2013;0,07;1,17;2015;76,00;0,58;0,13;0,08;0,09;0,00;0,07;0,10;0,05;0,05;9,91;1,10;0,10;2
124;2014;0,09;1,97;2016;226,00;0,34;0,00;0,07;0,00;0,00;0,07;0,10;0,05;0,05;9,92;1,13;0,11;2
125;2012;0,02;0,65;2014;208,00;0,33;0,60;0,26;0,60;0,12;0,24;0,00;0,05;0,00;10,42;0,95;0,07;11
125;2013;0,03;0,75;2015;80,00;0,57;0,08;0,03;0,12;0,03;0,11;0,10;0,05;0,05;10,41;0,91;0,07;11
125;2014;0,03;0,83;2016;32,00;0,67;0,12;0,04;0,14;0,05;0,11;0,10;0,05;0,05;10,45;1,00;0,07;11
126;2012;0,02;0,71;2014;159,00;0,39;0,03;0,12;0,60;0,79;0,07;0,10;0,00;0,05;11,06;0,89;0,09;11
126;2013;0,02;0,74;2015;111,00;0,53;0,05;0,02;0,09;0,11;0,06;0,10;0,05;0,05;11,06;0,92;0,11;11
126;2014;0,02;0,79;2016;107,00;0,51;0,02;0,02;0,06;0,09;0,12;0,10;0,05;0,05;11,08;0,91;0,08;11
127;2012;0,05;1,19;2014;252,00;0,28;0,29;0,11;0,24;0,03;0,40;0,10;0,00;0,00;10,20;2,21;0,07;5
127;2013;0,04;1,21;2015;278,00;0,29;0,06;0,04;0,00;0,00;0,14;0,00;0,05;0,00;10,23;1,84;0,05;5
127;2014;0,04;1,31;2016;323,00;0,23;0,00;0,04;0,00;0,00;0,14;0,00;0,05;0,00;10,25;1,62;0,06;5
128;2012;0,00;0,61;2014;205,00;0,34;0,58;0,12;0,39;0,00;0,37;0,00;0,05;0,05;10,64;0,40;-0,02;3
128;2013;0,00;0,74;2015;272,00;0,29;0,00;0,02;0,06;0,00;0,01;0,10;0,05;0,05;10,63;0,39;0,00;3
128;2014;0,03;0,68;2016;189,00;0,38;0,00;0,08;0,08;0,00;0,02;0,10;0,05;0,05;10,70;0,46;0,08;3
129;2012;0,08;0,58;2014;303,00;0,20;0,30;0,45;0,00;0,00;0,19;0,00;0,00;0,05;10,57;0,20;0,19;7
129;2013;0,07;0,56;2015;197,00;0,40;0,10;0,11;0,00;0,00;0,14;0,00;0,00;0,05;10,62;0,17;0,18;7
129;2014;0,00;0,59;2016;96,00;0,54;0,13;0,08;0,15;0,00;0,13;0,00;0,00;0,05;10,65;0,34;0,00;7
130;2012;0,04;1,43;2014;4,00;0,83;0,73;0,80;0,84;0,60;0,90;0,10;0,05;0,05;10,24;0,94;0,06;8
130;2013;0,05;1,85;2015;7,00;0,78;0,13;0,14;0,14;0,06;0,10;0,10;0,05;0,05;10,29;0,82;0,07;8
