"X","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
1,0.0781815512079756,1.07,0.429405070790342,9.64390390693478,-104.889524198756,9579.30323711664,0.72,0.54,0.57,0.79,0.71,0,1,1,2.07971169162903,-0.566130919185252,-370219852218.576,1.00869990729994,0.0402619842881623,2013,1,23.3005451154938,0.0676586484738149
2,-0.0404015953840855,1.03,0.441338294895619,20.5142662904503,39.5893918714548,1118.43498492839,0.11,0,0.08,0.04,0.52,0,1,1,1.95157655457163,0.155200329542054,-396623638680.301,0.314711639070007,-0.042838934246975,2014,1,22.6861726182601,0.0295588022415444
3,0.0555942469704121,1.54,-0.210187033387078,-2.9451872030034,64.1652985735599,1549.40108327686,0.11,0.01,0.09,0.06,0.55,0,1,1,-1.34151079233632,0.298563864084712,217040156872.084,1.68092636605572,0.0388677431258822,2015,1,25.3512413986186,0.431782416425538
4,-0.0616,0.36,-0.255027848470715,0.543584479355314,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-1.45256451490393,-0.197396282196205,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,24.4675326931399,-1.02165124753198
5,0.0653,-2.30880838940614,0.9952,5.93,-79.3099222585814,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,24.5022373345869,-0.797084005406686
6,0.1587,0.635719672697032,0.689451499218128,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,24.6030755200099,0.272097253776835
7,0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,22.4397222098879,0.350656871613169
8,0.0678919195620005,1.53,-0.0789680961783996,-6.97916295498498,33.6839275242459,6382.2389926208,0,0,0,0,0.1,0,0,0,1.23025829646836,0.493399757484547,134126312920.843,1.94587936650084,0.081231116123042,2014,3,24.6540322674573,0.425267735404344
9,0.055016833164229,1.63,-0.115323931290849,-2.18588458771486,115.039359622951,-8483.13593160175,0.06,0,0,0,0.16,0,0,0,0.38902299752545,-0.0803084343296206,-501740444426.969,0.100695664640629,-0.0755768442571862,2015,3,22.3008200639813,0.488580014818671
10,0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,26.1401836827305,0.779324876800998
11,0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,26.2912056786902,0.932164081030445
12,0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,26.4044072597882,0.774727167552368
13,0.102646906838423,2.98583446009833,0.690185031734583,22.02,113.635995021545,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,24.0973660507242,0.958583226060956
14,0.0624,2.38584415384591,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,24.0391594736941,1.85877632931437
15,0.1092,2.25036289331958,0.655246509899246,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,24.6945007020064,1.64740238878876
16,0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,23.7087505329738,-0.083381608939051
17,0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,23.9383310506493,-0.105360515657826
18,0.014,0.96,0.2915,31.92,124.849262715895,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,24.1493444963274,-0.0408219945202552
19,0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,24.4833723315986,0.207014169384326
20,0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,24.4435228267526,0.506817602368452
21,0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,24.4428442198096,0.488580014818671
22,0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,21.2431608095554,0.524728528934982
23,0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,21.338829782848,0.53062825106217
24,0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,21.4115070026719,0.536493370514568
25,0.135946593873681,2.62,1.57393216458709,51.7058112796984,-68.8946315817969,-316.647053918825,0.87,0.99,0.92,0.83,0.84,1,1,1,4.57570288804204,0.162743127688371,89563459853.9989,0.550999847598482,0.0376753471009873,2013,9,24.3332899223785,0.963174317773006
26,0.101005834502741,3.2,0.655676019275925,22.3231071110178,-17.4462227875032,13212.7239366773,0.09,0.12,0.09,0.13,0.83,1,1,1,2.63846044602696,0.105268113961448,-76029055527.5577,1.96526093531432,-0.0122108921118647,2014,9,25.3148156458161,1.16315080980568
27,0.0663344402130762,3.82,0.459933465694063,20.705063862662,37.3349291759649,-277.138505770334,0.08,0.08,0.03,0.06,0.62,1,1,1,0.840452388570067,-0.222888733436442,180796475649.609,0.973483730024112,0.0477791915343898,2015,9,24.6437404411901,1.34025042261848
28,0.107258530800396,1.77,-0.0889146324311157,-8.8054402087901,93.0513444410385,-5358.77246113687,0.48,0.59,0.3,0.55,0.56,1,0,1,-1.84755511845796,0.0160301653326954,197635508960.729,1.31523601875755,0.0246039468929499,2013,10,24.3483305344221,0.570979546585738
29,0.11825978744222,1.95,0.678884525893249,20.9309747752423,-2.79072395532738,15660.7497340435,0.08,0.07,0.04,0.08,0.51,1,0,1,2.16304457526573,0.265472884521246,-40460463995.6505,1.54411687971311,0.0236277206132968,2014,10,23.0026953969024,0.667829372575655
