"";"Companies";"YearFinancialIndicator";"Industry";"Asset";"DebtRatio";"NetMargin";"ROA";"ROE";"TobinsQ";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"GreenReputation";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore"
"217";73;2015;2;1,6269e+10;2,32;0,08;0,08;0,39;1,93;0,13;0,13;0,11;0,12;0,07;0,1;0,05;0,05
"218";73;2014;2;1,6269e+10;1,63;0,08;0,07;0,26;1,64;0,12;0,14;0,12;0,11;0,07;0,1;0,05;0,05
"219";73;2013;2;1,6269e+10;1,05;0,08;0,07;0,24;1,55;0,59;0,84;0,6;0,91;0,04;0,1;0,05;0,05
"220";74;2014;4;21143276000;1,76;0,09;0,02;0,05;1,79;0;0;0;0;0,15;0;0;0
"221";74;2015;4;22036245000;1,71;0,4;0,07;0,21;1,86;0;0,07;0;0;0,15;0;0;0
"222";74;2013;4;20594908000;1,66;0,03;0,01;0,02;1,74;0;0;0;0;0,4;0;0;0
"223";75;2013;1;4,0104e+10;0,33;0,07;0,03;0,05;1,2;0,05;0,05;0,48;0,07;0,2;0;0,05;0,05
"224";75;2015;1;3,9237e+10;0,31;0,11;0,05;0,07;1,3;0;0,02;0;0;0,12;0,1;0,05;0,05
"225";75;2014;1;3,9532e+10;0,3;0,08;0,03;0,05;1,19;0,01;0,01;0,06;0,01;0,12;0,1;0,05;0,05
"226";76;2013;8;9,018e+09;1,07;0,17;0,12;0,5;1,1;0;0;0;0;0,59;0;0,05;0
"227";76;2015;8;8,586e+09;1,04;0,05;0,03;0,12;1,29;0;0,04;0;0;0,07;0;0,05;0
"228";76;2014;8;8,796e+09;0,93;0,09;0,07;0,23;1,18;0;0;0;0;0,1;0;0,05;0
"229";77;2015;5;27053400000;2,41;0,17;0,07;0,26;3,74;0,14;0,02;0,15;0;0,17;0,1;0;0,05
"230";77;2014;5;17340100000;0,96;0,26;0,13;0,37;5,09;0;0,02;0,11;0;0,17;0,1;0;0,05
"231";77;2013;5;13378200000;0,75;0,22;0,12;0,26;5,07;0,74;0,76;0,75;0;0,91;0;0;0,05
"232";78;2015;5;5522925000;0,15;0,12;0,1;0,14;NA;0;0;0;0;0,19;0;0;0
"233";78;2013;5;4098364000;0,04;0,14;0,1;0,13;4,03;0;0;0;0;0;0;0;0
"234";78;2014;5;4392638000;0,03;0,13;0,1;0,13;NA;0;0;0;0;0,19;0;0;0
"235";79;2015;8;12738900000;1,39;0,16;0,06;0,17;1,19;0;0,03;0;0;0,08;0;0;0
"236";79;2014;8;11338200000;1,09;0,29;0,12;0,31;1,44;0;0;0;0;0,1;0;0;0
"237";79;2013;8;10678100000;0,61;0,27;0,15;0,28;1,34;0;0,1;0;0;0,79;0;0;0
"238";80;2015;2;4256900000;0,34;0,12;0,1;0,21;2,75;0;0,09;0;0;0,12;0;0;0
"239";80;2014;2;4381300000;0,33;0,13;0,1;0,2;2,54;0,05;0;0,07;0,03;0,12;0;0;0
"240";80;2013;2;4259700000;0,28;0,12;0,1;0,18;2,21;0,3;0,17;0,23;0,11;1;0;0;0
"241";81;2013;6;2,803e+09;0,53;0,03;0,15;0,34;3,16;0;0;0;0;0;0;0;0
"242";81;2014;6;3,214e+09;0,48;0,03;0,15;0,45;3,4;0;0,1;0;0;0,08;0;0,05;0
"243";81;2015;6;3,184e+09;0,43;0,04;0,16;0,46;2,86;0;0,01;0;0;0,08;0;0,05;0
"244";82;2014;1;2,439e+10;143,99;-0,02;-0,01;-1,23;1,6;0;0;0;0;0,16;0;0;0
"245";82;2013;1;1,73e+10;93,91;-0,02;-0,01;-1,13;1,65;0;0;0;0;0;0;0;0
"246";82;2015;1;3,932e+10;-776,59;-0,03;-0,01;-5,42;1,42;0;0,02;0;0;0,16;0;0;0
"247";83;2013;5;5,4336e+10;0,47;0,05;0,03;0,15;0,58;0;0,86;0;0;0,9;0;0;0
"248";83;2014;5;5,5896e+10;0,46;0,06;0,04;0,19;0,64;0,06;0,1;0;0;0,14;0,1;0;0
"249";83;2015;5;5,7088e+10;0,42;0,06;0,04;0,18;0,8;0,07;0,1;0,1;0;0,14;0,1;0;0
"250";84;2013;4;4,7139e+10;2,46;0,29;0,01;0,08;NA;0;0;0;0;0,31;0;0;0
"251";84;2014;4;4,788e+10;2,04;0,31;0,02;0,13;NA;0;0;0;0;0,1;0;0;0
"252";84;2015;4;67498800000;1,69;0,27;0,02;0,11;NA;0;0,07;0;0;0,1;0;0;0
"253";85;2014;2;1,3459e+10;4,93;0,09;0,11;1,26;5,01;0,08;0,09;0,07;0,09;0,11;0,1;0,05;0,05
"254";85;2013;2;1,3876e+10;4,93;0,13;0,16;1;4,6;0,34;0,38;0,35;0,37;0,33;0,1;0,05;0,05
"255";85;2015;2;1,1958e+10;2,25;0,14;0,19;3,27;5,44;0,09;0,07;0,07;0,08;0,11;0,1;0,05;0,05
"256";86;2015;3;1,492e+10;1,52;-0,13;-0,02;-0,07;1,06;0;0,02;0;0;0,01;0;0;0
"257";86;2014;3;1,508e+10;1,21;0,2;0,07;0,22;1,37;0;0;0;0;0,01;0;0;0
"258";86;2013;3;1,194e+10;1,19;0,22;0,07;0,21;2,17;0;0;0;0;0,51;0;0;0
"259";87;2013;2;4,388e+09;13,91;0,1;0,13;4,8;3,17;0,32;0,33;0,34;0,49;0,8;0,1;0,05;0,05
"260";87;2015;2;4,175e+09;9,07;0,12;0,16;4,26;4,33;0,07;0,06;0,07;0,12;0,12;0,1;0,05;0,05
"261";87;2014;2;4,674e+09;6,39;0,09;0,12;3,72;3,27;0,07;0,08;0,06;0,13;0,12;0,1;0,05;0,05
"262";88;2015;1;1,66574e+11;0,94;0,11;0,05;0,16;1,16;0;0,03;0;0;0,16;0;0;0
"263";88;2013;1;1,58813e+11;0,88;0,11;0,04;0,14;1,09;0;0;0;0;0,33;0;0;0
"264";88;2014;1;1,59339e+11;0,84;0,12;0,05;0,16;1,15;0;0;0;0;0,16;0;0;0
"265";89;2015;4;67371500000;0,11;0,37;0,02;0,06;0,47;0;0,07;0;0;0,1;0;0;0
"266";89;2014;4;72241500000;0,1;0,36;0,02;0,05;0,43;0;0;0;0;0,1;0;0;0
"267";89;2013;4;54277800000;0,1;0,33;0,02;0,05;0,5;0;0;0;0;0,76;0;0;0
"268";90;2013;1;2009280000;0;0,1;0,18;0,23;NA;0;0;0;0;0,68;0;0;0
"269";90;2014;1;2546285000;0;0,11;0,19;0,24;NA;0;0;0;0;0,1;0;0;0
"270";90;2015;1;2725066000;0;0,11;0,17;0,21;NA;0;0,06;0;0;0,1;0;0;0
"271";91;2013;6;1,4728e+10;0,22;0,09;0,12;0,21;1,54;0,24;0,45;0,53;0,57;0,46;0,1;0,05;0,05
"272";91;2015;6;1,5134e+10;0,21;0,07;0,09;0,18;0,85;0,04;0,06;0,07;0,1;0,08;0,1;0,05;0,05
"273";91;2014;6;1,5776e+10;0,21;0,09;0,11;0,22;1,45;0,03;0,07;0,08;0,09;0,07;0,1;0,05;0,05
"274";92;2015;4;31125100000;1;0,05;0,01;0,04;NA;0;0,04;0;0;0,11;0;0;0
"275";92;2014;4;31184200000;0,77;0,07;0,01;0,06;0,21;0;0;0;0;0,16;0;0;0
"276";92;2013;4;34780600000;0,76;0,01;0;0,01;0,21;0;0;0;0;0,8;0;0;0
"277";93;2014;11;2,32e+10;2,28;0,07;-0,03;-0,17;0,76;0;0,08;0;0;0,08;0;0;0
"278";93;2015;11;2,1334e+10;1,94;0,06;0,02;0,1;0,73;0;0,13;0;0;0,08;0;0;0
"279";93;2013;11;2,187e+10;1,76;0,07;0,03;0,14;0,83;0,76;0,61;0;0;1;0;0;0
"280";94;2013;11;11393667000;0,63;0,15;0,05;0,16;1,01;0,47;0,53;0,55;0,77;0,65;0,1;0,05;0,05
"281";94;2014;11;11759530000;0,61;0,04;0,01;0,03;0,95;0,04;0,11;0,09;0,12;0,11;0,1;0,05;0,05
"282";94;2015;11;10929902000;0,58;-0,12;-0,03;-0,08;0,49;0,08;0,1;0,1;0,12;0,11;0,1;0,05;0,05
"283";95;2015;4;3,34048e+11;1,23;0,17;0,01;0,08;0,23;0;0,04;0;0;0,1;0,1;0;0,05
"284";95;2014;4;3,08854e+11;1,06;0,19;0,01;0,1;0,28;0,02;0,04;0;0;0,1;0,1;0;0,05
"285";95;2013;4;2,97048e+11;0,95;0,18;0,01;0,1;0,26;0,43;0,32;0;0;0,24;0,1;0;0
"286";96;2014;1;3617200000;0,71;0,13;0,16;0,23;NA;0;0;0;0;0,12;0;0;0
"287";96;2013;1;3543817000;0,47;0,2;0,28;0,41;NA;0;0;0;0;0;0;0;0
"288";96;2015;1;4603700000;0,34;0,09;0,08;0,15;NA;0;0,03;0;0;0,12;0;0;0
"289";97;2013;6;7,093e+09;1,49;0,13;0,11;0,47;1,51;0,71;0,36;0;0;0;0,1;0;0
"290";97;2014;6;7,14e+09;1,34;0,13;0,09;0,35;1,67;0;0,04;0;0;0,13;0,1;0;0
"291";97;2015;6;7,471e+09;1,3;0,12;0,09;0,34;1,69;0;0,06;0;0;0,13;0,1;0;0
"292";98;2015;3;9,7484e+10;0,59;-0,14;-0,04;-0,1;0,84;0,05;0,06;0,1;0,1;0,01;0,1;0,05;0,05
"293";98;2014;3;1,16539e+11;0,43;0,12;0,06;0,13;0,89;0,04;0,06;0,1;0,05;0,01;0,1;0,05;0,05
"294";98;2013;3;1,18057e+11;0,4;0,16;0,08;0,18;0,88;0,18;0,36;0,67;0,29;0,15;0,1;0,05;0,05
"295";99;2015;2;3,5451e+10;0,45;0,02;0,07;0,22;2,12;0;0,11;0;0;0,12;0;0,05;0
"296";99;2013;2;3,2319e+10;0,44;0,02;0,07;0,19;1,78;0,66;0,72;0;0;0,26;0;0,05;0
"297";99;2014;2;3,4613e+10;0,41;0,02;0,06;0,18;1,86;0;0,08;0;0;0,12;0;0,05;0
"298";100;2015;2;8,304e+09;1,8;0,08;0,08;0,44;2,27;0,06;0,07;0,03;0,05;0,1;0,1;0,05;0,05
"299";100;2013;2;9,055e+09;1,67;0,05;0,04;0,31;2,19;0,16;0,25;0,17;0,36;0,28;0,1;0,05;0,05
"300";100;2014;2;8,297e+09;1,39;0,11;0,11;0,56;2;0,04;0,06;0,01;0,06;0,1;0,1;0,05;0,05
"301";101;2014;7;9412663000;0,44;-0,06;-0,03;-0,09;4,53;0,07;0,04;0;0;0,19;0,1;0;0
"302";101;2015;7;10911966000;0,27;-0,05;-0,01;-0,02;4,71;0;0,06;0;0;0,19;0,1;0;0
"303";101;2013;7;8097634000;0,09;-0,09;-0,02;-0,05;4,29;0,53;0,45;0;0;1;0;0;0
"304";102;2015;7;1,11773e+11;0,36;0,19;0,09;0,16;1,04;0,05;0,1;0,06;0,08;0,14;0,1;0,05;0,05
"305";102;2014;7;1,03978e+11;0,35;0,16;0,08;0,14;0,95;0,06;0,08;0,06;0,1;0,14;0,1;0,05;0,05
"306";102;2013;7;1,00741e+11;0,22;0,2;0,1;0,17;0,92;0,5;0,61;0,6;0,82;0,21;0,1;0;0,05
"307";103;2015;6;3,5039e+10;0,92;0,17;0,06;0,17;1;0,12;0,07;0,05;0,04;0,18;0,1;0,05;0,05
"308";103;2013;6;3,1782e+10;0,86;0,16;0,06;0,19;1,19;0,3;0,43;0,31;0,13;0,22;0,1;0,05;0,05
"309";103;2014;6;3,3053e+10;0,85;0,15;0,06;0,18;1,36;0,06;0,07;0,04;0;0,18;0,1;0,05;0,05
"310";104;2014;10;5,0147e+10;1,34;0,04;0,02;0,05;0,89;0,02;0;0,02;0;0,16;0,1;0,05;0,05
"311";104;2015;10;4,7604e+10;1,33;0,05;0,02;0,06;0,72;0,01;0,02;0,02;0,09;0,16;0,1;0,05;0,05
"312";104;2013;10;5,1787e+10;1,17;-0,01;0;-0,01;0,76;0,15;0,09;0,23;0;1;0;0;0
"313";105;2014;7;11718916000;0,12;0,14;0,15;0,2;2,54;0,09;0,04;0,04;0,1;0,15;0,1;0,05;0,05
"314";105;2015;7;13065400000;0,1;0,13;0,13;0,19;2,47;0,1;0,04;0,05;0,06;0,17;0,1;0,05;0,05
"315";105;2013;7;8208914000;0;0,14;0,17;0,22;3,23;0,55;0,3;0,14;0,37;1;0;0,05;0
"316";106;2015;7;5481438000;0,67;0,1;0,06;0,15;1,93;0;0,02;0;0;0,19;0;0;0
"317";106;2014;7;5512007000;0,59;0,08;0,05;0,1;1,7;0;0;0;0;0,19;0;0;0
"318";106;2013;7;5212249000;0;0,12;0,07;0,1;1,75;0;0;0;0;0,5;0;0;0
"319";107;2015;2;9,3657e+10;0,74;0,03;0,06;0,14;1,38;0,12;0,14;0,13;0;0,14;0,1;0,05;0,05
"320";107;2013;2;7,1526e+10;0,35;0,04;0,07;0,12;1,22;0,88;0,89;0,79;0;0,59;0;0,05;0,05
"321";107;2014;2;7,4252e+10;0,34;0,03;0,06;0,12;1,54;0,13;0,14;0,12;0;0,14;0,1;0,05;0,05
"322";108;2015;3;2,66103e+11;0,22;0,03;0,02;0,03;0,73;0,07;0,08;0,06;0;0,01;0,1;0,05;0,05
"323";108;2014;3;2,66026e+11;0,16;0,09;0,07;0,13;0,84;0,06;0,09;0,09;0,06;0,01;0,1;0,05;0,05
"324";108;2013;3;2,53753e+11;0,13;0,09;0,09;0,15;0,95;0,35;0,57;0,36;0,32;0,47;0,1;0,05;0,05
"325";109;2013;3;9591164000;0,97;0,11;0,03;0,07;1,59;0;0;0;0;0,87;0;0;0
"326";109;2014;3;11799963000;0,67;0,2;0,05;0,11;1,26;0;0;0;0;0,01;0;0;0
"327";109;2015;3;12641876000;0,48;0,04;0,01;0,01;1,16;0;0,02;0;0;0,01;0;0;0
"328";110;2014;11;5,4327e+10;1,89;0,11;0,03;0,11;1,26;0,11;0,04;0,01;0;0,12;0,1;0;0
"329";110;2015;11;5,8797e+10;1,86;0,16;0,03;0,15;1,15;0;0,03;0;0;0,12;0,1;0;0
"330";110;2013;11;5,0096e+10;1,66;0,13;0,04;0,15;1,16;0;0,29;0,12;0;0,42;0,1;0;0
"331";111;2014;6;5,4121e+10;0,97;0,02;0,01;0,06;NA;0,04;0,06;0,08;0,09;0,1;0,1;0,05;0,05
"332";111;2013;6;5,2252e+10;0,84;0,28;0,22;2,22;NA;0,12;0,3;0,89;0,77;0,42;0,1;0,05;0,05
"333";111;2015;6;5,3134e+10;0,62;0,11;0,08;0,45;NA;0,06;0,09;0,09;0,1;0,1;0,1;0,05;0,05
"334";112;2015;8;4,1166e+10;0,78;0,08;0,04;0,17;NA;0;0,05;0;0;0,09;0,1;0,05;0,05
"335";112;2014;8;4,9876e+10;0,71;0,1;0,07;0,23;NA;0,08;0,06;0,14;0;0,09;0,1;0,05;0,05
"336";112;2013;8;5,1499e+10;0,67;0,14;0,09;0,35;NA;0,48;0,5;0,7;0;0,17;0,1;0,05;0,05
"337";113;2015;6;57947600000;4,21;0,07;0,03;0,25;0,46;0;0,07;0;0;0,07;0,1;0,05;0,05
"338";113;2014;6;61336400000;3,19;0,09;0,05;0,31;0,47;0;0,09;0;0;0,07;0,1;0,05;0,05
"339";113;2013;6;59521300000;2,5;0,09;0,06;0,41;0,49;0,62;0,42;0,14;0;0,55;0;0,05;0,05
"340";114;2015;4;8,6936e+10;2,31;0,26;0,03;0,21;0,48;0;0,05;0;0;0,1;0;0;0
"341";114;2014;4;8,3126e+10;2,13;0,27;0,03;0,21;0,58;0;0;0;0;0,1;0;0;0
"342";114;2013;4;7,934e+10;2;0,3;0,03;0,24;0,55;0;0;0;0;0,6;0;0;0
"343";115;2015;1;11288293000;0,58;0,06;0,1;0,21;NA;0;0,09;0;0;0,1;0;0;0
"344";115;2013;1;10775974000;0,54;0,06;0,1;0,2;NA;0;0;0;0;0,84;0;0;0
"345";115;2014;1;10877372000;0,5;0,06;0,1;0,2;NA;0;0;0;0;0,1;0;0;0
"346";116;2013;5;8,948e+09;0,79;0,12;0,09;0,21;1,18;0,18;0,25;0,48;0,14;0,78;0,1;0,05;0
"347";116;2014;5;9,877e+09;0,75;0,07;0,06;0,13;1,32;0,01;0,04;0,04;0,02;0,14;0,1;0,05;0
"348";116;2015;5;9,962e+09;0,75;0,09;0,07;0,16;1,34;0,02;0,03;0,04;0;0,14;0,1;0,05;0
"349";117;2015;6;48222200000;0,51;0,16;0,08;0,14;1,22;0;0,06;0;0;0,14;0;0;0
"350";117;2013;6;34672200000;0,15;0,14;0,08;0,13;1,15;0;0;0;0;0,62;0;0;0
"351";117;2014;6;36991700000;0,15;0,13;0,07;0,11;1,22;0;0;0;0;0,14;0;0;0
"352";118;2014;1;8,7035e+10;0,37;0,16;0,09;0,17;1,97;0,01;0,01;0;0,01;0,14;0,1;0,05;0
"353";118;2015;1;8,8182e+10;0,29;0,16;0,1;0,19;2,08;0,01;0,01;0;0;0,14;0,1;0,05;0
"354";118;2013;1;8,3166e+10;0,26;0,14;0,08;0,15;1,7;0,28;0,09;0;0,01;0,04;0;0;0
"355";119;2015;1;1,5864e+10;1,4;0,16;0,07;0,19;1,12;0;0,05;0;0;0,16;0;0;0
"356";119;2014;1;1,6014e+10;1,08;0,18;0,07;0,19;1,33;0;0;0;0;0,16;0;0;0
"357";119;2013;1;1,4979e+10;1,05;0,19;0,07;0,17;1,31;0;0;0;0;0,7;0;0;0
"358";120;2013;1;20375628000;12,91;0,06;0,04;1,59;NA;0;0;0;0;0,76;0;0;0
"359";120;2014;1;22107462000;6,85;0,06;0,04;0,62;NA;0;0;0;0;0,16;0;0;0
"360";120;2015;1;22886710000;4,45;0,05;0,03;0,28;NA;0;0,04;0;0;0,16;0;0;0
"361";121;2015;1;1,6699e+10;1,99;0,02;0,02;0,09;1,27;0;0,09;0;0;0,1;0;0;0
"362";121;2013;1;2882800000;1,05;0,08;0,22;0,4;4,62;0;0;0;0;0,59;0;0;0
"363";121;2014;1;3367700000;0,48;0,07;0,2;0,44;3,65;0;0;0;0;0,1;0;0;0
"364";122;2015;6;8619763000;0,72;0,13;0,1;0,24;1,29;0;0,06;0;0;0,1;0;0,05;0
"365";122;2014;6;9090385000;0,61;0,1;0,09;0,2;1,46;0,08;0,06;0;0;0,1;0;0,05;0
"366";122;2013;6;10838172000;0,48;0,11;0,1;0,2;1,62;0,54;0,29;0;0;0,65;0;0,05;0
"367";123;2014;8;6,8796e+10;1,02;0,06;0,05;0,16;NA;0,06;0,05;0,06;0,03;0,1;0,1;0,05;0,05
"368";123;2015;8;6,8026e+10;0,76;0,15;0,11;0,37;NA;0,06;0,05;0,09;0,03;0,07;0,1;0,05;0,05
"369";123;2013;8;6,9501e+10;0,73;0,08;0,07;0,22;NA;0,25;0,38;0,11;0,37;0,12;0,1;0,05;0,05
"370";124;2015;2;8,869e+09;1,32;0,12;0,09;0,34;2,27;0;0,07;0;0;0,07;0,1;0,05;0,05
"371";124;2014;2;8,273e+09;1,13;0,11;0,09;0,31;1,97;0,13;0,08;0,09;0;0,07;0,1;0,05;0,05
"372";124;2013;2;8,201e+09;1,1;0,1;0,07;0,27;1,17;0,28;0,39;0,27;0,47;0,73;0;0,05;0,05
"373";125;2015;11;2,8737e+10;1,01;0,07;0,03;0,08;0,81;0,12;0,04;0,14;0,05;0,11;0,1;0,05;0,05
"374";125;2014;11;2,7974e+10;1;0,07;0,03;0,11;0,83;0,08;0,03;0,12;0,03;0,11;0,1;0,05;0,05
"375";125;2013;11;2,5935e+10;0,91;0,07;0,03;0,09;0,75;0,6;0,26;0,6;0,12;0,24;0;0,05;0
"376";126;2015;11;1,21156e+11;0,94;0,12;0,02;0,07;0,73;0,02;0,02;0,06;0,09;0,12;0,1;0,05;0,05
"377";126;2013;11;1,14779e+11;0,92;0,11;0,02;0,07;0,74;0,03;0,12;0,6;0,79;0,07;0,1;0;0,05
"378";126;2014;11;1,20709e+11;0,91;0,08;0,02;0,05;0,79;0,05;0,02;0,09;0,11;0,06;0,1;0,05;0,05
"379";127;2015;5;18514875000;1,85;0,02;0,01;0,05;1,16;0;0,04;0;0;0,14;0;0,05;0
"380";127;2013;5;17098877000;1,84;0,05;0,04;0,15;1,21;0,29;0,11;0,24;0,03;0,4;0,1;0;0
"381";127;2014;5;17942715000;1,62;0,06;0,04;0,15;1,31;0,06;0,04;0;0;0,14;0;0,05;0
"382";128;2015;3;2,9532e+10;1,72;0,08;-0,39;-1,01;0,84;0;0,08;0,08;0;0,02;0,1;0,05;0,05
"383";128;2014;3;5,0637e+10;0,46;0,08;0,03;0,07;0,68;0;0,02;0,06;0;0,01;0,1;0,05;0,05
"384";128;2013;3;4,2877e+10;0,39;0;0;0;0,74;0,58;0,12;0,39;0;0,37;0;0,05;0,05
"385";129;2015;7;1,7785e+10;1,03;0,2;0,05;0,13;1,9;0,13;0,08;0,15;0;0,13;0;0;0,05
"386";129;2014;7;4,5132e+10;0,34;0;0;0;0,59;0,1;0,11;0;0;0,14;0;0;0,05
"387";129;2013;7;4,1488e+10;0,17;0,18;0,07;0,13;0,56;0,3;0,45;0;0;0,19;0;0;0,05
"388";130;2013;8;19636500000;0,82;0,07;0,05;0,14;1,85;0,73;0,8;0,84;0,6;0,9;0,1;0,05;0,05
"389";130;2014;8;19466700000;0,66;0,08;0,06;0,16;1,84;0,13;0,14;0,14;0,06;0,1;0,1;0,05;0,05
"390";130;2015;8;18641700000;0,62;0,07;0,05;0,15;2,06;0,13;0,14;0,14;0,08;0,1;0,1;0,05;0,05
"391";131;2014;6;4674200000;0,52;0,15;0,08;0,16;2,37;0;0;0;0;0,1;0;0;0
"392";131;2013;6;4539900000;0,5;0,15;0,08;0,16;2,11;0;0;0;0;0,74;0;0;0
"393";131;2015;6;4,509e+09;0,5;0,16;0,09;0,19;3,2;0;0,03;0;0;0,11;0;0;0
"394";132;2013;11;4,6646e+10;0,99;0,07;0,02;0,09;0,61;0;0;0;0;0,38;0;0;0
"395";132;2015;11;5,031e+10;0,96;0,09;0,02;0,09;0,65;0;0,12;0;0;0,12;0;0;0
"396";132;2014;11;5,0186e+10;0,93;0,12;0,03;0,15;0,67;0;0;0;0;0,12;0;0;0
"397";133;2015;7;4,6612e+10;0,26;0,08;0,04;0,1;NA;0,06;0,07;0,09;0,13;0,14;0,1;0,05;0,05
"398";133;2014;7;4,5885e+10;0,25;0,11;0,06;0,12;NA;0,06;0,07;0,1;0;0,13;0,1;0,05;0,05
"399";133;2013;7;4,5849e+10;0,25;0,12;0,07;0,13;NA;0,45;0,57;0,82;0,15;0,84;0,1;0,05;0,05
"400";134;2014;8;1,6072e+10;2,07;0,08;0,06;0,2;1,08;0,04;0,03;0;0;0,09;0,1;0,05;0
"401";134;2015;8;1,5611e+10;1,73;0,09;0,05;0,23;1,01;0,03;0,03;0;0;0,09;0,1;0,05;0
"402";134;2013;8;1,1845e+10;1,12;0,12;0,1;0,34;1,28;0;0,19;0;0;0,53;0,1;0,05;0
"403";135;2015;6;2,1552e+10;0,54;0,12;0,11;0,31;1,55;0;0,05;0,07;0;0,13;0;0,05;0
"404";135;2013;6;2,4124e+10;0,36;0,08;0,08;0,19;2,09;0;0;0;0;0,34;0;0;0
"405";135;2014;6;2,3724e+10;0,35;0,09;0,09;0,22;1,86;0;0,04;0;0;0,13;0;0,05;0
"406";136;2015;3;26975244000;0,51;-0,52;-0,15;-0,3;1,67;0;0,05;0;0;0,01;0;0;0
"407";136;2013;3;30574238000;0,38;0,15;0,07;0,15;1,65;0;0;0;0;0,56;0;0;0
"408";136;2014;3;34762687000;0,33;0,16;0,09;0,17;1,56;0;0,04;0;0;0,01;0;0;0
"409";137;2013;3;4,014e+10;1,07;0,05;0,07;0,18;1,98;0;0;0;0;0,63;0;0;0
"410";137;2014;3;4,72e+10;1,06;0,06;0,06;0,17;1,94;0;0;0;0;0,05;0;0;0
"411";137;2015;3;4,88e+10;1,03;0,09;0,05;0,13;1,54;0;0;0;0;0,05;0;0;0
"412";138;2014;7;7817433000;2,06;-0,11;-0,03;-0,1;1,97;0;0;0;0;0,15;0;0;0
"413";138;2015;7;10356695000;2,03;0,07;0,02;0,09;2,07;0;0,1;0;0;0,15;0;0;0
"414";138;2013;7;7492359000;1,7;0,04;0,01;0,04;1,55;0;0;0;0;0;0;0;0
"415";139;2015;4;23157328000;1,05;0,31;0,04;0,08;1,78;0;0,02;0;0;0,14;0;0;0
"416";139;2014;4;22950614000;1,05;0,24;0,03;0,06;1,62;0;0;0;0;0,14;0;0;0
"417";139;2013;4;22834545000;1,03;0,76;0,08;0,18;1,08;0;0;0;0;0,48;0;0;0
"418";140;2013;3;9792053000;0,62;0,21;0,05;0,1;1,59;0,03;0;0,3;0;0,75;0;0,05;0
"419";140;2014;3;12064900000;0,62;0,16;0,05;0,09;1,1;0;0,02;0,03;0;0,02;0;0,05;0
"420";140;2015;3;13976172000;0,55;0,04;0,01;0,02;0,66;0;0,03;0;0;0,02;0;0,05;0
"421";141;2015;5;53243300000;0,8;0,02;0,05;0,14;1,47;0;0;0;0;0,14;0,1;0;0
"422";141;2013;5;53548200000;0,57;0,02;0,03;0,08;1,33;0;0;0;0;0,38;0;0;0
"423";141;2014;5;53798900000;0,55;0,02;0,04;0,1;1,47;0;0;0;0;0,14;0,1;0;0
"424";142;2014;3;6,252e+10;1,52;0,01;0,01;0,05;0,8;0;0;0;0;0,05;0;0;0
"425";142;2013;3;4,37e+10;1,43;0;0;-0,01;0,85;0;0;0;0;0,71;0;0;0
"426";142;2015;3;6,517e+10;1,38;0;0;0;0,76;0;0;0;0;0,05;0;0;0
"427";143;2015;11;44647681000;1,42;-0,02;0;-0,02;0,54;0;0,07;0;0;0,12;0,1;0,05;0,05
"428";143;2013;11;43406446000;1,26;0,06;0,02;0,08;0,54;0,55;0,21;0,03;0;0,6;0;0,05;0,05
"429";143;2014;11;46527854000;1,25;0,08;0,02;0,09;0,59;0;0,04;0;0;0,12;0,1;0,05;0,05
"430";144;2015;11;9,5384e+10;1,1;0,08;0;0,09;0,46;0,1;0,11;0,05;0,09;0,12;0,1;0,05;0,05
"431";144;2014;11;8,6814e+10;0,97;0,06;0,02;0,07;0,56;0,06;0,07;0,02;0,13;0,12;0,1;0,05;0,05
"432";144;2013;11;7,9924e+10;0,8;0,07;0,02;0,08;0,49;0,12;0,41;0,05;0,72;0,67;0,1;0,05;0,05
"433";145;2014;1;9020538000;0,98;0,07;0,04;0,21;1,54;0;0,14;0;0;0,13;0;0;0
"434";145;2015;1;15503812000;0,66;0,11;0,06;0,28;1,6;0;0,05;0;0;0,13;0;0;0
"435";145;2013;1;7739481000;0,58;0,05;0,03;0,11;1,47;0,97;0,79;0;0;1;0;0;0
"436";146;2015;4;6071407000;1,69;0,24;0,04;0,09;2,38;0;0,04;0;0;0,15;0;0;0
"437";146;2014;4;4402107000;1,36;0,27;0,04;0,1;2,08;0;0;0;0;0,15;0;0;0
"438";146;2013;4;3977140000;1,11;0,33;0,05;0,11;1,68;0;0;0;0;0,48;0;0;0
"439";147;2014;1;2,08527e+11;4,8;0,02;0,02;0,12;0,42;0,06;0,05;0,08;0,07;0,07;0,1;0,05;0,05
"440";147;2015;1;2,24925e+11;4,64;0,05;0,03;0,27;0,56;0,04;0,04;0,08;0,1;0,07;0,1;0,05;0,05
"441";147;2013;1;2,02026e+11;4,35;0,05;0,04;0,34;0,4;0,57;0,35;0,7;0,65;0,06;0,1;0,05;0
"442";148;2015;6;2532462000;0,17;0,13;0,21;0,29;4,28;0;0,01;0;0;0,1;0;0;0
"443";148;2013;6;2075784000;0;0,13;0,22;0,26;6,23;0;0;0;0;0;0;0;0
"444";148;2014;6;2359102000;0;0,13;0,22;0,26;5,45;0;0;0;0;0,1;0;0;0
"445";149;2013;7;1,7895e+10;0,02;0,19;0,09;0,11;7,61;0,03;0,13;0;0;0,15;0;0;0
