"X","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
958,0.0119,5.9,0.0229,13.21,77.3612536676198,3.23,0.52,0,0,0.51,0.24,0,0,1,0.419,0.0076,10255200000,0.697031314045968,-0.0580022961849606,2013,319,23.0510507309622,1.77495235091167
959,0.2304,5.07,0.4768,11.01,28.6,3.85,0.08,0,0,0.1,0.49,1,1,1,0.3547,0.1476,12351100000,1.15128599094992,0.0109810119725703,2014,319,23.2370109648799,1.62334081760309
960,0.1952,7.17,0.4161,15.16,32.64,4.05,0.09,0.1,0.02,0.08,0.6,1,1,1,0.3257,0.1248,12943500000,0.820435072065362,-0.00469901950076018,2015,319,23.2838595685807,1.96990565461153
961,0.0077,0.36,0.1108,3.27,33.27,7.32,0.15,0,0,0.24,0.17,0,0,0,0,0.1859,1.43642e+11,1.40737105405597,0.0206928766228947,2013,320,25.6905899299055,-1.02165124753198
962,0.009,0.34,0.1207,3.34,28.85,8.34,0.02,0.01,0,0.06,0.19,0,0,0,0,0.2083,1.54642e+11,0.445400394667296,0.0642097817641734,2014,320,25.7643786050272,-1.07880966137193
963,0.0085,0.3,0.1173,3.41,30.77,9.04,0.06,0.03,0,0.03,0.21,0,0,0,0,0.2142,1.83718e+11,1.75644639402815,0.0146045833149716,2015,320,25.9366678102137,-1.20397280432594
964,0.031,0.397602650688175,0.1183,2.59,22.68,12.67,0.06,0.12,0.5,0.64,0.49,1,1,1,1.5268,0.1881,3.3533e+10,0.702065754778907,0.029141206351587,2013,321,24.2357958655367,-0.559647147503012
965,0.032,1.64933523881791,0.1287,2.91,24.33,12.16,0.03,0.02,0.1,0.12,0.54,1,1,1,1.5648,0.1833,3.404e+10,0.42480357269629,0.0324275188526797,2014,321,24.2508021406516,-0.452756801251866
966,0.0059,1.77246594194038,0.027,2.42,22.41,9.72,0.03,0.03,0.08,0,0.39,1,1,1,1.9755,0.0374,3.2923e+10,0.902254880282274,-0.0541826054169973,2015,321,24.2174373386153,-0.477509351884894
967,0.1163,2.96,0.4227,10.22,27.03,17.29,0.78,0.75,0,0.68,0.54,1,1,0,0.6472,0.0734,6382507000,0.707801326027804,-0.017324625597313,2013,322,22.5768268038282,1.08518926833597
968,0.1411,4.59,0.6263,16.63,27.35,10.5,0.12,0,0,0.11,0.5,1,1,0,1.1267,0.0774,5706052000,0.955540339697882,0.0721927335417524,2014,322,22.4647932029104,1.52388002407245
969,0.1765,4.39,0.780799817390814,24.28,24.42,9.41,0.11,0,0,0,0.37,1,1,0,2.2124,0.0925,5791855000,1.69118688256016,-0.0249138172564232,2015,322,22.4797184571861,1.47932922708708
970,0.0878989677210193,2.9,0.0650100340823646,0.306610364705008,29.8094628945368,11151.932138816,0,0,0,0,0,0,0,0,0.364052498810137,0.725242065936347,361771439544.324,1.38106460257696,-0.11598129368023,2013,323,22.9500283960723,1.06471073699243
971,0.0402063349763448,2.99,0.0160480690048639,5.84220385475063,204.897478608484,-1861.8816952359,0,0,0,0,0.16,0,0,0,2.59628585937061,0.0900276283230985,-138365643976.99,0.87419115523735,-0.0359451419812319,2014,323,22.4531797918027,1.0952733874026
972,0.0647875621508727,3.52,0.0545554375095712,2.76840419321192,68.5661391123829,13609.4624381731,0.06,0,0,0,0.22,0,0,0,0.0767978976428068,-0.0886002004735924,-183865613879.603,0.986315059537643,0.0115229938191934,2015,323,20.9932328379514,1.25846098961001
973,0.0998087800986232,1.38,0.25561819764584,5.99575400736094,129.55373838805,19867.127160807,0.38,0.51,0,0.44,0.42,0,1,1,2.54121113557461,-0.393581691740944,-279361923491.185,0.727319784020863,-0.0264032465878517,2013,324,22.6117199193778,0.322083499169113
974,-0.054969858433377,1.26,-0.18650172725246,-3.47408259952508,1.93961653979929,-10883.2451620817,0.06,0,0,0,0.31,0,1,1,3.8505082521061,-0.59289603501254,119972768410.854,1.57103318032084,-0.0146803492918298,2014,324,24.1578967674273,0.231111720963387
975,0.0578527027870039,1.12,0.149488864663816,-4.99313403998186,-91.1308552793368,4430.85231503669,0.07,0,0,0,0.32,0,1,1,0.513294640062625,0.431026585270759,58839757275.6661,0.481526590042174,0.0279342765715874,2015,324,24.3446669162701,0.113328685307003
976,0.1048,1.72,0.1796,3.13,18.69,30.19,0.76,0.88,0.21,0.62,0.48,0,0,0,0.2633,0.1487,6.71e+10,1.32260429251054,-0.0146917400350279,2013,325,24.929449880924,0.542324290825362
977,0.0806,1.63,0.1369,2.87,17.49,29.68,0.07,0.12,0.12,0.04,0.52,0,1,1,0.2791,0.1119,6.6904e+10,1.09684510329179,-0.000979733685287902,2014,325,24.9265245930256,0.488580014818671
978,0.0317,1.31,0.0556,2.48,28.11,28.36,0.06,0.12,0.08,0.06,0.48,0,1,1,0.4053,0.0584,6.8005e+10,1.33224721106108,-0.0720244962088154,2015,325,24.9428470688311,0.27002713721306
979,0.0093,1.03,0.0166,1.41,100.97,66.32,0.38,0.67,0.6,0.17,0.37,0,0,0,1.1053,0.069,14959001000,0.683162317795923,0.00712122349592872,2013,326,23.4285790291881,0.0295588022415444
980,0.0312,1.11,0.0765,1.63,22.12,68.09,0.02,0,0,0,0.16,0,0,0,1.2611,0.331,17096587000,0.881289450911348,0.0299717404870603,2014,326,23.5621446898909,0.104360015324243
981,0.0154,1.06,0.0387,1.65,50.96,70.25,0.06,0.09,0.14,0.07,0.54,0,0,1,1.488,0.1619,19857941000,0.750568088460565,-0.0216321875512907,2015,326,23.7118698144586,0.0582689081239758
982,0.1058,1.51075581817345,0.1477,2.21,17.04,30.9,0.45,0,0,0.59,0.38,0,0,1,0.2849,0.169,10488717000,0.896500918631797,-0.169132939924985,2013,327,23.0735659449155,0.346383415930797
983,0.0952,2.02997018943093,0.1456,2.98,19.43,30.65,0.05,0,0,0,0.33,0,1,1,0.1838,0.152,10289957000,0.605173579810437,0.0455667647434602,2014,327,23.0544342079693,0.33576888342303
984,0.18548838825905,2.27474493275164,0.552346439814084,10.3266882306069,9.9679575628707,-9597.70613186724,0.06,0,0,0,0.34,0,1,1,1.03905029564085,0.28978380955182,-202731540232.964,0.310944452247386,0.0212386652171165,2015,327,23.4988095691127,1.25065299174326
985,0.0779071484968539,0.89,0.507790246527952,9.60841255801219,34.4671319215574,1551.2220183251,0.09,0.11,0,0,0.15,0,1,0,6.57111124723414,0.347167716173112,-257188663481.702,0.687710560601821,-0.0075798309577449,2013,328,23.7876610051757,-0.116533816255952
986,0.00302404140303229,0.97,-0.0717728277033172,-0.368061078044419,35.9316182892248,18891.1134704368,0.02,0.04,0,0,0.28,0,1,0,2.42420970979651,0.119744597496084,-135652930422.978,0.468669157832657,0.0350889348520841,2014,328,22.6874506988193,-0.0304592074847086
987,0.0472992754029871,0.89,-0.0385887110699652,-4.67422523608681,52.0682834215946,475.787611624132,0.02,0.03,0.01,0,0.28,0,1,0,0.226432918779655,-0.0264476148292392,231162131058.103,-0.286435131040986,0.0429662309304099,2015,328,25.4961795596721,-0.116533816255952
988,0.048,2.05,0.2271,8.3,38.4,18.47,0.44,0,0,0.54,0.35,0,0,1,4.0635,0.2546,33324574000,0.976347645923765,-0.012137669710738,2013,329,24.2295609197337,0.717839793150317
989,0.0539,2.59,0.2671,10.97,39.51,16.06,0.07,0,0,0.03,0.43,1,1,1,4.13,0.2885,29532330000,0.479674688707014,0.00750728757526004,2014,329,24.1087514324003,0.951657875711446
990,0.07,2.69,0.3924,13.28,32.88,14.06,0.07,0,0,0,0.4,1,1,1,5.0821,0.3464,30650673000,0.212168480491217,0.0475914827899529,2015,329,24.1459204566732,0.989541193613748
991,0.0837,2.85,0.186,5.9,33.91,20.56,0,0,0,0,0.06,0,0,0,0.7316,0.1453,3882797000,0.675006235664574,-0.0301811887796203,2013,330,22.0798216071637,1.04731899428056
992,0.0761,2.87,0.1777,5.71,33.55,22.31,0,0,0,0,0.13,0,0,0,0.8059,0.1277,4401722000,0.18392391585551,0.0167261520042447,2014,330,22.2052616649442,1.05431202977153
993,0.0505,1.85,0.1137,3.85876065018851,148.557015057402,32.25,0,0,0,0,0.13,0,0,0,1.1182,0.0889,7077450000,-0.47127841770328,-0.0113212966980491,2015,330,22.6801795102839,0.615185639090233
994,0.027,0.9,0.0932,1.99,21.87,44.82,0.59,0.48,0,0.31,0.48,1,0,1,1.0243,0.0948,3.7244e+10,0.872356840287842,-0.00262997438838067,2013,331,24.3407566949727,-0.105360515657826
995,0.0301,1.02,0.1034,2.33,23.43,45.8,0.09,0.09,0,0,0.5,1,1,1,1.0743,0.1052,3.9732e+10,0.594295768037387,0.00323501843372477,2014,331,24.4054227452995,0.0198026272961797
996,0.0335,0.93,0.1157,2.1,19.36,47.38,0.1,0.12,0,0,0.51,1,1,1,1.1122,0.1319,4.115e+10,0.481456363381265,-0.0362103663622795,2015,331,24.4404897640695,-0.0725706928348354
997,0.0078,0.19,0.0638,0.91,15.06,38.49,0,0,0,0,0.13,0,0,0,0,0.1608,1.75335e+11,1.4430625286285,-0.0246681282991343,2013,332,25.8899642666743,-1.66073120682165
998,0.0096,0.18,0.0806,0.94,11.74,41.44,0,0,0,0,0.1,0,0,0,0,0.211,1.90328e+11,0.444921275354054,0.0645827093595463,2014,332,25.972014736526,-1.71479842809193
999,0.0102,0.15,0.084,0.93,12.1,43.77,0.03,0,0,0,0.13,0,0,0,0,0.2319,1.90817e+11,1.30397545459344,0.0147486120150495,2015,332,25.9745806905241,-1.89711998488588
1000,0.0741,0.19,0.1799,3.94,23.36,14.91,0.35,0.5,0,0.33,0.29,0,0,0,0.8315,0.1314,1.0248e+10,2.15458819588616,-0.0913494942863538,2013,333,23.0503484015408,-1.66073120682165
1001,-0.112342492261986,0.18,-0.262992727439801,-3.74257393518913,160.939847403571,3807.23278698918,0.07,0.08,0,0.12,0.42,0,0,0,-0.69674965292074,0.0659218599551645,560641225459.158,1.95893914836051,0.0279579758615872,2014,333,26.038763252234,-1.71479842809193
1002,-0.0542163531482731,0.15,0.0125389535848932,8.71508113559292,-4.12265757549509,-13517.6617874142,0.07,0.11,0,0.09,0.41,0,0,0,2.50957253809643,0.1171599967598,150550285357.703,2.27781661408955,-0.00764124774554144,2015,333,24.7948571190449,-1.89711998488588
1003,0.0094,-0.1,0.1054,1.52,15.67,46.07,0.41,0.17,0.27,0.13,0.32,1,0,1,0,0.2127,2.43291e+11,1.68686736340007,-0.033146181176369,2013,334,26.217524094683,-1.86779382388784
1004,0.0075,-0.18,0.0987,1.52,15.5,47.33,0.03,0.01,0,0.01,0.24,1,0,1,0,0.1916,2.74119e+11,0.475640042023604,0.0268524753020446,2014,334,26.33682815562,-0.804614453902954
1005,0.0074,-0.09,0.0988,1.5,16.28,46,0.04,0.01,0.02,0,0.27,1,0,1,0,0.1784,2.45192e+11,0.954466473384395,-0.0639444697451899,2015,334,26.2253074140488,-1.34469232360574
1006,0.0315578179266198,1.34,-0.106765075473385,-9.381235653535,-17.658043751695,-7292.20428521359,0.59,0.04,0.5,0.39,0.56,0,1,1,1.8190377988846,0.149104634744256,177557773433.622,2.05771529378127,-0.0105062153756004,2013,335,24.4017703919552,0.29266961396282
1007,0.00541015796903282,1.6,-0.0196306706711103,6.73407677188483,70.285659802196,775.291638302394,0.12,0.01,0.05,0.08,0.41,0,0,1,1.90991680328762,-0.496354851984984,263317328858.792,0.379578051532369,0.0124216810763482,2014,335,22.7418955125768,0.470003629245736
1008,0.148572180563377,2.04,0.748211958048119,17.0957601779476,117.721350047648,19783.2586273027,0.12,0.02,0.02,0.13,0.43,0,0,1,3.3312520372345,0.629406851312068,228593494518.051,0.317164373854959,-0.0222651034092732,2015,335,24.4798567681827,0.712949807856125
1009,0.0292,0.94,0.0726,1.87,14.52,43.7,0.47,0.47,0.7,0.43,0.44,0,0,1,0.5588,0.0445,16535100000,0.589746306932661,-0.018925760516685,2013,336,23.5287512311393,-0.0618754037180875
1010,0.0369362721734221,1.12,-0.0245409402573522,-4.77909667278524,-52.6520780237008,4614.44189205353,0.09,0.13,0.12,0.09,0.73,0,1,1,0.328601191853114,0.59494529905402,-85086300143.1786,1.00978618351562,0.023341256276033,2014,336,23.6599257863344,0.113328685307003
1011,-0.0085085062059003,1.25,0.0292788041311145,2.076141588559,-15.1438671309055,338.171278388927,0.07,0,0,0,0.37,0,1,1,1.82520012858892,0.386489510647915,-15343097858.6265,0.91452651079215,0.0022384487261385,2015,336,24.3408429225129,0.22314355131421
1012,0.0681,1.62,0.1155,3.09,30.58,23.94,0.47,0,0,0.54,0.21,0,0,0,0.3028,0.1115,1.5743e+10,1.71533097776159,-0.0345187056275327,2013,337,23.4796616589789,0.482426149244293
1013,0.03,2.01,0.0584,3.86,52.42,22.69,0.1,0,0,0,0.35,0,1,0,0.3777,0.0532,1.7713e+10,0.995284361316057,0.0193788796396036,2014,337,23.5975646702169,0.698134722070984
1014,0.0878,2.06,0.1702,4.22,31.08,22.82,0.08,0,0,0,0.33,0,1,0,0.3822,0.1447,1.6247e+10,0.659192526512897,-0.0189168323957118,2015,337,23.511174113294,0.72270598280149
1015,0.0647,1.31,0.1556,2.85,20.47,8.33,0.34,0.29,0.54,0.12,0.4,0,0,1,0.3637,0.1278,1.3258e+10,1.3162313413428,0.0103418080891971,2013,338,23.3078669807656,0.27002713721306
1016,0.055277582038361,1.41,-0.0192544606915846,-8.97482223994169,35.7738178232876,3323.81678481154,0.02,0.03,0.01,0.01,0.41,0,1,1,1.94617175769205,0.424792516594176,74917549742.9589,1.29937382390977,-0.0158391311112755,2014,338,25.2863332692221,0.343589704390077
1017,0.127066246050378,1.05,0.166017362151071,-4.13009240055409,-117.876119873338,-6439.26011313372,0.02,0,0.1,0.01,0.37,0,0,1,-0.18659415773029,0.433512294461481,-24724030315.0225,0.846643771138714,0.0882861354459168,2015,338,22.9625491210286,0.048790164169432
1018,0.0764,1.63,0.1882,4.17,22.45,9.07,0.49,0.69,0,0.78,0.49,1,0,0,0.5551,0.0216,13013025000,0.903151690034944,0.0534377197865287,2013,339,23.289216615895,0.488580014818671
1019,0.0602,1.31,0.1648,4.25,24.52,9.02,0.07,0,0,0,0.25,1,0,0,1.3566,0.0181,17970470000,0.89775166400208,-0.00631847374424647,2014,339,23.6119956921021,0.27002713721306
1020,0.0491,1.88,0.1548,4.28,36.87,6.98,0.1,0,0,0,0.28,1,0,0,1.0823,0.0157,13089468000,-0.00198735486866278,-0.00257884400142314,2015,339,23.2950737743311,0.631271776841858
1021,0.0666,0.95,0.2082,2.15,24.61,17.47,0.26,0.28,0.16,0.27,0.37,1,1,1,0.7615,0.1417,2.77787e+11,0.563356301637361,-0.0172514813281502,2013,340,26.3501204699154,-0.0512932943875506
1022,0.0215,0.85,0.0688,1.91,10.46,16.64,0.03,0.04,0.04,0.06,0.54,1,1,1,0.8801,0.047,2.92829e+11,-0.196625875598746,-0.0520361185809356,2014,340,26.4028546578449,-0.162518929497775
1023,0.0371,0.85,0.1277,1.7,36.5,19.94,0.04,0.03,0.02,0.03,0.47,1,1,1,0.9661,0.0909,4.02672e+11,0.585051260383249,0.03433571486523,2015,340,26.7213881717185,-0.162518929497775
1024,0.0358,0.91,0.0694,1.17,19.54,46.92,0.6,0.35,0.1,0.43,0.59,1,1,1,0.3719,0.0946,15580100000,1.17773913349504,0.0308862516291019,2013,341,23.4692602958537,-0.0943106794712413
1025,0.0342,1.21,0.0608,1.89,28.88,42.3,0.05,0.03,0.06,0.03,0.44,1,1,1,0.2972,0.0867,13996300000,2.05837150309439,-0.0360380227849838,2014,341,23.3620588459178,0.19062035960865
1026,0.028,1.65,0.0493,2.22,38.61,35.98,0.08,0.02,0.04,0.03,0.46,1,1,1,0.413,0.0701,12276300000,0.0800104110642474,0.0219649607204179,2015,341,23.230936411333,0.500775287912489
1027,0.0526,2.12,0.00493417296967191,6.46899315550243,60.94,-4.44,0,0,0,0,0,0,0,0,2.9817412367787,0.1347,6292487000,0.604259746146686,0.0113650796974049,2013,342,22.5626222190201,0.751416088683921
1028,0.0472,2.36,0.0902103353929076,5.01958077466821,57.99,-27.79,0,0,0,0,0.13,0,0,0,-0.142190073390946,0.0784,6913572000,1.02344462052492,-0.00669294524062661,2014,342,22.6567522731453,0.858661619037519
1029,0.0683437573395512,2.3,0.250679406124043,3.86530415716196,52.452181939181,17615.4375985036,0.05,0,0,0,0.18,0,0,0,1.0670469449833,0.612489260436213,-304140382444.724,0.459840914587076,-0.0168139314905083,2015,342,22.7700094129463,0.832909122935104
1030,0.00975960849604934,1.19,0.282757061236938,9.47057645981967,46.6248758599163,12291.2548899416,0.27,0.3,0,0.33,0.35,1,1,1,2.14980511071704,0.196313898475212,291409043210.822,1.21405767851468,-0.0444922724209445,2013,343,23.1714209285475,0.173953307123438
1031,0.0948530556974542,1.11,0.206046480973662,-0.660324779792226,-78.5887036082191,-7303.26320454086,0.06,0.05,0,0.04,0.47,1,1,1,1.84264600936098,0.374265873997049,-338054215150.356,1.2670559731015,0.0262433002841061,2014,343,23.424953073519,0.104360015324243
