"","Ticker","Year","X.x","Companies.x","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","Companies.y","TobinsQ","X.y","Date","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","Companies","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","X"
"789","BLK",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2016,142,0.44,0.11,0.09,0,0,0.1,1,0,1,NA
"790","BLL",2012,950,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",149437900,298875800,2,7507100000,"2339400000",6217100000,"1685800000",1114600000,175400000,0,2522300000,3085300000,"2114200000","71200000","60600000","0.4","0.39",0.1,"464900000","-151800000","-317100000","-7100000",174100000,98100000,"21.64","22.73","20.55","0.3381","0.0568",3.73,"5.13","16.33",1.43,"0.1523","2.7681","0.1485","0.0462","1.16","1.23","1.3877",57,1.22,3169,"2012-12-01",0.0013416289533156,1e-04,0.0119,0.0012416289533156,0.0118,0.864673034950676,-0.00896151285910238,0.010303141812418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","BLL",2013,946,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",140540106,281080212,2,7819800000,"2465700000",6428500000,"1927400000",1199900000,191400000,0,2570400000,3182500000,"1996800000","134600000","124500000","0.87","0.86",0.13,"387100000","-57500000","-77400000","247800000",4.16e+08,68700000,"24.06","25.98","22.14","0.3672","0.0559",4.27,"6.17","21.2",1.69,"0.185","2.6523","0.1534","0.048","1.09","1.13","1.2793",57,1.28,3183,"2013-12-01",0.033060860533797,0,0.0281,0.033060860533797,0.0281,1.02525326214648,0.00425124386748094,0.0288096166663161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","BLL",2014,961,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",137343010,274686020,2,7.571e+09,"2313500000",6331400000,"2006800000",1033100000,206500000,0,2391600000,2993800000,"2032400000","88400000","76000000","0.55","0.54",0.13,"362500000","-152500000","-212000000","1900000",191400000,140800000,"33.06","35.25","30.88","0.4146","0.0649",3.76,"7.45","18.27",1.95,"0.1527","2.8979","0.1365","0.0548","1.12","0.81","1.1528",57,1.59,3193,"2014-12-01",0.0162678075291837,0,-6e-04,0.0162678075291837,-6e-04,1.16289291508256,0.0169655432782332,-0.000697735749049536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","BLL",2015,947,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",141713478,283426956,2,9.777e+09,"2.184e+09",8515700000,"2141600000",1251300000,1e+07,0,2294900000,5054200000,"1804600000","64500000","55300000","0.42","0.39",0.13,"409700000","-2353100000","1922900000","-20400000",2.24e+08,171100000,"34.07","37.12","31.02","0.2575","0.0367",4.41,"8.99","31.84",2.21,"0.2564","4.0392","0.128","0.0351","0.97","0.84","1.0198",57,1.57,3216,"2015-12-01",0.046579086938368,1e-04,-0.0216,0.046479086938368,-0.0217,1.17704036233459,0.0720208628010287,-0.0254417758626606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","BLL",2016,939,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",175057681,350115362,2,1.6173e+10,"3.653e+09",1.2632e+10,"2.969e+09",3.435e+09,1.06e+08,0,7.029e+09,7.31e+09,"2460000000","55000000","55000000","0.3","0.29",0.13,"627000000","-208000000","-430000000","-48000000",5.97e+08,2.08e+08,"38.64","41.06","36.22","0.0891","0.0156",9.81,"3.64","42.46",2.47,"0.3254","2.1281","0.2124","0.0294","0.53","1.2","1.2304",57,1.22,3227,"2016-12-01",0.000133235415088767,3e-04,0.0185,-0.000166764584911233,0.0182,0.821036935823915,-0.0151096368169065,0.0152428722319953,57,2014,3,0.84,0.7,0.75,0.76,0.83,0.89,1,1,1,NA
"795","BLL",2017,942,57,"Materials",8,"BLL_quarterly_financial_data.xls","ball corporation","ball corporation","ball corp",350442053,350442053,1,1.7169e+10,"3.758e+09",1.3123e+10,"4.107e+09",3.941e+09,1.05e+08,5e+06,7.395e+09,6.518e+09,"2747000000","455000000","159000000","0.46","0.45",0.1,"731000000","-175000000","-644000000","-108000000",4.48e+08,1.52e+08,"40.3","43.24","37.36","0.1019","0.0225",11.23,"4.01","54.09",2.84,"0.3424","1.656","0.2293","0.0341","0.65","1.65","0.915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2015,70,0.58,0.07,0.05,0.08,0.09,0.09,1,1,1,NA
"796","BLL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2016,24,0.69,0.09,0.08,0.11,0.13,0.09,1,1,1,NA
"797","BMRN",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,3.79,3229,"2012-12-01",0.0143298458800281,1e-04,0.0119,0.0142298458800281,0.0118,0.251365071705307,0.0112637380339054,0.00306610784612263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","BMRN",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4.36,3246,"2013-12-01",-0.00113655362620356,0,0.0281,-0.00113655362620356,0.0281,1.55986669632018,-0.0449688077928005,0.0438322541665969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","BMRN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,5.24,3263,"2014-12-01",0.00755056872423011,0,-6e-04,0.00755056872423011,-6e-04,2.58059295751386,0.00909892449873842,-0.00154835577450832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","BMRN",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4.54,3271,"2015-12-01",0.0939079436835139,1e-04,-0.0216,0.0938079436835138,-0.0217,1.2822237010218,0.121632197995687,-0.0277242543121731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","BMRN",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,3.47,3288,"2016-12-01",-0.0331246657621196,3e-04,0.0185,-0.0334246657621196,0.0182,3.2903049527769,-0.0933082159026591,0.0601835501405395,58,2014,435,0,0,0,0,0,0,0,0,0,NA
"802","BMRN",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2015,322,0.22,0,0,0,0,0.17,0,0,1,NA
"803","BMRN",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2016,306,0.24,0,0.02,0,0,0.17,0,0,1,NA
"804","BMY",2012,979,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1637354662,1637354662,1,3.5897e+10,"9.521e+09",2.2259e+10,"8.279e+09",1.3623e+10,1.5e+07,0,1.6413e+10,6.568e+09,"4191000000","925000000","925000000","0.57","0.56",0.35,"836000000","277000000","-958000000","153000000",1.656e+09,1.75e+08,"32.59","34.38","30.81","0.1307","0.0576",8.32,"3.87","29.63",23.88,"1.1636","0.4821","0.3795","0.1112","0.52","0.4","1.15",59,1.63,3289,"2012-12-01",-0.00122682852999797,1e-04,0.0119,-0.00132682852999797,0.0118,-0.0467951123227396,-0.000774646204589642,-0.000452182325408327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","BMY",2013,967,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1650232566,1650232566,1,3.8592e+10,"1.8916e+10",2.3356e+10,"1.244e+10",1.5154e+10,8.2e+07,0,9.414e+09,9.481e+09,"4441000000","726000000","726000000","0.44","0.43",0.36,"1410000000","-315000000","711000000","1815000000",3.586e+09,2e+08,"50.13","53.84","46.41","0.177","0.0695",9.18,"5.61","30.02",25.29,"0.9058","0.6256","0.3927","0.1564","0.44","0.73","1.5206",59,2.3,3306,"2013-12-01",0.0406306759829075,0,0.0281,0.0406306759829075,0.0281,1.57001197359689,-0.00348666047516508,0.0441173364580726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","BMY",2014,975,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1662118446,1662118446,1,3.3749e+10,"1.4608e+10",1.8766e+10,"8.461e+09",1.4852e+10,1.31e+08,0,8.78e+09,7.242e+09,"4258000000","13000000","13000000","0.01","0.01",0.37,"572000000","351000000","-231000000","720000000",5.571e+09,1.91e+08,"55.11","61.3","48.92","0.1319","0.0598",8.94,"6.04","34.02",26.74,"1.2004","0.4876","0.4401","0.1262","0.47","0.23","1.7265",59,2.92,3317,"2014-12-01",0.00586659414485395,0,-6e-04,0.00586659414485395,-6e-04,0.818847427851776,0.00635790260156502,-0.000491308456711066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","BMY",2015,981,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1669459090,1669459090,1,3.1748e+10,"1.0415e+10",1.7324e+10,"8.017e+09",1.4266e+10,1.58e+08,0,8.3e+09,6.55e+09,"4287000000","-197000000","-197000000","-0.11","-0.11",0.38,"611000000","-984000000","-1086000000","-1590000000",2.385e+09,2.85e+08,"65.3","70.71","59.88","0.1043","0.0485",8.55,"7.22","61.6",28.23,"1.5881","0.4591","0.4494","0.0945","0.51","0.2","1.2991",59,3.73,3329,"2015-12-01",0.031680068559757,1e-04,-0.0216,0.031580068559757,-0.0217,0.750997872369998,0.0478767223901859,-0.016196653830429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808","BMY",2016,980,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1672715340,1672715340,1,3.3707e+10,"1.3704e+10",1.736e+10,"8.841e+09",1.6177e+10,1.7e+08,0,8.26e+09,5.716e+09,"5243000000","894000000","894000000","0.53","0.53",0.39,"1428000000","16000000","-590000000","805000000",4.237e+09,3.71e+08,"54.42","59.61","49.23","0.2918","0.1349",9.67,"5.83","27.07",29.76,"0.5736","0.3533","0.4799","0.2294","0.59","0.63","1.5501",59,2.91,3342,"2016-12-01",0.0348223877443965,3e-04,0.0185,0.0345223877443965,0.0182,1.42253236718046,0.00863229866171207,0.0261900890826844,59,2014,88,0.49,0.18,0.34,0.49,0.28,0.46,1,1,1,NA
"809","BMY",2017,972,59,"Health Care",5,"BMY_quarterly_financial_data.xls","bristol-myers squibb","bristol-myers squibb company","bristol-myers squibb co",1632582502,1632582502,1,3.3551e+10,"1.4854e+10",2.1704e+10,"9.563e+09",1.1741e+10,1.06e+08,0,8.073e+09,6.975e+09,"5449000000","-2328000000","-2328000000","-1.44","-1.44",0.4,"1117000000","1019000000","-1352000000","777000000",5.421e+09,2.54e+08,"62.94","66.1","59.79","0.0724","0.0301",7.19,"6.97","24.78",31.33,"2.5555","0.5941","0.3499","0.0485","0.62","0.53","1.5533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2015,98,0.54,0.02,0.06,0.08,0.06,0.14,1,1,1,NA
"810","BMY",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2016,67,0.6,0.02,0.07,0.09,0.08,0.14,1,1,1,NA
"811","BRK.A",2012,992,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1643186,1643186,1,4.27452e+11,"None",2.35864e+11,"None",1.87647e+11,3.941e+09,0,5.6851e+10,3.796e+09,"44720000000","4551000000","4551000000","2756.15","None",0,"4790000000","-3108000000","-2485000000","-784000000",4.6992e+10,2.582e+09,"131147.5","136345","125950","0.0817","0.0354",114197.05,"1.17","16.26",0,"0","0.0202","0.439","0.0912","0.39","1343.73","None",60,0.58,122,"2012-12-01",0.0161221045450847,1e-04,0.0119,0.0160221045450847,0.0118,0.409495407924079,0.0111900587315806,0.00493204581350413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","BRK.A",2013,1000,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1644005,1644005,1,4.84931e+11,"None",2.60446e+11,"None",2.2189e+11,2.595e+09,0,5.9232e+10,3.642e+09,"47049000000","4990000000","4990000000","3035.98","None",0,"6967000000","-2071000000","1174000000","6107000000",4.8186e+10,3.36e+09,"172230","177950","166510","0.0938","0.0425",134969.18,"1.36","14.89",0,"0","0.0164","0.4576","0.1069","0.4","2194.03","None",60,0.69,141,"2013-12-01",0.0178652135578698,0,0.0281,0.0178652135578698,0.0281,0.937861669591678,-0.00848869935765637,0.0263539129155262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","BRK.A",2014,996,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1642961,1642961,1,5.26186e+11,"None",2.83159e+11,"None",2.4017e+11,2.857e+09,0,6.33e+10,2.701e+09,"48259000000","4155000000","4155000000","2529.28","None",0,"7853000000","-8403000000","1555000000","889000000",6.3269e+10,5.013e+09,"213687","229374","198000","0.0846","0.0389",146181.19,"1.48","16.96",0,"0","0.0112","0.4564","0.1021","0.38","1728.59","None",60,0.75,150,"2014-12-01",0.0130717904635292,0,-6e-04,0.0130717904635292,-6e-04,0.851982190788006,0.013582979778002,-0.000511189314472804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","BRK.A",2015,989,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1643464,1643464,1,5.52257e+11,"None",2.9363e+11,"None",2.5555e+11,3.077e+09,0,7.1856e+10,2.811e+09,"51820000000","5478000000","5478000000","3333.72","None",0,"7336000000","-1820000000","5000000","5470000000",7.173e+10,4.279e+09,"199990","207780","192200","0.0972","0.0444",155494.74,"1.32","14.44",0,"0","0.011","0.4627","0.1142","0.39","1860.1","None",60,0.63,164,"2015-12-01",-0.0178379316384487,1e-04,-0.0216,-0.0179379316384487,-0.0217,0.779037722524975,-0.0010328130596567,-0.016805118578792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","BRK.A",2016,997,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1644408,1644408,1,6.20854e+11,"None",3.34495e+11,"None",2.83001e+11,3.358e+09,0,9.8191e+10,7.818e+09,"57673000000","6286000000","6286000000","3822.85","None",0,"7364000000","-60015000000","595000000","-52218000000",2.8048e+10,3.525e+09,"231908","250786","213030","0.0897","0.0401",172099.02,"1.42","16.38",0,"0","0.0276","0.4558","0.1077","0.37","2334.58","None",60,0.68,175,"2016-12-01",0.0296038628788323,3e-04,0.0185,0.0293038628788323,0.0182,0.595370152604466,0.018468126101431,0.0111357367774013,60,2014,431,0.02,0,0,0,0,0.1,0,0,0,NA
"816","BRK.A",2017,995,60,"Financials",4,"BRK.A_quarterly_financial_data.xls","berkshire hathaway","berkshire hathaway inc","berkshire hathaway inc",1644966,1644966,1,7.02095e+11,"None",3.50141e+11,"None",3.48296e+11,3.658e+09,0,1.13776e+11,6.725e+09,"58907000000","32551000000","32551000000","19790.03","None",0,"8279000000","-19897000000","469000000","-11123000000",3.1583e+10,3.297e+09,"285625","301000","270250","0.1438","0.0665",211734.47,"1.52","25.15",0,"0","0.0193","0.4961","0.1856","0.36","3028.63","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2015,412,0.12,0,0,0,0,0.12,0,0,0,NA
"817","BRK.A",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2016,388,0.18,0,0.06,0,0,0.12,0,0,0,NA
"818","BSX",2012,1028,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1357426289,1357426289,1,1.7154e+10,"3.022e+09",1.0284e+10,"1.772e+09",6.87e+09,0,0,1.2262e+10,4.252e+09,"1.82e+09","6.1e+07","6.1e+07","0.04","0.04",0,"369000000","-2.73e+08","-2.42e+08","-145000000",2.07e+08,6.2e+07,"5.45","5.82","5.07","-0.4958","-0.2227",5.06,"1.1","None",0,"None","0.6189","0.4005","None","0.4","0.23","1.7054",61,0.63,3357,"2012-12-01",0.0337210299674558,1e-04,0.0119,0.0336210299674558,0.0118,1.36873252029295,0.017469986227999,0.0162510437394568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","BSX",2013,1024,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1324192809,1324192809,1,1.6571e+10,"3.011e+09",1.0032e+10,"1.824e+09",6.539e+09,0,0,1.1643e+10,4.237e+09,"1.838e+09","1.08e+08","1.08e+08","0.07","0.07",0,"273000000","-3.63e+08","-2.63e+08","-354000000",2.17e+08,8.4e+07,"11.78","12.38","11.18","-0.0185","-0.0072",4.94,"2.39","None",0,"None","0.648","0.3946","None","0.42","0.14","1.6508",61,1.14,3366,"2013-12-01",0.0372924569622123,0,0.0281,0.0372924569622123,0.0281,2.52145412522568,-0.0335604039566293,0.0708528609188416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820","BSX",2014,1020,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1330512367,1330512367,1,1.7042e+10,"3.606e+09",1.0585e+10,"2.846e+09",6.457e+09,0,0,1.1504e+10,3.859e+09,"1.955e+09","-2.99e+08","-2.99e+08","-0.22","-0.22",0,"440000000","-8.3e+07","-1.4e+07","341000000",5.87e+08,7.9e+07,"12.52","13.68","11.37","-0.0181","-0.0072",4.85,"2.48","62.6",0,"None","0.5976","0.3789","None","0.45","0.27","1.267",61,1.21,3373,"2014-12-01",0.029098530824196,0,-6e-04,0.029098530824196,-6e-04,-0.371822166062227,0.0288754375245586,0.000223093299637336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","BSX",2015,1025,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1348346253,1348346253,1,1.8133e+10,"3.471e+09",1.1813e+10,"2.43e+09",6.32e+09,0,0,1.2667e+10,5.674e+09,"2.158e+09","-1.42e+08","-1.42e+08","-0.11","-0.11",0,"329000000","-1.7e+08","-1.91e+08","-31000000",3.19e+08,8.5e+07,"17.68","18.94","16.42","-0.037","-0.0137",4.69,"3.71","None",0,"None","0.8978","0.3485","None","0.46","0.18","1.4284",61,1.63,3390,"2015-12-01",0.0087146516277835,1e-04,-0.0216,0.0086146516277835,-0.0217,0.918646172427892,0.0285492735694687,-0.0198346219416853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822","BSX",2016,1017,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1363488640,1363488640,1,1.8096e+10,"3.239e+09",1.1363e+10,"3.587e+09",6.733e+09,0,0,1.2561e+10,5.42e+09,"2.573e+09","1.24e+08","1.24e+08","0.09","0.08",0,"466000000","-5.32e+08","2.8e+07","-41000000",1.96e+08,1.67e+08,"21.93","23.77","20.09","0.0536","0.0195",4.94,"4.61","365.5",0,"0","0.805","0.3721","0.0382","0.51","0.22","0.903",61,1.95,3397,"2016-12-01",0.0556094820852574,3e-04,0.0185,0.0553094820852574,0.0182,0.914972123962507,0.0386569894291398,0.0169524926561176,61,2014,244,0.29,0,0.27,0.44,0.49,0.31,0,1,0,NA
"823","BSX",2017,1027,61,"Health Care",5,"BSX_quarterly_financial_data.xls","boston scientific","boston scientific corporation","boston scientific corp",1374910797,1374910797,1,1.9042e+10,"3.822e+09",1.203e+10,"5.654e+09",7.012e+09,0,0,1.2835e+10,3.815e+09,"2.35e+09","-6.15e+08","-6.15e+08","-0.45","-0.45",0,"872000000","-2.89e+08","-6.8e+07","516000000",1.017e+09,7.9e+07,"27.3","29.8","24.79","0.0144","0.0056",5.1,"4.94","45.5",0,"0","0.5441","0.3682","0.0115","0.49","0.58","0.676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2015,29,0.67,0.06,0.07,0.09,0.1,0.15,1,1,1,NA
"824","BSX",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2016,21,0.72,0.08,0.07,0.09,0.12,0.15,1,1,1,NA
"825","BWA",2012,1031,62,"Consumer Discretionary",1,"BWA_quarterly_financial_data.xls","borgwarner","borgwarner inc","borgwarner inc",115639856,231279712,2,6400800000,"2472800000",3254700000,"1603100000",3082600000,63500000,0,1387700000,823800000,"1719100000","121200000","121200000","1.05","1.02",0,"336100000","-122900000","-137500000","94200000",715700000,124400000,"33.85","37.44","30.27","0.1718","0.0794",13.33,"2.6","16.43",1.49,"0","0.2672","0.4816","0.0697","1.14","0.92","1.5425",62,1.29,3409,"2012-12-01",0.0771844324626257,1e-04,0.0119,0.0770844324626257,0.0118,1.61516405125473,0.0580254966578199,0.0191589358048058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","BWA",2013,1033,62,"Consumer Discretionary",1,"BWA_quarterly_financial_data.xls","borgwarner","borgwarner inc","borgwarner inc",227944747,227944747,1,6.917e+09,"2798500000",3284600000,"1623900000",3560600000,71800000,0,1366500000,1.021e+09,"1885400000","141400000","141400000","0.62","0.61",0.13,"204000000","-109700000","-76200000","19100000",939500000,119900000,"52.29","56.45","48.13","0.1888","0.0921",15.62,"3.53","20.15",1.75,"0.093","0.2867","0.5148","0.0839","1.1","0.37","1.7233",62,1.82,3423,"2013-12-01",0.0424741989773625,0,0.0281,0.0424741989773625,0.0281,0.392697424358864,0.0314394013528784,0.0110347976244841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","BWA",2014,1042,62,"Consumer Discretionary",1,"BWA_quarterly_financial_data.xls","borgwarner","borgwarner inc","borgwarner inc",226436079,226436079,1,7.228e+09,"2970800000",3537100000,"2168200000",3616200000,74700000,0,1356800000,716300000,"1991900000","139900000","139900000","0.62","0.61",0.13,"255600000","-164000000","-52200000","15000000",797800000,165100000,"54.5","58.75","50.24","0.1765","0.0895",15.97,"3.32","19.06",2.26,"0.1771","0.1981","0.5003","0.079","1.13","0.4","1.3702",62,1.71,3433,"2014-12-01",-0.0288784154378426,0,-6e-04,-0.0288784154378426,-6e-04,2.08265245518139,-0.0276288239647337,-0.00124959147310883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","BWA",2015,1036,62,"Consumer Discretionary",1,"BWA_quarterly_financial_data.xls","borgwarner","borgwarner inc","borgwarner inc",218638591,218638591,1,8841500000,"3135300000",5.21e+09,"2357300000",3553700000,77800000,0,2301500000,2124600000,"2123100000","125300000","125300000","0.57","0.56",0.13,"397700000","-1331100000","497100000","-455600000",577700000,158500000,"42.67","45.53","39.82","0.1686","0.0766",16.25,"2.57","15.52",2.78,"0.1909","0.5979","0.4019","0.076","1.01","1.09","1.33",62,1.23,3452,"2015-12-01",0.0125699944683139,1e-04,-0.0216,0.0124699944683139,-0.0217,1.1430616538936,0.037274432357805,-0.0247044378894911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
