Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
14;2014;7;4736800000,00;0,93;0,10;0,03;0,09;2,65;0,10;0,14;0,00;0,03;0,19;0,10;0,05;0,05
14;2013;7;4321500000,00;0,86;0,05;0,01;0,05;1,88;0,63;0,94;0,30;0,62;1,00;0,00;0,00;0,05
15;2013;11;21042000000,00;1,05;0,10;0,03;0,09;0,70;0,52;0,03;0,00;0,00;0,29;0,10;0,05;0,00
15;2015;11;23640000000,00;0,99;0,12;0,03;0,12;0,74;0,07;0,01;0,01;0,00;0,12;0,10;0,05;0,00
15;2014;11;22676000000,00;0,96;0,10;0,03;0,10;0,80;0,09;0,01;0,00;0,00;0,12;0,10;0,05;0,00
16;2013;11;56414000000,00;0,56;0,04;0,04;0,15;0,73;0,02;0,02;0,03;0,00;0,07;0,10;0,05;0,00
16;2014;11;59633000000,00;0,54;0,04;0,04;0,14;0,83;0,00;0,01;0,03;0,00;0,12;0,10;0,05;0,00
16;2015;11;61683100000,00;0,49;0,04;0,04;0,15;0,80;0,00;0,01;0,02;0,00;0,12;0,10;0,05;0,00
17;2013;5;49871800000,00;0,56;0,13;0,03;0,22;0,71;0,65;0,74;0,00;0,00;0,74;0,00;0,05;0,00
17;2014;5;53402100000,00;0,54;0,13;0,02;0,17;0,80;0,00;0,08;0,00;0,00;0,14;0,00;0,05;0,05
17;2015;5;53424100000,00;0,49;0,12;0,02;0,14;0,91;0,13;0,12;0,11;0,00;0,14;0,00;0,05;0,05
18;2013;4;121307000000,00;0,34;0,13;0,03;0,21;0,34;0,85;0,63;0,00;0,00;0,82;0,00;0,05;0,05
18;2014;4;119767000000,00;0,29;0,13;0,02;0,18;0,29;0,09;0,09;0,09;0,12;0,16;0,10;0,05;0,05
