Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
68;2015;5;33507000000,00;0,77;0,01;0,04;0,21;0,94;0,05;0,07;0,06;0,10;0,14;0,10;0,00;0,05
68;2014;5;27248000000,00;0,61;0,01;0,04;0,17;1,00;0,10;0,06;0,00;0,10;0,14;0,10;0,00;0,05
68;2013;5;25009000000,00;0,56;0,00;0,01;0,06;0,91;0,76;0,70;0,82;0,65;0,61;0,10;0,00;0,05
69;2014;3;12892000000,00;0,62;0,08;0,06;0,17;;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00
69;2015;3;11500000000,00;0,56;0,06;0,04;0,11;;0,00;0,07;0,00;0,00;0,02;0,00;0,00;0,00
69;2013;3;14248500000,00;0,44;0,07;0,05;0,11;;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00
70;2015;6;78497000000,00;1,71;0,04;0,03;0,13;0,73;0,04;0,04;0,05;0,06;0,07;0,00;0,05;0,00
70;2014;6;84681000000,00;1,66;0,07;0,04;0,19;0,85;0,04;0,05;0,07;0,11;0,09;0,00;0,05;0,00
70;2013;6;84896000000,00;1,29;0,07;0,04;0,20;0,87;0,37;0,35;0,44;0,70;0,14;0,00;0,05;0,00
71;2013;4;6998414000,00;1,29;0,04;0,05;0,18;;0,76;0,72;0,00;0,00;0,74;0,00;0,05;0,05
71;2014;4;7647105000,00;1,08;0,05;0,07;0,23;;0,13;0,12;0,00;0,00;0,08;0,10;0,00;0,05
71;2015;4;11017943000,00;0,98;0,05;0,06;0,22;;0,10;0,13;0,00;0,00;0,08;0,10;0,00;0,05
72;2015;1;23765000000,00;1,48;0,10;0,06;0,24;1,17;0,00;0,03;0,00;0,00;0,16;0,10;0,00;0,00
72;2014;1;24072000000,00;0,93;0,21;0,12;0,37;1,38;0,00;0,00;0,00;0,00;0,16;0,10;0,00;0,00
72;2013;1;26387000000,00;0,60;0,12;0,07;0,19;1,62;0,00;0,00;0,00;0,00;0,20;0,10;0,00;0,00
73;2015;2;16269000000,00;2,32;0,08;0,08;0,39;1,93;0,13;0,13;0,11;0,12;0,07;0,10;0,05;0,05
73;2014;2;16269000000,00;1,63;0,08;0,07;0,26;1,64;0,12;0,14;0,12;0,11;0,07;0,10;0,05;0,05
73;2013;2;16269000000,00;1,05;0,08;0,07;0,24;1,55;0,59;0,84;0,60;0,91;0,04;0,10;0,05;0,05
74;2014;4;21143276000,00;1,76;0,09;0,02;0,05;1,79;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00
74;2015;4;22036245000,00;1,71;0,40;0,07;0,21;1,86;0,00;0,07;0,00;0,00;0,15;0,00;0,00;0,00
74;2013;4;20594908000,00;1,66;0,03;0,01;0,02;1,74;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00
75;2013;1;40104000000,00;0,33;0,07;0,03;0,05;1,20;0,05;0,05;0,48;0,07;0,20;0,00;0,05;0,05
75;2015;1;39237000000,00;0,31;0,11;0,05;0,07;1,30;0,00;0,02;0,00;0,00;0,12;0,10;0,05;0,05
75;2014;1;39532000000,00;0,30;0,08;0,03;0,05;1,19;0,01;0,01;0,06;0,01;0,12;0,10;0,05;0,05
76;2013;8;9018000000,00;1,07;0,17;0,12;0,50;1,10;0,00;0,00;0,00;0,00;0,59;0,00;0,05;0,00
76;2015;8;8586000000,00;1,04;0,05;0,03;0,12;1,29;0,00;0,04;0,00;0,00;0,07;0,00;0,05;0,00
76;2014;8;8796000000,00;0,93;0,09;0,07;0,23;1,18;0,00;0,00;0,00;0,00;0,10;0,00;0,05;0,00
77;2015;5;27053400000,00;2,41;0,17;0,07;0,26;3,74;0,14;0,02;0,15;0,00;0,17;0,10;0,00;0,05
77;2014;5;17340100000,00;0,96;0,26;0,13;0,37;5,09;0,00;0,02;0,11;0,00;0,17;0,10;0,00;0,05
77;2013;5;13378200000,00;0,75;0,22;0,12;0,26;5,07;0,74;0,76;0,75;0,00;0,91;0,00;0,00;0,05
78;2015;5;5522925000,00;0,15;0,12;0,10;0,14;;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00
78;2013;5;4098364000,00;0,04;0,14;0,10;0,13;4,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
78;2014;5;4392638000,00;0,03;0,13;0,10;0,13;;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00
79;2015;8;12738900000,00;1,39;0,16;0,06;0,17;1,19;0,00;0,03;0,00;0,00;0,08;0,00;0,00;0,00
79;2014;8;11338200000,00;1,09;0,29;0,12;0,31;1,44;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
79;2013;8;10678100000,00;0,61;0,27;0,15;0,28;1,34;0,00;0,10;0,00;0,00;0,79;0,00;0,00;0,00
80;2015;2;4256900000,00;0,34;0,12;0,10;0,21;2,75;0,00;0,09;0,00;0,00;0,12;0,00;0,00;0,00
80;2014;2;4381300000,00;0,33;0,13;0,10;0,20;2,54;0,05;0,00;0,07;0,03;0,12;0,00;0,00;0,00
80;2013;2;4259700000,00;0,28;0,12;0,10;0,18;2,21;0,30;0,17;0,23;0,11;1,00;0,00;0,00;0,00
81;2013;6;2803000000,00;0,53;0,03;0,15;0,34;3,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
81;2014;6;3214000000,00;0,48;0,03;0,15;0,45;3,40;0,00;0,10;0,00;0,00;0,08;0,00;0,05;0,00
81;2015;6;3184000000,00;0,43;0,04;0,16;0,46;2,86;0,00;0,01;0,00;0,00;0,08;0,00;0,05;0,00
82;2014;1;24390000000,00;143,99;-0,02;-0,01;-1,23;1,60;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
82;2013;1;17300000000,00;93,91;-0,02;-0,01;-1,13;1,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
82;2015;1;39320000000,00;-776,59;-0,03;-0,01;-5,42;1,42;0,00;0,02;0,00;0,00;0,16;0,00;0,00;0,00
83;2013;5;54336000000,00;0,47;0,05;0,03;0,15;0,58;0,00;0,86;0,00;0,00;0,90;0,00;0,00;0,00
83;2014;5;55896000000,00;0,46;0,06;0,04;0,19;0,64;0,06;0,10;0,00;0,00;0,14;0,10;0,00;0,00
83;2015;5;57088000000,00;0,42;0,06;0,04;0,18;0,80;0,07;0,10;0,10;0,00;0,14;0,10;0,00;0,00
84;2013;4;47139000000,00;2,46;0,29;0,01;0,08;;0,00;0,00;0,00;0,00;0,31;0,00;0,00;0,00
84;2014;4;47880000000,00;2,04;0,31;0,02;0,13;;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
84;2015;4;67498800000,00;1,69;0,27;0,02;0,11;;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00
85;2014;2;13459000000,00;4,93;0,09;0,11;1,26;5,01;0,08;0,09;0,07;0,09;0,11;0,10;0,05;0,05
85;2013;2;13876000000,00;4,93;0,13;0,16;1,00;4,60;0,34;0,38;0,35;0,37;0,33;0,10;0,05;0,05
85;2015;2;11958000000,00;2,25;0,14;0,19;3,27;5,44;0,09;0,07;0,07;0,08;0,11;0,10;0,05;0,05
86;2015;3;14920000000,00;1,52;-0,13;-0,02;-0,07;1,06;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,00
86;2014;3;15080000000,00;1,21;0,20;0,07;0,22;1,37;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00
86;2013;3;11940000000,00;1,19;0,22;0,07;0,21;2,17;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00
87;2013;2;4388000000,00;13,91;0,10;0,13;4,80;3,17;0,32;0,33;0,34;0,49;0,80;0,10;0,05;0,05
87;2015;2;4175000000,00;9,07;0,12;0,16;4,26;4,33;0,07;0,06;0,07;0,12;0,12;0,10;0,05;0,05
87;2014;2;4674000000,00;6,39;0,09;0,12;3,72;3,27;0,07;0,08;0,06;0,13;0,12;0,10;0,05;0,05
88;2015;1;166574000000,00;0,94;0,11;0,05;0,16;1,16;0,00;0,03;0,00;0,00;0,16;0,00;0,00;0,00
88;2013;1;158813000000,00;0,88;0,11;0,04;0,14;1,09;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00
88;2014;1;159339000000,00;0,84;0,12;0,05;0,16;1,15;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
89;2015;4;67371500000,00;0,11;0,37;0,02;0,06;0,47;0,00;0,07;0,00;0,00;0,10;0,00;0,00;0,00
89;2014;4;72241500000,00;0,10;0,36;0,02;0,05;0,43;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
89;2013;4;54277800000,00;0,10;0,33;0,02;0,05;0,50;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00
90;2013;1;2009280000,00;0,00;0,10;0,18;0,23;;0,00;0,00;0,00;0,00;0,68;0,00;0,00;0,00
90;2014;1;2546285000,00;0,00;0,11;0,19;0,24;;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
90;2015;1;2725066000,00;0,00;0,11;0,17;0,21;;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00
91;2013;6;14728000000,00;0,22;0,09;0,12;0,21;1,54;0,24;0,45;0,53;0,57;0,46;0,10;0,05;0,05
91;2015;6;15134000000,00;0,21;0,07;0,09;0,18;0,85;0,04;0,06;0,07;0,10;0,08;0,10;0,05;0,05
91;2014;6;15776000000,00;0,21;0,09;0,11;0,22;1,45;0,03;0,07;0,08;0,09;0,07;0,10;0,05;0,05
92;2015;4;31125100000,00;1,00;0,05;0,01;0,04;;0,00;0,04;0,00;0,00;0,11;0,00;0,00;0,00
92;2014;4;31184200000,00;0,77;0,07;0,01;0,06;0,21;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
92;2013;4;34780600000,00;0,76;0,01;0,00;0,01;0,21;0,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00
93;2014;11;23200000000,00;2,28;0,07;-0,03;-0,17;0,76;0,00;0,08;0,00;0,00;0,08;0,00;0,00;0,00
93;2015;11;21334000000,00;1,94;0,06;0,02;0,10;0,73;0,00;0,13;0,00;0,00;0,08;0,00;0,00;0,00
93;2013;11;21870000000,00;1,76;0,07;0,03;0,14;0,83;0,76;0,61;0,00;0,00;1,00;0,00;0,00;0,00
94;2013;11;11393667000,00;0,63;0,15;0,05;0,16;1,01;0,47;0,53;0,55;0,77;0,65;0,10;0,05;0,05
94;2014;11;11759530000,00;0,61;0,04;0,01;0,03;0,95;0,04;0,11;0,09;0,12;0,11;0,10;0,05;0,05
94;2015;11;10929902000,00;0,58;-0,12;-0,03;-0,08;0,49;0,08;0,10;0,10;0,12;0,11;0,10;0,05;0,05
95;2015;4;334048000000,00;1,23;0,17;0,01;0,08;0,23;0,00;0,04;0,00;0,00;0,10;0,10;0,00;0,05
95;2014;4;308854000000,00;1,06;0,19;0,01;0,10;0,28;0,02;0,04;0,00;0,00;0,10;0,10;0,00;0,05
95;2013;4;297048000000,00;0,95;0,18;0,01;0,10;0,26;0,43;0,32;0,00;0,00;0,24;0,10;0,00;0,00
96;2014;1;3617200000,00;0,71;0,13;0,16;0,23;;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00
96;2013;1;3543817000,00;0,47;0,20;0,28;0,41;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
96;2015;1;4603700000,00;0,34;0,09;0,08;0,15;;0,00;0,03;0,00;0,00;0,12;0,00;0,00;0,00
97;2013;6;7093000000,00;1,49;0,13;0,11;0,47;1,51;0,71;0,36;0,00;0,00;0,00;0,10;0,00;0,00
97;2014;6;7140000000,00;1,34;0,13;0,09;0,35;1,67;0,00;0,04;0,00;0,00;0,13;0,10;0,00;0,00
97;2015;6;7471000000,00;1,30;0,12;0,09;0,34;1,69;0,00;0,06;0,00;0,00;0,13;0,10;0,00;0,00
98;2015;3;97484000000,00;0,59;-0,14;-0,04;-0,10;0,84;0,05;0,06;0,10;0,10;0,01;0,10;0,05;0,05
98;2014;3;116539000000,00;0,43;0,12;0,06;0,13;0,89;0,04;0,06;0,10;0,05;0,01;0,10;0,05;0,05
98;2013;3;118057000000,00;0,40;0,16;0,08;0,18;0,88;0,18;0,36;0,67;0,29;0,15;0,10;0,05;0,05
99;2015;2;35451000000,00;0,45;0,02;0,07;0,22;2,12;0,00;0,11;0,00;0,00;0,12;0,00;0,05;0,00
99;2013;2;32319000000,00;0,44;0,02;0,07;0,19;1,78;0,66;0,72;0,00;0,00;0,26;0,00;0,05;0,00
99;2014;2;34613000000,00;0,41;0,02;0,06;0,18;1,86;0,00;0,08;0,00;0,00;0,12;0,00;0,05;0,00
100;2015;2;8304000000,00;1,80;0,08;0,08;0,44;2,27;0,06;0,07;0,03;0,05;0,10;0,10;0,05;0,05
100;2013;2;9055000000,00;1,67;0,05;0,04;0,31;2,19;0,16;0,25;0,17;0,36;0,28;0,10;0,05;0,05
100;2014;2;8297000000,00;1,39;0,11;0,11;0,56;2,00;0,04;0,06;0,01;0,06;0,10;0,10;0,05;0,05
101;2014;7;9412663000,00;0,44;-0,06;-0,03;-0,09;4,53;0,07;0,04;0,00;0,00;0,19;0,10;0,00;0,00
101;2015;7;10911966000,00;0,27;-0,05;-0,01;-0,02;4,71;0,00;0,06;0,00;0,00;0,19;0,10;0,00;0,00
101;2013;7;8097634000,00;0,09;-0,09;-0,02;-0,05;4,29;0,53;0,45;0,00;0,00;1,00;0,00;0,00;0,00
102;2015;7;111773000000,00;0,36;0,19;0,09;0,16;1,04;0,05;0,10;0,06;0,08;0,14;0,10;0,05;0,05
102;2014;7;103978000000,00;0,35;0,16;0,08;0,14;0,95;0,06;0,08;0,06;0,10;0,14;0,10;0,05;0,05
102;2013;7;100741000000,00;0,22;0,20;0,10;0,17;0,92;0,50;0,61;0,60;0,82;0,21;0,10;0,00;0,05
103;2015;6;35039000000,00;0,92;0,17;0,06;0,17;1,00;0,12;0,07;0,05;0,04;0,18;0,10;0,05;0,05
103;2013;6;31782000000,00;0,86;0,16;0,06;0,19;1,19;0,30;0,43;0,31;0,13;0,22;0,10;0,05;0,05
103;2014;6;33053000000,00;0,85;0,15;0,06;0,18;1,36;0,06;0,07;0,04;0,00;0,18;0,10;0,05;0,05
104;2014;10;50147000000,00;1,34;0,04;0,02;0,05;0,89;0,02;0,00;0,02;0,00;0,16;0,10;0,05;0,05
104;2015;10;47604000000,00;1,33;0,05;0,02;0,06;0,72;0,01;0,02;0,02;0,09;0,16;0,10;0,05;0,05
104;2013;10;51787000000,00;1,17;-0,01;0,00;-0,01;0,76;0,15;0,09;0,23;0,00;1,00;0,00;0,00;0,00
105;2014;7;11718916000,00;0,12;0,14;0,15;0,20;2,54;0,09;0,04;0,04;0,10;0,15;0,10;0,05;0,05
105;2015;7;13065400000,00;0,10;0,13;0,13;0,19;2,47;0,10;0,04;0,05;0,06;0,17;0,10;0,05;0,05
105;2013;7;8208914000,00;0,00;0,14;0,17;0,22;3,23;0,55;0,30;0,14;0,37;1,00;0,00;0,05;0,00
106;2015;7;5481438000,00;0,67;0,10;0,06;0,15;1,93;0,00;0,02;0,00;0,00;0,19;0,00;0,00;0,00
106;2014;7;5512007000,00;0,59;0,08;0,05;0,10;1,70;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00
106;2013;7;5212249000,00;0,00;0,12;0,07;0,10;1,75;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
107;2015;2;93657000000,00;0,74;0,03;0,06;0,14;1,38;0,12;0,14;0,13;0,00;0,14;0,10;0,05;0,05
107;2013;2;71526000000,00;0,35;0,04;0,07;0,12;1,22;0,88;0,89;0,79;0,00;0,59;0,00;0,05;0,05
107;2014;2;74252000000,00;0,34;0,03;0,06;0,12;1,54;0,13;0,14;0,12;0,00;0,14;0,10;0,05;0,05
108;2015;3;266103000000,00;0,22;0,03;0,02;0,03;0,73;0,07;0,08;0,06;0,00;0,01;0,10;0,05;0,05
108;2014;3;266026000000,00;0,16;0,09;0,07;0,13;0,84;0,06;0,09;0,09;0,06;0,01;0,10;0,05;0,05
108;2013;3;253753000000,00;0,13;0,09;0,09;0,15;0,95;0,35;0,57;0,36;0,32;0,47;0,10;0,05;0,05
109;2013;3;9591164000,00;0,97;0,11;0,03;0,07;1,59;0,00;0,00;0,00;0,00;0,87;0,00;0,00;0,00
109;2014;3;11799963000,00;0,67;0,20;0,05;0,11;1,26;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00
109;2015;3;12641876000,00;0,48;0,04;0,01;0,01;1,16;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,00
110;2014;11;54327000000,00;1,89;0,11;0,03;0,11;1,26;0,11;0,04;0,01;0,00;0,12;0,10;0,00;0,00
110;2015;11;58797000000,00;1,86;0,16;0,03;0,15;1,15;0,00;0,03;0,00;0,00;0,12;0,10;0,00;0,00
110;2013;11;50096000000,00;1,66;0,13;0,04;0,15;1,16;0,00;0,29;0,12;0,00;0,42;0,10;0,00;0,00
111;2014;6;54121000000,00;0,97;0,02;0,01;0,06;;0,04;0,06;0,08;0,09;0,10;0,10;0,05;0,05
111;2013;6;52252000000,00;0,84;0,28;0,22;2,22;;0,12;0,30;0,89;0,77;0,42;0,10;0,05;0,05
111;2015;6;53134000000,00;0,62;0,11;0,08;0,45;;0,06;0,09;0,09;0,10;0,10;0,10;0,05;0,05
112;2015;8;41166000000,00;0,78;0,08;0,04;0,17;;0,00;0,05;0,00;0,00;0,09;0,10;0,05;0,05
112;2014;8;49876000000,00;0,71;0,10;0,07;0,23;;0,08;0,06;0,14;0,00;0,09;0,10;0,05;0,05
112;2013;8;51499000000,00;0,67;0,14;0,09;0,35;;0,48;0,50;0,70;0,00;0,17;0,10;0,05;0,05
113;2015;6;57947600000,00;4,21;0,07;0,03;0,25;0,46;0,00;0,07;0,00;0,00;0,07;0,10;0,05;0,05
113;2014;6;61336400000,00;3,19;0,09;0,05;0,31;0,47;0,00;0,09;0,00;0,00;0,07;0,10;0,05;0,05
113;2013;6;59521300000,00;2,50;0,09;0,06;0,41;0,49;0,62;0,42;0,14;0,00;0,55;0,00;0,05;0,05
114;2015;4;86936000000,00;2,31;0,26;0,03;0,21;0,48;0,00;0,05;0,00;0,00;0,10;0,00;0,00;0,00
114;2014;4;83126000000,00;2,13;0,27;0,03;0,21;0,58;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
114;2013;4;79340000000,00;2,00;0,30;0,03;0,24;0,55;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00
115;2015;1;11288293000,00;0,58;0,06;0,10;0,21;;0,00;0,09;0,00;0,00;0,10;0,00;0,00;0,00
115;2013;1;10775974000,00;0,54;0,06;0,10;0,20;;0,00;0,00;0,00;0,00;0,84;0,00;0,00;0,00
115;2014;1;10877372000,00;0,50;0,06;0,10;0,20;;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
116;2013;5;8948000000,00;0,79;0,12;0,09;0,21;1,18;0,18;0,25;0,48;0,14;0,78;0,10;0,05;0,00
116;2014;5;9877000000,00;0,75;0,07;0,06;0,13;1,32;0,01;0,04;0,04;0,02;0,14;0,10;0,05;0,00
116;2015;5;9962000000,00;0,75;0,09;0,07;0,16;1,34;0,02;0,03;0,04;0,00;0,14;0,10;0,05;0,00
117;2015;6;48222200000,00;0,51;0,16;0,08;0,14;1,22;0,00;0,06;0,00;0,00;0,14;0,00;0,00;0,00
117;2013;6;34672200000,00;0,15;0,14;0,08;0,13;1,15;0,00;0,00;0,00;0,00;0,62;0,00;0,00;0,00
117;2014;6;36991700000,00;0,15;0,13;0,07;0,11;1,22;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00
118;2014;1;87035000000,00;0,37;0,16;0,09;0,17;1,97;0,01;0,01;0,00;0,01;0,14;0,10;0,05;0,00
118;2015;1;88182000000,00;0,29;0,16;0,10;0,19;2,08;0,01;0,01;0,00;0,00;0,14;0,10;0,05;0,00
118;2013;1;83166000000,00;0,26;0,14;0,08;0,15;1,70;0,28;0,09;0,00;0,01;0,04;0,00;0,00;0,00
119;2015;1;15864000000,00;1,40;0,16;0,07;0,19;1,12;0,00;0,05;0,00;0,00;0,16;0,00;0,00;0,00
119;2014;1;16014000000,00;1,08;0,18;0,07;0,19;1,33;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
119;2013;1;14979000000,00;1,05;0,19;0,07;0,17;1,31;0,00;0,00;0,00;0,00;0,70;0,00;0,00;0,00
120;2013;1;20375628000,00;12,91;0,06;0,04;1,59;;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00
120;2014;1;22107462000,00;6,85;0,06;0,04;0,62;;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
120;2015;1;22886710000,00;4,45;0,05;0,03;0,28;;0,00;0,04;0,00;0,00;0,16;0,00;0,00;0,00
121;2015;1;16699000000,00;1,99;0,02;0,02;0,09;1,27;0,00;0,09;0,00;0,00;0,10;0,00;0,00;0,00
121;2013;1;2882800000,00;1,05;0,08;0,22;0,40;4,62;0,00;0,00;0,00;0,00;0,59;0,00;0,00;0,00
121;2014;1;3367700000,00;0,48;0,07;0,20;0,44;3,65;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
122;2015;6;8619763000,00;0,72;0,13;0,10;0,24;1,29;0,00;0,06;0,00;0,00;0,10;0,00;0,05;0,00
122;2014;6;9090385000,00;0,61;0,10;0,09;0,20;1,46;0,08;0,06;0,00;0,00;0,10;0,00;0,05;0,00
122;2013;6;10838172000,00;0,48;0,11;0,10;0,20;1,62;0,54;0,29;0,00;0,00;0,65;0,00;0,05;0,00
123;2014;8;68796000000,00;1,02;0,06;0,05;0,16;;0,06;0,05;0,06;0,03;0,10;0,10;0,05;0,05
123;2015;8;68026000000,00;0,76;0,15;0,11;0,37;;0,06;0,05;0,09;0,03;0,07;0,10;0,05;0,05
123;2013;8;69501000000,00;0,73;0,08;0,07;0,22;;0,25;0,38;0,11;0,37;0,12;0,10;0,05;0,05
124;2015;2;8869000000,00;1,32;0,12;0,09;0,34;2,27;0,00;0,07;0,00;0,00;0,07;0,10;0,05;0,05
124;2014;2;8273000000,00;1,13;0,11;0,09;0,31;1,97;0,13;0,08;0,09;0,00;0,07;0,10;0,05;0,05
124;2013;2;8201000000,00;1,10;0,10;0,07;0,27;1,17;0,28;0,39;0,27;0,47;0,73;0,00;0,05;0,05
125;2015;11;28737000000,00;1,01;0,07;0,03;0,08;0,81;0,12;0,04;0,14;0,05;0,11;0,10;0,05;0,05
125;2014;11;27974000000,00;1,00;0,07;0,03;0,11;0,83;0,08;0,03;0,12;0,03;0,11;0,10;0,05;0,05
125;2013;11;25935000000,00;0,91;0,07;0,03;0,09;0,75;0,60;0,26;0,60;0,12;0,24;0,00;0,05;0,00
126;2015;11;121156000000,00;0,94;0,12;0,02;0,07;0,73;0,02;0,02;0,06;0,09;0,12;0,10;0,05;0,05
126;2013;11;114779000000,00;0,92;0,11;0,02;0,07;0,74;0,03;0,12;0,60;0,79;0,07;0,10;0,00;0,05
126;2014;11;120709000000,00;0,91;0,08;0,02;0,05;0,79;0,05;0,02;0,09;0,11;0,06;0,10;0,05;0,05
127;2015;5;18514875000,00;1,85;0,02;0,01;0,05;1,16;0,00;0,04;0,00;0,00;0,14;0,00;0,05;0,00
127;2013;5;17098877000,00;1,84;0,05;0,04;0,15;1,21;0,29;0,11;0,24;0,03;0,40;0,10;0,00;0,00
127;2014;5;17942715000,00;1,62;0,06;0,04;0,15;1,31;0,06;0,04;0,00;0,00;0,14;0,00;0,05;0,00
128;2015;3;29532000000,00;1,72;0,08;-0,39;-1,01;0,84;0,00;0,08;0,08;0,00;0,02;0,10;0,05;0,05
128;2014;3;50637000000,00;0,46;0,08;0,03;0,07;0,68;0,00;0,02;0,06;0,00;0,01;0,10;0,05;0,05
128;2013;3;42877000000,00;0,39;0,00;0,00;0,00;0,74;0,58;0,12;0,39;0,00;0,37;0,00;0,05;0,05
129;2015;7;17785000000,00;1,03;0,20;0,05;0,13;1,90;0,13;0,08;0,15;0,00;0,13;0,00;0,00;0,05
129;2014;7;45132000000,00;0,34;0,00;0,00;0,00;0,59;0,10;0,11;0,00;0,00;0,14;0,00;0,00;0,05
129;2013;7;41488000000,00;0,17;0,18;0,07;0,13;0,56;0,30;0,45;0,00;0,00;0,19;0,00;0,00;0,05
130;2013;8;19636500000,00;0,82;0,07;0,05;0,14;1,85;0,73;0,80;0,84;0,60;0,90;0,10;0,05;0,05
130;2014;8;19466700000,00;0,66;0,08;0,06;0,16;1,84;0,13;0,14;0,14;0,06;0,10;0,10;0,05;0,05
130;2015;8;18641700000,00;0,62;0,07;0,05;0,15;2,06;0,13;0,14;0,14;0,08;0,10;0,10;0,05;0,05
131;2014;6;4674200000,00;0,52;0,15;0,08;0,16;2,37;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
131;2013;6;4539900000,00;0,50;0,15;0,08;0,16;2,11;0,00;0,00;0,00;0,00;0,74;0,00;0,00;0,00
131;2015;6;4509000000,00;0,50;0,16;0,09;0,19;3,20;0,00;0,03;0,00;0,00;0,11;0,00;0,00;0,00
132;2013;11;46646000000,00;0,99;0,07;0,02;0,09;0,61;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00
132;2015;11;50310000000,00;0,96;0,09;0,02;0,09;0,65;0,00;0,12;0,00;0,00;0,12;0,00;0,00;0,00
132;2014;11;50186000000,00;0,93;0,12;0,03;0,15;0,67;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00
133;2015;7;46612000000,00;0,26;0,08;0,04;0,10;;0,06;0,07;0,09;0,13;0,14;0,10;0,05;0,05
133;2014;7;45885000000,00;0,25;0,11;0,06;0,12;;0,06;0,07;0,10;0,00;0,13;0,10;0,05;0,05
133;2013;7;45849000000,00;0,25;0,12;0,07;0,13;;0,45;0,57;0,82;0,15;0,84;0,10;0,05;0,05
134;2014;8;16072000000,00;2,07;0,08;0,06;0,20;1,08;0,04;0,03;0,00;0,00;0,09;0,10;0,05;0,00
134;2015;8;15611000000,00;1,73;0,09;0,05;0,23;1,01;0,03;0,03;0,00;0,00;0,09;0,10;0,05;0,00
134;2013;8;11845000000,00;1,12;0,12;0,10;0,34;1,28;0,00;0,19;0,00;0,00;0,53;0,10;0,05;0,00
135;2015;6;21552000000,00;0,54;0,12;0,11;0,31;1,55;0,00;0,05;0,07;0,00;0,13;0,00;0,05;0,00
135;2013;6;24124000000,00;0,36;0,08;0,08;0,19;2,09;0,00;0,00;0,00;0,00;0,34;0,00;0,00;0,00
135;2014;6;23724000000,00;0,35;0,09;0,09;0,22;1,86;0,00;0,04;0,00;0,00;0,13;0,00;0,05;0,00
136;2015;3;26975244000,00;0,51;-0,52;-0,15;-0,30;1,67;0,00;0,05;0,00;0,00;0,01;0,00;0,00;0,00
136;2013;3;30574238000,00;0,38;0,15;0,07;0,15;1,65;0,00;0,00;0,00;0,00;0,56;0,00;0,00;0,00
136;2014;3;34762687000,00;0,33;0,16;0,09;0,17;1,56;0,00;0,04;0,00;0,00;0,01;0,00;0,00;0,00
137;2013;3;40140000000,00;1,07;0,05;0,07;0,18;1,98;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00
137;2014;3;47200000000,00;1,06;0,06;0,06;0,17;1,94;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
137;2015;3;48800000000,00;1,03;0,09;0,05;0,13;1,54;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
138;2014;7;7817433000,00;2,06;-0,11;-0,03;-0,10;1,97;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00
