"";"Companies";"Year";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Ticker";"GisSector";"GicsClassification";"FichierSTCKP";"CompanyGR2014";"CompanyGR2015";"CompanyGR2016";"X";"Date"
"22";4;2014;0,11;2,54;0,34;0,11;0,13;0,11;0,14;1;0;1;11,42;7,41;0,23;7;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";262;"2014-12-01"
"23";4;2015;0,2;2,17;0,46;0,1;0,15;0,12;0,11;1;0;1;11,47;4,35;0,23;7;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";266;"2015-12-01"
"24";4;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";277;"2016-12-01"
"25";5;2013;0;NA;0,02;0,22;0,13;0,07;0,16;1;0;1;10,47;1,13;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";5;2014;0,01;NA;0,29;0,04;0,03;0,02;0,03;1;0;1;10,44;3,38;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";5;2015;0,05;NA;0,27;0,07;0,04;0,02;0,05;1;0;1;10,72;0,6;0,01;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABBV";"Health Care";5;"ABBV_quarterly_financial_data.xls";"abbvie";"abbvie inc";"abbvie inc";NA;NA
"29";6;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";291;"2011-12-01"
"30";6;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";312;"2012-12-01"
"31";6;2013;0,06;0,92;0,11;0;0;0;0;0;0;0;10,3;0,13;0,12;5;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";319;"2013-12-01"
"32";6;2014;0,05;0,9;0,1;0;0;0;0;0;0;0;10,4;0,16;0,11;5;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";334;"2014-12-01"
"33";6;2015;0,1;0,96;0,2;0;0,06;0;0;0;0;0;10,49;0,28;0,22;5;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";340;"2015-12-01"
"34";6;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABC";"Health Care";5;"ABC_quarterly_financial_data.xls";"amerisourcebergen";"amerisourcebergen corporation";"amerisourcebergen corp";349;"2016-12-01"
"35";7;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";366;"2011-12-01"
"36";7;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";379;"2012-12-01"
"37";7;2013;0,04;1,23;0,12;0,12;0,08;0,15;0,35;1;0;1;10,63;1,3;0,07;5;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";390;"2013-12-01"
"38";7;2014;0,04;1,66;0,13;0,02;0,01;0,02;0,03;1;0;1;10,62;1,38;0,07;5;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";399;"2014-12-01"
"39";7;2015;0,05;1,63;0,14;0,01;0,01;0,01;0,05;1;0;1;10,62;1,29;0,08;5;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";417;"2015-12-01"
"40";7;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABT";"Health Care";5;"ABT_quarterly_financial_data.xls";"abbott laboratories";"abbott laboratories";"abbott laboratories";430;"2016-12-01"
"41";8;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";434;"2011-12-01"
"42";8;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";455;"2012-12-01"
"43";8;2013;0,03;1,69;0,04;0,2;0,43;0,4;0,02;0;1;1;9,23;0,22;0,07;6;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";466;"2013-12-01"
"44";8;2014;0,03;1,7;0,04;0,01;0,03;0,07;0,03;1;1;1;9,27;0,13;0,06;6;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";474;"2014-12-01"
"45";8;2015;0,06;1,71;0,09;0,05;0,04;0,09;0,01;1;1;1;9,3;0,27;0,13;6;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";486;"2015-12-01"
"46";8;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ACIW";"Industrials";6;"ACIW_quarterly_financial_data.xls";"union pacific";"union pacific corporation";"union pacific corp";504;"2016-12-01"
"47";9;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";515;"2011-12-01"
"48";9;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";525;"2012-12-01"
"49";9;2013;0,11;2,62;0,15;0,83;0,87;0,99;0,92;1;1;1;10,02;0,18;0,26;7;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";539;"2013-12-01"
"50";9;2014;0,09;3,2;0,13;0,13;0,09;0,12;0,09;1;1;1;10,03;0,18;0,22;7;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";551;"2014-12-01"
"51";9;2015;0,1;3,82;0,14;0,06;0,08;0,08;0,03;1;1;1;10,07;0,1;0,2;7;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";556;"2015-12-01"
"52";9;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ADBE";"Information Technology";7;"ADBE_quarterly_financial_data.xls";"adobe systems";"adobe systems incorporated";"adobe systems inc";574;"2016-12-01"
