"","Ticker","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","StockPriceClose","PriceToEpsRatio","PayoutRatio","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","Rf","Rm","Ra_Rf","Rm_Rf","Beta","CostEquity","Volume","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","CompaniesIndex"
"15","ABBV",3,0.0994,1.3805,0.1726,NA,0.029494927404168,0.00191964538315004,3.63,62.27,16.19,0.6,6.06,0.0889,2.7547e+10,1.61e+09,1.996e+10,3.649e+09,1.774e+09,1.742e+09,0,-6e-04,-0.0558670964141833,-6e-04,1.57707234982411,-0.000946243409894466,NA,2016,125,0.47,0.07,0.04,0.02,0.05,0.14,1,0,1,"Health Care",5,5
"16","ABC",1,0.0137,0.1293,0.0851,0.9,-0.00982272148231559,-0.00938741586131097,1.16,NA,72.86,0.803,0.59,0.009,15495532000,2.57e+08,7.8081e+10,NA,7.19e+08,2337235000,1e-04,0.0119,0.0223833556383944,0.0118,0.322616956172364,0.0039068800828339,1039500,2014,372,0.13,0,0,0,0,0.64,0,0,0,"Health Care",5,6
"17","ABC",2,-0.0055,-0.1041,-0.0187,0.96,0.0501215916423345,0.0601803856816807,-0.63,104.190002,NA,0.6471,0.6,0.0049,1.8919e+10,2.35e+08,8.7959e+10,NA,4.34e+08,2247802000,0,0.0281,-0.00312405154338848,0.0281,0.742625084707307,0.0208677648802753,NA,2015,394,0.14,0,0,0,0,0.14,0,0,0,"Health Care",5,6
"18","ABC",3,0.0465,1.0336,0.2825,0.68,0.00256117969774564,-0.0282579159831479,6.32,78.349998,11.88,0.178,1.02,0.0023,2.1532e+10,2.35e+08,1.19569e+11,NA,2.74e+08,1768346000,0,-6e-04,-0.00982272148231559,-6e-04,0.725509368341039,-0.000435305621004623,NA,2016,361,0.2,0,0.06,0,0,0.14,0,0,0,"Health Care",5,6
"19","ABT",1,0.0542,0.0978,0.0764,1.66,0.011392999303787,0.0118924378901004,1.49,NA,33.77,0.635,0.68,0.1495,67234944000,1.592e+09,1.905e+10,NA,5.963e+09,26720961000,1e-04,0.0119,0.00756281855777333,0.0118,0.376780548141739,0.00454601046807252,11238800,2014,242,0.29,0.12,0.08,0.15,0.35,0.19,1,0,1,"Health Care",5,7
"20","ABT",2,0.1072,0.207,0.1501,1.63,-0.000222513691894054,0.0311116643961698,2.92,45.029999,14.28,0.563,0.13,0.1179,4.2953e+10,1.574e+09,1.9657e+10,1.452e+09,2.576e+09,2.5171e+10,0,0.0281,0.00365927679869691,0.0281,1.84355580390044,0.0518039180896025,NA,2015,218,0.37,0.02,0.01,0.02,0.03,0.14,1,0,1,"Health Care",5,7
"21","ABT",3,0.0298,0.0671,0.0454,1.09,0.00889116218577912,-0.0239273026912197,0.94,38.220001,45.09,1.546,0.16,0.1128,4.1275e+10,1.527e+09,2.0247e+10,1.345e+09,2.284e+09,2.1526e+10,0,-6e-04,0.011392999303787,-6e-04,0.832397643855632,-0.000499438586313379,NA,2016,187,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1,"Health Care",5,7
"22","ACIW",1,0.0383,0.1201,0.0681,1.7,0.0363492304877848,0.0367951634510975,0.58,NA,31.84,0,0.67,0.0733,1250886000,1.2e+08,6.67e+08,NA,4.9e+07,534357000,1e-04,0.0119,0.013264299981366,0.0118,1.72904165761763,0.020502691559888,356700,2014,160,0.39,0.2,0.43,0.4,0.02,0.67,0,1,1,"Industrials",6,8
"23","ACIW",2,0.0445,0.1383,0.0759,1.71,-0.0944602010026204,-0.0630325085882382,0.72,22.35,31.04,0,1.3,0.0738,1.682e+09,1.2e+08,8.65e+08,NA,6.4e+07,543694000,0,0.0281,0.00725700717865738,0.0281,0.846682324054431,0.0237917733059295,NA,2015,121,0.52,0.01,0.03,0.07,0.03,0.18,1,1,1,"Industrials",6,8
"24","ACIW",3,0.0666,0.1838,0.1017,1.45,-0.0250285636778496,-0.0599506825210512,1.09,18.24,21.05,0,1.38,0.0665,1.851e+09,1.17e+08,1.016e+09,NA,6.8e+07,581405000,0,-6e-04,0.0363492304877848,-6e-04,0.743221605521034,-0.00044593296331262,NA,2016,81,0.57,0.05,0.04,0.09,0.01,0.18,1,1,1,"Industrials",6,8
"25","ADBE",1,0.0254,0.0398,0.0347,3.2,-0.0133900486730533,-0.0122108921118647,0.53,NA,NA,NA,0.22,0.1891,1.004e+10,5.03e+08,4.404e+09,NA,8.33e+08,NA,1e-04,0.0119,0.0848867631675266,0.0118,1.17393076051421,0.0139523829740677,3171600,2014,2,0.84,0.83,0.87,0.99,0.92,0.51,1,1,1,"Information Technology",7,9
"26","ADBE",2,0.0559,0.0914,0.0789,3.82,0.0267545945928666,0.0477791915343898,1.24,94.199997,NA,NA,0.22,0.0715,1.038e+10,5.13e+08,4.055e+09,NA,2.9e+08,NA,0,0.0281,0.0531584428185046,0.0281,0.550999847598482,0.0154830957175174,NA,2015,3,0.83,0.13,0.09,0.12,0.09,0.19,1,1,1,"Information Technology",7,9
"27","ADBE",3,0.0957,0.162,0.1303,3.94,0.0013607992321723,-0.0129097742875718,2.32,103.769997,47.11,0,0.13,0.0647,1.0786e+10,5.08e+08,4.147e+09,NA,2.68e+08,NA,0,-6e-04,-0.0133900486730533,-6e-04,1.96526093531432,-0.00117915656118859,NA,2016,53,0.62,0.06,0.08,0.08,0.03,0.19,1,1,1,"Information Technology",7,9
"28","ADI",1,0.0951,0.1325,0.1154,1.95,0.0227012504854689,0.0236277206132968,1.98,NA,NA,0.626,0.19,0.2411,5.62e+09,3.06e+08,2.701e+09,NA,6.51e+08,NA,1e-04,0.0119,0.0426365089809674,0.0118,0.932458452966757,0.0111030097450077,1439700,2014,50,0.56,0.55,0.48,0.59,0.3,0.86,0,1,1,"Information Technology",7,10
"29","ADI",2,0.1001,0.1418,0.1193,2.31,-0.101496384049314,-0.0775545470087128,2.2,56.450001,NA,0.691,0.18,0.2557,6.382e+09,3.14e+08,2.634e+09,NA,6.73e+08,NA,0,0.0281,0.0615620790200372,0.0281,1.31523601875755,0.0369581321270872,NA,2015,124,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1,"Information Technology",7,10
"30","ADI",3,0.1146,0.1683,0.148,2.17,-0.0220627528824835,-0.0503039297200488,2.76,73.559998,NA,0.773,0.18,0.2197,6.86e+09,3.18e+08,2.865e+09,NA,6.29e+08,NA,0,-6e-04,0.0227012504854689,-6e-04,1.54411687971311,-0.000926470127827863,NA,2016,100,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1,"Information Technology",7,10
"31","ADM",1,0.0512,0.1132,0.0927,0.64,-0.0129922556784712,-0.0124982423959382,3.43,NA,16.42,0.313,0.36,0.0137,4.5136e+10,6.66e+08,8.9038e+10,NA,1.223e+09,1.892e+10,1e-04,0.0119,0.0254144408605249,0.0118,0.041678458486068,0.000591805810135603,4319300,2014,307,0.19,0.06,0.09,0.55,0,0.19,0,1,0,"Consumer Staples",2,11
"32","ADM",2,0.0439,0.0987,0.0832,0.48,0.00519344270328114,0.0307973521119467,2.98,36.5,14.09,0.375,0.27,0.0149,4.3752e+10,6.63e+08,8.9804e+10,NA,1.342e+09,2.0156e+10,0,0.0281,0.0753495835592332,0.0281,0.664424226349584,0.0186703207604233,NA,2015,253,0.33,0.02,0.01,0.07,0,0.09,1,1,0,"Consumer Staples",2,11
"33","ADM",3,0.032,0.0729,0.0594,0.62,0.0544688838034509,0.0444353190030513,2.16,45.34,16.85,0.45,0.28,0.0277,4.4027e+10,6.56e+08,8.1201e+10,NA,2.248e+09,1.9575e+10,0,-6e-04,-0.0129922556784712,-6e-04,0.823355470888378,-0.000494013282533027,NA,2016,240,0.32,0.01,0.02,0.06,0,0.09,1,1,0,"Consumer Staples",2,11
"34","ADP",1,0.0471,0.2358,0.2301,0.86,-0.02110014518344,-0.0206149652702033,3.14,NA,25.58,0.614,0.0025,0.1302,3.333e+10,4.92e+08,1.0595e+10,NA,1.389e+09,6395300000,1e-04,0.0119,0.0118175366267203,0.0118,0.770112066882768,0.00918732238921666,1728400,2014,105,0.47,0.47,0.38,0.61,0,1,0,1,0,"Information Technology",7,12
"35","ADP",2,0.0446,0.2531,0.2468,0.94,-0.0118555632523004,0.00484322286178353,3.05,85.75,26.8,0.576,0.002,0.1243,3.2268e+10,4.87e+08,9.442e+09,NA,1.405e+09,6258500000,0,0.0281,0.0166884372442692,0.0281,0.634522853152042,0.0178300921735724,NA,2015,282,0.28,0,0.07,0,0,0.16,0,1,0,"Information Technology",7,12
"36","ADP",3,0.0389,0.3213,0.2633,1.13,0.0739896363319877,0.0613747831690732,3.25,103.050003,27.96,0.641,0.0019,0.1242,3.2052e+10,4.83e+08,1.0226e+10,NA,1.516e+09,5492200000,0,-6e-04,-0.02110014518344,-6e-04,0.808633188727693,-0.000485179913236616,NA,2016,268,0.28,0,0.07,0,0,0.16,0,1,0,"Information Technology",7,12
"37","ADS",1,0.0302,0.3114,0.0665,0.93,0.000629349338349831,0.002351492901365,7.87,NA,29.78,0,8.91,0.116,12000139000,6.4e+07,3.641e+09,NA,4.22e+08,528487000,1e-04,0.0119,0.0157052108405863,0.0118,0.913175761195095,0.0108754739821021,264000,2014,435,0,0,0,0,0,0,0,0,0,"Information Technology",7,13
"38","ADS",2,0.0258,0.2503,0.0604,0.76,-0.0364955112505858,-0.0217542016776856,8.85,278.140015,37.99,0,7.01,0.1149,13244257000,6.7e+07,4.319e+09,NA,4.96e+08,855761000,0,0.0281,0.0818761668402418,0.0281,1.10948588934073,0.0311765534904744,NA,2015,311,0.24,0,0.08,0,0,0.16,0,0,0,"Information Technology",7,13
"39","ADS",3,0.018,0.2357,0.0502,0.5,-0.00122459556223502,-0.059266140549198,7.34,228.570007,23.17,0.0673,3.39,0.0955,20263977000,6.2e+07,5.302e+09,NA,5.06e+08,2396380000,0,-6e-04,0.000629349338349831,-6e-04,2.87023927169194,-0.00172214356301517,NA,2016,343,0.21,0,0.05,0,0,0.16,0,0,0,"Information Technology",7,13
"40","ADSK",1,0.0514,0.1063,0.0789,2.65,-0.0317903058398908,-0.0312787783108992,1,NA,NA,NA,NA,0.1288,3.429e+09,2.33e+08,2.215e+09,NA,2.85e+08,NA,1e-04,0.0119,0.0647590892695667,0.0118,2.82833347870637,0.0334743350487352,3666100,2014,26,0.62,0.63,0.94,0.3,0.62,1,0,0,1,"Information Technology",7,14
"41","ADSK",2,0.0172,0.0365,0.0274,2.4,-0.0408417048134506,0.0124840449048706,0.35,61.860001,NA,NA,0.36,0.107,4.322e+09,2.31e+08,2.312e+09,6.11e+08,2.47e+08,NA,0,0.0281,0.10619994224625,0.0281,1.53911665487784,0.0432491780020674,NA,2015,30,0.66,0.1,0.14,0,0.03,0.19,1,1,1,"Information Technology",7,14
"42","ADSK",3,-0.0634,-0.1722,-0.1088,3.48,0.0190975790683869,-0.0215451264687587,-1.46,75.019997,NA,NA,0.33,0.1006,4.737e+09,2.29e+08,2.274e+09,7.25e+08,2.29e+08,NA,0,-6e-04,-0.0317903058398908,-6e-04,0.852545881652775,-0.000511527528991665,NA,2016,22,0.71,0.14,0.14,0,0.05,0.19,1,1,1,"Information Technology",7,14
"43","AEE",1,0.0268,0.0884,0.0597,0.8,0.0772245179786794,0.0777002692359426,2.4,NA,18.31,0.667,1,-0.1426,2.1835e+10,2.43e+08,5.781e+09,NA,-9.74e+08,6.465e+09,1e-04,0.0119,0.0381581724367406,0.0118,0.109858942677735,0.00139633552359728,2914900,2014,247,0.29,0.52,0.03,0,0,0.29,1,1,0,"Utilities",11,15
"44","AEE",2,0.0272,0.0922,0.0602,0.74,-0.00233097691277153,-0.00211068566870568,2.59,44.040001,16.11,0.669,0.84,0.0495,2.1042e+10,2.45e+08,5.838e+09,NA,2.89e+08,6.544e+09,0,0.0281,0.0196474272107625,0.0281,0.827504185925556,0.0232528676245081,NA,2015,222,0.37,0.09,0.01,0,0,0.12,1,1,0,"Utilities",11,15
"45","AEE",3,0.027,0.093,0.059,0.83,0.0746843033795405,0.0749415345704207,2.68,51.82,18.6,0.634,0.91,0.0968,2.2676e+10,2.44e+08,6.053e+09,NA,5.86e+08,6.713e+09,0,-6e-04,0.0772245179786794,-6e-04,0.792918762105364,-0.000475751257263218,NA,2016,205,0.36,0.07,0.01,0.01,0,0.12,1,1,0,"Utilities",11,15
"46","AEP",1,0.0282,0.0993,0.0605,0.83,0.0536190504599654,0.0540370966911181,3.34,NA,15.69,0.546,1.02,0.0842,5.4367e+10,4.85e+08,1.4945e+10,NA,1.259e+09,1.5237e+10,1e-04,0.0119,0.000603036820130889,0.0118,-0.156762726457111,-0.00174980017219391,1726400,2014,321,0.18,0.02,0.02,0.03,0,0.07,1,1,0,"Utilities",11,16
"47","AEP",2,0.0337,0.1179,0.0695,0.8,0.0395571965860669,0.0339083902601844,4.17,58.599998,15.63,0.589,1.05,0.0964,5.6414e+10,4.87e+08,1.4814e+10,NA,1.481e+09,1.6085e+10,0,0.0281,-0.00682329655827654,0.0281,1.14701378487642,0.0322310873550274,NA,2015,263,0.31,0,0.01,0.03,0,0.12,1,1,0,"Utilities",11,16
"48","AEP",3,0.0098,0.0346,0.0345,0.82,0.0641151511250507,0.0678788897111154,1.24,62.389999,43.36,2.489,0.96,0.096,5.9633e+10,4.89e+08,1.6379e+10,NA,1.633e+09,1.682e+10,0,-6e-04,0.0536190504599654,-6e-04,0.696743718587859,-0.000418046231152716,NA,2016,254,0.3,0,0.01,0.02,0,0.12,1,1,0,"Utilities",11,16
"49","AET",1,0.0395,0.1432,NA,0.8,0.0180611857087087,0.0188058527274243,5.68,NA,13.67,0.146,0.62,0.0466,41494500000,3.45e+08,3.5569e+10,NA,1.658e+09,10405800000,1e-04,0.0119,0.0696488831062658,0.0118,0.942523627601693,0.0112217788057,1593800,2014,145,0.41,0.65,0.74,0,0,0.74,0,1,0,"Health Care",5,17
"50","AET",2,0.0447,0.1562,NA,0.91,0.0509429924238784,0.0561201638546983,6.78,108.949997,16.51,0.149,0.56,0.0413,49871800000,3.59e+08,4.6387e+10,NA,1.913e+09,14025500000,0,0.0281,-0.00494484066555355,0.0281,0.164401391880083,0.00461967911183035,NA,2015,258,0.32,0,0.08,0,0,0.14,0,1,1,"Health Care",5,17
