"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEpsRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","PriceToEarningRatio","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","Index"
"13","ABBV",2012,0.2261,0.6769,4.35,0.287,NA,2.7008e+10,1.577e+09,0.2281,1.838e+10,NA,5.275e+09,3.363e+09,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,254,0.28,0.22,0.13,0.07,0.16,0.2,1,0,1,"Health Care",5,5
"14","ABBV",2013,0.1469,1.0511,3.18,0.2197,0.42,2.9198e+10,1.604e+09,0.2271,1.879e+10,3.193e+09,4.128e+09,4.492e+09,NA,2.56,0.0861682266780393,0,0.0281,0.0861682266780393,0.0281,1.5653780897793,0.042181102355241,0.0439871243227983,NA,43.66,17.0546875,2015,175,0.41,0.04,0.03,0.02,0.03,0.14,1,0,1,"Health Care",5,5
"15","ABBV",2014,0.0625,0.5691,6.06,0.0889,0.713,2.7547e+10,1.61e+09,0.1149,1.996e+10,3.649e+09,1.774e+09,1.742e+09,26.7,1.1,-0.0558670964141833,0,-6e-04,-0.0558670964141833,-6e-04,1.57707234982411,-0.0549208530042889,-0.000946243409894466,NA,55.46,50.4181818181818,2016,125,0.47,0.07,0.04,0.02,0.05,0.14,1,0,1,"Health Care",5,5
"16","ABC",2012,0.0473,0.2701,0.59,0.009,0.189,15495532000,2.57e+08,0.2007,7.8081e+10,NA,7.19e+08,2337235000,14.8,2.8,0.0224833556383944,1e-04,0.0119,0.0223833556383944,0.0118,0.322616956172364,0.0185764755555605,0.0039068800828339,0.76,38.83,13.8678571428571,2014,372,0.13,0,0,0,0,0.64,0,0,0,"Health Care",5,6
"17","ABC",2013,0.0252,0.1816,0.6,0.0049,0.31,1.8919e+10,2.35e+08,0.1264,8.7959e+10,NA,4.34e+08,2247802000,35.89,1.84,-0.00312405154338848,0,0.0281,-0.00312405154338848,0.0281,0.742625084707307,-0.0239918164236638,0.0208677648802753,0.92,56.84,30.8913043478261,2015,394,0.14,0,0,0,0,0.14,0,0,0,"Health Care",5,6
"18","ABC",2014,0.0137,0.1293,1.02,0.0023,0.803,2.1532e+10,2.35e+08,0.0851,1.19569e+11,NA,2.74e+08,1768346000,72.86,1.16,-0.00982272148231559,0,-6e-04,-0.00982272148231559,-6e-04,0.725509368341039,-0.00938741586131097,-0.000435305621004623,0.9,74.65,64.3534482758621,2016,361,0.2,0,0.06,0,0,0.14,0,0,0,"Health Care",5,6
"19","ABT",2012,0.0935,0.2331,0.68,0.1495,0.54,67234944000,1.592e+09,0.1482,1.905e+10,NA,5.963e+09,26720961000,16.44,3.72,0.00766281855777333,1e-04,0.0119,0.00756281855777333,0.0118,0.376780548141739,0.00311680808970081,0.00454601046807252,0.77,30.11,8.09408602150538,2014,242,0.29,0.12,0.08,0.15,0.35,0.19,1,0,1,"Health Care",5,7
"20","ABT",2013,0.0468,0.0993,0.13,0.1179,0.223,4.2953e+10,1.574e+09,0.0674,1.9657e+10,1.452e+09,2.576e+09,2.5171e+10,18.83,1.62,0.00365927679869691,0,0.0281,0.00365927679869691,0.0281,1.84355580390044,-0.0481446412909056,0.0518039180896025,1.23,35.65,22.0061728395062,2015,218,0.37,0.02,0.01,0.02,0.03,0.14,1,0,1,"Health Care",5,7
"21","ABT",2014,0.0542,0.0978,0.16,0.1128,0.635,4.1275e+10,1.527e+09,0.0764,2.0247e+10,1.345e+09,2.284e+09,2.1526e+10,33.77,1.49,0.011392999303787,0,-6e-04,0.011392999303787,-6e-04,0.832397643855632,0.0118924378901004,-0.000499438586313379,1.66,40.95,27.4832214765101,2016,187,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1,"Health Care",5,7
"22","ACIW",2012,0.051,0.1147,0.67,0.0733,0,1250886000,1.2e+08,0.0849,6.67e+08,NA,4.9e+07,534357000,62.09,0.41,0.013364299981366,1e-04,0.0119,0.013264299981366,0.0118,1.72904165761763,-0.00713839157852199,0.020502691559888,1.59,13.45,32.8048780487805,2014,160,0.39,0.2,0.43,0.4,0.02,0.67,0,1,1,"Industrials",6,8
