"","Year","Index","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"87",2014,29,0.0385,0.928219302739429,3.47,0.1954,23.7834527999992,4,0.04,0,0,0,0,0
"88",2012,30,-0.0013,1.25846098961001,0.47,-6e-04,24.2061968036352,1,0,0,0,0,0,0
"89",2013,30,0.0075,1.52605630349505,0.53,0.0037,24.4161124116215,1,0,0,0,0,0,0
"90",2014,30,-0.0051,1.00795792039998,1.16,-0.0027,24.7215582775267,1,0.06,0,0,0,0,0
"91",2012,31,0.0722,-0.59783700075562,0.37,0.0225,23.0935095784143,3,0,0,0,0,1,0
"92",2013,31,0.0342,-0.446287102628419,0.66,0.011,23.3177739966495,3,0,0,0,0,1,0
"93",2014,31,0.0563,-0.328504066972036,0.96,0.0207,23.5260199735179,3,0.08,0.07,0.09,0,1,0
"94",2012,32,0.0341,-0.328504066972036,0.38,0.1136,24.829818904498,3,0.18,0.06,0,0,0,1
"95",2013,32,0.0358,-0.385662480811985,0.29,0.1334,24.8445281765189,3,0.04,0.01,0,1,0,1
"96",2014,32,-0.0919,-0.562118918153541,0.43,-0.393,24.7477600172674,3,0.04,0,0,1,0,1
"97",2012,33,0.0458,-0.0943106794712413,0.64,0.1797,24.685772809345,3,0.1,0.61,0,0,1,1
"98",2013,33,0.0148,-0.0725706928348354,0.6,0.0539,24.7446991465577,3,0.03,0.05,0,1,1,1
"99",2014,33,-0.0298,-0.0725706928348354,0.77,-0.1069,24.8453714699539,3,0.04,0,0,1,1,1
"100",2012,34,0.0747,0.113328685307003,0.71,0.1214,23.5793394127953,8,0.17,0.23,0.92,1,1,1
"101",2013,34,0.0572,0.398776119957368,0.71,0.0977,23.6089153514702,8,0.02,0.07,0.13,1,1,1
"102",2014,34,0.0557,0.631271776841858,0.66,0.095,23.5931740825433,8,0.02,0.08,0.12,1,1,1
"103",2012,35,0.115,NA,0.66,0.1294,22.3748937038168,7,0,0,0,0,0,0
"104",2013,35,0.1117,NA,0.5,0.1378,22.5426450127562,7,0,0,0,0,0,0
"105",2014,35,0.1075,NA,0.92,0.1327,22.6730257091565,7,0.06,0,0,0,0,0
"106",2012,36,0.0819,-0.544727175441672,0,0.2317,23.3765078015536,7,0,0,0,0,0,0
"107",2013,36,0.0716,-0.0512932943875506,0.7,0.2204,23.3631799422817,7,0,0,0,0,0,0
"108",2014,36,0.0581,0.0295588022415444,0.6,0.1894,23.4142376965139,7,0.02,0,0,0,0,0
"109",2012,37,0.043,0.425267735404344,0.56,0.4069,23.1356087831225,4,0,0,0,0,0,0
"110",2013,37,0.0267,0.343589704390077,0.72,0.2414,23.4529563874633,4,0.05,0.02,0,1,0,0
"111",2014,37,0.0434,0.548121408509688,0.72,0.4057,23.5068391940714,4,0.06,0.01,0.04,1,0,0
"112",2012,38,0.0243,-0.186329578191493,1.17,0.1244,23.41240338261,11,0.62,0,0,1,1,0
"113",2013,38,0.0248,-0.116533816255952,1.1,0.1272,23.4359408603853,11,0.06,0.15,0.11,1,0,0
"114",2014,38,0.0271,-0.0202027073175195,1.11,0.1405,23.5040059957711,11,0.03,0,0,1,0,0
"115",2012,39,0.0289,-0.82098055206983,3.12,0.1404,25.7546183726314,4,0.63,0.3,0.07,0,0,0
"116",2013,39,0.0347,-0.415515443961666,2.84,0.1611,25.7561517399775,4,0.1,0.06,0.08,1,1,0
"117",2014,39,0.0374,-0.478035800943,2.8,0.174,25.7928176281777,4,0.13,0.1,0.01,1,1,0
"118",2012,40,0.1533,1.06125650212434,NA,0.1081,22.5792512784737,1,0,0,0,0,0,0
"119",2013,40,0.1545,1.07158361628019,NA,0.1111,22.6977634428536,1,0,0,0,0,0,0
"120",2014,40,0.1485,1.11841491596429,NA,0.1129,22.6933109518469,1,0.07,0,0,0,0,0
"121",2012,41,0.0461,-0.510825623765991,1.53,0.0476,25.2107329840783,6,0.78,0.84,0,0,1,1
"122",2013,41,0.0504,0.0392207131532813,0.54,0.0529,25.2522350928408,6,0.11,0.12,0.1,1,1,1
"123",2014,41,0.0567,-0.139262067333508,0.94,0.0599,25.3203836897437,6,0.08,0.12,0.1,1,1,1
"124",2012,42,0.0013,-2.20727491318972,1.26,0.0339,28.4240018666831,4,0.2,0.05,0.04,1,1,1
"125",2013,42,0.0047,-1.66073120682165,1.14,0.1172,28.3740402562584,4,0.03,0.02,0.01,1,1,1
"126",2014,42,0.0018,-2.20727491318972,1.08,0.0456,28.375115180883,4,0.04,0.02,0.02,1,1,1
"127",2012,43,0.1179,NA,0.8,0.1639,23.7383104215328,5,0.18,0.05,0.16,1,1,1
"128",2013,43,0.087,NA,0.96,0.1319,23.9763111775847,5,0.04,0.01,0.05,1,1,1
"129",2014,43,0.0964,NA,0.94,0.1498,23.9781649609913,5,0.02,0,0.01,1,1,1
"130",2012,44,0.1741,0.559615787935423,NA,0.1042,22.5775305115259,1,0,0,0,0,0,0
"131",2013,44,0.1729,0.78845736036427,NA,0.0951,22.6018144362469,1,0,0,0,0,0,0
"132",2014,44,0.1618,0.53062825106217,NA,0.0889,22.7160595719006,1,0.07,0,0,0,0,0
"133",2012,45,0.0107,-1.30933331998376,1,0.198,25.9375057003032,4,0,0,0,0,0,0
"134",2013,45,0.0085,-1.10866262452161,1.07,0.1635,25.9328066331036,4,0,0,0,0,0,0
"135",2014,45,0.0108,-1.10866262452161,1.07,0.2187,25.9533793063996,4,0.03,0,0,0,0,0
"137",2013,46,NA,-0.22314355131421,NA,NA,23.4359718495848,1,0.07,0.08,0.08,1,1,1
"138",2014,46,0.038,-0.616186139423817,0.4,0.0125,23.4807409213761,1,0.11,0.09,0.06,1,1,1
"139",2012,47,0.1287,NA,0.73,0.1758,22.1466873751476,5,0,0,0,0,0,0
"140",2013,47,0.1474,NA,0.67,0.2221,22.340890149184,5,0,0,0,0,0,0
"141",2014,47,0.0572,NA,0.78,0.0872,22.3510543425931,5,0.07,0,0,0,0,0
"142",2012,48,0.1074,0.285178942233662,0.91,0.1518,23.1768053930189,5,0.14,0.06,0.31,0,0,0
"143",2013,48,0.11,0.570979546585738,0.75,0.1605,23.2110849081814,5,0.04,0.03,0.01,1,1,0
"144",2014,48,0.0964,0.371563556432483,0.75,0.1403,23.641198718046,5,0.04,0.03,0.03,1,1,0
"145",2012,49,0.1354,0.3293037471426,0.31,0.272,23.3873084192556,4,0.48,0,0,0,0,0
"146",2013,49,0.1418,0.60431596685333,0.23,0.2675,23.4901696808423,4,0.08,0,0,1,0,0
"147",2014,49,0.1493,0.451075619360217,0.19,0.2791,23.5142346064676,4,0.09,0,0,1,0,0
"148",2012,50,0.1427,1.15057202759882,0.24,0.1884,22.0593189816296,2,0.6,0.44,0,1,1,1
"149",2013,50,0.1664,1.34286480319255,0.61,0.2074,22.0796163216932,2,0.09,0.13,0,1,1,1
"150",2014,50,0.1705,1.48839958405704,0.49,0.2203,22.1685364031666,2,0.1,0.14,0,1,1,1
"151",2012,51,0.0011,-1.07880966137193,0.35,5e-04,24.0294196699217,2,0.36,0.41,0.47,0,0,0
"152",2013,51,0.0085,-0.916290731874155,0.35,0.0037,24.0109211772094,2,0.07,0.05,0.06,0,1,0
"153",2014,51,0.0194,-0.544727175441672,0.37,0.0082,23.7880576464319,2,0.07,0.07,0.05,0,1,0
"154",2012,52,0.0509,NA,0.22,0.0614,24.0075173324447,3,0.75,0.61,0.14,1,1,1
"155",2013,52,0.0401,NA,0.22,0.049,24.05311042183,3,0.1,0,0,1,1,1
"156",2014,52,0.0606,NA,0.21,0.07,24.0845782849097,3,0.09,0.06,0.02,1,1,1
"157",2012,53,0.1439,1.11841491596429,0.1,0.2502,23.0387788037078,5,0.83,0.85,0.97,1,0,1
"158",2013,53,0.1694,1.62136648329937,0.07,0.3208,23.1966901496254,5,0.14,0.13,0.11,1,1,1
"159",2014,53,0.2242,1.6094379124341,0.05,0.3449,23.3847134793246,5,0.14,0.11,0.14,0,1,1
"160",2012,54,0.0071,NA,0.56,0.1667,26.6065603698935,4,0.26,0.41,0.4,1,1,1
"161",2013,54,0.0056,NA,0.57,0.1366,26.6483501680374,4,0.02,0.05,0.06,1,1,1
"162",2014,54,0.0065,NA,0.59,0.1562,26.6772958746889,4,0.02,0.05,0.03,1,1,1
"163",2012,55,0.2951,NA,NA,0.1425,27.1398347074149,3,0,0,0,0,0,0
"164",2013,55,0.3255,NA,NA,0.1462,20.1181295337092,3,0,0,0,0,0,0
"165",2014,55,0.3175,NA,NA,0.1441,20.1126198778982,3,0,0,0,0,0,0
"166",2012,56,0.0074,-1.66073120682165,0.32,0.1497,26.0238356647977,4,0.71,0,0,1,0,0
"167",2013,56,0.014,-1.34707364796661,0.28,0.288,26.1163159438854,4,0.09,0,0,1,0,0
"168",2014,56,0.0143,-1.34707364796661,0.3,0.2973,26.2031044401176,4,0.09,0,0,1,0,1
"169",2012,57,0.0546,0.198850858745165,2.77,0.0462,22.739115076349,8,0.75,0.76,0.83,1,1,1
"170",2013,57,0.0531,0.246860077931526,2.65,0.048,22.7799503915036,8,0.05,0.08,0.09,1,1,1
"171",2014,57,0.0611,0.46373401623214,2.9,0.0548,22.7475909960676,8,0.08,0.11,0.13,1,1,1
"172",2012,58,-0.0787,1.33236601909433,0.32,-0.2284,21.1730667588746,5,0,0,0,0,0,0
"173",2013,58,-0.0916,1.47247205736094,0.49,-0.3215,21.5337515099236,5,0,0,0,0,0,1
"174",2014,58,-0.0565,1.65632149833295,0.43,-0.1784,21.635548547423,5,0.02,0,0,0,0,1
"175",2012,59,0.0569,0.488580014818671,0.48,0.1112,24.3039195634892,5,0.34,0.49,0.28,1,1,1
"176",2013,59,0.0688,0.832909122935104,0.53,0.1564,24.3763108380511,5,0.06,0.08,0.06,1,1,1
"177",2014,59,0.0554,1.07158361628019,0.49,0.1262,24.2422166241964,5,0.07,0.09,0.08,1,1,1
"178",2012,60,0.0362,-0.544727175441672,0.33,0.0912,26.7811078383175,4,0,0,0,0,0,0
"179",2013,60,0.0427,-0.371063681390832,0.33,0.1069,26.9072724497216,4,0,0,0,0,0,0
"180",2014,60,0.0393,-0.287682072451781,0.33,0.1021,26.9889205993454,4,0.06,0,0,0,0,0
"181",2012,61,-0.2116,-0.462035459596559,0.62,-0.5612,23.5654972195146,5,0.27,0.44,0.49,0,1,0
"182",2013,61,-0.0072,0.131028262406404,0.65,-0.0169,23.5309200165941,5,0.07,0.09,0.1,1,1,1
"183",2014,61,-0.0071,0.19062035960865,0.6,-0.0161,23.5589467223522,5,0.07,0.09,0.12,1,1,1
"184",2012,62,0.0811,0.254642218373581,0.27,0.0697,22.5796888195002,1,0,0,0,0,0,0
"185",2013,62,0.0938,0.598836501088704,0.29,0.084,22.6572479865649,1,0,0,0,0,0,0
"186",2014,62,0.0927,0.536493370514568,0.2,0.079,22.7012282096764,1,0.09,0,0,0,0,0
"187",2012,63,0.0086,-1.17118298150295,1.59,0.0544,24.0881449559345,4,0,0,0,0,0,0
"188",2013,63,0.04,-0.174353387144778,1.05,0.1771,24.1137392552456,4,0,0,0,0,0,0
"189",2014,63,0.0518,-0.23572233352107,0.78,0.2117,24.173253382778,4,0,0,0,0,0,0
"190",2012,64,0.0192,0.405465108108164,1.75,0.1544,23.4616719982035,4,0,0,0,0,0,0
"191",2013,64,0.0416,0.207014169384326,2.05,0.3473,23.7270779306625,4,0,0,0,0,0,0
"192",2014,64,0.0216,0.343589704390077,1.83,0.1807,23.7133203726086,4,0.08,0,0,0,0,0
"193",2012,65,0.0039,-1.77195684193188,1.28,0.1042,28.2540998467746,4,0.26,0.14,0.1,1,1,1
"194",2013,65,0.0071,-1.89711998488588,1.11,0.1721,28.2624960636192,4,0.04,0.03,0.01,1,1,1
"195",2014,65,0.0036,-1.77195684193188,1.11,0.0865,28.2421607431026,4,0.06,0.03,0.02,1,1,1
"196",2012,66,0.0779,-0.0725706928348354,0.24,0.1975,23.170643674842,7,0.49,0.58,0.34,1,1,1
"197",2013,66,0.0793,0.27763173659828,0.23,0.2033,23.1894143138058,7,0.03,0.08,0.13,1,0,1
"198",2014,66,0.0747,0.22314355131421,0.22,0.1971,23.1134038269483,7,0.03,0.09,0.07,1,0,1
"199",2012,67,0.0408,-0.105360515657826,0.64,0.0352,23.2505932026184,2,0.24,0.22,0.39,1,1,1
"200",2013,67,0.0485,-0.116533816255952,1.69,0.0499,23.7577379388163,2,0.04,0.02,0,1,1,1
"201",2014,67,0.0152,-0.0202027073175195,1.67,0.017,23.6936803025161,2,0.04,0.02,0,1,1,1
"202",2012,68,0.0454,-0.653926467406664,0.39,0.0099,23.9277181411489,5,0.7,0.82,0.65,1,0,1
"203",2013,68,0.0133,-0.0943106794712413,0.62,0.0033,23.9425015970302,5,0.06,0,0.1,1,0,1
"204",2014,68,0.045,0,0.5,0.0128,24.0282459608667,5,0.07,0.06,0.1,1,0,1
"205",2012,69,0.0731,NA,0.37,0.0883,23.1354404905683,3,0,0,0,0,0,0
"206",2013,69,0.055,NA,0.44,0.0711,23.3799174749626,3,0,0,0,0,0,0
"207",2014,69,0.0598,NA,0.62,0.0781,23.2798728008996,3,0.07,0,0,0,0,0
"208",2012,70,0.0665,-0.186329578191493,1.58,0.0862,25.2158942279481,6,0.35,0.44,0.7,0,1,0
"209",2013,70,0.0435,-0.139262067333508,1.28,0.0681,25.1646928149017,6,0.05,0.07,0.11,0,1,0
"210",2014,70,0.0436,-0.162518929497775,1.66,0.067,25.1621570923073,6,0.04,0.05,0.06,0,1,0
"211",2012,71,0.0337,NA,3.72,0.0284,22.7786121563128,4,0.72,0,0,0,1,1
"212",2013,71,0.1079,NA,2.2,0.0746,22.668949388902,4,0.12,0,0,1,0,1
"213",2014,71,0.1476,NA,1.0792,0.1226,22.7575929817891,4,0.13,0,0,1,0,1
"214",2012,72,0.0598,0.0582689081239758,0.58,0.1117,23.9991267272973,1,0,0,0,1,0,0
"215",2013,72,0.0711,0.482426149244293,0.59,0.1229,23.9961373015756,1,0,0,0,1,0,0
"216",2014,72,0.1173,0.322083499169113,0.93,0.2143,23.9043151762742,1,0.03,0,0,1,0,0
"217",2012,73,0.0721,0.198850858745165,1.05,0.084,22.9756097135037,2,0.84,0.6,0.91,1,1,1
"218",2013,73,0.0686,0.438254930931155,1.63,0.0812,22.9771857579592,2,0.14,0.12,0.11,1,1,1
"219",2014,73,0.0783,0.494696241836107,2.32,0.0802,22.8716502488632,2,0.13,0.11,0.12,1,1,1
"220",2012,74,0.014,0.678033542749897,3.72,0.0764,23.5013835585601,4,0,0,0,0,0,0
"221",2013,74,0.0043,0.553885113226438,1.66,0.0261,23.7483096977208,4,0,0,0,0,0,0
"222",2014,74,0.0166,0.582215619852664,1.76,0.0939,23.7745877722698,4,0.07,0,0,0,0,0
"223",2012,75,0.0334,0.0861776962410524,0.3,0.0844,24.3909216546087,1,0.05,0.48,0.07,0,1,1
"224",2013,75,0.0272,0.182321556793955,0.33,0.0697,24.4146421712589,1,0.01,0.06,0.01,1,1,1
"225",2014,75,0.031,0.173953307123438,0.3,0.0778,24.3982998842383,1,0.02,0,0,1,1,1
"226",2012,76,0.0691,-0.0512932943875506,1.69,0.0943,22.9204904142826,8,0,0,0,0,1,0
"227",2013,76,0.1222,0.0953101798043249,1.07,0.1691,22.9224884169453,8,0,0,0,0,1,0
"228",2014,76,0.07,0.165514438477573,0.93,0.0917,22.8975629096389,8,0.04,0,0,0,1,0
"229",2012,77,0.134,1.00063188030791,0.49,0.2644,23.1857825251738,5,0.76,0.75,0,0,0,1
"230",2013,77,0.1155,1.62334081760309,0.75,0.2233,23.3168923534487,5,0.02,0.11,0,1,0,1
"231",2014,77,0.1302,1.62727783056243,0.96,0.2607,23.5762875752949,5,0.02,0.15,0,1,0,1
"232",2012,78,0.1185,1.18478998490916,0.05,0.149,22.0328054956409,5,0,0,0,0,0,0
"233",2013,78,0.1021,1.39376637595859,0.04,0.1369,22.1337648867631,5,0,0,0,0,0,0
"234",2014,78,0.1218,NA,0.02,0.1544,22.2342085026314,5,0,0,0,0,0,0
"235",2012,79,0.1932,0.207014169384326,0.27,0.3029,23.042403182448,8,0.1,0,0,0,0,0
"236",2013,79,0.1405,0.29266961396282,0.61,0.2675,23.0914513870244,8,0,0,0,0,0,0
"237",2014,79,0.1263,0.364643113587909,1.09,0.2931,23.1514257528485,8,0.03,0,0,0,0,0
"238",2012,80,0.097,0.65232518603969,0.32,0.1197,22.1337892886128,2,0.17,0.23,0.11,0,0,0
"239",2013,80,0.0944,0.792992515529661,0.28,0.1235,22.1724645722127,2,0,0.07,0.03,0,0,0
"240",2014,80,0.0958,0.932164081030445,0.33,0.1255,22.2006113209502,2,0.09,0,0,0,0,0
"241",2012,81,0.2403,1.24703229378638,NA,0.0523,21.7543128061188,6,0,0,0,0,0,0
"242",2013,81,0.1484,1.15057202759882,0.53,0.0326,21.7539561091291,6,0.1,0,0,0,1,0
"243",2014,81,0.1495,1.22377543162212,0.48,0.0334,21.8907821042617,6,0.01,0,0,0,1,0
"244",2012,82,-0.0195,0.285178942233662,85.96,-0.0405,23.4705367512019,1,0,0,0,0,0,0
"245",2013,82,-0.0103,0.500775287912489,93.91,-0.0207,23.5739723384501,1,0,0,0,0,0,0
"246",2014,82,-0.0087,0.470003629245736,143.99,-0.0201,23.9174390491742,1,0.02,0,0,0,0,0
"247",2012,83,0.031,-0.891598119283784,0.51,0.0557,24.7073117852218,5,0.86,0,0,0,0,0
"248",2013,83,0.0273,-0.544727175441672,0.47,0.0456,24.7184528276353,5,0.1,0,0,1,0,0
"249",2014,83,0.0381,-0.446287102628419,0.46,0.0602,24.7467586581966,5,0.1,0.1,0,1,0,0
"250",2012,84,-0.0133,NA,2.63,-0.5339,24.5077281609541,4,0,0,0,0,0,0
"251",2013,84,0.0148,NA,2.46,0.2819,24.5763665208225,4,0,0,0,0,0,0
"252",2014,84,0.0238,NA,2.04,0.4281,24.5919637176362,4,0.07,0,0,0,0,0
"253",2012,85,0.1893,1.37624402526639,2.25,0.1447,23.3180726824343,2,0.38,0.35,0.37,1,1,1
"254",2013,85,0.1644,1.52605630349505,2.06,0.1286,23.3534265660539,2,0.09,0.07,0.09,1,1,1
"255",2014,85,0.1595,1.61143591509677,4.93,0.1262,23.322913864198,2,0.07,0.07,0.08,1,1,1
"256",2012,86,0.1,0.641853886172395,1.12,0.2874,22.9359262224125,3,0,0,0,0,0,0
"257",2013,86,0.0725,0.774727167552368,1.19,0.2212,23.2032436934977,3,0,0,0,0,0,0
