"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"39";110;2015;0,00399960388432434;0,03;0,15;1,15;0,00431899350894248;0,03;0;0;0;1;0;0;10,77;1,86;0,16;11;0,0193267108118961
"41";111;2014;0,0525888365524658;0,01;0,06;NA;0,053174034390597;0,06;0,08;0,09;0,04;1;1;1;10,73;0,97;0,02;6;0,975329730218652
"42";111;2015;0,0871370133044607;0,08;0,45;NA;0,0947469212706057;0,09;0,09;0,1;0,06;1;1;1;10,73;0,62;0,11;6;0,355295297979029
"43";113;2013;0,0864223592867708;0,06;0,41;0,49;0,0636387246563013;0,42;0,14;0;0,62;0;1;1;10,77;2,5;0,09;6;0,810805502863681
"44";113;2014;0,0278039084905666;0,05;0,31;0,47;0,0281587890719845;0,09;0;0;0;1;1;1;10,79;3,19;0,09;6;0,591467635696474
"45";113;2015;-0,0346324754654299;0,03;0,25;0,46;-0,00669531872393721;0,07;0;0;0;1;1;1;10,76;4,21;0,07;6;1,29203487287985
"46";114;2013;0,0485220509310787;0,03;0,24;0,55;0,0192976784056972;0;0;0;0;0;0;0;10,9;2;0,3;4;1,04001325713102
"47";114;2014;-0,000915585212923456;0,03;0,21;0,58;-0,000334876838079944;0;0;0;0;0;0;0;10,92;2,13;0,27;4;0,967847291405853
"48";114;2015;-0,0569097887622195;0,03;0,21;0,48;-0,0251247844245401;0,05;0;0;0;0;0;0;10,94;2,31;0,26;4;1,46935503860274
"49";115;2013;0,0576656970515739;0,1;0,2;NA;0,0244456322587748;0;0;0;0;0;0;0;10,03;0,54;0,06;1;1,18220871148751
"50";115;2014;0,0576410965811408;0,1;0,2;NA;0,0588171402355707;0;0;0;0;0;0;0;10,04;0,5;0,06;1;1,96007275738318
"51";115;2015;0,0972636540935893;0,1;0,21;NA;0,101309379526107;0,09;0;0;0;0;0;0;10,05;0,58;0,06;1;0,191047254954714
"53";116;2014;0,0264426198815875;0,06;0,13;1,32;0,0267058182396683;0,04;0,04;0,02;0,01;1;1;0;9,99;0,75;0,07;5;0,438663930134616
"54";116;2015;0,0404472247700959;0,07;0,16;1,34;0,0572071470416679;0,03;0,04;0;0,02;1;1;0;10;0,75;0,09;5;0,776954943390417
"55";117;2013;0,0320112376781579;0,08;0,13;1,15;0,00732238361606291;0;0;0;0;0;0;0;10,54;0,15;0,14;6;0,878606906124378
"56";117;2014;0,0269208817998344;0,07;0,11;1,22;0,0276140319276428;0;0;0;0;0;0;0;10,57;0,15;0,13;6;1,15525021301399
"57";117;2015;-0,0352004993537122;0,08;0,14;1,22;-0,0114700891119739;0,06;0;0;0;0;0;0;10,68;0,51;0,16;6;1,09817558717688
"58";118;2013;0,0920729175347932;0,08;0,15;1,7;0,0610226620705053;0,09;0;0,01;0,28;0;0;0;10,92;0,26;0,14;1;1,10499129766149
"59";118;2014;0,0306271014447055;0,09;0,17;1,97;0,0314011624579401;0,01;0;0,01;0,01;1;1;0;10,94;0,37;0,16;1;1,29010168872435
"60";118;2015;-0,070426757132573;0,1;0,19;2,08;-0,0320196944764543;0,01;0;0;0,01;1;1;0;10,95;0,29;0,16;1;1,774519016411
"61";119;2013;0,0354587530336392;0,07;0,17;1,31;0,00303005677299148;0;0;0;0;0;0;0;10,18;1,05;0,19;1;1,15404613027216
