"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"193";65;2013;0,01;0,15;0,07;2014;0,32;0,23;0,26;0,14;0,1;0,04;0,1;0,05;0,05;12,27;1,11;0,17;4
"194";65;2014;0;0,17;0,03;2015;0,43;0,05;0,04;0,03;0,01;0,1;0,1;0,05;0,05;12,27;1,11;0,09;4
"195";65;2015;0,01;0,16;0,08;2016;0,46;0,05;0,06;0,03;0,02;0,1;0,1;0,05;0,05;12,24;0,98;0,22;4
"196";66;2013;0,09;1,32;0,19;2014;0,61;0,34;0,49;0,58;0,34;0,74;0,1;0,05;0,05;10,07;0,22;0,23;7
"197";66;2014;0,07;1,25;0,14;2015;0,63;0,05;0,03;0,08;0,13;0,19;0,1;0;0,05;10,04;0,22;0,19;7
"198";66;2015;0,07;1,2;0,14;2016;0,58;0,06;0,03;0,09;0,07;0,19;0,1;0;0,05;10,04;0,37;0,19;7
"199";67;2013;0,03;0,89;0,13;2014;0,4;0,16;0,24;0,22;0,39;0,24;0,1;0,05;0,05;10,32;1,6;0,04;2
"200";67;2014;0,02;0,98;0,07;2015;0,39;0,02;0,04;0,02;0;0,1;0,1;0,05;0,05;10,29;1,38;0,02;2
"201";67;2015;-0,1;1,27;-0,44;2016;0,38;0,02;0,04;0,02;0;0,1;0,1;0,05;0,05;10,2;1,86;-0,02;2
"202";68;2013;0,01;0,91;0,06;2014;0,71;0,76;0,7;0,82;0,65;0,61;0,1;0;0,05;10,4;0,56;0;5
"203";68;2014;0,04;1;0,17;2015;0,55;0,1;0,06;0;0,1;0,14;0,1;0;0,05;10,44;0,61;0,01;5
"204";68;2015;0,04;0,94;0,21;2016;0,58;0,05;0,07;0,06;0,1;0,14;0,1;0;0,05;10,53;0,77;0,01;5
"205";69;2013;0,05;NA;0,11;2014;0,15;0;0;0;0;0,76;0;0;0;10,15;0,44;0,07;3
"206";69;2014;0,06;NA;0,17;2015;0,02;0;0;0;0;0,02;0;0;0;10,11;0,62;0,08;3
"207";69;2015;0,04;NA;0,11;2016;0,09;0;0,07;0;0;0,02;0;0;0;10,06;0,56;0,06;3
"208";70;2013;0,04;0,87;0,2;2014;0,36;0,37;0,35;0,44;0,7;0,14;0;0,05;0;10,93;1,29;0,07;6
"209";70;2014;0,04;0,85;0,19;2015;0,4;0,04;0,05;0,07;0,11;0,09;0;0,05;0;10,93;1,66;0,07;6
"210";70;2015;0,03;0,73;0,13;2016;0,31;0,04;0,04;0,05;0,06;0,07;0;0,05;0;10,89;1,71;0,04;6
"211";71;2013;0,05;NA;0,18;2014;0,47;0,76;0,72;0;0;0,74;0;0,05;0,05;9,84;1,29;0,04;4
"212";71;2014;0,07;NA;0,23;2015;0,47;0,13;0,12;0;0;0,08;0,1;0;0,05;9,88;1,08;0,05;4
"213";71;2015;0,06;NA;0,22;2016;0,46;0,1;0,13;0;0;0,08;0,1;0;0,05;10,04;0,98;0,05;4
"214";72;2013;0,07;1,62;0,19;2014;0,14;0;0;0;0;0,2;0,1;0;0;10,42;0,6;0,12;1
"215";72;2014;0,12;1,38;0,37;2015;0,26;0;0;0;0;0,16;0,1;0;0;10,38;0,93;0,21;1
"216";72;2015;0,06;1,17;0,24;2016;0,29;0;0,03;0;0;0,16;0,1;0;0;10,38;1,48;0,1;1
"217";73;2013;0,07;1,55;0,24;2014;0,65;0,59;0,84;0,6;0,91;0,04;0,1;0,05;0,05;10,21;1,05;0,08;2
"218";73;2014;0,07;1,64;0,26;2015;0,75;0,12;0,14;0,12;0,11;0,07;0,1;0,05;0,05;10,21;1,63;0,08;2
"219";73;2015;0,08;1,93;0,39;2016;0,76;0,13;0,13;0,11;0,12;0,07;0,1;0,05;0,05;10,21;2,32;0,08;2
"220";74;2013;0,01;1,74;0,02;2014;0,08;0;0;0;0;0,4;0;0;0;10,31;1,66;0,03;4
"221";74;2014;0,02;1,79;0,05;2015;0,15;0;0;0;0;0,15;0;0;0;10,33;1,76;0,09;4
"222";74;2015;0,07;1,86;0,21;2016;0,22;0;0,07;0;0;0,15;0;0;0;10,34;1,71;0,4;4
"223";75;2013;0,03;1,2;0,05;2014;0,24;0,05;0,05;0,48;0,07;0,2;0;0,05;0,05;10,6;0,33;0,07;1
"224";75;2014;0,03;1,19;0,05;2015;0,4;0,01;0,01;0,06;0,01;0,12;0,1;0,05;0,05;10,6;0,3;0,08;1
"225";75;2015;0,05;1,3;0,07;2016;0,34;0;0,02;0;0;0,12;0,1;0,05;0,05;10,59;0,31;0,11;1
"226";76;2013;0,12;1,1;0,5;2014;0,17;0;0;0;0;0,59;0;0,05;0;9,96;1,07;0,17;8
"227";76;2014;0,07;1,18;0,23;2015;0,15;0;0;0;0;0,1;0;0,05;0;9,94;0,93;0,09;8
"228";76;2015;0,03;1,29;0,12;2016;0,15;0;0,04;0;0;0,07;0;0,05;0;9,93;1,04;0,05;8
"229";77;2013;0,12;5,07;0,26;2014;0,57;0,74;0,76;0,75;0;0,91;0;0;0,05;10,13;0,75;0,22;5
"230";77;2014;0,13;5,09;0,37;2015;0,45;0;0,02;0,11;0;0,17;0,1;0;0,05;10,24;0,96;0,26;5
"231";77;2015;0,07;3,74;0,26;2016;0,62;0,14;0,02;0,15;0;0,17;0,1;0;0,05;10,43;2,41;0,17;5
"232";78;2013;0,1;4,03;0,13;2014;0;0;0;0;0;0;0;0;0;9,61;0,04;0,14;5
"233";78;2014;0,1;NA;0,13;2015;0,19;0;0;0;0;0,19;0;0;0;9,64;0,03;0,13;5
"234";78;2015;0,1;NA;0,14;2016;0,19;0;0;0;0;0,19;0;0;0;9,74;0,15;0,12;5
"235";79;2013;0,15;1,34;0,28;2014;0,17;0;0,1;0;0;0,79;0;0;0;10,03;0,61;0,27;8
"236";79;2014;0,12;1,44;0,31;2015;0,1;0;0;0;0;0,1;0;0;0;10,05;1,09;0,29;8
"237";79;2015;0,06;1,19;0,17;2016;0,1;0;0,03;0;0;0,08;0;0;0;10,11;1,39;0,16;8
"238";80;2013;0,1;2,21;0,18;2014;0,32;0,3;0,17;0,23;0,11;1;0;0;0;9,63;0,28;0,12;2
"239";80;2014;0,1;2,54;0,2;2015;0,27;0,05;0;0,07;0,03;0,12;0;0;0;9,64;0,33;0,13;2
"240";80;2015;0,1;2,75;0,21;2016;0,2;0;0,09;0;0;0,12;0;0;0;9,63;0,34;0,12;2
"241";81;2013;0,15;3,16;0,34;2014;0;0;0;0;0;0;0;0;0;9,45;0,53;0,03;6
"242";81;2014;0,15;3,4;0,45;2015;0,23;0;0,1;0;0;0,08;0;0,05;0;9,51;0,48;0,03;6
"243";81;2015;0,16;2,86;0,46;2016;0,14;0;0,01;0;0;0,08;0;0,05;0;9,5;0,43;0,04;6
"244";82;2013;-0,01;1,65;-1,13;2014;0;0;0;0;0;0;0;0;0;10,24;93,91;-0,02;1
"245";82;2014;-0,01;1,6;-1,23;2015;0,16;0;0;0;0;0,16;0;0;0;10,39;143,99;-0,02;1
"246";82;2015;-0,01;1,42;-5,42;2016;0,18;0;0,02;0;0;0,16;0;0;0;10,59;-776,59;-0,03;1
"247";83;2013;0,03;0,58;0,15;2014;0,31;0;0,86;0;0;0,9;0;0;0;10,74;0,47;0,05;5
"248";83;2014;0,04;0,64;0,19;2015;0,4;0,06;0,1;0;0;0,14;0,1;0;0;10,75;0,46;0,06;5
"249";83;2015;0,04;0,8;0,18;2016;0,5;0,07;0,1;0,1;0;0,14;0,1;0;0;10,76;0,42;0,06;5
"250";84;2013;0,01;NA;0,08;2014;0,06;0;0;0;0;0,31;0;0;0;10,67;2,46;0,29;4
"251";84;2014;0,02;NA;0,13;2015;0,1;0;0;0;0;0,1;0;0;0;10,68;2,04;0,31;4
"252";84;2015;0,02;NA;0,11;2016;0,17;0;0,07;0;0;0,1;0;0;0;10,83;1,69;0,27;4
"253";85;2013;0,16;4,6;1;2014;0,48;0,34;0,38;0,35;0,37;0,33;0,1;0,05;0,05;10,14;4,93;0,13;2
"254";85;2014;0,11;5,01;1,26;2015;0,63;0,08;0,09;0,07;0,09;0,11;0,1;0,05;0,05;10,13;4,93;0,09;2
"255";85;2015;0,19;5,44;3,27;2016;0,62;0,09;0,07;0,07;0,08;0,11;0,1;0,05;0,05;10,08;2,25;0,14;2
"256";86;2013;0,07;2,17;0,21;2014;0,1;0;0;0;0;0,51;0;0;0;10,08;1,19;0,22;3
"257";86;2014;0,07;1,37;0,22;2015;0,01;0;0;0;0;0,01;0;0;0;10,18;1,21;0,2;3
"258";86;2015;-0,02;1,06;-0,07;2016;0,03;0;0,02;0;0;0,01;0;0;0;10,17;1,52;-0,13;3
"259";87;2013;0,13;3,17;4,8;2014;0,58;0,32;0,33;0,34;0,49;0,8;0,1;0,05;0,05;9,64;13,91;0,1;2
"260";87;2014;0,12;3,27;3,72;2015;0,65;0,07;0,08;0,06;0,13;0,12;0,1;0,05;0,05;9,67;6,39;0,09;2
"261";87;2015;0,16;4,33;4,26;2016;0,64;0,07;0,06;0,07;0,12;0,12;0,1;0,05;0,05;9,62;9,07;0,12;2
"262";88;2013;0,04;1,09;0,14;2014;0,07;0;0;0;0;0,33;0;0;0;11,2;0,88;0,11;1
"263";88;2014;0,05;1,15;0,16;2015;0,16;0;0;0;0;0,16;0;0;0;11,2;0,84;0,12;1
"264";88;2015;0,05;1,16;0,16;2016;0,19;0;0,03;0;0;0,16;0;0;0;11,22;0,94;0,11;1
"265";89;2013;0,02;0,5;0,05;2014;0,15;0;0;0;0;0,76;0;0;0;10,73;0,1;0,33;4
"266";89;2014;0,02;0,43;0,05;2015;0,1;0;0;0;0;0,1;0;0;0;10,86;0,1;0,36;4
"267";89;2015;0,02;0,47;0,06;2016;0,17;0;0,07;0;0;0,1;0;0;0;10,83;0,11;0,37;4
"268";90;2013;0,18;NA;0,23;2014;0,14;0;0;0;0;0,68;0;0;0;9,3;0;0,1;1
"269";90;2014;0,19;NA;0,24;2015;0,1;0;0;0;0;0,1;0;0;0;9,41;0;0,11;1
"270";90;2015;0,17;NA;0,21;2016;0,16;0;0,06;0;0;0,1;0;0;0;9,44;0;0,11;1
"271";91;2013;0,12;1,54;0,21;2014;0,56;0,24;0,45;0,53;0,57;0,46;0,1;0,05;0,05;10,17;0,22;0,09;6
"272";91;2014;0,11;1,45;0,22;2015;0,54;0,03;0,07;0,08;0,09;0,07;0,1;0,05;0,05;10,2;0,21;0,09;6
"273";91;2015;0,09;0,85;0,18;2016;0,55;0,04;0,06;0,07;0,1;0,08;0,1;0,05;0,05;10,18;0,21;0,07;6
"274";92;2013;0;0,21;0,01;2014;0,16;0;0;0;0;0,8;0;0;0;10,54;0,76;0,01;4
"275";92;2014;0,01;0,21;0,06;2015;0,16;0;0;0;0;0,16;0;0;0;10,49;0,77;0,07;4
"276";92;2015;0,01;NA;0,04;2016;0,15;0;0,04;0;0;0,11;0;0;0;10,49;1;0,05;4
"277";93;2013;0,03;0,83;0,14;2014;0,41;0,76;0,61;0;0;1;0;0;0;10,34;1,76;0,07;11
"278";93;2014;-0,03;0,76;-0,17;2015;0,16;0;0,08;0;0;0,08;0;0;0;10,37;2,28;0,07;11
"279";93;2015;0,02;0,73;0,1;2016;0,21;0;0,13;0;0;0,08;0;0;0;10,33;1,94;0,06;11
"280";94;2013;0,05;1,01;0,16;2014;0,68;0,47;0,53;0,55;0,77;0,65;0,1;0,05;0,05;10,06;0,63;0,15;11
"281";94;2014;0,01;0,95;0,03;2015;0,66;0,04;0,11;0,09;0,12;0,11;0,1;0,05;0,05;10,07;0,61;0,04;11
"282";94;2015;-0,03;0,49;-0,08;2016;0,72;0,08;0,1;0,1;0,12;0,11;0,1;0,05;0,05;10,04;0,58;-0,12;11
"283";95;2013;0,01;0,26;0,1;2014;0,26;0,43;0,32;0;0;0,24;0,1;0;0;11,47;0,95;0,18;4
"284";95;2014;0,01;0,28;0,1;2015;0,31;0,02;0,04;0;0;0,1;0,1;0;0,05;11,49;1,06;0,19;4
"285";95;2015;0,01;0,23;0,08;2016;0,29;0;0,04;0;0;0,1;0,1;0;0,05;11,52;1,23;0,17;4
"286";96;2013;0,28;NA;0,41;2014;0;0;0;0;0;0;0;0;0;9,55;0,47;0,2;1
"287";96;2014;0,16;NA;0,23;2015;0,12;0;0;0;0;0,12;0;0;0;9,56;0,71;0,13;1
"288";96;2015;0,08;NA;0,15;2016;0,15;0;0,03;0;0;0,12;0;0;0;9,66;0,34;0,09;1
"289";97;2013;0,11;1,51;0,47;2014;0,26;0,71;0,36;0;0;0;0,1;0;0;9,85;1,49;0,13;6
"290";97;2014;0,09;1,67;0,35;2015;0,27;0;0,04;0;0;0,13;0,1;0;0;9,85;1,34;0,13;6
"291";97;2015;0,09;1,69;0,34;2016;0,29;0;0,06;0;0;0,13;0,1;0;0;9,87;1,3;0,12;6
"292";98;2013;0,08;0,88;0,18;2014;0,45;0,18;0,36;0,67;0,29;0,15;0,1;0,05;0,05;11,07;0,4;0,16;3
"293";98;2014;0,06;0,89;0,13;2015;0,45;0,04;0,06;0,1;0,05;0,01;0,1;0,05;0,05;11,07;0,43;0,12;3
"294";98;2015;-0,04;0,84;-0,1;2016;0,52;0,05;0,06;0,1;0,1;0,01;0,1;0,05;0,05;10,99;0,59;-0,14;3
"295";99;2013;0,07;1,78;0,19;2014;0,31;0,66;0,72;0;0;0,26;0;0,05;0;10,51;0,44;0,02;2
"296";99;2014;0,06;1,86;0,18;2015;0,25;0;0,08;0;0;0,12;0;0,05;0;10,54;0,41;0,02;2
"297";99;2015;0,07;2,12;0,22;2016;0,28;0;0,11;0;0;0,12;0;0,05;0;10,55;0,45;0,02;2
"298";100;2013;0,04;2,19;0,31;2014;0,4;0,16;0,25;0,17;0,36;0,28;0,1;0,05;0,05;9,96;1,67;0,05;2
"299";100;2014;0,11;2;0,56;2015;0,47;0,04;0,06;0,01;0,06;0,1;0,1;0,05;0,05;9,92;1,39;0,11;2
"300";100;2015;0,08;2,27;0,44;2016;0,51;0,06;0,07;0,03;0,05;0,1;0,1;0,05;0,05;9,92;1,8;0,08;2
"301";101;2013;-0,02;4,29;-0,05;2014;0,35;0,53;0,45;0;0;1;0;0;0;9,91;0,09;-0,09;7
"302";101;2014;-0,03;4,53;-0,09;2015;0,39;0,07;0,04;0;0;0,19;0,1;0;0;9,97;0,44;-0,06;7
"303";101;2015;-0,01;4,71;-0,02;2016;0,35;0;0,06;0;0;0,19;0,1;0;0;10,04;0,27;-0,05;7
"304";102;2013;0,1;0,92;0,17;2014;0,57;0,5;0,61;0,6;0,82;0,21;0,1;0;0,05;11;0,22;0,2;7
"305";102;2014;0,08;0,95;0,14;2015;0,63;0,06;0,08;0,06;0,1;0,14;0,1;0,05;0,05;11,02;0,35;0,16;7
"306";102;2015;0,09;1,04;0,16;2016;0,64;0,05;0,1;0,06;0,08;0,14;0,1;0,05;0,05;11,05;0,36;0,19;7
"307";103;2013;0,06;1,19;0,19;2014;0,42;0,3;0,43;0,31;0,13;0,22;0,1;0,05;0,05;10,5;0,86;0,16;6
"308";103;2014;0,06;1,36;0,18;2015;0,55;0,06;0,07;0,04;0;0,18;0,1;0,05;0,05;10,52;0,85;0,15;6
"309";103;2015;0,06;1;0,17;2016;0,65;0,12;0,07;0,05;0,04;0,18;0,1;0,05;0,05;10,54;0,92;0,17;6
"310";104;2013;0;0,76;-0,01;2014;0,27;0,15;0,09;0,23;0;1;0;0;0;10,71;1,17;-0,01;10
"311";104;2014;0,02;0,89;0,05;2015;0,41;0,02;0;0,02;0;0,16;0,1;0,05;0,05;10,7;1,34;0,04;10
"312";104;2015;0,02;0,72;0,06;2016;0,5;0,01;0,02;0,02;0,09;0,16;0,1;0,05;0,05;10,68;1,33;0,05;10
"313";105;2013;0,17;3,23;0,22;2014;0,45;0,55;0,3;0,14;0,37;1;0;0,05;0;9,91;0;0,14;7
"314";105;2014;0,15;2,54;0,2;2015;0,61;0,09;0,04;0,04;0,1;0,15;0,1;0,05;0,05;10,07;0,12;0,14;7
"315";105;2015;0,13;2,47;0,19;2016;0,62;0,1;0,04;0,05;0,06;0,17;0,1;0,05;0,05;10,12;0,1;0,13;7
"316";106;2013;0,07;1,75;0,1;2014;0,1;0;0;0;0;0,5;0;0;0;9,72;0;0,12;7
"317";106;2014;0,05;1,7;0,1;2015;0,19;0;0;0;0;0,19;0;0;0;9,74;0,59;0,08;7
"318";106;2015;0,06;1,93;0,15;2016;0,21;0;0,02;0;0;0,19;0;0;0;9,74;0,67;0,1;7
"319";107;2013;0,07;1,22;0,12;2014;0,6;0,88;0,89;0,79;0;0,59;0;0,05;0,05;10,85;0,35;0,04;2
"320";107;2014;0,06;1,54;0,12;2015;0,74;0,13;0,14;0,12;0;0,14;0,1;0,05;0,05;10,87;0,34;0,03;2
"321";107;2015;0,06;1,38;0,14;2016;0,73;0,12;0,14;0,13;0;0,14;0,1;0,05;0,05;10,97;0,74;0,03;2
"322";108;2013;0,09;0,95;0,15;2014;0,53;0,35;0,57;0,36;0,32;0,47;0,1;0,05;0,05;11,4;0,13;0,09;3
"323";108;2014;0,07;0,84;0,13;2015;0,5;0,06;0,09;0,09;0,06;0,01;0,1;0,05;0,05;11,42;0,16;0,09;3
"324";108;2015;0,02;0,73;0,03;2016;0,42;0,07;0,08;0,06;0;0,01;0,1;0,05;0,05;11,43;0,22;0,03;3
"325";109;2013;0,03;1,59;0,07;2014;0,18;0;0;0;0;0,87;0;0;0;9,98;0,97;0,11;3
"326";109;2014;0,05;1,26;0,11;2015;0,01;0;0;0;0;0,01;0;0;0;10,07;0,67;0,2;3
"327";109;2015;0,01;1,16;0,01;2016;0,03;0;0,02;0;0;0,01;0;0;0;10,1;0,48;0,04;3
"328";110;2013;0,04;1,16;0,15;2014;0,24;0;0,29;0,12;0;0,42;0,1;0;0;10,7;1,66;0,13;11
"329";110;2014;0,03;1,26;0,11;2015;0,38;0,11;0,04;0,01;0;0,12;0,1;0;0;10,74;1,89;0,11;11
"330";110;2015;0,03;1,15;0,15;2016;0,25;0;0,03;0;0;0,12;0,1;0;0;10,77;1,86;0,16;11
"331";111;2013;0,22;NA;2,22;2014;0,59;0,12;0,3;0,89;0,77;0,42;0,1;0,05;0,05;10,72;0,84;0,28;6
"332";111;2014;0,01;NA;0,06;2015;0,58;0,04;0,06;0,08;0,09;0,1;0,1;0,05;0,05;10,73;0,97;0,02;6
"333";111;2015;0,08;NA;0,45;2016;0,64;0,06;0,09;0,09;0,1;0,1;0,1;0,05;0,05;10,73;0,62;0,11;6
"334";112;2013;0,09;NA;0,35;2014;0,49;0,48;0,5;0,7;0;0,17;0,1;0,05;0,05;10,71;0,67;0,14;8
"335";112;2014;0,07;NA;0,23;2015;0,56;0,08;0,06;0,14;0;0,09;0,1;0,05;0,05;10,7;0,71;0,1;8
"336";112;2015;0,04;NA;0,17;2016;0,34;0;0,05;0;0;0,09;0,1;0,05;0,05;10,61;0,78;0,08;8
"337";113;2013;0,06;0,49;0,41;2014;0,39;0,62;0,42;0,14;0;0,55;0;0,05;0,05;10,77;2,5;0,09;6
"338";113;2014;0,05;0,47;0,31;2015;0,35;0;0,09;0;0;0,07;0,1;0,05;0,05;10,79;3,19;0,09;6
"339";113;2015;0,03;0,46;0,25;2016;0,34;0;0,07;0;0;0,07;0,1;0,05;0,05;10,76;4,21;0,07;6
"340";114;2013;0,03;0,55;0,24;2014;0,12;0;0;0;0;0,6;0;0;0;10,9;2;0,3;4
"341";114;2014;0,03;0,58;0,21;2015;0,1;0;0;0;0;0,1;0;0;0;10,92;2,13;0,27;4
"342";114;2015;0,03;0,48;0,21;2016;0,15;0;0,05;0;0;0,1;0;0;0;10,94;2,31;0,26;4
"343";115;2013;0,1;NA;0,2;2014;0,17;0;0;0;0;0,84;0;0;0;10,03;0,54;0,06;1
"344";115;2014;0,1;NA;0,2;2015;0,1;0;0;0;0;0,1;0;0;0;10,04;0,5;0,06;1
"345";115;2015;0,1;NA;0,21;2016;0,19;0;0,09;0;0;0,1;0;0;0;10,05;0,58;0,06;1
"346";116;2013;0,09;1,18;0,21;2014;0,46;0,18;0,25;0,48;0,14;0,78;0,1;0,05;0;9,95;0,79;0,12;5
"347";116;2014;0,06;1,32;0,13;2015;0,4;0,01;0,04;0,04;0,02;0,14;0,1;0,05;0;9,99;0,75;0,07;5
"348";116;2015;0,07;1,34;0,16;2016;0,39;0,02;0,03;0,04;0;0,14;0,1;0,05;0;10;0,75;0,09;5
"349";117;2013;0,08;1,15;0,13;2014;0,12;0;0;0;0;0,62;0;0;0;10,54;0,15;0,14;6
"350";117;2014;0,07;1,22;0,11;2015;0,14;0;0;0;0;0,14;0;0;0;10,57;0,15;0,13;6
"351";117;2015;0,08;1,22;0,14;2016;0,19;0;0,06;0;0;0,14;0;0;0;10,68;0,51;0,16;6
"352";118;2013;0,08;1,7;0,15;2014;0,06;0,28;0,09;0;0,01;0,04;0;0;0;10,92;0,26;0,14;1
"353";118;2014;0,09;1,97;0,17;2015;0,32;0,01;0,01;0;0,01;0,14;0,1;0,05;0;10,94;0,37;0,16;1
"354";118;2015;0,1;2,08;0,19;2016;0,31;0,01;0,01;0;0;0,14;0,1;0,05;0;10,95;0,29;0,16;1
"355";119;2013;0,07;1,31;0,17;2014;0,14;0;0;0;0;0,7;0;0;0;10,18;1,05;0,19;1
"356";119;2014;0,07;1,33;0,19;2015;0,16;0;0;0;0;0,16;0;0;0;10,2;1,08;0,18;1
"357";119;2015;0,07;1,12;0,19;2016;0,21;0;0,05;0;0;0,16;0;0;0;10,2;1,4;0,16;1
"358";120;2013;0,04;NA;1,59;2014;0,15;0;0;0;0;0,76;0;0;0;10,31;12,91;0,06;1
"359";120;2014;0,04;NA;0,62;2015;0,16;0;0;0;0;0,16;0;0;0;10,34;6,85;0,06;1
"360";120;2015;0,03;NA;0,28;2016;0,2;0;0,04;0;0;0,16;0;0;0;10,36;4,45;0,05;1
"361";121;2013;0,22;4,62;0,4;2014;0,12;0;0;0;0;0,59;0;0;0;9,46;1,05;0,08;1
"362";121;2014;0,2;3,65;0,44;2015;0,1;0;0;0;0;0,1;0;0;0;9,53;0,48;0,07;1
"363";121;2015;0,02;1,27;0,09;2016;0,19;0;0,09;0;0;0,1;0;0;0;10,22;1,99;0,02;1
"364";122;2013;0,1;1,62;0,2;2014;0,3;0,54;0,29;0;0;0,65;0;0,05;0;10,03;0,48;0,11;6
"365";122;2014;0,09;1,46;0,2;2015;0,28;0,08;0,06;0;0;0,1;0;0,05;0;9,96;0,61;0,1;6
"366";122;2015;0,1;1,29;0,24;2016;0,2;0;0,06;0;0;0,1;0;0,05;0;9,94;0,72;0,13;6
"367";123;2013;0,07;NA;0,22;2014;0,39;0,25;0,38;0,11;0,37;0,12;0,1;0,05;0,05;10,84;0,73;0,08;8
"368";123;2014;0,05;NA;0,16;2015;0,5;0,06;0,05;0,06;0,03;0,1;0,1;0,05;0,05;10,84;1,02;0,06;8
"369";123;2015;0,11;NA;0,37;2016;0,5;0,06;0,05;0,09;0,03;0,07;0,1;0,05;0,05;10,83;0,76;0,15;8
"370";124;2013;0,07;1,17;0,27;2014;0,46;0,28;0,39;0,27;0,47;0,73;0;0,05;0,05;9,91;1,1;0,1;2
"371";124;2014;0,09;1,97;0,31;2015;0,58;0,13;0,08;0,09;0;0,07;0,1;0,05;0,05;9,92;1,13;0,11;2
"372";124;2015;0,09;2,27;0,34;2016;0,34;0;0,07;0;0;0,07;0,1;0,05;0,05;9,95;1,32;0,12;2
"373";125;2013;0,03;0,75;0,09;2014;0,33;0,6;0,26;0,6;0,12;0,24;0;0,05;0;10,41;0,91;0,07;11
"374";125;2014;0,03;0,83;0,11;2015;0,57;0,08;0,03;0,12;0,03;0,11;0,1;0,05;0,05;10,45;1;0,07;11
"375";125;2015;0,03;0,81;0,08;2016;0,67;0,12;0,04;0,14;0,05;0,11;0,1;0,05;0,05;10,46;1,01;0,07;11
"376";126;2013;0,02;0,74;0,07;2014;0,39;0,03;0,12;0,6;0,79;0,07;0,1;0;0,05;11,06;0,92;0,11;11
"377";126;2014;0,02;0,79;0,05;2015;0,53;0,05;0,02;0,09;0,11;0,06;0,1;0,05;0,05;11,08;0,91;0,08;11
"378";126;2015;0,02;0,73;0,07;2016;0,51;0,02;0,02;0,06;0,09;0,12;0,1;0,05;0,05;11,08;0,94;0,12;11
"379";127;2013;0,04;1,21;0,15;2014;0,28;0,29;0,11;0,24;0,03;0,4;0,1;0;0;10,23;1,84;0,05;5
"380";127;2014;0,04;1,31;0,15;2015;0,29;0,06;0,04;0;0;0,14;0;0,05;0;10,25;1,62;0,06;5
"381";127;2015;0,01;1,16;0,05;2016;0,23;0;0,04;0;0;0,14;0;0,05;0;10,27;1,85;0,02;5
"382";128;2013;0;0,74;0;2014;0,34;0,58;0,12;0,39;0;0,37;0;0,05;0,05;10,63;0,39;0;3
"383";128;2014;0,03;0,68;0,07;2015;0,29;0;0,02;0,06;0;0,01;0,1;0,05;0,05;10,7;0,46;0,08;3
"384";128;2015;-0,39;0,84;-1,01;2016;0,38;0;0,08;0,08;0;0,02;0,1;0,05;0,05;10,47;1,72;0,08;3
"385";129;2013;0,07;0,56;0,13;2014;0,2;0,3;0,45;0;0;0,19;0;0;0,05;10,62;0,17;0,18;7
"386";129;2014;0;0,59;0;2015;0,4;0,1;0,11;0;0;0,14;0;0;0,05;10,65;0,34;0;7
"387";129;2015;0,05;1,9;0,13;2016;0,54;0,13;0,08;0,15;0;0,13;0;0;0,05;10,25;1,03;0,2;7
"388";130;2013;0,05;1,85;0,14;2014;0,83;0,73;0,8;0,84;0,6;0,9;0,1;0,05;0,05;10,29;0,82;0,07;8
"389";130;2014;0,06;1,84;0,16;2015;0,78;0,13;0,14;0,14;0,06;0,1;0,1;0,05;0,05;10,29;0,66;0,08;8
"390";130;2015;0,05;2,06;0,15;2016;0,78;0,13;0,14;0,14;0,08;0,1;0,1;0,05;0,05;10,27;0,62;0,07;8
"391";131;2013;0,08;2,11;0,16;2014;0,15;0;0;0;0;0,74;0;0;0;9,66;0,5;0,15;6
"392";131;2014;0,08;2,37;0,16;2015;0,1;0;0;0;0;0,1;0;0;0;9,67;0,52;0,15;6
"393";131;2015;0,09;3,2;0,19;2016;0,15;0;0,03;0;0;0,11;0;0;0;9,65;0,5;0,16;6
"394";132;2013;0,02;0,61;0,09;2014;0,08;0;0;0;0;0,38;0;0;0;10,67;0,99;0,07;11
"395";132;2014;0,03;0,67;0,15;2015;0,12;0;0;0;0;0,12;0;0;0;10,7;0,93;0,12;11
"396";132;2015;0,02;0,65;0,09;2016;0,24;0;0,12;0;0;0,12;0;0;0;10,7;0,96;0,09;11
"397";133;2013;0,07;NA;0,13;2014;0,66;0,45;0,57;0,82;0,15;0,84;0,1;0,05;0,05;10,66;0,25;0,12;7
"398";133;2014;0,06;NA;0,12;2015;0,56;0,06;0,07;0,1;0;0,13;0,1;0,05;0,05;10,66;0,25;0,11;7
"399";133;2015;0,04;NA;0,1;2016;0,69;0,06;0,07;0,09;0,13;0,14;0,1;0,05;0,05;10,67;0,26;0,08;7
"400";134;2013;0,1;1,28;0,34;2014;0,29;0;0,19;0;0;0,53;0,1;0,05;0;10,07;1,12;0,12;8
"401";134;2014;0,06;1,08;0,2;2015;0,3;0,04;0,03;0;0;0,09;0,1;0,05;0;10,21;2,07;0,08;8
"402";134;2015;0,05;1,01;0,23;2016;0,29;0,03;0,03;0;0;0,09;0,1;0,05;0;10,19;1,73;0,09;8
