"","Ticker","Date","Year","Revenue","GrossMargin","OperatingIncome","OperatingMargin","NetIncome","EarningsPerShare","Dividends","PayoutRatio","Shares","BookValuePerShare","OperatingCashFlow","CapSpending","FreeCashFlow","FreeCashFlowPerShare","WorkingCapital","TaxRate","NetMargin","AssetTurnover_Average","Roa","Roe","Roic","InterestCoverage","OperatingCashFlowGrowth_YOY","FreeCashFlowGrowth_YOY","CapEAsPercentageOfSales","FreeCashFlowSales","FreeCashFlowNetIncome","CurrentRatio","QuickRatio","FinancialLeverage","DebtEquity","DaysSalesOutstanding","DaysInventory","PayablesPeriod","CashConversionCycle","ReceivablesTurnover","InventoryTurnover","FixedAssetsTurnover","AssetTurnover"
"117","ADP",2014-06-01,2014,1.0226e+10,0.409,1.815e+09,0.177,1.516e+09,3.14,1.88,0.614,4.83e+08,13.78,1.821e+09,-3.67e+08,1.454e+09,2.97,1.925e+09,0.3394,0.1242,0.38,0.0471,0.2358,0.2301,373.89,0.1548,0.1232,0.036,0.1422,0.96,1.08,0.24,4.81,NA,48.37,NA,8.26,NA,7.55,NA,16.21,0.38
"118","ADP",2015-06-01,2015,1.0939e+10,0.412,2.014e+09,0.184,1.453e+09,3.05,1.95,0.576,4.76e+08,11.1,1.905e+09,-3.36e+08,1.57e+09,3.52,1.696e+09,0.3352,0.1328,0.34,0.0446,0.2531,0.2468,319.57,0.0462,0.0801,0.0307,0.1435,1.08,1.06,0.12,6.89,NA,54.15,NA,10.34,NA,6.74,NA,15.09,0.34
"119","ADP",2016-06-01,2016,1.1667e+10,0.414,2.191e+09,0.188,1.493e+09,3.25,2.08,0.641,4.59e+08,9.88,1.86e+09,-3.86e+08,1.474e+09,2.72,3.653e+09,0.3317,0.1279,0.3,0.0389,0.3213,0.2633,40.76,-0.024,-0.0613,0.0331,0.1263,0.99,1.1,0.14,9.74,0.45,51.18,NA,9.25,NA,7.13,NA,17.19,0.3
"120","ADP",2017-06-01,2017,1.2379e+10,0.413,2.327e+09,0.188,1.733e+09,3.85,2.24,0.569,4.5e+08,9.22,2.126e+09,-4.71e+08,1.655e+09,4.11,2.843e+09,0.3152,0.14,0.31,0.0429,0.4099,0.2784,32.64,0.143,0.1231,0.038,0.1337,0.95,1.1,0.15,9.35,0.5,50.8,NA,7.58,NA,7.18,NA,16.9,0.31
"121","ADS",2008-12-01,2008,2.025e+09,0.337,4.64e+08,0.229,2.06e+08,2.8,NA,NA,7.4e+07,6.11,4.51e+08,-5e+07,4.01e+08,5.45,-1e+07,0.3867,0.1073,0.48,0.0514,0.2733,0.1016,NA,NA,NA,0.0245,0.1982,1.95,0.99,0.52,11.06,3.68,163.86,NA,33.07,NA,2.23,NA,9.7,0.48
"122","ADS",2009-12-01,2009,1.964e+09,0.311,3.85e+08,0.196,1.44e+08,2.49,NA,NA,5.8e+07,5.23,3.58e+08,-5.3e+07,3.05e+08,5.29,2.29e+08,0.3279,0.0732,0.41,0.03,0.4311,0.0974,2.82,NA,NA,0.027,0.1555,2.13,1.11,0.63,19.16,6.34,100.72,NA,28.61,NA,3.62,NA,11.77,0.41
"123","ADS",2010-12-01,2010,2.791e+09,0.446,6.29e+08,0.225,1.94e+08,3.48,NA,NA,5.6e+07,0.45,9.03e+08,-6.9e+07,8.34e+08,14.97,2.267e+09,0.3707,0.0694,0.41,0.0287,1.3096,0.0893,1.98,NA,NA,0.0246,0.2988,4.3,1.59,1.36,358.19,152.87,31.78,NA,26.66,NA,11.48,NA,16.63,0.41
"124","ADS",2011-12-01,2011,3.173e+09,0.429,8.13e+08,0.256,3.15e+08,5.45,NA,NA,5.8e+07,2.93,1.011e+09,-7.4e+07,9.38e+08,15.87,2.752e+09,0.3867,0.0994,0.37,0.0366,3.1677,0.0858,2.72,NA,NA,0.0232,0.2955,2.97,1.71,1.48,51.03,21.2,32.31,NA,27.36,NA,11.3,NA,17.34,0.37
"125","ADS",2012-12-01,2012,3.641e+09,0.421,9.74e+08,0.268,4.22e+08,6.58,NA,NA,6.4e+07,10.65,1.134e+09,-1.16e+08,1.018e+09,15.87,4.099e+09,0.3817,0.116,0.35,0.0403,1.1988,0.0917,3.34,NA,8.52,0.032,0.2795,2.41,1.81,1.64,22.71,8.91,33.63,NA,31.65,NA,10.85,NA,16.24,0.35
"126","ADS",2013-12-01,2013,4.319e+09,0.41,1.099e+09,0.254,4.96e+08,7.42,NA,NA,6.7e+07,13.8,1.003e+09,-1.35e+08,8.68e+08,14.06,5.888e+09,0.3746,0.1149,0.34,0.0393,0.7169,0.0872,3.6,NA,NA,0.0313,0.201,1.75,2.3,2.1,15.48,7.01,32.32,NA,30.46,NA,11.29,NA,15.64,0.34
"127","ADS",2014-12-01,2014,5.302e+09,0.393,1.204e+09,0.227,5.06e+08,7.87,NA,NA,6.2e+07,16.94,1.344e+09,-1.59e+08,1.185e+09,15.94,7.509e+09,0.384,0.0955,0.32,0.0302,0.3114,0.0665,4.22,NA,NA,0.0299,0.2236,2.34,2.19,1.98,8.46,3.39,39.17,NA,37.74,NA,9.32,NA,12.35,0.32
"128","ADS",2015-12-01,2015,6.439e+09,0.408,1.261e+09,0.196,5.97e+08,8.85,NA,NA,6.2e+07,32,1.706e+09,-1.92e+08,1.514e+09,19.66,9.845e+09,0.3502,0.0856,0.3,0.0258,0.2503,0.0604,3.82,NA,NA,0.0298,0.2351,2.54,2.54,2.33,11.15,5.04,41.09,NA,42.96,NA,8.88,NA,11.33,0.3
"129","ADS",2016-12-01,2016,7.138e+09,0.401,1.266e+09,0.177,5.15e+08,7.34,0.52,NA,5.8e+07,31.08,2.088e+09,-2.07e+08,1.881e+09,30.02,1.0359e+10,0.3816,0.0606,0.3,0.018,0.2357,0.0502,2.95,NA,NA,0.029,0.2636,3.65,2.12,1.98,15.39,6.09,38.45,23.15,43.13,18.47,9.49,15.76,12.28,0.3
"130","ADS",2017-12-01,2017,7.719e+09,0.447,1.646e+09,0.213,7.89e+08,14.1,2.08,0.22,5.5e+07,28.77,2.609e+09,-2.25e+08,2.384e+09,40.49,1.4558e+10,0.2705,0.1022,0.27,0.0281,0.449,0.0776,2.92,NA,NA,0.0292,0.3089,3.02,2.43,2.22,16.54,7.23,38.29,21.6,52.12,7.77,9.53,16.9,12.87,0.27
"131","ADSK",2009-01-01,2009,2.315e+09,0.905,4.14e+08,0.179,1.83e+08,0.8,NA,NA,2.3e+08,6.19,5.93e+08,-7.8e+07,5.16e+08,2.8,5.87e+08,0.2729,0.0793,1,0.0793,0.1445,0.1388,NA,-0.1618,-0.225,0.0339,0.2227,2.81,1.73,1.62,1.85,NA,55.42,NA,118.03,NA,6.59,NA,23.06,1
"132","ADSK",2010-01-01,2010,1.714e+09,0.888,1.35e+08,0.079,5.8e+07,0.25,NA,NA,2.32e+08,6.25,2.47e+08,-3.9e+07,2.08e+08,0.69,6.76e+08,0.3152,0.0338,0.7,0.0238,0.0417,0.0417,NA,-0.5844,-0.5969,0.0228,0.1213,3.58,1.96,1.82,1.66,NA,63.25,NA,123.89,NA,5.77,NA,15.42,0.7
"133","ADSK",2011-01-01,2011,1.951e+09,0.899,2.82e+08,0.145,2.12e+08,0.9,NA,NA,2.34e+08,7.09,5.4e+08,-2.8e+07,5.13e+08,2.19,8.45e+08,0.2206,0.1086,0.75,0.081,0.1375,0.1375,NA,1.1912,1.4663,0.0145,0.2626,2.42,1.97,1.83,1.73,NA,55.71,NA,134.23,NA,6.55,NA,20.98,0.75
"134","ADSK",2012-01-01,2012,2.215e+09,0.897,3.54e+08,0.16,2.85e+08,1.22,NA,NA,2.33e+08,8.34,5.74e+08,-6.3e+07,5.11e+08,2.19,9.41e+08,0.2138,0.1288,0.74,0.0949,0.1634,0.1608,NA,0.0605,-0.0039,0.0284,0.2304,1.79,1.99,1.89,1.71,NA,58.77,NA,132.31,NA,6.21,NA,23.45,0.74
"135","ADSK",2013-01-01,2013,2.312e+09,0.897,3.5e+08,0.151,2.47e+08,1.07,NA,NA,2.31e+08,9.02,5.59e+08,-5.6e+07,5.02e+08,2.24,1.509e+09,0.2019,0.107,0.61,0.0657,0.126,0.0913,NA,-0.0251,-0.0153,0.0244,0.2174,2.03,2.45,2.35,2.11,0.36,70.26,NA,140.41,NA,5.19,NA,21.08,0.61
"136","ADSK",2014-01-01,2014,2.274e+09,0.879,2.98e+08,0.131,2.29e+08,1,NA,NA,2.29e+08,9.54,5.64e+08,-6.4e+07,4.99e+08,2.04,1.764e+09,0.1826,0.1006,0.51,0.0514,0.1063,0.0789,NA,0.0079,-0.0068,0.0282,0.2196,2.18,2.65,2.51,2.03,0.33,73.74,NA,118.89,NA,4.95,NA,18.55,0.51
"137","ADSK",2015-01-01,2015,2.512e+09,0.864,1.23e+08,0.049,8.1e+07,0.35,NA,NA,2.32e+08,9.99,7.08e+08,-7.6e+07,6.33e+08,2.44,1.271e+09,0.0145,0.0326,0.53,0.0172,0.0365,0.0274,NA,0.2566,0.267,0.0301,0.2518,7.73,1.91,1.78,2.21,0.34,64.12,NA,98.69,NA,5.69,NA,17.36,0.53
"138","ADSK",2016-01-01,2016,2.504e+09,0.852,1e+06,0.001,-3.31e+08,-1.46,NA,NA,2.26e+08,7.72,4.14e+08,-7.2e+07,3.42e+08,1.94,1.402e+09,NA,-0.132,0.48,-0.0634,-0.1722,-0.1088,NA,-0.4153,-0.46,0.0289,0.1364,-1.03,1.88,1.83,3.41,0.92,81.08,NA,108.51,NA,4.5,NA,15.25,0.48
"139","ADSK",2017-01-01,2017,2.031e+09,0.832,-4.19e+08,-0.206,-5.82e+08,-2.61,NA,NA,2.22e+08,4.81,1.69e+08,-7.6e+07,9.4e+07,1.02,2.75e+08,NA,-0.2866,0.39,-0.1129,-0.4947,-0.2032,NA,-0.5901,-0.7257,0.0374,0.0461,-0.16,1.13,1.08,6.54,1.49,99.37,NA,113.91,NA,3.67,NA,12.39,0.39
"140","ADSK",2018-01-01,2018,2.056e+09,0.852,-4.15e+08,-0.202,-5.66e+08,-2.58,NA,NA,2.2e+08,0.49,1e+06,-5.1e+07,-4.9e+07,-0.51,-2.45e+08,NA,-0.2756,0.46,-0.1272,-2.374,-0.3593,NA,-0.9947,NA,0.0247,-0.0242,0.09,0.88,0.83,NA,NA,79.02,NA,113.21,NA,4.61,NA,13.55,0.46
"141","AEE",2008-12-01,2008,7.869e+09,0.55,1.376e+09,0.175,6.05e+08,2.88,2.54,0.881,2.1e+08,33.72,1.533e+09,-2.069e+09,-5.36e+08,-2.55,-5.48e+08,0.3368,0.0772,0.36,0.0279,0.087,0.061,3.21,NA,NA,0.2629,-0.0681,-0.89,0.82,0.43,3.17,0.92,31.78,81.25,77.29,35.75,11.49,4.49,0.5,0.36
"142","AEE",2009-12-01,2009,7.135e+09,0.608,1.423e+09,0.199,6.12e+08,2.78,1.54,0.554,2.2e+08,33.08,1.977e+09,-1.788e+09,1.89e+08,0.86,1.131e+09,0.3473,0.0863,0.31,0.0264,0.0815,0.0603,2.88,NA,NA,0.2506,0.0265,0.31,1.66,1.01,3.03,1.01,31.61,105.89,98.26,39.24,11.55,3.45,0.41,0.31
"143","AEE",2010-12-01,2010,7.638e+09,0.356,1.505e+09,0.197,1.39e+08,0.58,1.54,2.655,2.39e+08,32.15,1.842e+09,-1.121e+09,7.21e+08,3.02,1.006e+09,0.6828,0.0182,0.32,0.0059,0.0178,0.0293,1.96,-6.83,NA,0.1468,0.0944,5.19,1.53,0.89,3.04,0.95,22.32,87.72,79.23,30.8,16.36,4.16,0.43,0.32
"144","AEE",2011-12-01,2011,6.148e+09,0.612,1.122e+09,0.182,5.19e+08,2.15,1.55,0.681,2.42e+08,32.96,1.878e+09,-1.092e+09,7.86e+08,3.19,5.1e+08,0.3708,0.0689,0.32,0.022,0.0663,0.0528,2.85,1.95,9.02,0.1776,0.1278,1.51,1.29,0.63,2.99,0.84,23.58,83.46,79.05,27.99,15.48,4.37,0.42,0.32
"145","AEE",2012-12-01,2012,5.781e+09,0.66,1.188e+09,0.206,-9.74e+08,-4.01,1.6,NA,2.43e+08,27.27,1.69e+09,-1.331e+09,3.59e+08,1.48,6.71e+08,NA,-0.1426,0.3,-0.0428,-0.134,-0.0479,-2.69,NA,NA,0.2302,0.0621,-0.37,1.4,0.6,3.3,1,23.36,60.85,56.64,27.57,15.62,6,0.4,0.3
"146","AEE",2013-12-01,2013,5.838e+09,0.678,1.184e+09,0.203,2.89e+08,1.18,1.6,NA,2.45e+08,27.1,1.693e+09,-1.424e+09,2.69e+08,0.83,-4.89e+08,0.3752,0.0495,0.27,0.0135,0.0439,0.0391,3.08,0.18,NA,0.2439,0.0461,0.93,0.8,0.38,3.22,0.84,25.16,119.85,139.43,5.58,14.5,3.05,0.36,0.27
"147","AEE",2014-12-01,2014,6.053e+09,0.686,1.254e+09,0.207,5.86e+08,2.4,1.61,0.667,2.44e+08,27.92,1.551e+09,-1.859e+09,-3.08e+08,-0.83,-2.03e+08,0.3887,0.0968,0.28,0.0268,0.0884,0.0597,3.84,-8.39,NA,0.3071,-0.0509,-0.53,0.91,0.31,3.38,0.91,24.93,101.12,146.1,-20.04,14.64,3.61,0.36,0.28
"148","AEE",2015-12-01,2015,6.098e+09,0.704,1.328e+09,0.218,6.3e+08,2.59,1.66,0.669,2.43e+08,28.91,2.017e+09,-1.969e+09,4.8e+07,-0.03,-1.76e+08,0.3829,0.1033,0.26,0.0272,0.0922,0.0602,3.67,NA,NA,0.3229,0.0079,0.08,0.92,0.49,3.4,0.99,24.27,107.26,150.28,-18.75,15.04,3.4,0.34,0.26
"149","AEE",2016-12-01,2016,6.076e+09,0.719,1.381e+09,0.227,6.53e+08,2.68,1.72,0.634,2.43e+08,29.65,2.123e+09,-2.131e+09,-8e+06,-0.45,-1.081e+09,0.367,0.1075,0.25,0.027,0.093,0.059,3.73,5.26,NA,0.3507,-0.0013,-0.01,0.6,0.3,3.48,0.93,24.78,113.86,169.14,-30.49,14.73,3.21,0.31,0.25
"150","AEE",2017-12-01,2017,6.177e+09,0.727,1.458e+09,0.236,5.23e+08,2.14,1.78,0.701,2.44e+08,30.28,2.104e+09,-2.195e+09,-9.1e+07,0.16,-1.328e+09,0.5213,0.0847,0.24,0.0207,0.0732,0.0483,3.83,-0.9,NA,0.3554,-0.0147,-0.17,0.55,0.29,3.61,0.99,26.06,113.55,184.77,-45.16,14.01,3.21,0.3,0.24
"151","AEP",2008-12-01,2008,1.444e+10,0.601,2.787e+09,0.193,1.383e+09,3.42,1.64,0.484,4.04e+08,26.33,2.576e+09,-3.8e+09,-1.224e+09,-3.03,-2.522e+09,0.3192,0.0954,0.34,0.0322,0.1326,0.0732,3.1,7.87,NA,0.2632,-0.0848,-0.89,0.6,0.3,4.22,1.45,20.34,67.86,83.11,5.08,17.95,5.38,0.46,0.34
