"","Ticker","Year","TotalAsset"
"160","CSX",2017,3.5739e+10
"161","CTL",2013,5.1787e+10
"162","CTL",2014,5.0147e+10
"163","CTL",2015,4.7604e+10
"164","CTL",2016,4.7017e+10
"165","CTL",2017,7.5611e+10
"166","CTXS",2013,5.212e+09
"167","CTXS",2014,5.512e+09
"168","CTXS",2015,5.481e+09
"169","CTXS",2016,6.39e+09
"170","CTXS",2017,5.82e+09
"171","CVS",2013,7.1526e+10
"172","CVS",2014,7.4252e+10
"173","CVS",2015,9.3657e+10
"174","CVS",2016,9.4462e+10
"175","CVS",2017,9.5131e+10
"176","ESRX",2013,5.3548e+10
"177","ESRX",2014,5.3799e+10
"178","ESRX",2015,5.3243e+10
"179","ESRX",2016,5.1745e+10
"180","ESRX",2017,5.4256e+10
"181","ETP",2013,4.3702e+10
"182","ETP",2014,4.8221e+10
"183","ETP",2015,6.5173e+10
"184","ETP",2016,7.0191e+10
"185","ETP",2017,7.7965e+10
"186","ETR",2013,4.3406e+10
"187","ETR",2014,4.6528e+10
"188","ETR",2015,4.4648e+10
"189","ETR",2016,4.5904e+10
"190","ETR",2017,4.6707e+10
"191","EXC",2013,7.9924e+10
"192","EXC",2014,8.6814e+10
"193","EXC",2015,9.6139e+10
"194","EXC",2016,1.14625e+11
"195","EXC",2017,1.167e+11
"196","EXPE",2013,7.739e+09
"197","EXPE",2014,9.021e+09
"198","EXPE",2015,1.5504e+10
"199","EXPE",2016,1.5778e+10
"200","EXPE",2017,1.8516e+10
"201","EXR",2013,3.977e+09
"202","EXR",2014,4.402e+09
"203","EXR",2015,6.071e+09
"204","EXR",2016,7.091e+09
"205","EXR",2017,7.455e+09
"206","F",2013,2.02026e+11
"207","F",2014,2.08527e+11
"208","F",2015,2.24925e+11
"209","F",2016,2.37951e+11
"210","F",2017,2.57808e+11
"211","FAST",2013,2.076e+09
"212","FAST",2014,2.359e+09
"213","FAST",2015,2.532e+09
"214","FAST",2016,2.669e+09
"215","FAST",2017,2.91e+09
"216","HCA",2013,2.8831e+10
"217","HCA",2014,3.1199e+10
"218","HCA",2015,3.2744e+10
"219","HCA",2016,3.3758e+10
"220","HCA",2017,3.6593e+10
"221","HCP",2013,2.0076e+10
"222","HCP",2014,2.137e+10
"223","HCP",2015,2.145e+10
"224","HCP",2016,1.5759e+10
"225","HCP",2017,1.4088e+10
"226","HD",2013,4.0518e+10
"227","HD",2014,3.9946e+10
"228","HD",2015,4.2549e+10
"229","HD",2016,4.2966e+10
"230","HD",2017,4.4529e+10
"231","HES",2013,4.2754e+10
"232","HES",2014,3.8578e+10
"233","HES",2015,3.4195e+10
"234","HES",2016,2.8621e+10
"235","HES",2017,2.3112e+10
"236","HOG",2013,9.405e+09
"237","HOG",2014,9.528e+09
"238","HOG",2015,9.991e+09
"239","HOG",2016,9.89e+09
"240","HOG",2017,9.973e+09
"241","ICE",2013,6.4818e+10
"242","ICE",2014,6.8279e+10
"243","ICE",2015,7.7987e+10
"244","ICE",2016,8.2003e+10
"245","ICE",2017,7.8264e+10
"246","IEP",2013,3.1745e+10
"247","IEP",2014,3.578e+10
"248","IEP",2015,3.6442e+10
"249","IEP",2016,3.3335e+10
"250","IEP",2017,3.1801e+10
"251","ILMN",2013,3.019e+09
"252","ILMN",2014,3.34e+09
"253","ILMN",2015,3.688e+09
"254","ILMN",2016,4.281e+09
"255","ILMN",2017,5.257e+09
"256","INCY",2013,6.47e+08
"257","INCY",2014,8.3e+08
"258","INCY",2015,1.007e+09
"259","INCY",2016,1.639e+09
"260","INCY",2017,2.303e+09
"261","INTC",2013,9.2358e+10
"262","INTC",2014,9.1956e+10
"263","INTC",2015,1.03065e+11
"264","INTC",2016,1.13327e+11
"265","INTC",2017,1.23249e+11
"266","INTU",2013,5.486e+09
"267","INTU",2014,5.201e+09
"268","INTU",2015,4.968e+09
"269","INTU",2016,4.25e+09
"270","INTU",2017,4.068e+09
"271","KO",2013,9.0055e+10
"272","KO",2014,9.2023e+10
"273","KO",2015,9.0093e+10
"274","KO",2016,8.727e+10
"275","KO",2017,8.7896e+10
"276","KR",2013,2.9281e+10
"277","KR",2014,3.0556e+10
"278","KR",2015,3.3897e+10
"279","KR",2016,3.6505e+10
"280","KR",2017,3.7197e+10
"281","KSS",2013,1.4378e+10
"282","KSS",2014,1.4431e+10
"283","KSS",2015,1.3606e+10
"284","KSS",2016,1.3574e+10
"285","KSS",2017,1.334e+10
"286","KSU",2013,7.435e+09
"287","KSU",2014,8.091e+09
"288","KSU",2015,8.341e+09
"289","KSU",2016,8.818e+09
"290","KSU",2017,9.199e+09
"291","L",2013,7.9939e+10
"292","L",2014,7.8367e+10
"293","L",2015,7.6029e+10
"294","L",2016,7.6594e+10
"295","L",2017,7.9586e+10
"296","LOW",2013,3.2732e+10
"297","LOW",2014,3.1827e+10
"298","LOW",2015,3.1266e+10
"299","LOW",2016,3.4408e+10
"300","LOW",2017,3.5291e+10
"301","LRCX",2013,7.25e+09
"302","LRCX",2014,7.993e+09
"303","LRCX",2015,9.365e+09
"304","LRCX",2016,1.2272e+10
"305","LRCX",2017,1.2123e+10
"306","MAC",2013,9.075e+09
"307","MAC",2014,1.3122e+10
"308","MAC",2015,1.1259e+10
"309","MAC",2016,9.958e+09
"310","MAC",2017,9.606e+09
"311","MAR",2013,6.794e+09
"312","MAR",2014,6.865e+09
"313","MAR",2015,6.082e+09
"314","MAR",2016,2.414e+10
"315","MAR",2017,2.3948e+10
"316","MAS",2013,6.933e+09
"317","MAS",2014,7.167e+09
"318","MAS",2015,5.68e+09
"319","MAS",2016,5.137e+09
"320","MAS",2017,5.488e+09
"321","MAT",2013,6.44e+09
"322","MAT",2014,6.722e+09
"323","MAT",2015,6.553e+09
"324","MAT",2016,6.494e+09
"325","MAT",2017,6.239e+09
"326","MCD",2013,3.6626e+10
"327","MCD",2014,3.4281e+10
"328","MCD",2015,3.7939e+10
"329","MCD",2016,3.1024e+10
"330","MCD",2017,3.3804e+10
"331","MCK",2013,3.4786e+10
"332","MCK",2014,5.1759e+10
"333","MCK",2015,5.387e+10
"334","MCK",2016,5.6563e+10
"335","MCK",2017,6.0969e+10
"336","MGM",2013,2.611e+10
"337","MGM",2014,2.6703e+10
"338","MGM",2015,2.5215e+10
"339","MGM",2016,2.8173e+10
"340","MGM",2017,2.9159e+10
"341","MHK",2013,8.494e+09
"342","MHK",2014,8.286e+09
"343","MHK",2015,9.942e+09
"344","MHK",2016,1.0231e+10
"345","MHK",2017,1.2095e+10
"346","MJN",2013,3.258e+09
"347","MJN",2014,3.474e+09
"348","MJN",2015,3.776e+09
"349","MJN",2016,3.998e+09
"350","MJN",2017,4.088e+09
"351","MKC",2013,4.45e+09
"352","MKC",2014,4.414e+09
"353","MKC",2015,4.508e+09
"354","MKC",2016,4.636e+09
"355","MKC",2017,1.0386e+10
"356","MKL",2013,2.3956e+10
"357","MKL",2014,2.52e+10
"358","MKL",2015,2.4941e+10
"359","MKL",2016,2.5875e+10
"360","MKL",2017,3.2805e+10
"361","MMC",2013,1.698e+10
"362","MMC",2014,1.784e+10
"363","MMC",2015,1.8216e+10
"364","MMC",2016,1.819e+10
"365","MMC",2017,2.0429e+10
"366","MPC",2013,2.8385e+10
"367","MPC",2014,3.046e+10
"368","MPC",2015,4.3115e+10
"369","MPC",2016,4.4413e+10
"370","MPC",2017,4.9047e+10
"371","MRK",2013,1.05645e+11
"372","MRK",2014,9.8335e+10
"373","MRK",2015,1.01779e+11
"374","MRK",2016,9.5377e+10
"375","MRK",2017,8.7872e+10
"376","MRO",2013,3.562e+10
"377","MRO",2014,3.6011e+10
"378","MRO",2015,3.2311e+10
"379","MRO",2016,3.1094e+10
"380","MRO",2017,2.2012e+10
"381","MS",2013,8.32702e+11
"382","MS",2014,8.0151e+11
"383","MS",2015,7.87465e+11
"384","MS",2016,8.14949e+11
"385","MS",2017,8.51733e+11
"386","MSFT",2013,1.42431e+11
"387","MSFT",2014,1.72384e+11
"388","MSFT",2015,1.76223e+11
"389","MSFT",2016,1.93694e+11
"390","MSFT",2017,2.41086e+11
"391","MSI",2013,1.1851e+10
"392","MSI",2014,1.0423e+10
"393","MSI",2015,8.387e+09
"394","MSI",2016,8.463e+09
"395","MSI",2017,8.208e+09
"396","MYL",2013,1.5236e+10
"397","MYL",2014,1.5887e+10
"398","MYL",2015,2.2268e+10
"399","MYL",2016,3.4726e+10
"400","MYL",2017,3.5806e+10
"401","NLSN",2013,1.553e+10
"402","NLSN",2014,1.5376e+10
"403","NLSN",2015,1.5303e+10
"404","NLSN",2016,1.573e+10
"405","NLSN",2017,1.6866e+10
"406","NLY",2013,8.1922e+10
"407","NLY",2014,8.8355e+10
"408","NLY",2015,7.5191e+10
"409","NLY",2016,8.7905e+10
"410","NLY",2017,1.0176e+11
"411","NOC",2013,2.6381e+10
"412","NOC",2014,2.6572e+10
"413","NOC",2015,2.4454e+10
"414","NOC",2016,2.5614e+10
"415","NOC",2017,3.4917e+10
"416","NOV",2013,3.4812e+10
"417","NOV",2014,3.3562e+10
"418","NOV",2015,2.6725e+10
"419","NOV",2016,2.114e+10
"420","NOV",2017,2.0206e+10
"421","NOW",2013,1.168e+09
"422","NOW",2014,1.425e+09
"423","NOW",2015,1.807e+09
"424","NOW",2016,2.034e+09
"425","NOW",2017,3.398e+09
"426","NUE",2013,1.5203e+10
"427","NUE",2014,1.5616e+10
"428","NUE",2015,1.425e+10
"429","NUE",2016,1.5224e+10
"430","NUE",2017,1.5841e+10
"431","NVDA",2013,7.251e+09
"432","NVDA",2014,7.201e+09
"433","NVDA",2015,7.37e+09
"434","NVDA",2016,9.841e+09
"435","NVDA",2017,1.1241e+10
"436","ORLY",2013,6.067e+09
"437","ORLY",2014,6.54e+09
"438","ORLY",2015,6.677e+09
"439","ORLY",2016,7.204e+09
"440","ORLY",2017,7.572e+09
"441","OXY",2013,6.9443e+10
"442","OXY",2014,5.6259e+10
"443","OXY",2015,4.3437e+10
"444","OXY",2016,4.3109e+10
"445","OXY",2017,4.2026e+10
"446","PAA",2013,2.036e+10
"447","PAA",2014,2.2256e+10
"448","PAA",2015,2.2288e+10
"449","PAA",2016,2.421e+10
"450","PAA",2017,2.5351e+10
"451","PAYX",2013,6.164e+09
"452","PAYX",2014,6.37e+09
"453","PAYX",2015,6.482e+09
"454","PAYX",2016,6.441e+09
"455","PAYX",2017,6.834e+09
"456","PCAR",2013,2.0726e+10
"457","PCAR",2014,2.0619e+10
"458","PCAR",2015,2.111e+10
"459","PCAR",2016,2.0639e+10
"460","PCAR",2017,2.344e+10
"461","PCG",2013,5.5605e+10
"462","PCG",2014,6.0127e+10
"463","PCG",2015,6.3339e+10
"464","PCG",2016,6.8598e+10
"465","PCG",2017,6.8012e+10
"466","PCLN",2013,1.0444e+10
"467","PCLN",2014,1.4941e+10
"468","PCLN",2015,1.7421e+10
"469","PCLN",2016,1.9839e+10
"470","PCLN",2017,2.5451e+10
"471","PEP",2013,7.7478e+10
"472","PEP",2014,7.0509e+10
"473","PEP",2015,6.9667e+10
"474","PEP",2016,7.4129e+10
"475","PEP",2017,7.9804e+10
"476","PFE",2013,1.72101e+11
"477","PFE",2014,1.69275e+11
"478","PFE",2015,1.67462e+11
"479","PFE",2016,1.71615e+11
"480","PFE",2017,1.71795e+11
"481","PFG",2013,2.08191e+11
"482","PFG",2014,2.19087e+11
"483","PFG",2015,2.18686e+11
"484","PFG",2016,2.28014e+11
"485","PFG",2017,2.53941e+11
"486","PGR",2013,2.4408e+10
"487","PGR",2014,2.5788e+10
"488","PGR",2015,2.9819e+10
"489","PGR",2016,3.3428e+10
"490","PGR",2017,3.8701e+10
"491","PH",2013,1.2541e+10
"492","PH",2014,1.3274e+10
"493","PH",2015,1.2295e+10
"494","PH",2016,1.2057e+10
"495","PH",2017,1.549e+10
"496","PLD",2013,2.4572e+10
"497","PLD",2014,2.5818e+10
"498","PLD",2015,3.1395e+10
"499","PLD",2016,3.025e+10
"500","PLD",2017,2.9481e+10
"501","PM",2013,3.8168e+10
"502","PM",2014,3.5187e+10
"503","PM",2015,3.3956e+10
"504","PM",2016,3.6851e+10
"505","PM",2017,4.2968e+10
"506","PNC",2013,3.20296e+11
"507","PNC",2014,3.45072e+11
"508","PNC",2015,3.58493e+11
"509","PNC",2016,3.6638e+11
"510","PNC",2017,3.80768e+11
"511","PRU",2013,7.31781e+11
"512","PRU",2014,7.66655e+11
"513","PRU",2015,7.57388e+11
"514","PRU",2016,7.83962e+11
"515","PRU",2017,8.31921e+11
"516","PX",2013,2.0255e+10
"517","PX",2014,1.9802e+10
"518","PX",2015,1.8319e+10
"519","PX",2016,1.9332e+10
"520","PX",2017,2.0436e+10
"521","PXD",2013,1.2293e+10
"522","PXD",2014,1.4926e+10
"523","PXD",2015,1.5154e+10
"524","PXD",2016,1.6459e+10
"525","PXD",2017,1.7003e+10
"526","QCOM",2013,4.5516e+10
"527","QCOM",2014,4.8574e+10
"528","QCOM",2015,5.0796e+10
"529","QCOM",2016,5.2359e+10
"530","QCOM",2017,6.5486e+10
"531","RAI",2013,1.6557e+10
"532","RAI",2014,1.5402e+10
"533","RAI",2015,1.5196e+10
"534","RAI",2016,5.3224e+10
"535","RAI",2017,5.1095e+10
"536","RCL",2013,2.0073e+10
"537","RCL",2014,2.0713e+10
"538","RCL",2015,2.0922e+10
"539","RCL",2016,2.231e+10
"540","RCL",2017,2.2296e+10
"541","REGN",2013,2.951e+09
"542","REGN",2014,3.872e+09
"543","REGN",2015,5.609e+09
"544","REGN",2016,6.973e+09
"545","REGN",2017,8.764e+09
"546","RF",2013,1.17396e+11
"547","RF",2014,1.19679e+11
"548","RF",2015,1.2605e+11
"549","RF",2016,1.25968e+11
"550","RF",2017,1.24294e+11
"551","RHT",2013,2.814e+09
"552","RHT",2014,3.107e+09
"553","RHT",2015,3.803e+09
"554","RHT",2016,4.155e+09
"555","RHT",2017,4.535e+09
"556","RTN",2013,2.5967e+10
"557","RTN",2014,2.79e+10
"558","RTN",2015,2.9281e+10
"559","RTN",2016,3.0052e+10
"560","RTN",2017,3.086e+10
"561","SBAC",2013,6.783e+09
"562","SBAC",2014,7.841e+09
"563","SBAC",2015,7.403e+09
"564","SBAC",2016,7.361e+09
"565","SBAC",2017,7.32e+09
"566","SBUX",2013,1.1517e+10
"567","SBUX",2014,1.0706e+10
"568","SBUX",2015,1.2397e+10
"569","SBUX",2016,1.428e+10
"570","SBUX",2017,1.4316e+10
"571","SCHW",2013,1.43642e+11
"572","SCHW",2014,1.54642e+11
"573","SCHW",2015,1.83718e+11
"574","SCHW",2016,2.23383e+11
"575","SCHW",2017,2.43274e+11
"576","SE",2013,NA
"577","SE",2014,2.8e+08
"578","SE",2015,4.3e+08
"579","SE",2016,4.86e+08
"580","SE",2017,1.988e+09
"581","SHW",2013,6.383e+09
"582","SHW",2014,5.706e+09
"583","SHW",2015,5.792e+09
"584","SHW",2016,6.753e+09
"585","SHW",2017,1.9958e+10
"586","SIRI",2013,8.845e+09
"587","SIRI",2014,8.376e+09
"588","SIRI",2015,8.047e+09
"589","SIRI",2016,8.004e+09
"590","SIRI",2017,8.329e+09
"591","SJM",2013,9.032e+09
"592","SJM",2014,9.072e+09
"593","SJM",2015,1.6883e+10
"594","SJM",2016,1.5984e+10
"595","SJM",2017,1.564e+10
"596","SLG",2013,1.4959e+10
"597","SLG",2014,1.7097e+10
"598","SLG",2015,1.9858e+10
"599","SLG",2016,1.5858e+10
"600","SLG",2017,1.3983e+10
"601","SPG",2013,3.3325e+10
"602","SPG",2014,2.9532e+10
"603","SPG",2015,3.0651e+10
"604","SPG",2016,3.1104e+10
"605","SPG",2017,3.2258e+10
"606","SRCL",2013,3.883e+09
"607","SRCL",2014,4.402e+09
"608","SRCL",2015,7.077e+09
"609","SRCL",2016,6.98e+09
"610","SRCL",2017,6.988e+09
"611","SRE",2013,3.7244e+10
"612","SRE",2014,3.9732e+10
"613","SRE",2015,4.115e+10
"614","SRE",2016,4.7786e+10
"615","SRE",2017,5.0454e+10
"616","STI",2013,1.75335e+11
"617","STI",2014,1.90328e+11
"618","STI",2015,1.90817e+11
"619","STI",2016,2.04875e+11
"620","STI",2017,2.05962e+11
"621","SYK",2013,1.5743e+10
"622","SYK",2014,1.7713e+10
"623","SYK",2015,1.6247e+10
"624","SYK",2016,2.0435e+10
"625","SYK",2017,2.2197e+10
"626","SYMC",2013,1.4379e+10
"627","SYMC",2014,1.3539e+10
"628","SYMC",2015,1.3233e+10
"629","SYMC",2016,1.1767e+10
"630","SYMC",2017,1.8174e+10
"631","SYY",2013,1.2664e+10
"632","SYY",2014,1.3168e+10
"633","SYY",2015,1.7989e+10
"634","SYY",2016,1.6722e+10
"635","SYY",2017,1.7757e+10
"636","T",2013,2.77787e+11
"637","T",2014,2.92829e+11
"638","T",2015,4.02672e+11
"639","T",2016,4.03821e+11
"640","T",2017,4.44097e+11
"641","TAP",2013,1.558e+10
"642","TAP",2014,1.3996e+10
"643","TAP",2015,1.2276e+10
"644","TAP",2016,2.9342e+10
"645","TAP",2017,3.0247e+10
"646","TDG",2013,6.149e+09
"647","TDG",2014,6.757e+09
"648","TDG",2015,8.427e+09
"649","TDG",2016,1.0726e+10
"650","TDG",2017,9.976e+09
"651","TIF",2013,4.752e+09
"652","TIF",2014,5.181e+09
"653","TIF",2015,5.13e+09
"654","TIF",2016,5.098e+09
"655","TIF",2017,5.468e+09
"656","TJX",2013,1.0201e+10
"657","TJX",2014,1.1128e+10
"658","TJX",2015,1.1499e+10
"659","TJX",2016,1.2884e+10
"660","TJX",2017,1.4058e+10
"661","TRV",2013,1.03812e+11
"662","TRV",2014,1.03078e+11
"663","TRV",2015,1.00184e+11
"664","TRV",2016,1.00245e+11
"665","TRV",2017,1.03483e+11
"666","TSCO",2013,1.903e+09
"667","TSCO",2014,2.035e+09
"668","TSCO",2015,2.371e+09
"669","TSCO",2016,2.675e+09
"670","TSCO",2017,2.869e+09
"671","TSLA",2013,2.417e+09
"672","TSLA",2014,5.849e+09
"673","TSLA",2015,8.092e+09
"674","TSLA",2016,2.2664e+10
"675","TSLA",2017,2.8655e+10
"676","TSN",2013,1.2177e+10
"677","TSN",2014,2.3956e+10
