"","Ticker","Year","Net income","Research and development","Revenue"
"193","BDX","2013","1293","494","8054"
"194","BDX","2014","1185","550","8446"
"195","BDX","2015","695","632","10282"
"196","BDX","2016","976","828","12483"
"197","BDX","2017","1100","774","12093"
"199","BEN","2013","2150",NA,"7985"
"200","BEN","2014","2384",NA,"8491"
"201","BEN","2015","2035",NA,"7949"
"202","BEN","2016","1727",NA,"6618"
"203","BEN","2017","1697",NA,"6392"
"205","BF.A","2013","591",NA,"2849"
"206","BF.A","2014","659",NA,"2991"
"207","BF.A","2015","684",NA,"3134"
"208","BF.A","2016","1067",NA,"3089"
"209","BF.A","2017","669",NA,"2994"
"211","BG","2013","306",NA,"61347"
"212","BG","2014","515",NA,"57161"
"213","BG","2015","791",NA,"43455"
"214","BG","2016","745",NA,"42679"
"215","BG","2017","160",NA,"45794"
"217","BHI","2013","1096","556","22364"
"218","BHI","2014","1719","613","24551"
"219","BHI","2015","-1967","483","15742"
"220","BHI","2016","-2738","384","9841"
"221","BHI","2017","-350","","17259"
"223","BIIB","2013","1862","1444","5806"
"224","BIIB","2014","2935","1893","8508"
"225","BIIB","2015","3547","2013","9425"
"226","BIIB","2016","3703","1973","10134"
"227","BIIB","2017","2539","2374","12274"
"229","BLL","2013","407",NA,"8468"
"230","BLL","2014","470",NA,"8570"
"231","BLL","2015","281",NA,"7997"
"232","BLL","2016","263",NA,"9061"
"233","BLL","2017","374",NA,"10983"
"235","BMRN","2013","-176","355","548"
"236","BMRN","2014","-134","462","751"
"237","BMRN","2015","-172","635","890"
"238","BMRN","2016","-630","662","1117"
"239","BMRN","2017","-117","611","1314"
"241","BMY","2013","2563","3731","16385"
"242","BMY","2014","2004","4534","15879"
"243","BMY","2015","1565","5920","16560"
"244","BMY","2016","4457","4940","19427"
"245","BMY","2017","1007","6411","20776"
"247","BSX","2013","-121","861","7143"
"248","BSX","2014","-119","817","7380"
"249","BSX","2015","-239","876","7477"
"250","BSX","2016","347","920","8386"
"251","BSX","2017","104","997","9048"
"253","CA","2013","955","490","4643"
"254","CA","2014","914","587","4515"
"255","CA","2015","846","603","4262"
"256","CA","2016","783","560","4025"
"257","CA","2017","775","586","4036"
"259","CAG","2013","774",NA,"15491"
"260","CAG","2014","303",NA,"17703"
"261","CAG","2015","-253",NA,"15832"
"262","CAG","2016","-677",NA,"11643"
"263","CAG","2017","639",NA,"7827"
"265","CAH","2013","334",NA,"101093"
"266","CAH","2014","1166",NA,"91084"
"267","CAH","2015","1215",NA,"102531"
"268","CAH","2016","1427",NA,"121546"
"269","CAH","2017","1288",NA,"129976"
"271","CAM","2013","522",NA,"6959"
"272","CAM","2014","750",NA,"8502"
"273","CAM","2015","699",NA,"9838"
"274","CAM","2016","811",NA,"10381"
"275","CAM","2017","501",NA,"8782"
"277","CAT","2013","3789","2046","55656"
"278","CAT","2014","3695","2135","55184"
"279","CAT","2015","2102","2165","47011"
"280","CAT","2016","-67","1951","38537"
"281","CAT","2017","754","1905","45462"
"283","CBG","2013","512",NA,"6863"
"284","CBG","2014","913",NA,"7448"
"285","CBG","2015","1256",NA,"7753"
"286","CBG","2016","1490",NA,"9965"
"287","CBG","2017","1246",NA,"12904"
"289","CBS","2013","1879",NA,"15284"
"290","CBS","2014","2959",NA,"13806"
"291","CBS","2015","1413",NA,"13886"
"292","CBS","2016","1261",NA,"13166"
"293","CBS","2017","357",NA,"13692"
"295","CCI","2013","90",NA,"3022"
"296","CCI","2014","391",NA,"3690"
"297","CCI","2015","1521",NA,"3664"
"298","CCI","2016","357",NA,"3921"
"299","CCI","2017","445",NA,"4356"
"301","CE","2013","1101","85","6510"
"302","CE","2014","624","86","6802"
"303","CE","2015","304","119","5674"
"304","CE","2016","900","78","5389"
"305","CE","2017","843","72","6140"
"307","CELG","2013","1450","2226","6494"
"308","CELG","2014","2000","2431","7670"
"309","CELG","2015","1602","3697","9256"
"310","CELG","2016","1999","4470","11229"
"311","CELG","2017","2940","5915","13003"
"313","CERN","2013","398","339","2911"
"314","CERN","2014","525","393","3403"
"315","CERN","2015","539","540","4425"
"316","CERN","2016","636","551","4796"
"317","CERN","2017","867","605","5142"
"319","CF","2013","1465",NA,"5475"
"320","CF","2014","1390",NA,"4743"
"321","CF","2015","700",NA,"4308"
"322","CF","2016","-277",NA,"3685"
"323","CF","2017","358",NA,"4130"
"325","CHD","2013","394",NA,"3194"
"326","CHD","2014","414",NA,"3298"
"327","CHD","2015","410",NA,"3395"
"328","CHD","2016","459",NA,"3493"
"329","CHD","2017","743",NA,"3776"
"331","CHRW","2013","416",NA,"12752"
"332","CHRW","2014","450",NA,"13470"
"333","CHRW","2015","510",NA,"13476"
"334","CHRW","2016","513",NA,"13144"
"335","CHRW","2017","505",NA,"14869"
"337","CL","2013","2241",NA,"17420"
"338","CL","2014","2180",NA,"17277"
"339","CL","2015","1384",NA,"16034"
"340","CL","2016","2441",NA,"15195"
