"","Index","Year","Roa","Roe","Roic","TobinsQ","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","CarbonProductivity","EnergyProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"22",8,2012,0.051,0.1147,0.0849,1.59,-0.00713839157852199,0.41,0.67,0.0733,1250886000,1.2e+08,6.67e+08,4.9e+07,1.72904165761763,0.020502691559888,0.39,0.43,0.2,0.4,0.02,0.67,0,1,1,6,20.9471179371805,0.46373401623214
"23",8,2013,0.0436,0.1185,0.0744,1.69,-0.0165347661272721,0.53,1.3,0.0738,1.682e+09,1.2e+08,8.65e+08,6.4e+07,0.846682324054431,0.0237917733059295,0.52,0.03,0.01,0.07,0.03,0.18,1,1,1,6,21.2432493984972,0.524728528934982
"24",8,2014,0.0383,0.1201,0.0681,1.7,0.0367951634510975,0.58,1.38,0.0665,1.851e+09,1.17e+08,1.016e+09,6.8e+07,0.743221605521034,-0.00044593296331262,0.57,0.04,0.05,0.09,0.01,0.18,1,1,1,6,21.3389918705378,0.53062825106217
"25",9,2012,0.0878,0.1338,0.1119,1.54,0.0710343801934589,1.66,0.22,0.1891,1.004e+10,5.03e+08,4.404e+09,8.33e+08,1.17393076051421,0.0139523829740677,0.84,0.87,0.83,0.99,0.92,0.51,1,1,1,7,23.02984295121,0.431782416425538
"26",9,2013,0.0285,0.0433,0.0399,2.62,0.0376753471009873,0.56,0.22,0.0715,1.038e+10,5.13e+08,4.055e+09,2.9e+08,0.550999847598482,0.0154830957175174,0.83,0.09,0.13,0.12,0.09,0.19,1,1,1,7,23.0631467146842,0.963174317773006
"27",9,2014,0.0254,0.0398,0.0347,3.2,-0.0122108921118647,0.53,0.13,0.0647,1.0786e+10,5.08e+08,4.147e+09,2.68e+08,1.96526093531432,-0.00117915656118859,0.62,0.08,0.06,0.08,0.03,0.19,1,1,1,7,23.1015148338614,1.16315080980568
"28",10,2012,0.1195,0.1636,0.1367,1.48,0.0316334992359597,2.13,0.19,0.2411,5.62e+09,3.06e+08,2.701e+09,6.51e+08,0.932458452966757,0.0111030097450077,0.56,0.48,0.55,0.59,0.3,0.86,0,1,1,7,22.449597500852,0.392042087776024
"29",10,2013,0.1122,0.1513,0.1295,1.77,0.0246039468929499,2.14,0.18,0.2557,6.382e+09,3.14e+08,2.634e+09,6.73e+08,1.31523601875755,0.0369581321270872,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1,7,22.5767473648025,0.570979546585738
"30",10,2014,0.0951,0.1325,0.1154,1.95,0.0236277206132968,1.98,0.18,0.2197,6.86e+09,3.18e+08,2.865e+09,6.29e+08,1.54411687971311,-0.000926470127827863,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1,7,22.6489732786842,0.667829372575655
"31",11,2012,0.0292,0.0665,0.0507,0.27,0.0249226350503893,1.84,0.36,0.0137,4.5136e+10,6.66e+08,8.9038e+10,1.223e+09,0.041678458486068,0.000591805810135603,0.19,0.09,0.06,0.55,0,0.19,0,1,0,2,24.5329459912061,-1.30933331998376
"32",11,2013,0.0307,0.0666,0.0574,0.48,0.0566792627988099,2.02,0.27,0.0149,4.3752e+10,6.63e+08,8.9804e+10,1.342e+09,0.664424226349584,0.0186703207604233,0.33,0.01,0.02,0.07,0,0.09,1,1,0,2,24.5018031629909,-0.7339691750802
"33",11,2014,0.0512,0.1132,0.0927,0.64,-0.0124982423959382,3.43,0.28,0.0277,4.4027e+10,6.56e+08,8.1201e+10,2.248e+09,0.823355470888378,-0.000494013282533027,0.32,0.02,0.01,0.06,0,0.09,1,1,0,2,24.5080689190305,-0.446287102628419
"34",12,2012,0.0427,0.229,0.2198,0.77,0.00273021423750364,2.82,0.0025,0.1302,3.333e+10,4.92e+08,1.0595e+10,1.389e+09,0.770112066882768,0.00918732238921666,0.47,0.38,0.47,0.61,0,1,0,1,0,7,24.2297237292661,-0.261364764134408
"35",12,2013,0.0446,0.2285,0.2221,0.97,-0.00114165492930315,2.89,0.002,0.1243,3.2268e+10,4.87e+08,9.442e+09,1.405e+09,0.634522853152042,0.0178300921735724,0.28,0.07,0,0,0,0.16,0,1,0,7,24.1973418640211,-0.0304592074847086
"36",12,2014,0.0471,0.2358,0.2301,0.86,-0.0206149652702033,3.14,0.0019,0.1242,3.2052e+10,4.83e+08,1.0226e+10,1.516e+09,0.808633188727693,-0.000485179913236616,0.28,0.07,0,0,0,0.16,0,1,0,7,24.1906254208622,-0.150822889734584
"37",13,2012,0.0403,1.1988,0.0917,0.65,0.00492973685848413,6.58,8.91,0.116,12000139000,6.4e+07,3.641e+09,4.22e+08,0.913175761195095,0.0108754739821021,0,0,0,0,0,0,0,0,0,7,23.2081840700007,-0.430782916092454
"38",13,2013,0.0393,0.7169,0.0872,1.03,0.0506996133497674,7.42,7.01,0.1149,13244257000,6.7e+07,4.319e+09,4.96e+08,1.10948588934073,0.0311765534904744,0.24,0.08,0,0,0,0.16,0,0,0,7,23.3068298614567,0.0295588022415444
"39",13,2014,0.0302,0.3114,0.0665,0.93,0.002351492901365,7.87,3.39,0.0955,20263977000,6.2e+07,5.302e+09,5.06e+08,2.87023927169194,-0.00172214356301517,0.21,0.05,0,0,0,0.16,0,0,0,7,23.7321106146274,-0.0725706928348354
"40",14,2012,0.0949,0.1634,0.1608,1.89,0.0313847542208315,1.22,-10.7444455648699,0.1288,3.429e+09,2.33e+08,2.215e+09,2.85e+08,2.82833347870637,0.0334743350487352,0.62,0.94,0.63,0.3,0.62,1,0,0,1,7,21.9555345104272,0.636576829071551
"41",14,2013,0.0657,0.126,0.0913,1.88,0.0629507642441825,1.07,0.36,0.107,4.322e+09,2.31e+08,2.312e+09,2.47e+08,1.53911665487784,0.0432491780020674,0.66,0.14,0.1,0,0.03,0.19,1,1,1,7,22.1869840950311,0.631271776841858
"42",14,2014,0.0514,0.1063,0.0789,2.65,-0.0312787783108992,1,0.33,0.1006,4.737e+09,2.29e+08,2.274e+09,2.29e+08,0.852545881652775,-0.000511527528991665,0.71,0.14,0.14,0,0.05,0.19,1,1,1,7,22.278669860888,0.974559639998131
"43",15,2012,-0.0428,-0.134,-0.0479,0.56,0.0368618369131433,-4.01,1,-0.1426,2.1835e+10,2.43e+08,5.781e+09,-9.74e+08,0.109858942677735,0.00139633552359728,0.29,0.03,0.52,0,0,0.29,1,1,0,11,23.8067800238839,-0.579818495252942
"44",15,2013,0.0135,0.0439,0.0391,0.7,-0.00360544041374561,1.18,0.84,0.0495,2.1042e+10,2.45e+08,5.838e+09,2.89e+08,0.827504185925556,0.0232528676245081,0.37,0.01,0.09,0,0,0.12,1,1,0,11,23.7697862773325,-0.356674943938732
"45",15,2014,0.0268,0.0884,0.0597,0.8,0.0777002692359426,2.4,0.91,0.0968,2.2676e+10,2.44e+08,6.053e+09,5.86e+08,0.792918762105364,-0.000475751257263218,0.36,0.01,0.07,0.01,0,0.12,1,1,0,11,23.8445729334085,-0.22314355131421
"46",16,2012,0.0236,0.0842,0.0573,0.71,0.0024528369923248,2.6,1.02,0.0842,5.4367e+10,4.85e+08,1.4945e+10,1.259e+09,-0.156762726457111,-0.00174980017219391,0.18,0.02,0.02,0.03,0,0.07,1,1,0,11,24.7190231890943,-0.342490308946776
"47",16,2013,0.0267,0.0945,0.0593,0.73,-0.0390543839133039,3.04,1.05,0.0964,5.6414e+10,4.87e+08,1.4814e+10,1.481e+09,1.14701378487642,0.0322310873550274,0.31,0.01,0,0.03,0,0.12,1,1,0,11,24.7559831915976,-0.3147107448397
"48",16,2014,0.0282,0.0993,0.0605,0.83,0.0540370966911181,3.34,0.96,0.096,5.9633e+10,4.89e+08,1.6379e+10,1.633e+09,0.696743718587859,-0.000418046231152716,0.3,0.01,0,0.02,0,0.12,1,1,0,11,24.8114749490624,-0.186329578191493
"49",17,2012,0.0414,0.1615,0.0580103769656964,0.52,0.0585271043005658,4.81,0.62,0.0466,41494500000,3.45e+08,3.5569e+10,1.658e+09,0.942523627601693,0.0112217788057,0.41,0.74,0.65,0,0,0.74,0,1,0,5,24.4488267252797,-0.653926467406664
"50",17,2013,0.0419,0.1567,0.0826233384490809,0.71,-0.0095645197773839,5.33,0.56,0.0413,49871800000,3.59e+08,4.6387e+10,1.913e+09,0.164401391880083,0.00461967911183035,0.32,0.08,0,0,0,0.14,0,1,1,5,24.6327215496971,-0.342490308946776
"51",17,2014,0.0395,0.1432,0.0776515397790181,0.8,0.0188058527274243,5.68,0.54,0.0358,53402100000,3.59e+08,5.8003e+10,2.041e+09,1.24111169785924,-0.000744667018715546,0.6,0.12,0.13,0.11,0,0.14,0,1,1,5,24.701115907982,-0.22314355131421
"52",18,2012,0.0231,0.1944,0.0737744951323915,0.28,-0.0114346698534774,3.06,0.27,0.113,1.31094e+11,9.39e+08,2.5364e+10,2.866e+09,1.16820499849348,0.0138848189822231,0.49,0.63,0.85,0,0,0.82,0,1,1,4,25.5991804600784,-1.27296567581289
"53",18,2013,0.025,0.2064,0.0630068073898653,0.34,-0.0160844761290068,3.38,0.34,0.1319,1.21307e+11,9.35e+08,2.3939e+10,3.158e+09,0.802221079222212,0.0225424123261442,0.75,0.09,0.09,0.09,0.12,0.16,1,1,1,4,25.5215903593929,-1.07880966137193
"54",18,2014,0.0245,0.179,0.023804512968011,0.29,0.0232180721519213,3.25,0.29,0.1298,1.19767e+11,9.08e+08,2.2728e+10,2.951e+09,1.17405650587741,-0.000704433903526446,0.64,0.07,0.06,0.06,0.1,0.16,1,1,1,4,25.5088140255834,-1.23787435600162
"55",19,2012,0.0094,0.0263,0.0231,0.7,-0.0280208579245014,0.76,1.63,0.0165,9179300000,1.28e+08,5.914e+09,9.7e+07,0.408270355759077,0.00491759019795711,0.85,0.85,0.72,0.61,0.82,1,1,1,1,5,22.9402167859481,-0.356674943938732
"56",19,2013,-0.0408,-0.1123,-0.0386,1.21,0.0164928304014322,-5.27,0.89,-0.0865,10574300000,1.42e+08,2.603e+09,-7.5e+08,0.473005891054349,0.0132914655386272,0.84,0.13,0.12,0.12,0.13,0.14,1,1,1,5,23.0816923658344,0.19062035960865
"57",19,2014,-0.0433,-0.0861,-0.0399,1.75322053197989,-0.0494989843960739,-7.42,0.52,-0.1248,12415700000,2.19e+08,4.677e+09,-1.631e+09,0.84916832918544,-0.000509500997511264,0.74,0.13,0.14,0.13,0,0.14,1,1,1,5,23.2422276377242,-0.039443141518588
"58",20,2012,0.0062,0.0339,0.0513097989464494,-0.902817229514457,0.0421497818217898,2.04,0.49,0.0524,5.48633e+11,1.687e+09,7.111e+10,3.438e+09,1.79608377556607,0.0212937885516796,0.18,0,0,0,0,0.65,0,1,0,4,27.0306955667578,-2.16613101344417
"59",20,2013,0.0167,0.0915,0.127902502995517,-0.854409424104925,0.0178245083480096,6.13,0.41,0.1322,5.41329e+11,1.481e+09,6.89e+10,9.085e+09,0.355313883203969,0.00998432011803153,0.29,0,0,0,0,0.14,1,1,0,4,27.0172930640418,-1.96070289353207
"60",20,2014,0.0142,0.0726,0.0851909408511212,-0.257890512597335,0.0248611240509687,5.2,0.29,0.1169,5.15581e+11,1.448e+09,6.4407e+10,7.529e+09,1.20314931031697,-0.000721889586190184,0.4,0.09,0,0,0,0.15,1,1,0,4,26.9685602570609,-0.706323016914585
"61",21,2012,0.0825,0.0906,0.0888,2.6,0.0920602790663136,1.12,0,0.1485,2600627000,1.82e+08,1.374e+09,2.04e+08,1.57794414712809,0.0187197409361114,0.39,0.12,0.03,0,0.68,0.82,0,1,1,7,21.6790184067471,0.955511445027436
"62",21,2013,0.1056,0.118,0.1163,2.59,0.0328594190531802,1.61,0,0.186,2957685000,1.82e+08,1.578e+09,2.93e+08,0.736291947264969,0.0206898037181456,0.61,0.07,0.01,0,0.15,0.18,1,1,1,7,21.8076727046923,0.951657875711446
