Ticker;YearFinancialIndicator;GisSector;FichierSTCKP;CompanyGR2014;CompanyGR2015;CompanyGR2016;DebtRatio;NetMargin;ROA;PriceToBookRatio;ROE;PayoutRatio;RetentionRatio;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore 
ANDV;2012;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,37;0,02;0,07;1,40;0,19;0,05;0,95;2014;384;0,12;0,00;0,00;0,00;0,00;0,34;0,00;0,05;0,00
ANDV;2013;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,66;0,01;0,03;1,70;0,10;0,25;0,75;2015;472;0,06;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,00
ANDV;2014;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,96;0,02;0,06;2,00;0,19;0,20;0,80;2016;216;0,35;0,06;0,08;0,07;0,09;0,01;0,00;0,05;0,00
ANDV;2015;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,78;0,05;0,09;2,30;0,32;0,13;0,88;;;;;;;;;;;
BG;2012;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,35;0,00;0,00;1,00;0,00;0,41;0,59;2014;268;0,26;0,21;0,36;0,41;0,47;0,22;0,00;0,00;0,00
BG;2013;Consumer Staples;NA;bunge;bunge limited;bunge ltd;his ;0,00;0,01;1,30;0,02;0,00;1,00;2015;213;0,38;0,05;0,07;0,05;0,06;0,10;0,00;0,05;0,00
BG;2014;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,37;0,01;0,02;1,50;0,06;0,30;0,70;2016;197;0,37;0,03;0,07;0,07;0,05;0,10;0,00;0,05;0,00
BG;2015;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,51;0,02;0,04;1,70;0,11;0,39;0,61;;;;;;;;;;;
BMRN;2012;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,32;-0,23;-0,08;6,10;-0,13;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
BMRN;2013;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,49;-0,32;-0,09;7,90;-0,15;0,00;1,00;2015;322;0,22;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,05
BMRN;2014;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,43;-0,18;-0,06;8,90;-0,09;0,00;1,00;2016;306;0,24;0,00;0,02;0,00;0,00;0,17;0,00;0,00;0,05
BMRN;2015;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,28;-0,19;-0,06;7,40;-0,09;0,00;1,00;;;;;;;;;;;
BX;2012;Financials;NA;blackstone group;the blackstone group lp;blackstone group lp;1,59;0,05;0,01;2,20;0,03;1,28;-0,28;2014;380;0,12;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00
BX;2013;Financials;NA;blackstone group;the blackstone group lp;blackstone group lp;1,05;0,18;0,04;4,20;0,13;0,93;0,07;2015;458;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
BX;2014;Financials;NA;blackstone group;the blackstone group lp;blackstone group lp;0,78;0,21;0,05;3,60;0,15;0,62;0,38;2016;473;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
BX;2015;Financials;NA;blackstone group;the blackstone group lp;blackstone group lp;0,63;0,15;0,03;3,40;0,07;1,69;-0,69;;;;;;;;;;;
CE;2012;Materials;NA;celanese;celanese corporation;celanese corp;1,69;0,09;0,07;4,10;0,39;0,07;0,93;2014;332;0,17;0,00;0,00;0,00;0,00;0,59;0,00;0,05;0,00
CE;2013;Materials;NA;celanese;celanese corporation;celanese corp;1,07;0,17;0,12;4,20;0,50;0,13;0,87;2015;383;0,15;0,00;0,00;0,00;0,00;0,10;0,00;0,05;0,00
CE;2014;Materials;NA;celanese;celanese corporation;celanese corp;0,93;0,09;0,07;3,10;0,23;0,10;0,90;2016;432;0,15;0,00;0,04;0,00;0,00;0,07;0,00;0,05;0,00
CE;2015;Materials;NA;celanese;celanese corporation;celanese corp;1,04;0,05;0,03;3,60;0,12;0,32;0,68;;;;;;;;;;;
CHRW;2012;Industrials;NA;ch robinson worldwide;ch robinson worldwide inc;ch robinson worldwide inc;0,21;0,05;0,24;6,80;0,43;0,37;0,64;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CHRW;2013;Industrials;NA;ch robinson worldwide;ch robinson worldwide inc;ch robinson worldwide inc;0,53;0,03;0,15;8,90;0,34;0,39;0,61;2015;315;0,23;0,00;0,10;0,00;0,00;0,08;0,00;0,05;0,00
CHRW;2014;Industrials;NA;ch robinson worldwide;ch robinson worldwide inc;ch robinson worldwide inc;0,48;0,03;0,15;10,80;0,45;0,48;0,52;2016;443;0,14;0,00;0,01;0,00;0,00;0,08;0,00;0,05;0,00
CHRW;2015;Industrials;NA;ch robinson worldwide;ch robinson worldwide inc;ch robinson worldwide inc;0,43;0,04;0,16;7,90;0,46;0,45;0,55;;;;;;;;;;;
CHTR ;2012;Consumer Discretionary;NA;charter communications;charter communications inc;charter communications inc;85,96;-0,04;-0,02;51,80;-1,09;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CHTR ;2013;Consumer Discretionary;NA;charter communications;charter communications inc;charter communications inc;93,91;-0,02;-0,01;238,10;-1,13;0,00;1,00;2015;364;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
CHTR ;2014;Consumer Discretionary;NA;charter communications;charter communications inc;charter communications inc;143,99;-0,02;-0,01;192,30;-1,23;0,00;1,00;2016;392;0,18;0,00;0,02;0,00;0,00;0,16;0,00;0,00;0,00
CHTR ;2015;Consumer Discretionary;NA;charter communications;charter communications inc;charter communications inc;-776,59;-0,03;-0,01;344,80;-5,42;0,00;1,00;;;;;;;;;;;
CLR ;2012;Energy;NA;continental resources;continental resources inc;continental resources inc;1,12;0,29;0,10;4,30;0,27;0,00;1,00;2014;398;0,10;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00
CLR ;2013;Energy;NA;continental resources;continental resources inc;continental resources inc;1,19;0,22;0,07;5,50;0,21;0,00;1,00;2015;494;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00
CLR ;2014;Energy;NA;continental resources;continental resources inc;continental resources inc;1,21;0,20;0,07;2,90;0,22;0,00;1,00;2016;497;0,03;0,00;0,02;0,00;0,00;0,01;0,00;0,00;0,00
CLR ;2015;Energy;NA;continental resources;continental resources inc;continental resources inc;1,52;-0,13;-0,02;1,80;-0,07;0,00;1,00;;;;;;;;;;;
EPD;2012;Energy;NA;enterprise products partners;enterprise products partners lp;enterprise products partners lp;1,11;0,06;0,07;3,40;0,19;0,94;0,06;2014;374;0,13;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00
EPD;2013;Energy;NA;enterprise products partners;enterprise products partners lp;enterprise products partners lp;1,07;0,05;0,07;4,30;0,18;0,97;0,03;2015;478;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
EPD;2014;Energy;NA;enterprise products partners;enterprise products partners lp;enterprise products partners lp;1,06;0,06;0,06;4,40;0,17;0,93;0,07;2016;487;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
EPD;2015;Energy;NA;enterprise products partners;enterprise products partners lp;enterprise products partners lp;1,03;0,09;0,05;2,60;0,13;1,18;-0,18;;;;;;;;;;;
ETP;2012;Energy;NA;energy transfer partners;energy transfer partners lp;energy transfer partners lp;1,68;0,07;0,04;1,40;0,15;0,73;0,27;2014;360;0,14;0,00;0,00;0,00;0,00;0,71;0,00;0,00;0,00
ETP;2013;Energy;NA;energy transfer partners;energy transfer partners lp;energy transfer partners lp;1,43;0,00;0,00;1,70;-0,01;1,84;-0,84;2015;479;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
ETP;2014;Energy;NA;energy transfer partners;energy transfer partners lp;energy transfer partners lp;1,52;0,01;0,01;2,10;0,05;0,00;1,00;2016;488;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
ETP;2015;Energy;NA;energy transfer partners;energy transfer partners lp;energy transfer partners lp;1,38;0,00;0,00;0,90;0,00;0,00;1,00;;;;;;;;;;;
FLT;2012;Information Technology;NA;fleetcor technologies;fleetcor technologies inc;fleetcor technologies inc;0,53;0,31;0,09;4,80;0,25;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
FLT;2013;Information Technology;NA;fleetcor technologies;fleetcor technologies inc;fleetcor technologies inc;0,38;0,32;0,09;8,20;0,26;0,00;1,00;2015;364;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
FLT;2014;Information Technology;NA;fleetcor technologies;fleetcor technologies inc;fleetcor technologies inc;0,79;0,31;0,06;8,70;0,18;0,00;1,00;2016;313;0,24;0,00;0,08;0,00;0,00;0,16;0,00;0,00;0,00
FLT;2015;Information Technology;NA;fleetcor technologies;fleetcor technologies inc;fleetcor technologies inc;0,73;0,21;0,04;4,50;0,13;0,00;1,00;;;;;;;;;;;
IEP;2012;Industrials;NA;icahn enterprises;icahn enterprises lp;icahn enterprises lp;1,83;0,02;0,02;1,00;0,09;0,11;0,67;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
IEP;2013;Industrials;NA;icahn enterprises;icahn enterprises lp;icahn enterprises lp;1,53;0,05;0,04;2,20;0,19;0,46;0,80;2015;491;0,04;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00
IEP;2014;Industrials;NA;icahn enterprises;icahn enterprises lp;icahn enterprises lp;2,13;-0,02;-0,01;1,80;-0,06;2,08;0,67;2016;494;0,04;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00
IEP;2015;Industrials;NA;icahn enterprises;icahn enterprises lp;icahn enterprises lp;3,17;-0,08;-0,03;1,60;-0,25;0,00;0,80;;;;;;;;;;;
LNG;2012;Energy;NA;cheniere energy;cheniere energy inc;cheniere energy inc;4,25;-1,25;-0,09;8,20;-5,18;0,00;1,00;2014;348;0,15;0,00;0,00;0,00;0,00;0,76;0,00;0,00;0,00
LNG;2013;Energy;NA;cheniere energy;cheniere energy inc;cheniere energy inc;36,60;-1,90;-0,07;35,50;-1,47;0,00;1,00;2015;494;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00
LNG;2014;Energy;NA;cheniere energy;cheniere energy inc;cheniere energy inc;-59,73;-2,04;-0,05;-109,90;3,55;0,00;1,00;2016;499;0,02;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,00
LNG;2015;Energy;NA;cheniere energy;cheniere energy inc;cheniere energy inc;-18,40;-3,60;-0,06;-13,70;2,17;0,00;1,00;;;;;;;;;;;
LTRPA;2012;Consumer Discretionary;NA;liberty media;liberty media corporation;liberty media corp;0,27;5,96;0,14;1,95;0,77;0,00;1,00;2014;425;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05
LTRPA;2013;Consumer Discretionary;NA;liberty media;liberty media corporation;liberty media corp;0,25;-0,01;0,00;2,10;-0,01;0,00;1,00;2015;326;0,21;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,05
LTRPA;2014;Consumer Discretionary;NA;liberty media;liberty media corporation;liberty media corp;0,74;-0,02;0,00;2,20;-0,02;0,00;1,00;2016;281;0,27;0,00;0,06;0,00;0,00;0,16;0,00;0,00;0,05
LTRPA;2015;Consumer Discretionary;NA;liberty media;liberty media corporation;liberty media corp;0,77;-0,03;-0,01;2,80;-0,05;0,00;1,00;;;;;;;;;;;
LVS;2012;Consumer Discretionary;NA;las vegas sands;las vegas sands corp;las vegas sands corp;1,43;0,14;0,07;5,40;0,20;0,54;0,46;2014;18;0,67;0,36;0,61;0,69;0,49;0,72;0,10;0,05;0,05
LVS;2013;Consumer Discretionary;NA;las vegas sands;las vegas sands corp;las vegas sands corp;1,22;0,17;0,10;8,50;0,31;0,50;0,50;2015;60;0,60;0,09;0,10;0,08;0,07;0,07;0,10;0,05;0,05
LVS;2014;Consumer Discretionary;NA;las vegas sands;las vegas sands corp;las vegas sands corp;1,37;0,19;0,13;6,40;0,38;0,56;0,44;2016;39;0,65;0,10;0,11;0,08;0,09;0,08;0,10;0,05;0,05
LVS;2015;Consumer Discretionary;NA;las vegas sands;las vegas sands corp;las vegas sands corp;1,37;0,17;0,09;5,10;0,28;0,88;0,12;;;;;;;;;;;
MGLN;2012;Energy;NA;magellan midstream partners;magellan midstream partners lp;magellan midstream partners lp;0,00;0,05;0,11;1,30;0,16;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
MGLN;2013;Energy;NA;magellan midstream partners;magellan midstream partners lp;magellan midstream partners lp;0,02;0,04;0,08;1,50;0,12;0,00;1,00;2015;479;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
MGLN;2014;Energy;NA;magellan midstream partners;magellan midstream partners lp;magellan midstream partners lp;0,23;0,02;0,04;1,40;0,07;0,00;1,00;2016;491;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
MGLN;2015;Energy;NA;magellan midstream partners;magellan midstream partners lp;magellan midstream partners lp;0,22;0,01;0,02;1,40;0,03;0,00;1,00;;;;;;;;;;;
MKL;2012;Financials;NA;markel;markel corporation;markel corp;0,38;0,08;0,02;1,10;0,07;0,00;1,00;2014;264;0,27;0,00;0,10;0,00;0,00;1,00;0,00;0,00;0,05
MKL;2013;Financials;NA;markel;markel corporation;markel corp;0,34;0,07;0,02;1,30;0,05;0,00;1,00;2015;289;0,28;0,00;0,02;0,00;0,00;0,16;0,00;0,05;0,05
MKL;2014;Financials;NA;markel;markel corporation;markel corp;0,30;0,06;0,01;1,30;0,04;0,00;1,00;2016;261;0,29;0,00;0,03;0,00;0,00;0,16;0,00;0,05;0,05
MKL;2015;Financials;NA;markel;markel corporation;markel corp;0,29;0,11;0,02;1,60;0,08;0,00;1,00;;;;;;;;;;;
MXIM;2012;Information Technology;NA;maxim integrated products;maxim integrated products inc;maxim integrated products inc;0,12;0,16;0,11;3,30;0,15;0,71;0,29;2014;108;0,47;0,39;0,42;0,45;0,53;1,00;0,00;0,00;0,00
MXIM;2013;Information Technology;NA;maxim integrated products;maxim integrated products inc;maxim integrated products inc;0,20;0,19;0,12;3,30;0,18;0,64;0,37;2015;172;0,42;0,06;0,06;0,06;0,06;0,13;0,00;0,00;0,05
MXIM;2014;Information Technology;NA;maxim integrated products;maxim integrated products inc;maxim integrated products inc;0,41;0,14;0,09;3,70;0,14;0,77;0,23;2016;153;0,42;0,06;0,07;0,05;0,07;0,13;0,00;0,00;0,05
MXIM;2015;Information Technology;NA;maxim integrated products;maxim integrated products inc;maxim integrated products inc;0,44;0,09;0,05;5,10;0,09;1,64;-0,64;;;;;;;;;;;
NLY;2012;Financials;NA;annaly capital management;annaly capital management inc;annaly capital management inc;0,06;0,82;0,01;0,90;0,11;1,20;-0,20;2014;316;0,18;0,00;0,00;0,00;0,00;0,89;0,00;0,00;0,00
NLY;2013;Financials;NA;annaly capital management;annaly capital management inc;annaly capital management inc;0,07;0,92;0,03;0,80;0,28;0,49;0,52;2015;479;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
NLY;2014;Financials;NA;annaly capital management;annaly capital management inc;annaly capital management inc;0,10;0,00;-0,01;0,80;-0,08;1,50;-0,50;2016;493;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
NLY;2015;Financials;NA;annaly capital management;annaly capital management inc;annaly capital management inc;0,26;0,59;0,00;0,80;0,03;0,00;1,00;;;;;;;;;;;
NOW;2012;Information Technology;NA;servicenow;servicenow inc;servicenow inc;0,00;-0,15;-0,08;15,60;-0,15;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
NOW;2013;Information Technology;NA;servicenow;servicenow inc;servicenow inc;1,05;-0,17;-0,09;27,30;-0,23;0,00;1,00;2015;355;0,17;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00
NOW;2014;Information Technology;NA;servicenow;servicenow inc;servicenow inc;1,05;-0,26;-0,14;24,30;-0,44;0,00;1,00;2016;359;0,20;0,00;0,03;0,00;0,00;0,17;0,00;0,00;0,00
NOW;2015;Information Technology;NA;servicenow;servicenow inc;servicenow inc;0,84;-0,20;-0,12;27,00;-0,40;0,00;1,00;;;;;;;;;;;
PAA;2012;Energy;NA;plains all american pipeline;plains all american pipeline lp;plains all american pipeline lp;0,95;0,02;0,05;2,30;0,13;0,88;0,12;2014;391;0,11;0,00;0,00;0,00;0,00;0,55;0,00;0,00;0,00
PAA;2013;Energy;NA;plains all american pipeline;plains all american pipeline lp;plains all american pipeline lp;0,88;0,02;0,05;2,60;0,14;0,78;0,22;2015;479;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
PAA;2014;Energy;NA;plains all american pipeline;plains all american pipeline lp;plains all american pipeline lp;1,08;0,02;0,04;2,40;0,11;1,09;-0,09;2016;489;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
PAA;2015;Energy;NA;plains all american pipeline;plains all american pipeline lp;plains all american pipeline lp;1,32;0,01;0,01;1,10;0,04;2,24;-1,24;;;;;;;;;;;
SIRI;2012;Consumer Discretionary;NA;sirius xm holdings;sirius xm holdings inc;sirius xm holdings inc;0,60;1,02;0,42;3,80;1,46;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
SIRI;2013;Consumer Discretionary;NA;sirius xm holdings;sirius xm holdings inc;sirius xm holdings inc;1,13;0,10;0,04;7,50;0,11;0,00;1,00;2015;364;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
SIRI;2014;Consumer Discretionary;NA;sirius xm holdings;sirius xm holdings inc;sirius xm holdings inc;3,43;0,12;0,06;16,80;0,24;0,00;1,00;2016;332;0,22;0,00;0,06;0,00;0,00;0,16;0,00;0,00;0,00
SIRI;2015;Consumer Discretionary;NA;sirius xm holdings;sirius xm holdings inc;sirius xm holdings inc;-32,72;0,11;0,06;344,80;0,89;0,00;1,00;;;;;;;;;;;
SO;2012;Utilities;NA;southern;the southern company;southern co;1,05;0,14;0,04;2,00;0,13;0,73;0,27;2014;347;0,15;0,00;0,09;0,11;0,00;0,11;0,10;0,00;0,00
SO;2013;Utilities;NA;southern;the southern company;southern co;1,12;0,10;0,03;1,90;0,09;1,08;-0,08;2015;280;0,28;0,00;0,02;0,04;0,00;0,12;0,10;0,00;0,00
SO;2014;Utilities;NA;southern;the southern company;southern co;1,04;0,11;0,03;2,20;0,10;0,88;0,12;2016;273;0,28;0,00;0,02;0,03;0,01;0,12;0,10;0,00;0,00
SO;2015;Utilities;NA;southern;the southern company;southern co;1,20;0,14;0,03;2,10;0,12;0,82;0,18;;;;;;;;;;;
TMUS;2012;Telecommunication Services;NA;t-mobile us;t-mobile us inc;t-mobile us inc;1,41;0,08;0,04;1,10;0,13;0,00;1,00;2014;415;0,07;0,00;0,00;0,00;0,00;0,37;0,00;0,00;0,00
TMUS;2013;Telecommunication Services;NA;t-mobile us;t-mobile us inc;t-mobile us inc;1,18;0,00;0,00;2,20;0,00;0,00;1,00;2015;364;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00
TMUS;2014;Telecommunication Services;NA;t-mobile us;t-mobile us inc;t-mobile us inc;1,56;0,01;0,00;1,50;0,02;0,00;1,00;2016;316;0,23;0,00;0,07;0,00;0,00;0,16;0,00;0,00;0,00
TMUS;2015;Telecommunication Services;NA;t-mobile us;t-mobile us inc;t-mobile us inc;1,58;0,02;0,01;2,00;0,04;0,00;1,00;;;;;;;;;;;
TRI;2012;Consumer Discretionary;NA;thomson reuters;thomson reuters corporation;thomson reuters corp;0,44;-0,10;-0,04;1,40;-0,08;0,73;0,27;2014;240;0,30;0,21;0,19;0,00;0,00;0,68;0,00;0,05;0,05
TRI;2013;Consumer Discretionary;NA;thomson reuters;thomson reuters corporation;thomson reuters corp;0,36;0,16;0,06;1,80;0,12;0,51;0,49;2015;226;0,36;0,00;0,03;0,00;0,00;0,13;0,10;0,05;0,05
TRI;2014;Consumer Discretionary;NA;thomson reuters;thomson reuters corporation;thomson reuters corp;0,46;0,01;0,00;2,10;0,01;1,18;-0,18;2016;193;0,37;0,00;0,02;0,03;0,00;0,12;0,10;0,05;0,05
TRI;2015;Consumer Discretionary;NA;thomson reuters;thomson reuters corporation;thomson reuters corp;0,53;0,15;0,06;2,30;0,13;2,63;-1,63;;;;;;;;;;;
VMW;2012;Information Technology;NA;vmware;vmware inc;vmware inc;0,09;0,19;0,09;7,00;0,17;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
VMW;2013;Information Technology;NA;vmware;vmware inc;vmware inc;0,08;0,16;0,08;5,90;0,14;0,00;1,00;2015;340;0,19;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00
VMW;2014;Information Technology;NA;vmware;vmware inc;vmware inc;0,07;0,19;0,09;4,80;0,16;0,00;1,00;2016;337;0,21;0,00;0,02;0,00;0,00;0,19;0,00;0,00;0,00
VMW;2015;Information Technology;NA;vmware;vmware inc;vmware inc;0,20;0,15;0,06;3,20;0,12;0,00;1,00;;;;;;;;;;;
WDAY ;2012;Information Technology;NA;workday;workday inc;workday inc;0,04;-0,59;-0,34;14,70;-1,51;0,00;1,00;2014;267;0,26;0,22;0,19;0,00;0,00;0,50;0,10;0,00;0,00
WDAY ;2013;Information Technology;NA;workday;workday inc;workday inc;0,02;-0,44;-0,20;23,70;-0,24;0,00;1,00;2015;277;0,29;0,00;0,00;0,00;0,00;0,19;0,10;0,00;0,00
WDAY ;2014;Information Technology;NA;workday;workday inc;workday inc;0,40;-0,37;-0,11;13,50;-0,19;0,00;1,00;2016;203;0,36;0,00;0,07;0,00;0,00;0,19;0,10;0,00;0,00
WDAY ;2015;Information Technology;NA;workday;workday inc;workday inc;0,44;-0,31;-0,11;13,70;-0,21;0,00;1,00;;;;;;;;;;;
WMB;2012;Energy;NA;williams;williams partners lp;williams partners lp;2,25;0,11;0,04;4,70;0,26;1,04;-0,04;2014;393;0,10;0,00;0,00;0,00;0,00;0,52;0,00;0,00;0,00
WMB;2013;Energy;NA;williams;williams partners lp;williams partners lp;2,33;0,06;0,02;5,30;0,09;1,57;-0,57;2015;472;0,06;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,05
WMB;2014;Energy;NA;williams;williams partners lp;williams partners lp;2,38;0,28;0,05;3,70;0,31;0,67;0,34;2016;476;0,10;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,05
WMB;2015;Energy;NA;williams;williams partners lp;williams partners lp;3,87;-0,08;-0,01;2,60;-0,08;5,67;-4,67;;;;;;;;;;;
A ;2012;Health Care;A_quarterly_financial_data.xls;agilent technologies;agilent technologies inc;agilent technologies inc;0,41;0,17;0,12;2,56;0,24;0,09;0,91;2014;10;0,71;0,79;0,72;0,54;0,57;0,84;0,10;0,00;0,05
A ;2013;Health Care;A_quarterly_financial_data.xls;agilent technologies;agilent technologies inc;agilent technologies inc;0,51;0,11;0,07;3,41;0,14;0,21;0,79;2015;115;0,52;0,04;0,11;0,00;0,08;0,14;0,10;0,00;0,05
A ;2014;Health Care;A_quarterly_financial_data.xls;agilent technologies;agilent technologies inc;agilent technologies inc;0,52;0,07;0,05;3,23;0,09;0,35;0,65;2016;86;0,55;0,06;0,11;0,01;0,09;0,14;0,10;0,00;0,05
A ;2015;Health Care;A_quarterly_financial_data.xls;agilent technologies;agilent technologies inc;agilent technologies inc;0,40;0,10;0,05;3,01;0,10;13,52;-12,52;;;;;;;;;;;
AAL ;2012;Industrials;AMR_quarterly_financial_data.xls;american airlines group;american airlines group inc;american airlines group inc;0,50;0,06;0,09;4,74;0,35;0,05;0,95;2014;243;0,29;0,05;0,14;0,16;0,23;0,28;0,10;0,05;0,00
AAL ;2013;Industrials;AMR_quarterly_financial_data.xls;american airlines group;american airlines group inc;american airlines group inc;0,69;0,06;0,08;4,77;0,28;0,04;0,96;2015;271;0,30;0,01;0,03;0,00;0,00;0,10;0,10;0,05;0,00
AAL ;2014;Industrials;AMR_quarterly_financial_data.xls;american airlines group;american airlines group inc;american airlines group inc;0,90;0,05;0,06;5,22;0,27;0,04;0,96;2016;179;0,39;0,00;0,05;0,03;0,06;0,10;0,10;0,05;0,00
AAL ;2015;Industrials;AMR_quarterly_financial_data.xls;american airlines group;american airlines group inc;american airlines group inc;0,54;0,05;0,06;5,53;0,23;0,03;0,97;;;;;;;;;;;
AAP ;2012;Consumer Discretionary;AAP_quarterly_financial_data.xls;advance auto parts;advance auto parts inc;advance auto parts inc;0,50;0,25;0,24;4,69;0,36;0,12;0,88;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
AAP ;2013;Consumer Discretionary;AAP_quarterly_financial_data.xls;advance auto parts;advance auto parts inc;advance auto parts inc;0,13;0,21;0,18;3,82;0,29;0,29;0,71;2015;428;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
AAP ;2014;Consumer Discretionary;AAP_quarterly_financial_data.xls;advance auto parts;advance auto parts inc;advance auto parts inc;0,26;0,22;0,19;5,65;0,37;0,25;0,75;2016;430;0,16;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00
AAP ;2015;Consumer Discretionary;AAP_quarterly_financial_data.xls;advance auto parts;advance auto parts inc;advance auto parts inc;0,41;0,23;0,19;5,36;0,43;0,21;0,79;;;;;;;;;;;
AAPL ;2012;Information Technology;AAPL_quarterly_financial_data.xls;apple;apple inc;apple inc;3,18;0,22;0,29;22,02;0,43;0,77;0,23;2014;48;0,57;0,92;0,96;0,96;0,94;0,01;0,00;0,00;0,00
AAPL ;2013;Information Technology;AAPL_quarterly_financial_data.xls;apple;apple inc;apple inc;6,06;0,09;0,06;21,03;0,44;1,49;-0,49;2015;12;0,75;0,11;0,13;0,11;0,14;0,11;0,10;0,00;0,05
AAPL ;2014;Information Technology;AAPL_quarterly_financial_data.xls;apple;apple inc;apple inc;7,41;0,23;0,11;18,48;0,34;0,64;0,36;2016;14;0,74;0,10;0,15;0,12;0,11;0,11;0,10;0,00;0,05
AAPL ;2015;Information Technology;AAPL_quarterly_financial_data.xls;apple;apple inc;apple inc;4,35;0,23;0,20;4,90;0,46;0,22;0,78;;;;;;;;;;;
ABBV ;2012;Health Care;ABBV_quarterly_financial_data.xls;abbvie;abbvie inc;abbvie inc;0,62;0,00;0,02;6,55;0,13;0,65;0,35;2014;254;0,28;0,22;0,13;0,07;0,16;0,20;0,10;0,00;0,05
ABBV ;2013;Health Care;ABBV_quarterly_financial_data.xls;abbvie;abbvie inc;abbvie inc;1,13;0,00;0,00;9,36;0,02;6,25;-5,25;2015;175;0,41;0,04;0,03;0,02;0,03;0,14;0,10;0,00;0,05
ABBV ;2014;Health Care;ABBV_quarterly_financial_data.xls;abbvie;abbvie inc;abbvie inc;3,38;0,00;0,01;31,92;0,29;0,65;0,35;2016;125;0,47;0,07;0,04;0,02;0,05;0,14;0,10;0,00;0,05
ABBV ;2015;Health Care;ABBV_quarterly_financial_data.xls;abbvie;abbvie inc;abbvie inc;0,60;0,01;0,05;3,97;0,27;0,20;0,80;;;;;;;;;;;
