"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.0775011891989931,1.07,1.02847237121757,36.7358131810666,47.4011295862053,11530.7052130575,0.72,0.54,0.57,0.79,0.71,0,1,1,5.28982730013303,0.0556031892275976,338789708700.736,1.00869990729994,0.0402619842881623,2013,1,5,24.5242701213576,0.0676586484738149
"2",0.0090452413114557,1.03,-3.2235991467298,-145.144100586321,85.0933211989501,-2155.58231597096,0.11,0,0.08,0.04,0.52,0,1,1,-14.1240855100967,0.660454726156416,123609810664.288,0.314711639070007,-0.042838934246975,2014,1,5,24.2599536286447,0.0295588022415444
"3",0.0117063563421664,1.54,-0.161600410189675,-17.0925315168053,-141.101377916896,-1488.5798173806,0.11,0.01,0.09,0.06,0.55,0,1,1,0.370679845657187,0.389572774469232,408649252725.637,1.68092636605572,0.0388677431258822,2015,1,5,24.3074261368849,0.431782416425538
"4",-0.0616,0.36,-0.943318555399239,-38.108656553094,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-4.29293803886972,0.153142359885594,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-2.81597046694117,0.9952,5.93,-245.328615911171,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-1.43829897822931
"6",0.1587,2.10698639689229,0.523951335565794,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,-0.00591992256422338
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.107565238589058,1.53,-0.256171966154257,-20.5316999425271,-103.139774453621,-4597.52600995508,0,0,0,0,0.1,0,0,0,-2.98219058742543,-0.566756772348139,-20845378551.2654,1.94587936650084,0.081231116123042,2014,3,1,23.1679790737507,0.425267735404344
"9",0.0586650465424303,1.63,0.915072217682787,37.9859160636339,82.2498293661051,-2615.42221628499,0.06,0,0,0,0.16,0,0,0,1.72567710902028,0.621348478390238,-881286021795.85,0.100695664640629,-0.0755768442571862,2015,3,1,22.1311115101997,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",0.0468805144757637,0.0678913445471918,0.568745593331618,22.02,-51.177827594273,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,-0.0650168357808869
"14",0.0624,2.25361115274441,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,0.732210569458667
"15",0.1092,2.29957570541106,0.65034206362065,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,0.857185175646299
