"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.150806408837858,1.07,-0.401470461174215,-49.48099454877,-88.8692175523792,-5235.28043124389,0.72,0.54,0.57,0.79,0.71,0,1,1,-4.57262188499205,0.739331363459283,443029057009.756,1.00869990729994,0.0402619842881623,2013,1,5,26.2220747134755,0.0676586484738149
"2",0.0373558954789939,1.03,-0.401785058240016,-33.8779074496956,80.9166912724858,985.5730832076,0.11,0,0.08,0.04,0.52,0,1,1,-1.29385754363098,-0.228304443664814,280619666666.37,0.314711639070007,-0.042838934246975,2014,1,5,23.7897173026119,0.0295588022415444
"3",0.000903080130750931,1.54,-1.09720229636033,-71.3234411472581,145.831171666974,-12714.9815590722,0.11,0.01,0.09,0.06,0.55,0,1,1,-4.14739965777893,0.316650686959667,-81049274851.6937,1.68092636605572,0.0388677431258822,2015,1,5,22.1189969750532,0.431782416425538
"4",-0.0616,0.36,-1.69697231911338,-99.7085143383846,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-8.18753227532541,-0.333585835204213,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-5.99553197209022,0.9952,5.93,-137.516270538104,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-2.07875485559331
"6",0.1587,-2.24969924979937,0.476577386266119,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,-1.24602045762312
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.117078677468958,1.53,-0.031588393886353,-6.82829500936424,-17.2632554381076,-11833.9973581169,0,0,0,0,0.1,0,0,0,-1.64742934497746,0.294176960834391,150870975010.006,1.94587936650084,0.081231116123042,2014,3,1,22.1610105317749,0.425267735404344
"9",0.103996849502793,1.63,0.431328260651525,10.894949218413,4.69334916635649,2703.12006169856,0.06,0,0,0,0.16,0,0,0,1.00794363119333,0.133421597004869,41588473694.5223,0.100695664640629,-0.0755768442571862,2015,3,1,21.6488926574498,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
