"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.0657902545033233,1.07,-0.122612511626402,-13.8021559945361,-42.8134343581055,-1045.36649694245,0.72,0.54,0.57,0.79,0.71,0,1,1,1.89622064178289,0.243649569067442,380635783891.708,1.00869990729994,0.0402619842881623,2013,1,5,25.5539723930739,0.0676586484738149
"2",-0.0157705557698942,1.03,0.0713718738075482,5.41447686083609,240.754217928586,111.135659131755,0.11,0,0.08,0.04,0.52,0,1,1,2.72224107985796,0.0623230986762258,279597450450.697,0.314711639070007,-0.042838934246975,2014,1,5,25.5013154406799,0.0295588022415444
"3",0.0954798012499719,1.54,0.219353464006663,5.30320991979178,2.9437026675908,4981.1260332596,0.11,0.01,0.09,0.06,0.55,0,1,1,-0.0840580664726256,0.321036681785802,145756945894.911,1.68092636605572,0.0388677431258822,2015,1,5,23.0554189372745,0.431782416425538
"4",-0.0616,0.36,-0.229528453319387,-8.1692988535758,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,2.28101723707678,-0.0277015970919109,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-4.59943617226286,0.9952,5.93,-255.565142066316,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-1.86709351121189
"6",0.1587,1.92243403529962,0.493272909997237,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,-0.0606339421225818
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.0657787136279339,1.53,0.298906695884971,5.87203398886769,79.3949987016281,7649.36804686308,0,0,0,0,0.1,0,0,0,1.13795970677706,0.25855020086619,590118217246.043,1.94587936650084,0.081231116123042,2014,3,1,23.8422712604404,0.425267735404344
"9",-0.0480029268489159,1.63,0.0181366777467894,19.7706157519097,230.187454067796,8456.94557764749,0.06,0,0,0,0.16,0,0,0,-0.847208581136877,-0.0836412796893035,414744400167.899,0.100695664640629,-0.0755768442571862,2015,3,1,24.0889399292355,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
