"Day" "Month" "Year" "Ticker" "RD"
                
                    
                
            "
"1141" "31" "12" "2013" "WAT" "
                
                    26.98M
                
            "
"1142" "31" "12" "2016" "PCAR" "
                
                    67.60M
                
            "
"1143" "31" "12" "2013" "WY" "
                
                    10.00M
                
            "
"1144" "31" "12" "2016" "WY" "
                
                    5.00M
                
            "
"1145" "31" "12" "2012" "TMO" "
                
                    98.50M
                
            "
"1146" "31" "12" "2016" "ISRG" "
                
                    69.10M
                
            "
"1148" "31" "12" "2015" "WY" "
                
                    6.00M
                
            "
"1152" "31" "12" "2014" "WY" "
                
                    1.00M
                
            "
"1155" "31" "12" "2016" "ATVI" "
                
                    285.00M
                
            "
"1156" "31" "12" "2016" "TMO" "
                
                    212.80M
                
            "
"1157" "31" "12" "2016" "LLY" "
                
                    1.481B
                
            "
"1160" "31" "12" "2012" "WY" "
                
                    9.00M
                
            "
"1171" "31" "12" "2015" "BEN" "
                
                    51.20M
                
            "
"1173" "31" "12" "2015" "TMO" "
                
                    180.00M
                
            "
"1176" "31" "12" "2014" "ATVI" "
                
                    184.00M
                
            "
"1177" "31" "12" "2014" "TMO" "
                
                    182.50M
                
            "
"1182" "31" "12" "2013" "NOW" "
                
                    23.87M
                
            "
"1186" "31" "12" "2015" "ATVI" "
                
                    193.00M
                
            "
"1190" "31" "12" "2015" "WAT" "
                
                    32.19M
                
            "
"1192" "31" "12" "2012" "TXN" "
                
                    425.00M
                
            "
"1196" "31" "12" "2016" "CE" "
                
                    20.00M
                
            "
"1202" "31" "12" "2013" "SIRI" "
                
                    15.07M
                
            "
"1209" "31" "12" "2012" "TRIP" "
                
                    24.05M
                
            "
"1211" "31" "12" "2015" "LRCX" "
                
                    220.75M
                
            "
"1212" "31" "12" "2015" "NOW" "
                
                    58.44M
                
            "
"1219" "31" "12" "2016" "MSFT" "
                
                    3.062B
                
            "
"1223" "31" "12" "2012" "SYMC" "
                
                    249.00M
                
            "
"1238" "31" "12" "2012" "LRCX" "
                
                    165.95M
                
            "
"1239" "31" "12" "2012" "NOW" "
                
                    13.24M
                
            "
"1247" "31" "12" "2014" "WAT" "
                
                    44.18M
                
            "
"1250" "31" "12" "2012" "INTC" "
                
                    2.629B
                
            "
"1251" "31" "12" "2012" "EMN" "
                
                    62.00M
                
            "
"1252" "31" "12" "2016" "LRCX" "
                
                    246.80M
                
            "
"1254" "31" "12" "2015" "CE" "
                
                    21.00M
                
            "
"1255" "31" "12" "2014" "LRCX" "
                
                    196.77M
                
            "
"1257" "31" "12" "2014" "NOW" "
                
                    42.03M
                
            "
"1259" "31" "12" "2016" "NOW" "
                
                    73.93M
                
            "
"1263" "31" "12" "2013" "LRCX" "
                
                    174.48M
                
            "
"1264" "29" "02" "2012" "RHT" "
                
                    55.15M
                
            "
"1265" "29" "02" "2016" "ADBE" "
                
                    237.20M
                
            "
"1267" "28" "02" "2013" "RHT" "
                
                    71.25M
                
            "
"1268" "28" "02" "2015" "ADBE" "
                
                    215.51M
                
            "
"1281" "28" "02" "2014" "ADBE" "
                
                    209.52M
                
            "
"1289" "28" "02" "2014" "ORCL" "
                
                    1.292B
                
            "
"1290" "29" "02" "2016" "MU" "
                
                    403.00M
                
            "
"1292" "29" "02" "2016" "ORCL" "
                
                    1.419B
                
            "
"1296" "29" "02" "2012" "ORCL" "
                
                    1.145B
                
            "
"1298" "28" "02" "2015" "ORCL" "
                
                    1.37B
                
            "
"1299" "28" "02" "2013" "ADBE" "
                
                    209.64M
                
            "
"1300" "29" "02" "2012" "MON" "
                
                    353.00M
                
            "
"1302" "28" "02" "2015" "MON" "
                
                    372.00M
                
            "
"1303" "29" "02" "2012" "ADBE" "
                
                    177.73M
                
            "
"1309" "28" "02" "2014" "RHT" "
                
                    82.64M
                
            "
"1310" "29" "02" "2012" "MU" "
                
                    222.00M
                
            "
"1311" "29" "02" "2016" "MON" "
                
                    340.00M
                
            "
"1312" "28" "02" "2015" "MU" "
                
                    379.00M
                
            "
"1315" "28" "02" "2013" "ORCL" "
                
                    1.186B
                
            "
"1317" "28" "02" "2015" "RHT" "
                
                    92.04M
                
            "
"1321" "28" "02" "2014" "MU" "
                
                    344.00M
                
            "
"1322" "28" "02" "2013" "MON" "
                
                    360.00M
                
            "
"1326" "29" "02" "2016" "RHT" "
                
                    108.50M
                
            "
"1327" "28" "02" "2014" "MON" "
                
                    404.00M
                
            "
"1328" "28" "02" "2013" "MU" "
                
                    214.00M
                
            "
"1330" "31" "01" "2013" "CSCO" "
                
                    1.452B
                
            "
"1334" "31" "01" "2015" "A" "
                
                    88.00M
                
            "
"1338" "31" "01" "2014" "A" "
                
                    88.00M
                
            "
"1340" "31" "01" "2015" "CPB" "
                
                    25.00M
                
            "
"1342" "31" "01" "2013" "A" "
                
                    179.00M
                
            "
"1344" "31" "01" "2014" "CPB" "
                
                    27.00M
                
            "
"1345" "31" "01" "2016" "ADSK" "
                
                    204.50M
                
            "
"1346" "31" "01" "2012" "A" "
                
                    162.00M
                
            "
"1347" "31" "01" "2013" "CPB" "
                
                    32.00M
                
            "
"1349" "31" "01" "2016" "CPB" "
                
                    23.00M
                
            "
"1351" "31" "01" "2012" "CPB" "
                
                    29.00M
                
            "
"1353" "31" "01" "2014" "ADSK" "
                
                    162.40M
                
            "
"1357" "31" "01" "2013" "ADSK" "
                
                    149.40M
                
            "
"1367" "31" "01" "2016" "ADI" "
                
                    157.43M
                
            "
"1368" "31" "01" "2016" "INTU" "
                
                    205.00M
                
            "
"1370" "31" "01" "2016" "A" "
                
                    78.00M
                
            "
"1371" "31" "01" "2015" "ADI" "
                
                    151.71M
                
            "
"1372" "31" "01" "2015" "INTU" "
                
                    188.00M
                
            "
"1375" "31" "01" "2014" "ADI" "
                
                    128.59M
                
            "
"1376" "31" "01" "2014" "INTU" "
                
                    186.00M
                
            "
"1383" "31" "01" "2012" "ADI" "
                
                    124.38M
                
            "
"1384" "31" "01" "2012" "INTU" "
                
                    164.00M
                
            "
"1388" "31" "01" "2015" "AMAT" "
                
                    351.00M
                
            "
"1389" "31" "01" "2015" "ADSK" "
                
                    191.50M
                
            "
"1392" "31" "01" "2014" "AMAT" "
                
                    356.00M
                
            "
"1393" "31" "01" "2014" "CRM" "
                
                    173.09M
                
            "
"1394" "31" "01" "2016" "NVDA" "
                
                    344.00M
                
            "
"1396" "31" "01" "2013" "AMAT" "
                
                    304.00M
                
            "
"1397" "31" "01" "2013" "CRM" "
                
                    121.19M
                
            "
"1398" "31" "01" "2015" "NVDA" "
                
                    349.00M
                
            "
"1401" "31" "01" "2012" "CRM" "
                
                    80.61M
                
            "
"1402" "31" "01" "2014" "NVDA" "
                
                    336.81M
                
            "
"1406" "31" "01" "2013" "NVDA" "
                
                    298.01M
                
            "
"1411" "31" "01" "2016" "WDAY" "
                
                    131.24M
                
            "
"1413" "31" "01" "2016" "DE" "
                
                    319.30M
                
            "
"1415" "31" "01" "2015" "WDAY" "
                
                    88.96M
                
            "
"1417" "31" "01" "2015" "DE" "
                
                    333.20M
                
            "
"1419" "31" "01" "2014" "WDAY" "
                
                    55.32M
                
            "
"1421" "31" "01" "2014" "DE" "
                
                    323.70M
                
            "
"1423" "31" "01" "2013" "WDAY" "
                
                    30.25M
                
            "
"1424" "31" "01" "2016" "AMAT" "
                
                    374.00M
                
            "
"1425" "31" "01" "2013" "DE" "
                
                    356.50M
                
            "
"1429" "31" "01" "2015" "CRM" "
                
                    205.99M
                
            "
"1435" "31" "01" "2016" "CSCO" "
                
                    1.509B
                
            "
"1438" "31" "01" "2012" "CSCO" "
                
                    1.339B
                
            "
"1439" "31" "01" "2015" "CSCO" "
                
                    1.529B
                
            "
"1440" "31" "01" "2012" "AMAT" "
                
                    304.00M
                
            "
"1442" "31" "01" "2012" "ADSK" "
                
                    149.50M
                
            "
"1443" "31" "01" "2014" "CSCO" "
                
                    1.412B
                
            "
"1447" "31" "01" "2013" "ADI" "
                
                    125.16M
                
            "
"1448" "31" "01" "2013" "INTU" "
                
                    169.00M
                
            "
"1450" "31" "01" "2012" "NVDA" "
                
                    266.86M
                
            "
"1452" "31" "01" "2012" "WDAY" "
                
                    18.29M
                
            "
"1457" "31" "01" "2012" "DE" "
                
                    312.50M
                
            "
"1465" "31" "01" "2016" "CRM" "
                
                    250.86M
                
            "
"1468" "31" "07" "2014" "A" "
                
                    86.00M
                
            "
"1471" "31" "07" "2012" "CPB" "
                
                    25.00M
                
            "
"1474" "31" "07" "2013" "AMAT" "
                
                    334.00M
                
            "
"1475" "31" "07" "2016" "NVDA" "
                
                    350.00M
                
            "
"1480" "31" "07" "2016" "CRM" "
                
                    291.51M
                
            "
"1482" "31" "07" "2016" "INTU" "
                
                    235.00M
                
            "
"1483" "31" "07" "2013" "A" "
                
                    171.00M
                
            "
"1484" "31" "07" "2015" "CRM" "
                
                    234.10M
                
            "
"1486" "31" "07" "2015" "CSCO" "
                
                    1.548B
                
            "
"1487" "31" "07" "2012" "A" "
                
                    162.00M
                
            "
"1488" "31" "07" "2012" "AMAT" "
                
                    309.00M
                
            "
"1497" "31" "07" "2016" "A" "
                
                    86.00M
                
            "
"1499" "31" "07" "2012" "INTU" "
                
                    128.00M
                
            "
"1500" "31" "07" "2013" "ADSK" "
                
                    148.90M
                
            "
"1501" "31" "07" "2015" "A" "
                
                    79.00M
                
            "
"1502" "31" "07" "2016" "CPB" "
                
                    38.00M
                
            "
"1504" "31" "07" "2015" "NVDA" "
                
                    320.00M
                
            "
"1505" "31" "07" "2015" "DE" "
                
                    346.80M
                
            "
"1507" "31" "07" "2015" "CPB" "
                
                    34.00M
                
            "
"1511" "31" "07" "2013" "CRM" "
                
                    148.08M
                
            "
"1513" "31" "07" "2013" "DE" "
                
                    338.70M
                
            "
"1514" "31" "07" "2012" "ADI" "
                
                    129.69M
                
            "
"1515" "31" "07" "2013" "CPB" "
                
                    34.00M
                
            "
"1525" "31" "07" "2014" "CPB" "
                
                    34.00M
                
            "
"1528" "31" "07" "2012" "CRM" "
                
                    99.44M
                
            "
"1529" "31" "07" "2015" "AMAT" "
                
                    372.00M
                
            "
"1530" "31" "07" "2012" "DE" "
                
                    367.80M
                
            "
"1531" "31" "07" "2014" "CSCO" "
                
                    1.593B
                
            "
"1532" "31" "07" "2015" "ADSK" "
                
                    193.10M
                
            "
"1534" "31" "07" "2014" "CRM" "
                
                    203.11M
                
            "
"1536" "31" "07" "2016" "CSCO" "
                
                    1.601B
                
            "
"1537" "31" "07" "2016" "ADI" "
                
                    163.23M
                
            "
"1539" "31" "07" "2012" "CSCO" "
                
                    1.416B
                
            "
"1540" "31" "07" "2015" "INTU" "
                
                    215.00M
                
            "
"1544" "31" "07" "2014" "INTU" "
                
                    166.00M
                
            "
"1545" "31" "07" "2014" "ADI" "
                
                    140.10M
                
            "
"1546" "31" "07" "2016" "WDAY" "
                
                    161.89M
                
            "
"1548" "31" "07" "2013" "CSCO" "
                
                    1.517B
                
            "
"1550" "31" "07" "2013" "INTU" "
                
                    144.00M
                
            "
"1552" "31" "07" "2016" "AMAT" "
                
                    386.00M
                
            "
"1555" "31" "07" "2016" "ADSK" "
                
                    193.00M
                
            "
"1557" "31" "07" "2012" "WDAY" "
                
                    23.55M
                
            "
"1558" "31" "07" "2012" "ADSK" "
                
                    144.90M
                
            "
"1559" "31" "07" "2015" "WDAY" "
                
                    115.34M
                
            "
"1560" "31" "07" "2012" "NVDA" "
                
                    281.19M
                
            "
"1562" "31" "07" "2014" "DE" "
                
                    362.10M
                
            "
"1563" "31" "07" "2014" "ADSK" "
                
                    179.30M
                
            "
"1564" "31" "07" "2014" "NVDA" "
                
                    337.00M
                
            "
"1567" "31" "07" "2013" "WDAY" "
                
                    41.17M
                
            "
"1574" "31" "07" "2014" "AMAT" "
                
                    357.00M
                
            "
"1578" "31" "07" "2013" "ADI" "
                
                    128.89M
                
            "
"1581" "31" "07" "2013" "NVDA" "
                
                    331.74M
                
            "
"1582" "31" "07" "2015" "ADI" "
                
                    160.78M
                
            "
"1583" "31" "07" "2016" "DE" "
                
                    338.80M
                
            "
"1586" "31" "07" "2014" "WDAY" "
                
                    77.46M
                
            "
"1596" "30" "06" "2016" "INTC" "
                
                    3.145B
                
            "
"1598" "30" "06" "2014" "TRIP" "
                
                    41.00M
                
            "
"1602" "30" "06" "2015" "SYMC" "
                
                    198.00M
                
            "
"1604" "30" "06" "2016" "CAT" "
                
                    468.00M
                
            "
"1606" "30" "06" "2016" "QCOM" "
                
                    1.268B
                
            "
"1608" "30" "06" "2015" "MMM" "
                
                    438.00M
                
            "
"1609" "30" "06" "2016" "SYMC" "
                
                    170.00M
                
            "
"1610" "30" "06" "2016" "TRIP" "
                
                    63.00M
                
            "
"1611" "30" "06" "2012" "VRTX" "
                
                    196.54M
                
            "
"1614" "30" "06" "2014" "SYMC" "
                
                    308.00M
                
            "
"1615" "30" "06" "2015" "VRTX" "
                
                    223.86M
                
            "
"1619" "30" "06" "2014" "LVS" "
                
                    4.217M
                
            "
"1620" "30" "06" "2016" "BA" "
                
                    2.127B
                
            "
"1621" "30" "06" "2015" "TRIP" "
                
                    50.00M
                
            "
"1622" "30" "06" "2014" "VRTX" "
                
                    224.49M
                
            "
"1627" "30" "06" "2013" "MMM" "
                
                    427.00M
                
            "
"1628" "30" "06" "2014" "GILD" "
                
                    584.00M
                
            "
"1629" "30" "06" "2015" "LVS" "
                
                    2.348M
                
            "
"1634" "30" "06" "2014" "MMM" "
                
                    448.00M
                
            "
"1635" "30" "06" "2012" "CE" "
                
                    25.00M
                
            "
"1637" "30" "06" "2015" "GILD" "
                
                    818.00M
                
            "
"1640" "30" "06" "2013" "CAT" "
                
                    548.00M
                
            "
"1641" "30" "06" "2012" "AKAM" "
                
                    17.54M
                
            "
"1644" "30" "06" "2015" "CAT" "
                
                    510.00M
                
            "
"1645" "30" "06" "2012" "ABT" "
                
                    370.60M
                
            "
"1646" "30" "06" "2012" "AAPL" "
                
                    876.00M
                
            "
"1647" "30" "06" "2013" "CE" "
                
                    23.00M
                
            "
"1648" "30" "06" "2013" "VRTX" "
                
                    222.46M
                
            "
"1650" "30" "06" "2016" "LVS" "
                
                    2.00M
                
            "
"1659" "30" "06" "2013" "TRIP" "
                
                    32.00M
                
            "
"1667" "30" "06" "2012" "CTXS" "
                
                    110.03M
                
            "
"1668" "30" "06" "2016" "BMRN" "
                
                    167.04M
                
            "
"1677" "30" "06" "2016" "EBAY" "
                
                    295.00M
                
            "
"1682" "30" "06" "2016" "MMM" "
                
                    437.00M
                
            "
"1688" "30" "06" "2014" "CAT" "
                
                    516.00M
                
            "
"1693" "30" "06" "2015" "INTC" "
                
                    3.087B
                
            "
"1703" "30" "06" "2013" "CTXS" "
                
                    132.30M
                
            "
"1707" "30" "06" "2014" "TXN" "
                
                    349.00M
                
            "
"1708" "30" "06" "2014" "AMZN" "
                
                    2.226B
                
            "
"1711" "30" "06" "2013" "TXN" "
                
                    389.00M
                
            "
"1712" "30" "06" "2016" "MYL" "
                
                    179.50M
                
            "
"1715" "30" "06" "2016" "TSLA" "
                
                    191.66M
                
            "
"1719" "30" "06" "2015" "MCHP" "
                
                    84.68M
                
            "
"1720" "30" "06" "2014" "MYL" "
                
                    155.40M
                
            "
"1722" "30" "06" "2013" "AAPL" "
                
                    1.178B
                
            "
"1728" "30" "06" "2013" "TSLA" "
                
                    52.31M
                
            "
"1732" "30" "06" "2015" "BA" "
                
                    800.00M
                
            "
"1733" "30" "06" "2012" "ITT" "
                
                    16.60M
                
            "
"1736" "30" "06" "2014" "BA" "
                
                    733.00M
                
            "
"1747" "30" "06" "2013" "AKAM" "
                
                    20.60M
                
            "
"1751" "30" "06" "2015" "LLY" "
                
                    1.250B
                
            "
"1755" "30" "06" "2014" "LLY" "
                
                    1.195B
                
            "
"1758" "30" "06" "2016" "LYB" "
                
                    24.00M
                
            "
"1759" "30" "06" "2013" "LLY" "
                
                    1.330B
                
            "
"1763" "30" "06" "2012" "LLY" "
                
                    1.321B
                
            "
"1764" "30" "06" "2014" "TSLA" "
                
                    107.72M
                
            "
"1768" "30" "06" "2016" "JNJ" "
                
                    2.293B
                
            "
"1771" "30" "06" "2013" "ACIW" "
                
                    38.39M
                
            "
"1772" "30" "06" "2013" "SYK" "
                
                    132.00M
                
            "
"1773" "30" "06" "2012" "EBAY" "
                
                    394.00M
                
            "
"1774" "30" "06" "2012" "VMW" "
                
                    248.60M
                
            "
"1775" "30" "06" "2012" "ACIW" "
                
                    35.03M
                
            "
"1776" "30" "06" "2012" "SYK" "
                
                    116.00M
                
            "
"1777" "30" "06" "2014" "INTC" "
                
                    2.859B
                
            "
"1784" "30" "06" "2015" "TXN" "
                
                    320.00M
                
            "
"1785" "30" "06" "2012" "BA" "
                
                    857.00M
                
            "
"1787" "30" "06" "2015" "CA" "
                
                    136.00M
                
            "
"1796" "30" "06" "2015" "MYL" "
                
                    168.20M
                
            "
"1797" "30" "06" "2013" "PFE" "
                
                    1.53B
                
            "
"1801" "30" "06" "2012" "PFE" "
                
                    1.60B
                
            "
"1807" "30" "06" "2012" "ISRG" "
                
                    40.20M
                
            "
"1808" "30" "06" "2013" "MCHP" "
                
                    73.08M
                
            "
"1811" "30" "06" "2016" "EMN" "
                
                    55.00M
                
            "
"1812" "30" "06" "2015" "BIIB" "
                
                    490.70M
                
            "
"1814" "30" "06" "2015" "FB" "
                
                    1.17B
                
            "
"1816" "30" "06" "2014" "BIIB" "
                
                    447.27M
                
            "
"1818" "30" "06" "2014" "FB" "
                
                    492.00M
                
            "
"1820" "30" "06" "2013" "BIIB" "
                
                    327.46M
                
            "
"1821" "30" "06" "2016" "AMZN" "
                
                    3.88B
                
            "
"1822" "30" "06" "2013" "FB" "
                
                    344.00M
                
            "
"1823" "30" "06" "2015" "JNPR" "
                
                    251.60M
                
            "
"1825" "30" "06" "2015" "AMZN" "
                
                    3.02B
                
            "
"1826" "30" "06" "2012" "TRIP" "
                
                    21.57M
                
            "
"1828" "30" "06" "2016" "LLY" "
                
                    1.336B
                
            "
"1833" "30" "06" "2015" "BDX" "
                
                    178.00M
                
            "
"1837" "30" "06" "2014" "BDX" "
                
                    137.00M
                
            "
"1840" "30" "06" "2016" "ITT" "
                
                    21.10M
                
            "
"1841" "30" "06" "2013" "BDX" "
                
                    121.00M
                
            "
"1844" "30" "06" "2014" "MCHP" "
                
                    84.37M
                
            "
"1845" "30" "06" "2012" "BDX" "
                
                    114.99M
                
            "
"1847" "30" "06" "2016" "CELG" "
                
                    949.00M
                
            "
"1850" "30" "06" "2016" "BSX" "
                
                    222.00M
                
            "
"1851" "30" "06" "2016" "GILD" "
                
                    1.484B
                
            "
"1852" "30" "06" "2015" "CELG" "
                
                    1.11B
                
            "
"1854" "30" "06" "2015" "BSX" "
                
                    220.00M
                
            "
"1856" "30" "06" "2014" "CELG" "
                
                    456.90M
                
            "
"1857" "30" "06" "2016" "CTXS" "
                
                    100.65M
                
            "
"1860" "30" "06" "2013" "CELG" "
                
                    458.10M
                
            "
"1861" "30" "06" "2012" "MMM" "
                
                    408.00M
                
            "
"1862" "30" "06" "2013" "GILD" "
                
                    523.90M
                
            "
"1866" "30" "06" "2014" "EXPE" "
                
                    169.08M
                
            "
"1867" "30" "06" "2012" "GILD" "
                
                    396.24M
                
            "
"1869" "30" "06" "2016" "REGN" "
                
                    559.93M
                
            "
"1873" "30" "06" "2015" "REGN" "
                
                    390.33M
                
            "
"1874" "30" "06" "2016" "AAPL" "
                
                    2.56B
                
            "
"1881" "30" "06" "2016" "ACIW" "
                
                    46.42M
                
            "
"1882" "30" "06" "2014" "AAPL" "
                
                    1.603B
                
            "
"1883" "30" "06" "2012" "PCAR" "
                
                    73.80M
                
            "
"1885" "30" "06" "2015" "ACIW" "
                
                    39.42M
                
            "
"1888" "30" "06" "2014" "EBAY" "
                
                    468.00M
                
            "
"1889" "30" "06" "2014" "ACIW" "
                
                    38.88M
                
            "
"1892" "30" "06" "2013" "EBAY" "
                
                    451.00M
                
            "
"1896" "30" "06" "2016" "CERN" "
                
                    135.16M
                
            "
"1904" "30" "06" "2016" "CA" "
                
                    148.00M
                
            "
"1909" "30" "06" "2014" "GLW" "
                
                    208.00M
                
            "
"1910" "30" "06" "2013" "CERN" "
                
                    82.28M
                
            "
"1914" "30" "06" "2012" "CERN" "
                
                    73.51M
                
            "
"1915" "30" "06" "2014" "PFE" "
                
                    1.759B
                
            "
"1916" "30" "06" "2013" "SIRI" "
                
                    15.05M
                
            "
"1918" "30" "06" "2016" "MCHP" "
                
                    147.88M
                
            "
"1919" "30" "06" "2012" "SIRI" "
                
                    6.272M
                
            "
"1921" "30" "06" "2016" "BMY" "
                
                    1.266B
                
            "
"1924" "30" "06" "2015" "EBAY" "
                
                    232.00M
                
            "
"1925" "30" "06" "2015" "BMY" "
                
                    1.856B
                
            "
"1929" "30" "06" "2014" "BMY" "
                
                    1.416B
                
            "
"1932" "30" "06" "2016" "FB" "
                
                    1.471B
                
            "
"1933" "30" "06" "2013" "BMY" "
                
                    951.00M
                
            "
"1936" "30" "06" "2015" "EMN" "
                
                    57.00M
                
            "
"1937" "30" "06" "2012" "BMY" "
                
                    962.00M
                
            "
"1938" "30" "06" "2016" "AKAM" "
                
                    37.69M
                
            "
"1939" "30" "06" "2016" "JNPR" "
                
                    247.90M
                
            "
"1940" "30" "06" "2014" "EMN" "
                
                    56.00M
                
            "
"1942" "30" "06" "2015" "AKAM" "
                
                    36.69M
                
            "
"1944" "30" "06" "2013" "INTC" "
                
                    2.516B
                
            "
"1945" "30" "06" "2012" "BIIB" "
                
                    329.56M
                
            "
"1948" "30" "06" "2016" "MRK" "
                
                    2.151B
                
            "
"1950" "30" "06" "2016" "BDX" "
                
                    207.00M
                
            "
"1952" "30" "06" "2015" "MRK" "
                
                    1.67B
                
            "
"1955" "30" "06" "2013" "AMZN" "
                
                    1.586B
                
            "
"1957" "30" "06" "2016" "DHR" "
                
                    239.90M
                
            "
"1959" "30" "06" "2012" "AMZN" "
                
                    1.082B
                
            "
"1960" "30" "06" "2016" "XRX" "
                
                    119.00M
                
            "
"1961" "30" "06" "2015" "DHR" "
                
                    304.60M
                
            "
"1963" "30" "06" "2015" "TSLA" "
                
                    181.71M
                
            "
"1964" "30" "06" "2015" "XRX" "
                
                    142.00M
                
            "
"1965" "30" "06" "2014" "DHR" "
                
                    336.40M
                
            "
"1968" "30" "06" "2013" "MYL" "
                
                    111.40M
                
            "
"1969" "30" "06" "2013" "DHR" "
                
                    312.20M
                
            "
"1970" "30" "06" "2016" "CLX" "
                
                    42.00M
                
            "
"1972" "30" "06" "2012" "MYL" "
                
                    94.36M
                
            "
"1973" "30" "06" "2012" "DHR" "
                
                    283.60M
                
            "
"1974" "30" "06" "2015" "CLX" "
                
                    39.00M
                
            "
"1975" "30" "06" "2015" "RTN" "
                
                    186.00M
                
            "
"1978" "30" "06" "2014" "CLX" "
                
                    35.00M
                
            "
"1979" "30" "06" "2014" "BSX" "
                
                    206.00M
                
            "
"1982" "30" "06" "2015" "CTXS" "
                
                    140.20M
                
            "
"1983" "30" "06" "2013" "BA" "
                
                    763.00M
                
            "
"1984" "30" "06" "2013" "BSX" "
                
                    223.00M
                
            "
"1985" "30" "06" "2012" "CELG" "
                
                    447.20M
                
            "
"1986" "30" "06" "2014" "CTXS" "
                
                    140.38M
                
            "
"1987" "30" "06" "2012" "CLX" "
                
                    34.00M
                
            "
"1988" "30" "06" "2012" "BSX" "
                
                    213.00M
                
            "
"1993" "30" "06" "2016" "APD" "
                
                    18.70M
                
            "
"1998" "30" "06" "2014" "REGN" "
                
                    294.50M
                
            "
"1999" "30" "06" "2015" "AAPL" "
                
                    2.034B
                
            "
"2002" "30" "06" "2013" "REGN" "
                
                    187.46M
                
            "
"2003" "30" "06" "2016" "SYK" "
                
                    183.00M
                
            "
"2004" "30" "06" "2016" "ILMN" "
                
                    125.00M
                
            "
"2005" "30" "06" "2015" "LYB" "
                
                    25.00M
                
            "
"2009" "30" "06" "2014" "LYB" "
                
                    34.00M
                
            "
"2011" "30" "06" "2016" "AGN" "
                
                    636.50M
                
            "
"2012" "30" "06" "2016" "PX" "
                
                    24.00M
                
            "
"2014" "30" "06" "2014" "NEM" "
                
                    42.00M
                
            "
"2015" "30" "06" "2015" "JNJ" "
                
                    2.129B
                
            "
"2018" "30" "06" "2014" "ZBH" "
                
                    48.00M
                
            "
"2019" "30" "06" "2014" "JNJ" "
                
                    2.009B
                
            "
"2021" "30" "06" "2016" "BAX" "
                
                    195.00M
                
            "
"2023" "30" "06" "2016" "TXN" "
                
                    341.00M
                
            "
"2026" "30" "06" "2015" "GLW" "
                
                    191.00M
                
            "
"2027" "30" "06" "2014" "CERN" "
                
                    97.33M
                
            "
"2032" "30" "06" "2015" "PFE" "
                
                    1.734B
                
            "
"2034" "30" "06" "2014" "CA" "
                
                    150.00M
                
            "
"2036" "30" "06" "2012" "CMI" "
                
                    187.00M
                
            "
"2037" "30" "06" "2012" "BAX" "
                
                    306.00M
                
            "
"2038" "30" "06" "2013" "CA" "
                
                    132.00M
                
            "
"2041" "30" "06" "2012" "LRCX" "
                
                    124.53M
                
            "
"2042" "30" "06" "2012" "CA" "
                
                    125.00M
                
            "
"2046" "30" "06" "2016" "VRTX" "
                
                    271.01M
                
            "
"2051" "30" "06" "2016" "BIIB" "
                
                    473.10M
                
            "
"2055" "30" "06" "2015" "WDC" "
                
                    381.00M
                
            "
"2058" "30" "06" "2016" "NFLX" "
                
                    207.30M
                
            "
"2059" "30" "06" "2014" "WDC" "
                
                    426.00M
                
            "
"2060" "30" "06" "2013" "MSI" "
                
                    195.00M
                
            "
"2062" "30" "06" "2015" "NFLX" "
                
                    155.06M
                
            "
"2063" "30" "06" "2013" "WDC" "
                
                    402.00M
                
            "
"2066" "30" "06" "2013" "SYMC" "
                
                    262.00M
                
            "
"2069" "30" "06" "2012" "FB" "
                
                    705.00M
                
            "
"2070" "30" "06" "2012" "SYMC" "
                
                    249.00M
                
            "
"2072" "30" "06" "2012" "NFLX" "
                
                    81.55M
                
            "
"2075" "30" "06" "2013" "QCOM" "
                
                    1.298B
                
            "
"2076" "30" "06" "2012" "JNPR" "
                
                    268.70M
                
            "
"2077" "30" "06" "2014" "MRK" "
                
                    1.664B
                
            "
"2079" "30" "06" "2012" "QCOM" "
                
                    974.00M
                
            "
"2081" "30" "06" "2013" "MRK" "
                
                    2.101B
                
            "
"2085" "30" "06" "2012" "MRK" "
                
                    2.165B
                
            "
"2090" "30" "06" "2016" "AMGN" "
                
                    900.00M
                
            "
"2094" "30" "06" "2015" "AMGN" "
                
                    964.00M
                
            "
"2095" "30" "06" "2013" "ITT" "
                
                    16.40M
                
            "
"2096" "30" "06" "2016" "WAT" "
                
                    32.58M
                
            "
"2100" "30" "06" "2014" "RTN" "
                
                    124.00M
                
            "
"2105" "30" "06" "2015" "EXPE" "
                
                    186.52M
                
            "
"2111" "30" "06" "2016" "ALXN" "
                
                    180.00M
                
            "
"2115" "30" "06" "2015" "ALXN" "
                
                    131.69M
                
            "
"2118" "30" "06" "2015" "BMRN" "
                
                    157.90M
                
            "
"2119" "30" "06" "2015" "APD" "
                
                    33.40M
                
            "
"2122" "30" "06" "2014" "BMRN" "
                
                    107.70M
                
            "
"2123" "30" "06" "2014" "APD" "
                
                    33.80M
                
            "
"2126" "30" "06" "2012" "ALXN" "
                
                    59.64M
                
            "
"2128" "30" "06" "2015" "SYK" "
                
                    154.00M
                
            "
"2132" "30" "06" "2014" "SYK" "
                
                    158.00M
                
            "
"2135" "30" "06" "2012" "MSFT" "
                
                    2.594B
                
            "
"2136" "30" "06" "2013" "VMW" "
                
                    261.00M
                
            "
"2140" "30" "06" "2013" "NEM" "
                
                    46.00M
                
            "
