"Day" "Month" "Year" "Ticker" "RD"
"192" "31" "12" "2015" "UTX" "
                
                    611.00M
                
            "
"194" "31" "12" "2012" "BMRN" "
                
                    84.36M
                
            "
"195" "31" "12" "2015" "BSX" "
                
                    244.00M
                
            "
"197" "31" "12" "2016" "AKAM" "
                
                    46.76M
                
            "
"198" "31" "12" "2016" "BSX" "
                
                    256.00M
                
            "
"199" "31" "12" "2012" "ABBV" "
                
                    709.00M
                
            "
"201" "31" "12" "2012" "ABT" "
                
                    377.03M
                
            "
"202" "31" "12" "2012" "IBM" "
                
                    1.094B
                
            "
"203" "31" "12" "2012" "MYL" "
                
                    117.73M
                
            "
"205" "31" "12" "2013" "BMY" "
                
                    957.00M
                
            "
"207" "31" "12" "2013" "ABBV" "
                
                    846.00M
                
            "
"209" "31" "12" "2012" "BMY" "
                
                    1.082B
                
            "
"210" "31" "12" "2013" "AAPL" "
                
                    1.33B
                
            "
"212" "31" "12" "2013" "MYL" "
                
                    155.90M
                
            "
"214" "31" "12" "2016" "GLW" "
                
                    173.00M
                
            "
"216" "31" "12" "2015" "AKAM" "
                
                    37.67M
                
            "
"219" "31" "12" "2015" "AGN" "
                
                    430.60M
                
            "
"221" "31" "12" "2015" "CLX" "
                
                    34.00M
                
            "
"222" "31" "12" "2015" "BA" "
                
                    905.00M
                
            "
"224" "31" "12" "2014" "BSX" "
                
                    208.00M
                
            "
"227" "31" "12" "2016" "MYL" "
                
                    194.60M
                
            "
"238" "31" "12" "2016" "ABT" "
                
                    343.00M
                
            "
"239" "31" "12" "2015" "ACIW" "
                
                    33.28M
                
            "
"241" "31" "12" "2015" "NEM" "
                
                    39.00M
                
            "
"242" "31" "12" "2016" "AGN" "
                
                    913.30M
                
            "
"243" "31" "12" "2012" "AAPL" "
                
                    1.01B
                
            "
"244" "31" "12" "2014" "BMY" "
                
                    1.189B
                
            "
"246" "31" "12" "2014" "ABBV" "
                
                    907.00M
                
            "
"247" "31" "12" "2016" "VMW" "
                
                    394.00M
                
            "
"248" "31" "12" "2016" "ACIW" "
                
                    37.66M
                
            "
"251" "31" "12" "2015" "VMW" "
                
                    342.00M
                
            "
"253" "31" "12" "2015" "NFLX" "
                
                    180.86M
                
            "
"255" "31" "12" "2012" "VRTX" "
                
                    172.83M
                
            "
"257" "31" "12" "2014" "NFLX" "
                
                    125.88M
                
            "
"263" "31" "12" "2016" "NEM" "
                
                    29.00M
                
            "
"264" "31" "12" "2013" "VRTX" "
                
                    238.46M
                
            "
"269" "31" "12" "2012" "AKAM" "
                
                    20.37M
                
            "
"272" "31" "12" "2015" "MYL" "
                
                    159.00M
                
            "
"274" "31" "12" "2014" "ABT" "
                
                    361.00M
                
            "
"275" "31" "12" "2016" "NFLX" "
                
                    225.19M
                
            "
"278" "31" "12" "2013" "ABT" "
                
                    359.00M
                
            "
"279" "31" "12" "2014" "DHR" "
                
                    -86.90M
                
            "
"280" "31" "12" "2015" "PPG" "
                
                    112.00M
                
            "
"284" "31" "12" "2014" "PPG" "
                
                    117.00M
                
            "
"286" "31" "12" "2016" "CLX" "
                
                    32.00M
                
            "
"287" "31" "12" "2016" "BA" "
                
                    726.00M
                
            "
"289" "31" "12" "2014" "MYL" "
                
                    150.20M
                
            "
"290" "31" "12" "2013" "UTX" "
                
                    471.00M
                
            "
"292" "31" "12" "2012" "PPG" "
                
                    95.00M
                
            "
"297" "31" "12" "2013" "BSX" "
                
                    217.00M
                
            "
"301" "31" "12" "2013" "PPG" "
                
                    119.00M
                
            "
"306" "31" "12" "2016" "UTX" "
                
                    626.00M
                
            "
"308" "31" "12" "2012" "CTXS" "
                
                    122.21M
                
            "
"309" "31" "12" "2016" "AAPL" "
                
                    2.871B
                
            "
"311" "31" "12" "2015" "BMRN" "
                
                    176.12M
                
            "
"313" "31" "12" "2014" "UTX" "
                
                    624.00M
                
            "
"315" "31" "12" "2014" "BMRN" "
                
                    142.07M
                
            "
"317" "31" "12" "2014" "AAPL" "
                
                    1.895B
                
            "
"319" "31" "12" "2013" "BMRN" "
                
                    97.31M
                
            "
"324" "31" "12" "2014" "ACIW" "
                
                    31.55M
                
            "
"326" "31" "12" "2014" "NEM" "
                
                    39.00M
                
            "
"327" "31" "12" "2013" "VMW" "
                
                    285.00M
                
            "
"328" "31" "12" "2013" "ACIW" "
                
                    33.38M
                
            "
"330" "31" "12" "2013" "NEM" "
                
                    57.00M
                
            "
"331" "31" "12" "2012" "VMW" "
                
                    268.00M
                
            "
"332" "31" "12" "2012" "ACIW" "
                
                    33.59M
                
            "
"333" "31" "12" "2014" "PX" "
                
                    24.00M
                
            "
"337" "31" "12" "2013" "PX" "
                
                    26.00M
                
            "
"338" "31" "12" "2016" "CA" "
                
                    144.00M
                
            "
"341" "31" "12" "2012" "BSX" "
                
                    238.00M
                
            "
"347" "31" "12" "2016" "BMRN" "
                
                    175.24M
                
            "
