Ticker;Year;Url;TotalAsset
TGT;2013;https://ycharts.com/companies/TGT/assets;
TGT;2014;https://ycharts.com/companies/TGT/assets;
TIF;2012;https://ycharts.com/companies/TIF/assets;
TJX;2012;https://ycharts.com/companies/TJX/assets;
TMUS;2012;https://ycharts.com/companies/TMUS/assets;
TMUS;2013;https://ycharts.com/companies/TMUS/assets;
TMUS;2014;https://ycharts.com/companies/TMUS/assets;
TRI;2012;https://ycharts.com/companies/TRI/assets;
TRI;2013;https://ycharts.com/companies/TRI/assets;
TRI;2014;https://ycharts.com/companies/TRI/assets;
TXT;2014;https://ycharts.com/companies/TXT/assets;
VMW;2012;https://ycharts.com/companies/VMW/assets;
VMW;2013;https://ycharts.com/companies/VMW/assets;
VMW;2014;https://ycharts.com/companies/VMW/assets;
WBA;2012;https://ycharts.com/companies/WBA/assets;
WDAY;2012;https://ycharts.com/companies/WDAY/assets;
WDAY;2013;https://ycharts.com/companies/WDAY/assets;
WDAY;2014;https://ycharts.com/companies/WDAY/assets;
WDC;2014;https://ycharts.com/companies/WDC/assets;
WFM;2012;https://ycharts.com/companies/WFM/assets;
WFM;2013;https://ycharts.com/companies/WFM/assets;
WFM;2014;https://ycharts.com/companies/WFM/assets;
WMB;2012;https://ycharts.com/companies/WMB/assets;
WMT;2012;https://ycharts.com/companies/WMT/assets;
