"","CompaniesIndex","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"781",261,1,-0.0905,-0.2059,-0.1211,0.62,-0.0668267372921644,-0.0714899573184933,-5.09,0.46,0.1833,2.965e+10,4.99e+08,9.964e+09,1.802e+09,0.534579915442417,0.00640804300222052,0.26,0.12,0.13,0.05,0.03,0.07,1,1,1,8,24.1127279623901,-0.478035800943
"782",261,2,0.0205,0.0498,0.0456,0.51,0.0281156009075252,0.0289409050649559,1.02,0.6,-0.2958,2.4764e+10,4.98e+08,8.414e+09,-2.534e+09,0.165950890616686,0.00466322002632887,0.33,0.04,0.05,0.01,0.01,0.02,1,1,1,8,23.9326568226034,-0.673344553263766
"783",261,3,0.0088,0.0203,0.0241,0.47,-0.0217870586034543,-0.00569551035604443,0.43,0.63,0.0697,2.4916e+10,4.99e+08,6.819e+09,5.08e+08,1.37550692905115,-0.00082530415743069,0.35,0.04,0.06,0.02,0.02,0.02,1,1,1,8,23.9387760043383,-0.755022584278033
"784",262,1,0.024,0.1082,0.0883,3.98,0.00645810118406942,-0.0587178436195596,0.26,0.54,0.0048,3967890000,4.12e+08,3.609e+09,1.7e+07,3.19700934107257,0.0378247102246564,0.09,0,0,0,0,0.43,0,0,0,1,22.1015003042106,1.38128181929635
"785",262,2,0.0428,0.1672,0.1339,2.88,-0.0144727373172382,-0.0138439974652414,0.62,0.37,0.0257,5412563000,4.25e+08,4.375e+09,1.12e+08,2.31942864069854,0.065175944803629,0.21,0,0,0,0,0.16,0,0,1,1,22.4119885699301,1.05779029414785
"786",262,3,0.0142,0.0601,0.0719,4.84,-0.0753374935357429,-0.060008265790245,0.28,0.48,0.0485,7056651000,4.32e+08,5.505e+09,2.67e+08,1.04789975332791,-0.000628739851996745,0.25,0,0.1,0,0,0.1,0,0,1,1,22.6772364132998,1.57691472072854
"787",263,1,0.1504,0.2308,0.2132,3.46,-7.19366543868633e-05,-0.00951762324534953,1.35,0.02,0.0921,1.517e+10,1.879e+09,2.3331e+10,2.211e+09,0.0493459424999308,0.000682282121499184,0.7,0.89,0.62,0.92,0.8,0.06,1,1,1,1,23.4425856303069,1.24126858906963
"788",263,2,0.1489,0.245,0.2177,4.06,-0.0263849141909273,-0.0258331902579665,1.49,0.11,0.0982,1.782e+10,1.832e+09,2.5313e+10,2.472e+09,0.336145430283369,0.00944568659096267,0.62,0.02,0.03,0.11,0.12,0.13,1,1,1,1,23.6035872589891,1.40118297361364
"789",263,3,0.1629,0.2782,0.2502,4.59,-0.0517589937592555,-0.0394743434243937,1.85,0.11,0.0969,1.917e+10,1.811e+09,2.7799e+10,2.693e+09,0.919539888268071,-0.000551723932960843,0.82,0.12,0.11,0.14,0.12,0.13,1,1,1,1,23.676612394004,1.52388002407245
"790",264,1,0.0491,0.1389,0.0832,2.78366378959896,0.0613330166876801,0.0482216870857912,1.94,1.26,0.0486,1.4585e+10,3.66e+08,5.407e+09,2.73e+08,0.424233040899232,0.00510594988261094,0,0,0,0,0,0,0,0,0,6,23.4032594402661,0.48439893461222
