"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.101795418329786,1.07,-1.37101412948119,-50.1890450256269,40.6586596889005,10924.7834341911,0.72,0.54,0.57,0.79,0.71,0,1,1,-7.91630240877272,0.907993218440886,-62024995198.5511,1.00869990729994,0.0402619842881623,2013,1,5,23.9022781170015,0.0676586484738149
"2",0.0767139544837025,1.03,0.635512659816618,16.6667841579294,-6.47456407297171,-10415.9397758226,0.11,0,0.08,0.04,0.52,0,1,1,3.63766965964615,0.191257879182476,346388877934.401,0.314711639070007,-0.042838934246975,2014,1,5,25.2724873022904,0.0295588022415444
"3",0.0702280661957236,1.54,1.05944850305742,30.9378870383613,38.0152607616019,-7047.83831126318,0.11,0.01,0.09,0.06,0.55,0,1,1,5.33985697402747,0.0818900344208193,5438756295.71655,1.68092636605572,0.0388677431258822,2015,1,5,23.3228542811779,0.431782416425538
"4",-0.0616,0.36,-1.37430131687727,-37.3752237203009,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-7.2209326118865,0.0927157422116663,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-5.20236152188208,0.9952,5.93,-101.407195646981,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-2.00957097255774
"6",0.1587,0.941046778749668,0.669619548483432,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,-0.058766772141747
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.0760118294829787,1.53,-0.158206051790517,-3.68269392900792,71.3336006824049,11074.3688620092,0,0,0,0,0.1,0,0,0,-2.32494757610081,-0.356153819745501,205733464911.213,1.94587936650084,0.081231116123042,2014,3,1,22.9001633495919,0.425267735404344
"9",0.00648735495325054,1.63,1.23111801158718,38.0853298014975,54.8732113900787,5968.14188955703,0.06,0,0,0,0.16,0,0,0,7.95901183306379,0.0585895643126896,-49919186226.7672,0.100695664640629,-0.0755768442571862,2015,3,1,23.1772685174465,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",0.00464162586756289,2.58653389495165,0.506770591960669,22.02,81.1656858593241,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,0.00414519424958373
"14",0.0624,4.84727688612431,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,1.91707395701535
"15",0.1092,-0.0218670407004034,0.811117010223341,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,-0.200055721896203
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,5,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,5,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,53.7767456946499,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,5,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,5,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,5,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,5,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,6,21.2431608095554,0.524728528934982
"23",0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,6,21.338829782848,0.53062825106217
"24",0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,6,21.4115070026719,0.536493370514568
"25",0.21576227415189,2.62,-0.278346382129836,-18.9588365633599,-69.8265635362185,12114.0667782559,0.87,0.99,0.92,0.83,0.84,1,1,1,-5.697808663092,-0.00214099032618831,-2901366749.38255,0.550999847598482,0.0376753471009873,2013,9,7,23.4363288755695,0.963174317773006
"26",0.0888580779329604,3.2,1.50373008731208,47.0218735248561,110.469057770802,6667.36643348244,0.09,0.12,0.09,0.13,0.83,1,1,1,9.87887836540508,0.67079737691541,251259585367.397,1.96526093531432,-0.0122108921118647,2014,9,7,23.8919409092785,1.16315080980568
"27",0.0845166721102812,3.82,-0.716923698409648,-23.4217978556161,43.6103022616027,-2577.5608913221,0.08,0.08,0.03,0.06,0.62,1,1,1,-6.58070680083191,0.0727048894556919,476323448500.956,0.973483730024112,0.0477791915343898,2015,9,7,24.8338409412464,1.34025042261848
"28",0.0993337297516779,1.77,-1.26865233774369,-42.5828985616572,33.5126711139544,5747.45738000956,0.48,0.59,0.3,0.55,0.56,1,0,1,-8.48624125034517,-0.0647373871895765,206624220542.273,1.31523601875755,0.0246039468929499,2013,10,7,23.5454828597431,0.570979546585738
"29",0.0635126192105336,1.95,-0.336244504420716,-8.04461307350467,53.2359834054935,630.674799551306,0.08,0.07,0.04,0.08,0.51,1,0,1,-1.81392535078388,0.191667038492686,204580878528.963,1.54411687971311,0.0236277206132968,2014,10,7,25.6019733751037,0.667829372575655
"30",0.170580396041635,2.31,-0.81991956936225,-35.6706620899904,-6.54179914001685,-14672.9757478145,0.09,0.07,0.05,0.09,0.53,1,0,1,-6.820950391435,-0.414200630538351,-416173394549.759,1.10791875763138,-0.0775545470087128,2015,10,7,22.7368699978607,0.837247524533702
"31",0.0318,0.48,0.0691,1.35,17.94,30.61,0.09,0.55,0,0.06,0.19,1,0,0,0.2653,0.0149,4.3752e+10,0.664424226349584,0.0566792627988099,2013,11,2,24.5018031629909,-0.7339691750802
"32",0.0538,0.64,0.1124,1.52,16.42,30.86,0.01,0.07,0,0.02,0.33,1,1,0,0.2839,0.0277,4.4027e+10,0.823355470888378,-0.0124982423959382,2014,11,2,24.5080689190305,-0.446287102628419
"33",0.0453,0.48,0.1013,1.35,14.09,30.14,0.02,0.06,0,0.01,0.32,1,1,0,0.3229,0.0273,4.0157e+10,1.18451195431639,0.0307973521119467,2015,11,2,24.4160626083444,-0.7339691750802
"34",0.0404,0.97,0.2246,5.98,26.14,12.99,0.38,0.61,0,0.47,0.47,1,0,0,0.002,0.1205,38321800000,0.634522853152042,-0.00114165492930315,2013,12,7,24.369284761806,-0.0304592074847086
"35",0.0404,0.86,0.2336,6.49,25.58,11.56,0.07,0,0,0,0.28,1,0,0,0.0019,0.1237,43503100000,0.808633188727693,-0.0206149652702033,2014,12,7,24.4960980368697,-0.150822889734584
