"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.150100076149101,1.07,0.797763502373088,14.961159815266,42.1819313653129,16200.7436122298,0.72,0.54,0.57,0.79,0.71,0,1,1,3.40296842707536,-0.0625662186381905,223446434279.165,1.00869990729994,0.0402619842881623,2013,1,5,24.6735169729085,0.0676586484738149
"2",0.0269502854297521,1.03,-0.487852228523854,-22.3905729473994,68.0597768830809,-21453.7170307669,0.11,0,0.08,0.04,0.52,0,1,1,-1.67828390517104,-0.505454812413933,129620582622.37,0.314711639070007,-0.042838934246975,2014,1,5,25.3659834433478,0.0295588022415444
"3",0.0117402313270026,1.54,-0.353107317187317,-8.89965113446953,63.5336141883918,-18064.9715343473,0.11,0.01,0.09,0.06,0.55,0,1,1,-2.12918112673734,0.321242490408613,14058288733.9466,1.68092636605572,0.0388677431258822,2015,1,5,23.5276319420682,0.431782416425538
"4",-0.0616,0.36,-0.115196675513287,-5.7234903032877,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,2.97298012463212,0.53678007323186,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-3.11963997253199,0.9952,5.93,-206.446352712939,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-0.98212417931783
"6",0.1587,0.110933838102382,0.672741887049296,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,-0.00586236735897916
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.0944303777849271,1.53,0.334507906625177,6.28292440283044,-35.7500594362998,8827.34532412886,0,0,0,0,0.1,0,0,0,3.05549468773709,-0.0391961597831504,-457783793476.154,1.94587936650084,0.081231116123042,2014,3,1,22.0378990166755,0.425267735404344
"9",0.0590828808617745,1.63,0.493087067777848,22.6168545378737,45.7986301115697,10359.0125309723,0.06,0,0,0,0.16,0,0,0,5.3394242246671,0.387308113234463,70906361047.9404,0.100695664640629,-0.0755768442571862,2015,3,1,25.1358563880692,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",-0.00938438832728306,2.28319225603723,0.440100582787157,22.02,-15.9838984860148,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,-0.458649087511881
"14",0.0624,3.95178522254521,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,1.68115962233683
"15",0.1092,0.934353717589179,0.760995570757587,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,0.302478903486167
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,5,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,5,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,55.9182043469534,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,5,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,5,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,5,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,5,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,6,21.2431608095554,0.524728528934982
"23",0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,6,21.338829782848,0.53062825106217
"24",0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,6,21.4115070026719,0.536493370514568
"25",0.170855119614499,2.62,0.590343234193346,7.9536313496985,-8.37116187919835,14552.2992571116,0.87,0.99,0.92,0.83,0.84,1,1,1,-1.2139690353731,0.303630948631387,64066894009.6316,0.550999847598482,0.0376753471009873,2013,9,7,24.7370545567015,0.963174317773006
"26",0.112934700840332,3.2,0.539778629076876,15.2471576407571,7.08201439282705,-12879.4812231814,0.09,0.12,0.09,0.13,0.83,1,1,1,3.61825676301935,0.135817949447424,-34042144950.936,1.96526093531432,-0.0122108921118647,2014,9,7,22.7443353546232,1.16315080980568
"27",0.0628596768615857,3.82,0.302071824811237,14.8666464095817,68.7216108734814,-22706.0924292816,0.08,0.08,0.03,0.06,0.62,1,1,1,0.845425465694449,0.349257348310103,-249359916730.511,0.973483730024112,0.0477791915343898,2015,9,7,23.8171127208228,1.34025042261848
"28",0.191539519399616,1.77,0.223611158475235,-3.56971473461298,-88.035948356826,-15997.3225906684,0.48,0.59,0.3,0.55,0.56,1,0,1,0.0224208341589801,0.550965063536734,-134635917679.012,1.31523601875755,0.0246039468929499,2013,10,7,22.1300512530949,0.570979546585738
"29",0.0267843592259926,1.95,-0.0165786625970013,-2.48316897800234,61.4343779193389,7568.60026538978,0.08,0.07,0.04,0.08,0.51,1,0,1,-2.22179326860005,-0.122621608654037,-255574276918.263,1.54411687971311,0.0236277206132968,2014,10,7,21.9389842185412,0.667829372575655
"30",0.162486047673797,2.31,0.00707409567508421,-5.66228191028948,17.3790597717273,-4697.95939476378,0.09,0.07,0.05,0.09,0.53,1,0,1,-1.14951718444372,0.223519083701482,-393131312713.223,1.10791875763138,-0.0775545470087128,2015,10,7,23.0251259144073,0.837247524533702
"31",0.0318,0.48,0.0691,1.35,17.94,30.61,0.09,0.55,0,0.06,0.19,1,0,0,0.2653,0.0149,4.3752e+10,0.664424226349584,0.0566792627988099,2013,11,2,24.5018031629909,-0.7339691750802
