"","CompaniesIndex","YearIndex","Ra","Roa","StockPriceClose","TobinsQ","PriceToEarningRatio","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","Eps","FirmSize","LogTobinsQ","LogPriceToEarningRatio","LogEps","LogStockPrice"
"258",86,3,-0.457193441301986,-0.0235,NA,1.06,NA,-0.0129,0.03,0.02,0,0,0,0,0,0,1.5145e+10,1.21,0.2035,3,1.18665044761149,-0.000711990268566891,-0.96,23.4409362814256,0.0582689081239758,NA,NA,NA
"259",87,1,-0.00441007466544138,0.132,85.44,3.17,19.8697674418605,0.2555,0.58,0.33,0.34,0.49,0.32,1,1,1,4.502e+09,38.7321,0.0989,2,0.244977071595455,0.00299072944482637,4.3,22.227787579431,1.15373158788919,2.98919935251237,1.45861502269952,4.44781437521188
"260",87,2,0.025167765996353,0.1302,92,3.27,21.7494089834515,0.2501,0.65,0.08,0.06,0.13,0.07,1,1,1,4.311e+09,14.86,0.1017,2,1.04610194151193,0.0293954645564852,4.23,22.1844357327114,1.18478998490916,3.07958658399085,1.44220199305819,4.52178857704904
"261",87,3,0.0201495594817084,0.1377,113.29,4.33,25.9244851258581,0.2693,0.64,0.06,0.07,0.12,0.07,1,1,1,4.258e+09,10.36,0.0998,2,0.194337916221341,-0.000116602749732805,4.37,22.1720654034177,1.4655675420144,3.2551878937779,1.4747630091075,4.7299509028854
"262",88,1,0.0488060883542123,0.0421,21.63,1.09,16.8984375,0.0899,0.07,0,0,0,0,0,0,0,1.64971e+11,0.77,0.0991,1,1.22783370549923,0.014588437724891,1.28,25.8290355378241,0.0861776962410524,2.82722116203344,0.246860077931526,3.07408123996497
"263",88,2,0.0168627449015883,0.0527,26.64,1.15,16.65,0.1021,0.16,0,0,0,0,0,0,0,1.58813e+11,0.88,0.1054,1,1.11551300925581,0.0313459155600883,1.6,25.7909932463886,0.139761942375159,2.81241021642645,0.470003629245736,3.28241384567219
"264",88,3,-0.0755752229360803,0.0501,29.49,1.16,18.2037037037037,0.0958,0.19,0.03,0,0,0,0,0,0,1.59339e+11,0.84,0.1218,1,-0.263645369789415,0.000158187221873649,1.62,25.7942998449909,0.148420005118273,2.90162507358289,0.482426149244293,3.38405122282718
"265",89,1,-0.00603601394191435,0.021,69.14,0.5,23.6780821917808,0.0443,0.15,0,0,0,0,0,0,0,38863200000,0.1,0.3075,4,1.36215854419965,0.0161734708215559,2.92,24.3833136243916,-0.693147180559945,3.16454981821329,1.07158361628019,4.23613343449348
"266",89,2,0.0734061236389558,0.0178,76.52,0.43,22.8417910447761,0.052,0.1,0,0,0,0,0,0,0,54277800000,0.1,0.3327,4,0.356142793363421,0.0100076124935121,3.35,24.7173811405095,-0.843970070294529,3.12859179873508,1.20896034583698,4.33755214457205
"267",89,3,-0.0387945737723512,0.0179,93.79,0.47,25.4173441734417,0.0577,0.17,0.07,0,0,0,0,0,0,72241500000,0.1,0.3621,4,0.116843042254701,-7.01058253528204e-05,3.69,25.0032805099592,-0.755022584278033,3.23543178246841,1.30562645805244,4.54105824052085
"268",90,1,0.0168841909983956,0.1781,397.13,NA,37.9302769818529,0.2352,0.14,0,0,0,0,0,0,0,1668667000,0,0.1018,1,1.25259812960988,0.0148806579293966,10.47,21.2352909410482,NA,3.63574965812215,2.34851402488245,5.9842636830046
"269",90,2,0.0309935794691479,0.1955,601.37,NA,42.5598018400566,0.2509,0.1,0,0,0,0,0,0,0,2009280000,0,0.1019,1,1.10743615807109,0.0311189560417976,14.13,21.42104228589,NA,3.75091018900884,2.64830019669644,6.39921038570528
"270",90,3,-0.18877835206149,0.1804,659.13,NA,43.6509933774834,0.2297,0.16,0.06,0,0,0,0,0,0,2546285000,0,0.1084,1,-0.0229232563838659,1.37539538303195e-05,15.1,21.6579012711153,NA,3.77622603981551,2.71469474382088,6.49092078363639
"271",91,1,0.0630216943669797,0.1087,121.39,1.54,15.346396965866,0.1796,0.56,0.45,0.53,0.57,0.24,1,1,1,1.2548e+10,0.11,0.0949,6,2.16360874331307,0.0256305831710942,7.91,23.2528271272748,0.431782416425538,2.73088072113015,2.06812778177956,4.79900850290971
"272",91,2,-0.0100072722521099,0.1082,144.01,1.45,15.9656319290466,0.1797,0.54,0.07,0.08,0.09,0.03,1,1,1,1.4728e+10,0.22,0.0857,6,1.32733602750197,0.0372981423728052,9.02,23.4130162808772,0.371563556432483,2.77043840753476,2.19944433407453,4.96988274160929
"273",91,3,-0.131413133962357,0.0905,125.23,0.85,15.9732142857143,0.1545,0.55,0.06,0.07,0.1,0.04,1,1,1,1.5776e+10,0.21,0.0859,6,2.63177130147076,-0.00157906278088246,7.84,23.4817556348067,-0.162518929497775,2.77091321221363,2.05923883436232,4.83015204657594
"274",92,1,0.0463111665732214,0.0139,13.22,0.21,6.41747572815534,NA,0.16,0,0,0,0,0,0,0,34131400000,0.68,0.0509,4,1.64064325630148,0.0194595904243575,2.06,24.2534836186546,-1.56064774826467,1.85902485162205,0.72270598280149,2.58173083442354
"275",92,2,-0.0034922521007894,0.0016,17.36,0.21,72.3333333333333,NA,0.16,0,0,0,0,0,0,0,34780600000,0.76,0.1068,4,1.32888423079731,0.0373416468854046,0.24,24.2723255970176,-1.56064774826467,4.28128506487235,-1.42711635564015,2.8541687092322
"276",92,3,-0.0544817450830212,0.0087,18.07,NA,13,NA,0.15,0.04,0,0,0,0,0,0,31184200000,0.77,0.0124,4,1.94972468465746,-0.00116983481079448,1.39,24.1631773932365,NA,2.56494935746154,0.3293037471426,2.89425310460414
"277",93,1,-0.0107273630832151,0.0139,23.21,0.83,32.2361111111111,0.0467,0.41,0.61,0,0,0.76,0,0,0,2.2871e+10,1.94,0.056,11,-0.143279464014633,-0.00159069767537267,0.72,23.8531355694296,-0.186329578191493,3.47308728725838,-0.328504066972036,3.14458322028635
"278",93,2,-0.0215336041367062,0.0271,24.06,0.76,16.943661971831,0.0718,0.16,0.08,0,0,0,0,0,0,2.187e+10,1.81,0.0384,11,1.12959586271715,0.0317416437423518,1.42,23.8083816716351,-0.27443684570176,2.82989383893336,0.350656871613169,3.18055071054653
"279",93,3,0.0799064831669771,-0.0311,19.6,0.73,-12.1739130434783,-0.0321,0.21,0.13,0,0,0,0,0,0,2.32e+10,1.76,0.0662,11,0.495243145486306,-0.000297145887291784,-1.61,23.8674181156187,-0.3147107448397,NA,NA,2.97552956623647
"280",94,1,0.0668546849648294,0.0549,27.77,1.01,9.67595818815331,0.103,0.68,0.53,0.55,0.77,0.47,1,1,1,12670909000,0.8,0.0774,11,0.885572177952057,0.0105497516998343,2.87,23.2625745729838,0.00995033085316809,2.26964427154718,1.05431202977153,3.32395630131871
"281",94,2,-0.146132870350303,0.0141,33.18,0.95,47.4,0.0437,0.66,0.11,0.09,0.12,0.04,1,1,1,1.1394e+10,0.63,0.2116,11,2.12261917636954,0.0596455988559841,0.7,23.1563527380046,-0.0512932943875506,3.85862222870103,-0.356674943938732,3.5019472847623
"282",94,3,0.0025350189541568,-0.033,17.1,0.49,-10.4268292682927,-0.0271,0.72,0.1,0.1,0.12,0.08,1,1,1,1.176e+10,0.61,0.0461,11,1.83245020652567,-0.0010994701239154,-1.64,23.1879697794169,-0.713349887877465,NA,NA,2.83907846350861
"283",95,1,0.0672136574754659,0.0134,63.51,0.26,9.21770682148041,NA,0.26,0.32,0,0,0.43,1,0,0,3.12918e+11,1.2,0.172,4,1.2765807332864,0.0151636526527795,6.89,26.4692070123329,-1.34707364796661,2.22112628878932,1.93007108502557,4.15119737381488
"284",95,2,-0.00784346665182252,0.0143,78.62,0.28,10.3583662714097,NA,0.31,0.04,0,0,0.02,1,0,1,2.97048e+11,0.95,0.1874,4,1.04846357483471,0.0294618264528554,7.59,26.4171595788522,-1.27296567581289,2.33779452858617,2.02683159140754,4.36462611999371
"285",95,3,-0.0840629675186173,0.012,79.87,0.23,11.2970297029703,NA,0.29,0.04,0,0,0,1,0,1,3.08854e+11,1.06,0.199,4,1.35510827883448,-0.000813064967300689,7.07,26.4561345102753,-1.46967597005894,2.42453983302082,1.95586047990848,4.3804003129293
"286",96,1,NA,0.2821,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3279429000,2e-04,0.2131,1,NA,NA,NA,21.910935158822,NA,NA,NA,NA
"287",96,2,NA,0.1565,NA,NA,NA,NA,0.12,0,0,0,0,0,0,0,3543817000,0,0.1959,1,NA,NA,NA,21.9884702317872,NA,NA,NA,NA
"288",96,3,NA,0.0799,NA,NA,NA,NA,0.15,0.03,0,0,0,0,0,0,3617200000,0,0.1265,1,NA,NA,NA,22.0089660828306,NA,NA,NA,NA
"289",97,1,0.0162292027664127,0.118,66.54,1.51,14.528384279476,0.2574,0.26,0.36,0,0,0.71,1,0,0,5.313e+09,0.59,0.1289,6,0.924553807668885,0.0110097349304928,4.58,22.3934224844152,0.412109650826833,2.67610427246424,1.52169899812609,4.19780327059033
"290",97,2,-0.0123523540074349,0.0969,79.03,1.67,17.8800904977376,0.1936,0.27,0.04,0,0,0,1,0,0,5.4e+09,0.34,0.1371,6,0.791138654792981,0.0222309961996828,4.42,22.4096647905166,0.512823626428664,2.88368783112728,1.48613969608961,4.36982752721688
"291",97,3,-0.00410852076459386,0.0949,90,1.69,17.5438596491228,0.182,0.29,0.06,0,0,0,1,0,0,7.063e+09,0.88,0.1213,6,1.06433073060195,-0.000638598438361168,5.13,22.6781357273732,0.524728528934982,2.86470401114759,1.63510565918268,4.49980967033027
"292",98,1,-0.0299775850407651,0.0779,64.64,0.88,8.75880758807588,0.1332,0.45,0.36,0.67,0.29,0.18,1,1,1,1.17144e+11,0.43,0.1402,3,0.643843527444914,0.00769735362384999,7.38,25.4866697841994,-0.127833371509885,2.17005977560046,1.99877363861238,4.16883341421284
"293",98,2,0.044260979488259,0.0586,74.19,0.89,13.464609800363,0.0981,0.45,0.06,0.1,0.05,0.04,1,1,1,1.18057e+11,0.4,0.1634,3,0.530367271304076,0.0149033203236445,5.51,25.494433395628,-0.116533816255952,2.60006474703661,1.70656462316482,4.30662937020143
"294",98,3,-0.146379584782714,-0.0414,58.14,0.84,-16.2402234636872,-0.0564,0.52,0.06,0.1,0.1,0.05,1,1,1,1.16539e+11,0.43,0.1296,3,0.766804440752826,-0.000460082664451695,-3.58,25.4814918178797,-0.174353387144778,NA,NA,4.06285389513073
"295",99,1,-0.0524564724295848,0.071,111.8,1.78,24.14686825054,0.1404,0.31,0.72,0,0,0.66,0,1,0,2.932e+10,0.11,0.0172,2,0.656417539269829,0.00784572696338398,4.63,24.1015357139649,0.576613364303994,3.18415469262286,1.53255686809814,4.716711560721
"296",99,2,-0.00260659872892782,0.065,121.58,1.86,26.1462365591398,0.1263,0.25,0.08,0,0,0,0,1,0,3.0283e+10,0.46,0.0194,2,0.941424742601112,0.0264540352670912,4.65,24.1338523359053,0.62057648772511,3.26370526272131,1.53686721959926,4.80057248232058
"297",99,3,0.000495411037445176,0.0715,147.84,2.12,27.5307262569832,0.1369,0.28,0.11,0,0,0,0,1,0,3.3024e+10,0.41,0.0183,2,0.70822573006273,-0.000424935438037638,5.37,24.2205004068055,0.751416088683921,3.3153026993726,1.68082790852077,4.99613060789337
"298",100,1,0.111076007692623,0.0617,42.73,2.19,29.6736111111111,0.1169,0.4,0.25,0.17,0.36,0.16,1,1,1,8.747e+09,2.23,0.1004,2,0.546322842369495,0.00654660953996004,1.44,22.8919766213841,0.783901543828409,3.39025813606802,0.364643113587909,3.75490124965593
"299",100,2,-0.0286759807352727,0.0995,43.87,2,16.0109489051095,0.159,0.47,0.06,0.01,0.06,0.04,1,1,1,9.055e+09,2.09,0.0569,2,0.721210098258651,0.0202660037610681,2.74,22.9265829282818,0.693147180559945,2.77327279477814,1.00795792039998,3.78123071517812
"300",100,3,0.00591666407266006,0.0853,48.33,2.27,22.6901408450704,0.1376,0.51,0.07,0.03,0.05,0.06,1,1,1,8.297e+09,1.39,0.0989,2,1.55006520164378,-0.000930039120986268,2.13,22.8391598406286,0.819779831493311,3.12193050613566,0.756121979721334,3.87805248585699
"301",101,1,0.057808767575085,-0.0558,45.94,4.29,-95.7083333333333,-0.1028,0.35,0.45,0,0,0.53,0,0,0,4.642e+09,0.03,-0.0051,7,2.36782455576282,0.0280403297580013,-0.48,22.2584111447987,1.45628673293993,NA,NA,3.82733619726095
"302",101,2,-0.00939758552320607,-0.0316,57.25,4.53,-146.794871794872,-0.0442,0.39,0.04,0,0,0.07,1,0,0,8.098e+09,0.05,-0.0887,7,0.81979060929329,0.0230361161211414,-0.39,22.8148829545564,1.51072193949494,NA,NA,4.04742764243435
"303",101,3,-0.0163201796403425,-0.0265,70.66,4.71,-168.238095238095,-0.041,0.35,0.06,0,0,0,1,0,0,9.413e+09,0.64,-0.057,7,0.966203214113388,-0.000579721928468033,-0.42,22.9653575495115,1.54968790802833,NA,NA,4.257879641931
"304",102,1,0.0540424662750277,0.1035,22.64,0.92,12.1720430107527,0.1388,0.57,0.61,0.6,0.82,0.5,1,0,1,9.264e+10,0.32,0.1746,7,2.58062467868534,0.030551371208487,1.86,25.2519868507711,-0.083381608939051,2.49914176560987,0.62057648772511,3.11971825333498
"305",102,2,0.00649097072236649,0.0761,24.25,0.95,16.2751677852349,0.1014,0.63,0.08,0.06,0.1,0.06,1,1,1,1.01191e+11,0.22,0.2054,7,1.02645336506486,0.0288433395583226,1.49,25.3402756570387,-0.0512932943875506,2.78964049742612,0.398776119957368,3.18841661738349
"306",102,3,-0.00330812131348697,0.0822,27.85,1.04,15.9142857142857,0.1085,0.64,0.1,0.06,0.08,0.05,1,1,1,1.05134e+11,0.36,0.1666,7,0.105321571648193,-6.31929429889155e-05,1.75,25.3785015639412,0.0392207131532813,2.76721717843787,0.559615787935423,3.32683296637329
"307",103,1,0.0535459426080291,0.0598,24.8,1.19,13.551912568306,0.1142,0.42,0.43,0.31,0.13,0.3,1,1,1,3.0571e+10,1.01,0.1582,6,0.504048757664258,0.00604777534043825,1.83,24.1433176841231,0.173953307123438,2.60652768631761,0.60431596685333,3.21084365317094
"308",103,2,-0.00715070884678069,0.0594,30.82,1.36,16.0520833333333,0.1108,0.55,0.07,0.04,0,0.06,1,1,1,3.1782e+10,0.86,0.1551,6,1.47626364221045,0.0414830083461137,1.92,24.1821659287369,0.307484699747961,2.77583864385228,0.65232518603969,3.42816382989197
"309",103,3,-0.0912732854026227,0.0578,31.44,1,15.72,0.1066,0.65,0.07,0.05,0.04,0.12,1,1,1,3.3053e+10,0.85,0.152,6,1.21373466830521,-0.000728240800983125,2,24.2213781706829,0,2.75493378700106,0.693147180559945,3.44808096756101
"310",104,1,0.0367746948517315,-0.0045,34.91,0.76,-87.275,0.0155,0.27,0.09,0.23,0,0.15,0,0,0,5.402e+10,1.01,0.0422,10,0.134748217022266,0.00169002896086274,-0.4,24.7126201853109,-0.27443684570176,NA,NA,3.55277332111694
"311",104,2,-0.0296225261261727,0.0151,36.52,0.89,26.8529411764706,0.0456,0.41,0,0.02,0,0.02,1,1,1,5.1787e+10,1.17,-0.0132,10,0.817259338162304,0.0229649874023607,1.36,24.6704049894638,-0.116533816255952,3.29037535597881,0.307484699747961,3.59786005572677
"312",104,3,-0.0679854749912677,0.018,31.4,0.72,19.873417721519,0.0501,0.5,0.02,0.02,0.09,0.01,1,1,1,5.0147e+10,1.34,0.0428,10,0.797150451143271,-0.000478290270685962,1.58,24.6382245290267,-0.328504066972036,2.98938304587533,0.457424847038875,3.44680789291421
"313",105,1,0.0727986777391043,0.1668,38.64,3.23,19.1287128712871,0.2171,0.45,0.3,0.14,0.37,0.55,0,1,0,6521571000,0,0.1431,7,2.65023035621612,0.0313727182033502,2.02,22.5983811347812,1.17248213723457,2.9511904979312,0.703097511413113,3.65428800934432
"314",105,2,-0.0249428156705686,0.1444,48.92,2.54,20.8170212765957,0.1626,0.61,0.04,0.04,0.1,0.09,1,1,1,8208914000,0,0.1389,7,1.64177562999245,0.0461338952027879,2.35,22.8284864739512,0.932164081030445,3.0357709826629,0.854415328156068,3.89018631081897
"315",105,3,-0.073226981157594,0.131,62.28,2.47,23.5018867924528,0.1579,0.62,0.04,0.05,0.06,0.1,1,1,1,11718916000,0.12,0.1402,7,0.956431070785838,-0.000573858642471503,2.65,23.1844701253501,0.904218150639886,3.15708070696767,0.974559639998131,4.1316403469658
"316",106,1,0.0641486075531743,0.0678,52.94,1.75,29.4111111111111,0.1032,0.1,0,0,0,0,0,0,0,4796402000,0,0.1363,7,2.72954561172218,0.0323086382183217,1.8,22.2911318904489,0.559615787935423,3.38137253189684,0.587786664902119,3.96915919679896
"317",106,2,-0.0385875268466859,0.0469,50.37,1.7,34.265306122449,0.0666,0.19,0,0,0,0,0,0,0,5.212e+09,0,0.1163,7,1.60013513300473,0.0449637972374329,1.47,22.374229496209,0.53062825106217,3.53413335896691,0.385262400790645,3.91939575975756
"318",106,3,-0.0133930865246977,0.0581,55.26,1.93,27.7688442211055,0.1038,0.21,0.02,0,0,0,0,0,0,5.512e+09,0.59,0.0801,7,1.21390015163175,-0.00072834009097905,1.99,22.4301933706578,0.657520002916794,3.32391468075887,0.688134638736401,4.01204931949527
"319",107,1,0.0665805319208027,0.0668,58.55,1.22,15.6550802139037,0.0992,0.6,0.89,0.79,0,0.88,0,1,1,6.5912e+10,0.24,0.0315,2,0.55800369487313,0.00668444359950293,3.74,24.9115863559597,0.198850858745165,2.75079547861728,1.31908561142644,4.06988109004373
"320",107,2,0.0527642373332748,0.0637,78.39,1.54,19.7954545454545,0.0979,0.74,0.14,0.12,0,0.13,1,1,1,7.1526e+10,0.34,0.0362,2,1.40096138981323,0.0393670150537517,3.96,24.9933268569103,0.431782416425538,2.98545234293424,1.37624402526639,4.36169636820063
"321",107,3,0.0383661838003673,0.0624,101.65,1.38,21.9546436285097,0.0994,0.73,0.14,0.13,0,0.12,1,1,1,7.4252e+10,0.31,0.0333,2,1.09029877746382,-0.00065417926647829,4.63,25.0307305502934,0.322083499169113,3.08897867197621,1.53255686809814,4.62153554007436
"322",108,1,0.019972379589131,0.088,120.23,0.95,10.8412984670875,0.1346,0.53,0.57,0.36,0.32,0.35,1,1,1,2.32982e+11,0.09,0.1135,3,1.0013016452811,0.011915359414317,11.09,26.174227034309,-0.0512932943875506,2.38336277362455,2.40604380136228,4.78940657498682
"323",108,2,0.0299501866313021,0.074,120.51,0.84,11.8846153846154,0.1092,0.5,0.09,0.09,0.06,0.06,1,1,1,2.53753e+11,0.13,0.0973,3,1.04512405758464,0.0293679860181285,10.14,26.2596271898926,-0.174353387144778,2.47524473887626,2.31648799816304,4.7917327370393
"324",108,3,-0.0150047056865315,0.0172,96.36,0.73,39.330612244898,0.0245,0.42,0.08,0.06,0,0.07,1,1,1,2.66026e+11,0.15,0.096,3,0.97117869447141,-0.000582707216682846,2.45,26.3068598853123,-0.3147107448397,3.67200315319004,0.896088024556636,4.56809117774667
"325",109,1,0.0384136315238893,0.0276,95.1,1.59,39.7907949790795,0.0567,0.18,0,0,0,0,0,0,0,8589437000,0.89,0.2372,3,2.03172631610742,0.0240743705300676,2.39,22.8737990294675,0.46373401623214,3.68363560360793,0.871293365943419,4.55492896955134
"326",109,2,0.0461620417631624,0.0503,121.23,1.26,24.8422131147541,0.0821,0.01,0,0,0,0,0,0,0,9591164000,0.97,0.1082,3,0.849825472523934,0.0238800957779225,4.88,22.98410809491,0.231111720963387,3.21254434789344,1.58514521986506,4.79768956775849
"327",109,3,-0.164283478788419,0.0053,110.48,1.16,204.592592592593,0.0221,0.03,0.02,0,0,0,0,0,0,11799963000,0.67,0.2023,3,1.79808149293799,-0.00107884889576279,0.54,23.1913622328199,0.148420005118273,5.32102064852486,-0.616186139423817,4.70483450910104
"328",110,1,0.00532450573891798,0.035,59.36,1.16,20.259385665529,0.0687,0.24,0.29,0.12,0,0,1,0,0,4.6838e+10,1.59,0.0231,11,-0.131011014105069,-0.00144592996643982,2.93,24.5699606762161,0.148420005118273,3.00861817583015,1.07500242302898,4.08362059885912
"329",110,2,0.058229919036667,0.0251,69.98,1.26,31.2410714285714,0.0612,0.38,0.04,0.01,0,0.11,1,0,0,5.0096e+10,1.66,0.1293,11,0.499941416754127,0.014048353810791,2.24,24.6372070015305,0.231111720963387,3.44173362107259,0.806475865866949,4.24820948693954
"330",110,3,0.00399960388432434,0.0336,70.93,1.15,22.165625,0.0635,0.25,0.03,0,0,0,1,0,0,5.4327e+10,1.89,0.1053,11,0.386867013973509,-0.000232120208384106,3.2,24.7182871778737,0.139761942375159,3.09854266540831,1.16315080980568,4.261693475214
"331",111,1,-0.0535114176185565,0.2178,20,NA,1.6273393002441,0.6281,0.59,0.3,0.89,0.77,0.12,1,1,1,4.455e+10,NA,0.0275,6,-0.566521158354611,-0.00658494966858441,12.29,24.5198779908632,NA,0.486946349976047,2.50878592357794,2.99573227355399
"332",111,2,0.0525888365524658,0.0124,37.61,NA,48.2179487179487,0.0317,0.58,0.06,0.08,0.09,0.04,1,1,1,5.2252e+10,0.84,0.279,6,2.39608109494498,0.0673298787679538,0.78,24.6793440045707,NA,3.87573133178074,-0.2484613592985,3.62726997248225
"333",111,3,0.0871370133044607,0.0844,46.11,NA,8.19005328596803,0.2397,0.64,0.09,0.09,0.1,0.06,1,1,1,5.4121e+10,0.97,0.0163,6,0.975329730218652,-0.000585197838131191,5.63,24.7144881175358,NA,2.10292040406702,1.7281094421516,3.83102984621861
"334",112,1,NA,0.0956,NA,NA,NA,0.2036,0.49,0.5,0.7,0,0.48,1,1,1,4.9736e+10,1.06,0.0798,8,NA,NA,5.18,24.6299948539134,NA,NA,1.64480505627139,NA
"335",112,2,NA,0.0713,NA,NA,NA,0.1453,0.56,0.06,0.14,0,0.08,1,1,1,5.1499e+10,0.67,0.1354,8,NA,NA,3.92,24.6648282269519,NA,NA,1.36609165380237,NA
"336",112,3,NA,0.0427,NA,NA,NA,0.0991,0.34,0.05,0,0,0,1,1,1,4.9876e+10,0.71,0.1041,8,NA,NA,2.16,24.6328057620807,NA,NA,0.770108221696074,NA
"337",113,1,0.0864223592867708,0.0611,86.08,0.49,9.46974697469747,0.0631,0.39,0.42,0.14,0,0.62,0,1,1,5.627e+10,3.28,0.0908,6,1.21618491397061,0.0144509819848532,9.09,24.7534273703916,-0.713349887877465,2.24810218822409,2.20717490818939,4.45527709641347
"338",113,2,0.0278039084905666,0.0523,87.82,0.47,10.1761297798378,0.0461,0.35,0.09,0,0,0,1,1,1,5.952e+10,2.1,0.1003,6,0.810805502863681,0.0227836346304694,8.63,24.8095782274712,-0.755022584278033,2.32004476003824,2.15524450509534,4.47528926513357
"339",113,3,-0.0346324754654299,0.0325,86.22,0.46,14.9428076256499,0.0168,0.34,0.07,0,0,0,1,1,1,6.134e+10,2.69,0.0936,6,0.591467635696474,-0.000354880581417884,5.77,24.8396979956325,-0.776528789498996,2.70423008879898,1.75267208052001,4.45690216931899
"340",114,1,0.0485220509310787,0.0304,47.29,0.55,9.53427419354839,NA,0.12,0,0,0,0,0,0,0,7.528e+10,2.14,0.3029,4,1.12373344591558,0.0133600546618039,4.96,25.0444803322235,-0.59783700075562,2.25489311591895,1.60140574073684,3.85629885665578
"341",114,2,-0.000915585212923456,0.0279,60.38,0.58,12.3224489795918,NA,0.1,0,0,0,0,0,0,0,7.934e+10,2,0.2935,4,1.04001325713102,0.0292243725253815,4.9,25.0970082520326,-0.544727175441672,2.51142271916211,1.58923520511658,4.10065792427869
"342",114,3,-0.0569097887622195,0.0264,57.02,0.48,11.1150097465887,NA,0.15,0.05,0,0,0,0,0,0,8.3126e+10,2.13,0.2678,4,0.967847291405853,-0.000580708374843512,5.13,25.1436233659253,-0.7339691750802,2.40829642430185,1.63510565918268,4.04340208348453
"343",115,1,0.0576656970515739,0.095,53.07,NA,18.6210526315789,0.1375,0.17,0,0,0,0,0,0,0,1.027e+10,0.56,0.0518,1,0.442348878043617,0.00531971676091468,2.85,23.0524928608869,NA,2.92429280255924,1.04731899428056,3.9716117968398
"344",115,2,0.0576410965811408,0.0965,60.11,NA,18.9621451104101,0.1353,0.1,0,0,0,0,0,0,0,1.078e+10,0.56,0.0595,1,1.18220871148751,0.0332200647927991,3.17,23.1009584024273,NA,2.94244462916188,1.15373158788919,4.09617621705107
"345",115,3,0.0972636540935893,0.0964,72.59,NA,20.7994269340974,0.1345,0.19,0.09,0,0,0,0,0,0,1.088e+10,0.51,0.0586,1,1.96007275738318,-0.00117604365442991,3.49,23.1101920783742,NA,3.03492543508241,1.24990173621434,4.28482717129675
"346",116,1,-0.129460700179702,0.0928,59.08,1.18,10.6642599277978,0.1278,0.46,0.25,0.48,0.14,0.18,1,1,0,9283863000,0.81,0.0749,5,0.828517752562798,0.00987650948024102,5.54,22.9515435686793,0.165514438477573,2.36689795690398,1.71199450075919,4.07889245766318
"347",116,2,0.0264426198815875,0.0589,59.29,1.32,15.5616797900262,0.087,0.4,0.04,0.04,0.02,0.01,1,1,0,8.948e+09,0.79,0.1184,5,-0.0233507144678333,-0.000656155076546116,3.81,22.9146958805743,0.27763173659828,2.74481146858066,1.33762918913861,4.08244065771928
"348",116,3,0.0404472247700959,0.0712,70.62,1.34,14.5010266940452,0.0985,0.39,0.03,0.04,0,0.02,1,1,0,9.877e+09,0.75,0.0745,5,0.438663930134616,-0.000263198358080769,4.87,23.0134746588724,0.29266961396282,2.67421945340574,1.5830939370945,4.25731339050024
"349",117,1,0.0320112376781579,0.0797,49.91,1.15,13.1342105263158,0.1115,0.12,0,0,0,0,0,0,0,3.2941e+10,0.28,0.131,6,1.06880524551464,0.0127119018970728,3.8,24.2179839194622,0.139761942375159,2.57522031674918,1.33500106673234,3.91022138348152
"350",117,2,0.0269208817998344,0.0725,58.65,1.22,16.1570247933884,0.1015,0.14,0,0,0,0,0,0,0,34672200000,0.15,0.141,6,0.878606906124378,0.024688854062095,3.63,24.2692040500671,0.198850858745165,2.78235492682272,1.28923264827676,4.07158757509948
"351",117,3,-0.0352004993537122,0.0788,66.67,1.22,14.0654008438819,0.1098,0.19,0.06,0,0,0,0,0,0,36991700000,0.15,0.1305,6,1.15525021301399,-0.000693150127808397,4.74,24.3339594001018,0.198850858745165,2.64371794092299,1.55603713570699,4.19975507662997
"352",118,1,0.0920729175347932,0.0786,62.89,1.7,18.6065088757396,0.1102,0.06,0.09,0,0.01,0.28,0,0,0,8.0642e+10,0.28,0.1344,1,0.426522773613258,0.00513296872863645,3.38,25.1132854425492,0.53062825106217,2.92351145906048,1.21787570949493,4.14138716855541
"353",118,2,0.0306271014447055,0.0907,84.48,1.97,19.830985915493,0.1255,0.32,0.01,0,0.01,0.01,1,1,0,8.3166e+10,0.29,0.1362,1,1.10499129766149,0.0310502554642878,4.26,25.1441044474057,0.678033542749897,2.98724565967667,1.44926916028128,4.43651481995795
"354",118,3,-0.070426757132573,0.0973,107.84,2.08,22.0081632653061,0.139,0.31,0.01,0,0,0.01,1,1,0,8.7035e+10,0.28,0.1537,1,1.29010168872435,-0.000774061013234608,4.9,25.1895761735511,0.732367893713227,3.09141344204741,1.58923520511658,4.680648647164
"355",119,1,0.0354587530336392,0.077,40.43,1.31,27.1342281879195,0.1044,0.14,0,0,0,0,0,0,0,1.293e+10,0.83,0.2102,1,1.38923671781792,0.0164929932702515,1.49,23.2828160297302,0.27002713721306,3.30079596369531,0.398776119957368,3.69957208365268
"356",119,2,-0.0129778600277267,0.0735,39.42,1.33,23.7469879518072,0.1063,0.16,0,0,0,0,0,0,0,1.4979e+10,1.05,0.1942,1,1.15404613027216,0.0324286962606477,1.66,23.429915057133,0.285178942233662,3.16745569935612,0.506817602368452,3.67427330172457
