"","CompaniesIndex","YearIndex","Ra","Roa","StockPriceClose","TobinsQ","PriceToEarningRatio","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","Eps","FirmSize","LogTobinsQ","LogPriceToEarningRatio","LogEps","LogStockPrice"
"22",8,1,0.00725700717865738,0.0436,16.8,1.69,31.6981132075472,0.0744,0.39,0.43,0.4,0.02,0.2,0,1,1,1250886000,0.67,0.0733,6,1.72904165761763,0.020502691559888,0.53,20.9471179371805,0.524728528934982,3.45625715884518,-0.63487827243597,2.82137888640921
"23",8,2,0.0363492304877848,0.0383,19.16,1.7,33.0344827586207,0.0681,0.52,0.03,0.07,0.03,0.01,1,1,1,1.682e+09,1.3,0.0738,6,0.846682324054431,0.0237917733059295,0.58,21.2432493984972,0.53062825106217,3.49755194798439,-0.544727175441672,2.95282477254271
"24",8,3,-0.0944602010026204,0.0445,22.25,1.71,30.9027777777778,0.0759,0.57,0.04,0.09,0.01,0.05,1,1,1,1.851e+09,1.38,0.0665,6,0.743221605521034,-0.00044593296331262,0.72,21.3389918705378,0.536493370514568,3.43084607558429,-0.328504066972036,3.10234200861225
"25",9,1,0.0531584428185046,0.0285,46.8,2.62,83.5714285714286,0.0399,0.84,0.87,0.99,0.92,0.83,1,1,1,1.004e+10,0.22,0.1891,7,1.17393076051421,0.0139523829740677,0.56,23.02984295121,0.963174317773006,4.42570169817654,-0.579818495252942,3.8458832029236
"26",9,2,-0.0133900486730533,0.0254,67.45,3.2,127.264150943396,0.0347,0.83,0.09,0.12,0.09,0.13,1,1,1,1.038e+10,0.22,0.0715,7,0.550999847598482,0.0154830957175174,0.53,23.0631467146842,1.16315080980568,4.84626485508973,-0.63487827243597,4.21138658265377
"27",9,3,0.0267545945928666,0.0559,80.97,3.82,65.2983870967742,0.0789,0.62,0.08,0.08,0.03,0.06,1,1,1,1.0786e+10,0.13,0.0647,7,1.96526093531432,-0.00117915656118859,1.24,23.1015148338614,1.34025042261848,4.17896733608108,0.215111379616945,4.39407871569802
"28",10,1,0.0615620790200372,0.1122,46.59,1.77,21.7710280373832,0.1295,0.56,0.48,0.59,0.3,0.55,0,1,1,5.62e+09,0.19,0.2411,7,0.932458452966757,0.0111030097450077,2.14,22.449597500852,0.570979546585738,3.08058009679495,0.76080582903376,3.84138592582871
"29",10,2,0.0227012504854689,0.0951,51.42,1.95,25.969696969697,0.1154,0.51,0.08,0.07,0.04,0.08,0,1,1,6.382e+09,0.18,0.2557,7,1.31523601875755,0.0369581321270872,1.98,22.5767473648025,0.667829372575655,3.2569303571313,0.683096844706444,3.94002720183774
"30",10,3,-0.101496384049314,0.1001,59.66,2.31,27.1181818181818,0.1193,0.53,0.09,0.07,0.05,0.09,0,1,1,6.86e+09,0.18,0.2197,7,1.54411687971311,-0.000926470127827863,2.2,22.6489732786842,0.837247524533702,3.30020441872233,0.78845736036427,4.0886617790866
"31",11,1,0.0753495835592332,0.0307,35.31,0.48,17.480198019802,0.0574,0.19,0.09,0.55,0,0.06,0,1,0,4.5136e+10,0.36,0.0137,2,0.041678458486068,0.000591805810135603,2.02,24.5329459912061,-0.7339691750802,2.86106869852718,0.703097511413113,3.5641662099403
"32",11,2,-0.0129922556784712,0.0512,46.15,0.64,13.4548104956268,0.0927,0.33,0.01,0.07,0,0.02,1,1,0,4.3752e+10,0.27,0.0149,2,0.664424226349584,0.0186703207604233,3.43,24.5018031629909,-0.446287102628419,2.59933669977101,1.23256026117785,3.83189696094886
"33",11,3,0.00519344270328114,0.0439,45.91,0.48,15.4060402684564,0.0832,0.32,0.02,0.06,0,0.01,1,1,0,4.4027e+10,0.28,0.0277,2,0.823355470888378,-0.000494013282533027,2.98,24.5080689190305,-0.7339691750802,2.73475965774382,1.09192330051731,3.82668295826113
"34",12,1,0.0166884372442692,0.0446,61.19,0.97,21.1730103806228,0.2221,0.47,0.38,0.61,0,0.47,0,1,0,3.333e+10,0.0025,0.1302,7,0.770112066882768,0.00918732238921666,2.89,24.2297237292661,-0.0304592074847086,3.05272727535011,1.06125650212434,4.11398377747445
"35",12,2,-0.02110014518344,0.0471,72.47,0.86,23.0796178343949,0.2301,0.28,0.07,0,0,0,0,1,0,3.2268e+10,0.002,0.1243,7,0.634522853152042,0.0178300921735724,3.14,24.1973418640211,-0.150822889734584,3.13894988320103,1.14422279992016,4.28317268312119
"36",12,3,-0.0118555632523004,0.0446,84.37,0.94,27.6622950819672,0.2468,0.28,0.07,0,0,0,0,1,0,3.2052e+10,0.0019,0.1242,7,0.808633188727693,-0.000485179913236616,3.05,24.1906254208622,-0.0618754037180875,3.32007029755821,1.11514159061932,4.43521188817754
"37",13,1,0.0818761668402418,0.0393,191.87,1.03,25.8584905660377,0.0872,0,0,0,0,0,0,0,0,12000139000,8.91,0.116,7,0.913175761195095,0.0108754739821021,7.42,23.2081840700007,0.0295588022415444,3.25263900219072,2.00417905717929,5.25681805937001
"38",13,2,0.000629349338349831,0.0302,265.41,0.93,33.7242693773825,0.0665,0.24,0.08,0,0,0,0,0,0,13244257000,7.01,0.1149,7,1.10948588934073,0.0311765534904744,7.87,23.3068298614567,-0.0725706928348354,3.51821773773409,2.06305806242931,5.5812758001634
