"","CompaniesIndex","YearIndex","Ra","Roa","Roe","TobinsQ","AlphaJensen","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","FirmSize","LogTobinsQ"
"34",12,1,0.0166884372442692,0.0446,0.2285,0.97,-0.00114165492930315,0.2221,0.47,0.38,0.61,0,0.47,0,1,0,3.333e+10,0.0025,0.1302,7,0.770112066882768,0.00918732238921666,24.2297237292661,-0.0304592074847086
"35",12,2,-0.02110014518344,0.0471,0.2358,0.86,-0.0206149652702033,0.2301,0.28,0.07,0,0,0,0,1,0,3.2268e+10,0.002,0.1243,7,0.634522853152042,0.0178300921735724,24.1973418640211,-0.150822889734584
"36",12,3,-0.0118555632523004,0.0446,0.2531,0.94,0.00484322286178353,0.2468,0.28,0.07,0,0,0,0,1,0,3.2052e+10,0.0019,0.1242,7,0.808633188727693,-0.000485179913236616,24.1906254208622,-0.0618754037180875
"37",13,1,0.0818761668402418,0.0393,0.7169,1.03,0.0506996133497674,0.0872,0,0,0,0,0,0,0,0,12000139000,8.91,0.116,7,0.913175761195095,0.0108754739821021,23.2081840700007,0.0295588022415444
"38",13,2,0.000629349338349831,0.0302,0.3114,0.93,0.002351492901365,0.0665,0.24,0.08,0,0,0,0,0,0,13244257000,7.01,0.1149,7,1.10948588934073,0.0311765534904744,23.3068298614567,-0.0725706928348354
"39",13,3,-0.0364955112505858,0.0258,0.2503,0.76,-0.0217542016776856,0.0604,0.21,0.05,0,0,0,0,0,0,20263977000,3.39,0.0955,7,2.87023927169194,-0.00172214356301517,23.7321106146274,-0.27443684570176
"40",14,1,0.10619994224625,0.0657,0.126,1.88,0.0629507642441825,0.0913,0.62,0.94,0.3,0.62,0.63,0,0,1,3.429e+09,NA,0.1288,7,2.82833347870637,0.0334743350487352,21.9555345104272,0.631271776841858
"41",14,2,-0.0317903058398908,0.0514,0.1063,2.65,-0.0312787783108992,0.0789,0.66,0.14,0,0.03,0.1,1,1,1,4.322e+09,0.36,0.107,7,1.53911665487784,0.0432491780020674,22.1869840950311,0.974559639998131
"42",14,3,-0.0408417048134506,0.0172,0.0365,2.4,0.0124840449048706,0.0274,0.71,0.14,0,0.05,0.14,1,1,1,4.737e+09,0.33,0.1006,7,0.852545881652775,-0.000511527528991665,22.278669860888,0.8754687373539
"43",15,1,0.0196474272107625,0.0135,0.0439,0.7,-0.00360544041374561,0.0391,0.29,0.03,0,0,0.52,1,1,0,2.1835e+10,1,-0.1426,11,0.109858942677735,0.00139633552359728,23.8067800238839,-0.356674943938732
"44",15,2,0.0772245179786794,0.0268,0.0884,0.8,0.0777002692359426,0.0597,0.37,0.01,0,0,0.09,1,1,0,2.1042e+10,0.84,0.0495,11,0.827504185925556,0.0232528676245081,23.7697862773325,-0.22314355131421
"45",15,3,-0.00233097691277153,0.0272,0.0922,0.74,-0.00211068566870568,0.0602,0.36,0.01,0.01,0,0.07,1,1,0,2.2676e+10,0.91,0.0968,11,0.792918762105364,-0.000475751257263218,23.8445729334085,-0.301105092783922
"46",16,1,-0.00682329655827654,0.0267,0.0945,0.73,-0.0390543839133039,0.0593,0.18,0.02,0.03,0,0.02,1,1,0,5.4367e+10,1.02,0.0842,11,-0.156762726457111,-0.00174980017219391,24.7190231890943,-0.3147107448397
"47",16,2,0.0536190504599654,0.0282,0.0993,0.83,0.0540370966911181,0.0605,0.31,0.01,0.03,0,0,1,1,0,5.6414e+10,1.05,0.0964,11,1.14701378487642,0.0322310873550274,24.7559831915976,-0.186329578191493
"48",16,3,0.0395571965860669,0.0337,0.1179,0.8,0.0339083902601844,0.0695,0.3,0.01,0.02,0,0,1,1,0,5.9633e+10,0.96,0.096,11,0.696743718587859,-0.000418046231152716,24.8114749490624,-0.22314355131421
"49",17,1,-0.00494484066555355,0.0419,0.1567,0.71,-0.0095645197773839,NA,0.41,0.74,0,0,0.65,0,1,0,41494500000,0.62,0.0466,5,0.942523627601693,0.0112217788057,24.4488267252797,-0.342490308946776
"50",17,2,0.0180611857087087,0.0395,0.1432,0.8,0.0188058527274243,NA,0.32,0.08,0,0,0,0,1,1,49871800000,0.56,0.0413,5,0.164401391880083,0.00461967911183035,24.6327215496971,-0.22314355131421
"51",17,3,0.0509429924238784,0.0447,0.1562,0.91,0.0561201638546983,NA,0.6,0.12,0.11,0,0.13,0,1,1,53402100000,0.54,0.0358,5,1.24111169785924,-0.000744667018715546,24.701115907982,-0.0943106794712413
"52",18,1,0.00645793619713739,0.025,0.2064,0.34,-0.0160844761290068,NA,0.49,0.63,0,0,0.85,0,1,1,1.31094e+11,0.27,0.113,4,1.16820499849348,0.0138848189822231,25.5991804600784,-1.07880966137193
"53",18,2,0.0225136382483949,0.0245,0.179,0.29,0.0232180721519213,NA,0.75,0.09,0.09,0.12,0.09,1,1,1,1.21307e+11,0.34,0.1319,4,0.802221079222212,0.0225424123261442,25.5215903593929,-1.23787435600162
"54",18,3,-0.0853961367803414,0.0213,0.1405,0.26,-0.0563914008355216,NA,0.64,0.07,0.06,0.1,0.06,1,1,1,1.19767e+11,0.29,0.1298,4,1.17405650587741,-0.000704433903526446,25.5088140255834,-1.34707364796661
"55",19,1,0.0297842959400594,-0.0408,-0.1123,1.21,0.0164928304014322,-0.0386,0.85,0.85,0.61,0.82,0.72,1,1,1,9179300000,1.63,0.0165,5,0.408270355759077,0.00491759019795711,22.9402167859481,0.19062035960865
"56",19,2,-0.0500084853935851,-0.0433,-0.0861,NA,-0.0494989843960739,-0.0399,0.84,0.13,0.12,0.13,0.12,1,1,1,10574300000,0.89,-0.0865,5,0.473005891054349,0.0132914655386272,23.0816923658344,NA
"57",19,3,-0.00443812452126461,0.0391,0.0737,NA,0.0280333398609012,0.0562,0.74,0.13,0.13,0,0.14,1,1,1,12415700000,0.52,-0.1248,5,0.84916832918544,-0.000509500997511264,23.2422276377242,NA
"58",20,1,0.0278088284660412,0.0167,0.0915,NA,0.0178245083480096,NA,0.18,0,0,0,0,0,1,0,5.48633e+11,0.49,0.0524,4,1.79608377556607,0.0212937885516796,27.0306955667578,NA
"59",20,2,0.0241392344647785,0.0142,0.0726,NA,0.0248611240509687,NA,0.29,0,0,0,0,1,1,0,5.41329e+11,0.41,0.1322,4,0.355313883203969,0.00998432011803153,27.0172930640418,NA
"60",20,3,-0.0212293162483536,0.0043,0.0223,NA,0.012883137495432,NA,0.4,0.09,0,0,0,1,1,0,5.15581e+11,0.29,0.1169,4,1.20314931031697,-0.000721889586190184,26.9685602570609,NA
"61",21,1,0.0535492227713258,0.1056,0.118,2.59,0.0328594190531802,0.1163,0.39,0.12,0,0.68,0.03,0,1,1,2600627000,0,0.1485,7,1.57794414712809,0.0187197409361114,21.6790184067471,0.951657875711446
